ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
1628922fa,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,33.26,33.2529,33.2434,33.2294,33.2094,33.1821,32.9657,32.7454,32.5206,32.2907,32.0553,31.8139,31.5663,31.3121,31.0509,30.7825,30.4635,30.137,29.8029,29.4608,29.1106,28.7519,28.3847,28.0087,27.6234,27.2288,26.7213,26.2066,25.6843,25.1543,24.6165,24.0705,23.5162,22.9532,22.3813,21.8002,21.2154,20.6153,19.9995,19.3681,18.7203,18.0563,17.3753,16.6771,15.9614,15.2276,14.4341,13.6192,12.7826,11.9237,11.0421,10.1374,9.20882,8.2559,7.27805,6.27448,5.18785,4.0731,2.92975,1.75699,0.554081,-0.679823,-1.94536,-3.24367,-4.57569,-5.94243,-7.42092,-8.94458,-10.515,-12.1337,-13.802,-15.5219,-17.295,-19.1235,-20,-20,-1.89276e-06,-1.17796e-06,-9.90729e-07,-9.04162e-07,-8.56334e-07,-8.27996e-07,-8.11038e-07,-8.01359e-07,-7.96661e-07,-7.95519e-07,-7.92484e-07,-7.9173e-07,-7.92746e-07,-7.95144e-07,-7.98656e-07,-8.03067e-07,-8.08208e-07,-8.13955e-07,-8.20198e-07,-8.26858e-07,-8.30435e-07,-8.3443e-07,-8.38796e-07,-8.43495e-07,-8.48504e-07,-8.53806e-07,-8.59378e-07,-8.65226e-07,-8.71346e-07,-8.77738e-07,-8.81583e-07,-8.85809e-07,-8.9044e-07,-8.95503e-07,-9.01022e-07,-9.07037e-07,-9.13591e-07,-9.20733e-07,-9.2852e-07,-9.37014e-07,-9.438e-07,-9.51486e-07,-9.60169e-07,-9.69963e-07,-9.80993e-07,-9.93408e-07,-1.00739e-06,-1.02314e-06,-1.04091e-06,-1.06099e-06
1628922fa,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.174,1.18796,1.20192,1.21588,1.22983,1.24377,1.25761,1.27136,1.28502,1.29858,1.31205,1.32541,1.33867,1.35182,1.36486,1.37779,1.39058,1.40324,1.41576,1.42813,1.44036,1.45243,1.46436,1.47612,1.48772,1.49916,1.51038,1.52139,1.53217,1.54274,1.55308,1.56319,1.57306,1.5827,1.5921,1.60126,1.61017,1.61883,1.62723,1.63536,1.64323,1.65081,1.65811,1.66511,1.67182,1.67821,1.68427,1.68999,1.69536,1.70037,1.70501,1.70927,1.71313,1.7166,1.71966,1.72229,1.72447,1.72618,1.72741,1.72815,1.72838,1.7281,1.72728,1.72592,1.724,1.7215,1.71838,1.71463,1.71021,1.70512,1.69932,1.6928,1.68554,1.6775,1.6691,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607
1628922fa,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0139692,0.0139662,0.0139622,0.0139564,0.0139479,0.0139365,0.0138456,0.0137531,0.0136586,0.0135621,0.0134632,0.0133619,0.0132579,0.0131511,0.0130414,0.0129286,0.0127947,0.0126576,0.0125172,0.0123735,0.0122264,0.0120758,0.0119216,0.0117636,0.0116018,0.0114361,0.011223,0.0110068,0.0107874,0.0105648,0.0103389,0.0101096,0.00987678,0.00964033,0.00940014,0.00915607,0.00891045,0.00865841,0.00839981,0.00813459,0.00786254,0.00758363,0.00729761,0.0070044,0.00670379,0.00639558,0.00606232,0.00572006,0.00536868,0.00500795,0.00463769,0.00425769,0.0038677,0.00346748,0.00305678,0.00263528,0.0021789,0.0017107,0.0012305,0.000737938,0.000232714,-0.000285526,-0.000817052,-0.00136234,-0.00192179,-0.00249582,-0.00311679,-0.00375672,-0.00441631,-0.00509614,-0.00579683,-0.00651918,-0.00726388,-0.00803185,-0.0084,-0.0084,-7.94959e-10,-4.94742e-10,-4.16106e-10,-3.79748e-10,-3.5966e-10,-3.47758e-10,-3.40636e-10,-3.36571e-10,-3.34598e-10,-3.34118e-10,-3.32843e-10,-3.32526e-10,-3.32953e-10,-3.33961e-10,-3.35435e-10,-3.37288e-10,-3.39448e-10,-3.41861e-10,-3.44483e-10,-3.4728e-10,-3.48783e-10,-3.5046e-10,-3.52294e-10,-3.54268e-10,-3.56372e-10,-3.58599e-10,-3.60939e-10,-3.63395e-10,-3.65965e-10,-3.6865e-10,-3.70265e-10,-3.7204e-10,-3.73985e-10,-3.76111e-10,-3.78429e-10,-3.80956e-10,-3.83708e-10,-3.86708e-10,-3.89978e-10,-3.93546e-10,-3.96396e-10,-3.99624e-10,-4.03271e-10,-4.07384e-10,-4.12017e-10,-4.17231e-10,-4.23103e-10,-4.29719e-10,-4.37183e-10,-4.45616e-10
1628922fa,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1628922fa,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),-4.99952e-09,41.278,80.3561,117.234,151.912,185.172,218.425,251.668,284.898,318.107,351.289,384.255,417,449.521,481.812,513.867,545.681,577.247,608.559,639.61,670.393,700.856,730.993,760.796,790.257,819.367,848.119,876.504,904.513,932.136,959.365,986.086,1012.29,1037.98,1063.13,1087.75,1111.82,1135.33,1158.29,1180.67,1202.47,1223.68,1244.3,1264.3,1283.67,1302.39,1320.44,1337.82,1354.5,1370.46,1385.69,1400.12,1413.74,1426.52,1438.44,1449.49,1459.62,1468.83,1477.09,1484.37,1490.64,1495.83,1499.9,1502.83,1504.59,1505.14,1504.46,1502.52,1499.27,1494.7,1488.76,1481.34,1472.39,1461.88,1449.74,1435.94,1420.42,1403.12,1384,1364,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
1628922fa,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.820843,0.78483,0.75375,0.726484,0.702246,0.680466,0.660659,0.64265,0.626157,0.610961,0.596883,0.583782,0.571537,0.560051,0.54924,0.539035,0.529365,0.520187,0.511457,0.503137,0.495192,0.487591,0.480309,0.473321,0.466606,0.460145,0.453915,0.447915,0.44213,0.436547,0.431153,0.425936,0.420885,0.415992,0.411248,0.406644,0.402163,0.397791,0.393522,0.389354,0.38528,0.381299,0.377405,0.373596,0.369869,0.366219,0.362641,0.35913,0.355686,0.352304,0.348984,0.345723,0.342521,0.339374,0.336282,0.333242,0.330251,0.327308,0.324413,0.321562,0.318756,0.315992,0.313272,0.310591,0.30795,0.305349,0.30278,0.300242,0.297733,0.295254,0.292804,0.290381,0.287987,0.28562,0.283305,0.281061,0.279347,0.277667,0.276023,0.274412,0.272831,0.271282,0.269762,0.268271,0.266807,0.26537,0.263959,0.262575,0.261216,0.259883,0.258573,0.257286,0.256022,0.254779,0.253558,0.252357,0.251176,0.250016,0.248876,0.247755,0.246653,0.245568,0.244501,0.243451,0.242417,0.2414,0.240399,0.239415,0.238445,0.237491,0.236552,0.235628,0.234717,0.23382,0.232936,0.232066,0.231208,0.230364,0.229532,0.228712,0.227905,0.22711,0.226326,0.225554,0.224791,0.224041
1628922fa,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),43.478,44.1322,44.7566,45.3375,45.8679,46.3965,46.9943,47.5852,48.17,48.7493,49.3239,49.6414,49.9556,50.2671,50.5764,50.8838,51.1896,51.4942,51.7978,52.1005,52.4025,52.6694,52.9354,53.2005,53.4649,53.7287,53.9918,54.2543,54.5163,54.7777,55.0386,55.1597,55.28,55.3994,55.5181,55.636,55.7531,55.8695,55.9852,56.1001,56.2143,56.4849,56.7531,57.0189,57.2824,57.5438,57.803,58.06,58.3148,58.5674,58.8178,59.0979,59.3748,59.6483,59.9186,60.1856,60.4493,60.7096,60.9665,61.2198,61.4695,61.6986,61.9231,62.1429,62.3579,62.5681,62.7733,62.9733,63.168,63.3572,63.5407,63.8295,64.11,64.3819,64.6448,64.8986,65.1426,65.3766,65.6,65.9503,66.4205,69.0637,69.566,70.0662,70.5645,71.061,71.5559,72.0491,72.5409,73.0313,73.5204,73.9115,74.3023,74.6929,75.0831,75.473,75.8626,76.2516,76.6403,77.0285,77.4163,77.7071,77.9984,78.2899,78.5816,78.8735,79.1653,79.4572,79.7489,80.0406,80.3321,80.5271,80.7227,80.9188,81.1153,81.312,81.5089,81.706,81.903,82.1001,82.2971,82.3979,82.4994,82.6015,82.704,82.8068,82.9098,83.013,83.1163,83.2197,83.3231
1628922fa,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
1628922fa,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,33.26,33.2529,33.2434,33.2294,33.2094,33.1821,32.9657,32.7454,32.5206,32.2907,32.0553,31.8139,31.5663,31.3121,31.0509,30.7825,30.4635,30.137,29.8029,29.4608,29.1106,28.7519,28.3847,28.0087,27.6234,27.2288,26.7213,26.2066,25.6843,25.1543,24.6165,24.0705,23.5162,22.9532,22.3813,21.8002,21.2154,20.6153,19.9995,19.3681,18.7203,18.0563,17.3753,16.6771,15.9614,15.2276,14.4341,13.6192,12.7826,11.9237,11.0421,10.1374,9.20882,8.2559,7.27805,6.27448,5.18785,4.0731,2.92975,1.75699,0.554081,-0.679823,-1.94536,-3.24367,-4.57569,-5.94243,-7.42092,-8.94458,-10.515,-12.1337,-13.802,-15.5219,-17.295,-19.1235,-20,-20,-1.89276e-06,-1.17796e-06,-9.90729e-07,-9.04162e-07,-8.56334e-07,-8.27996e-07,-8.11038e-07,-8.01359e-07,-7.96661e-07,-7.95519e-07,-7.92484e-07,-7.9173e-07,-7.92746e-07,-7.95144e-07,-7.98656e-07,-8.03067e-07,-8.08208e-07,-8.13955e-07,-8.20198e-07,-8.26858e-07,-8.30435e-07,-8.3443e-07,-8.38796e-07,-8.43495e-07,-8.48504e-07,-8.53806e-07,-8.59378e-07,-8.65226e-07,-8.71346e-07,-8.77738e-07,-8.81583e-07,-8.85809e-07,-8.9044e-07,-8.95503e-07,-9.01022e-07,-9.07037e-07,-9.13591e-07,-9.20733e-07,-9.2852e-07,-9.37014e-07,-9.438e-07,-9.51486e-07,-9.60169e-07,-9.69963e-07,-9.80993e-07,-9.93408e-07,-1.00739e-06,-1.02314e-06,-1.04091e-06,-1.06099e-06
1628922fa,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),5.537e-33,0.00968364,0.0364545,0.0763643,0.125659,0.162116,0.165271,0.168698,0.172352,0.176204,0.180229,0.18465,0.189223,0.193935,0.198779,0.203747,0.208833,0.214035,0.219348,0.224772,0.230306,0.236407,0.242622,0.248952,0.255396,0.261956,0.268633,0.275429,0.282347,0.28939,0.296563,0.304569,0.312727,0.321038,0.329506,0.338133,0.346925,0.355885,0.365019,0.374332,0.383832,0.394661,0.405715,0.416997,0.428513,0.440268,0.452269,0.464524,0.477038,0.489822,0.502884,0.517311,0.532066,0.547158,0.562596,0.578391,0.594552,0.611093,0.628027,0.645366,0.663127,0.682583,0.702536,0.723,0.743993,0.765531,0.787635,0.810326,0.833626,0.85756,0.882155,0.908919,0.936468,0.964832,0.994048,1.02415,1.05519,1.0872,1.12024,1.12955,1.11748,0.682268,0.678167,0.674151,0.670215,0.666356,0.662572,0.65886,0.655218,0.651642,0.648131,0.644686,0.641306,0.637988,0.634731,0.631532,0.628389,0.625301,0.622266,0.619282,0.616349,0.613466,0.610633,0.607848,0.60511,0.602418,0.599768,0.597163,0.594598,0.592074,0.589589,0.587144,0.584739,0.582373,0.580042,0.577749,0.575491,0.573267,0.571076,0.568917,0.566792,0.564696,0.562633,0.560602,0.558601,0.556629,0.554688,0.552773,0.550886,0.549024,0.54719
