ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
207a0b6f3,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,27.8628,27.7184,27.5806,27.2939,27.0151,26.7424,26.4746,26.2107,25.9499,25.6916,25.4353,25.1806,24.9269,24.6299,24.3337,24.0384,23.7436,23.4492,23.1551,22.8611,22.5669,22.2724,21.9774,21.5883,21.2009,20.8149,20.4304,20.0473,19.6653,19.2844,18.9045,18.5253,18.1466,17.7576,17.3652,16.9695,16.5705,16.168,15.7623,15.3532,14.9406,14.5245,14.1047,13.6385,13.1671,12.6905,12.2087,11.7217,11.2295,10.732,10.229,9.7206,9.20649,8.63308,8.05335,7.46746,6.87525,6.27669,5.67166,5.06026,4.44217,3.81729,3.1855,2.49558,1.79441,1.0817,0.357369,-0.378625,-1.12659,-1.88657,-2.65898,-3.44401,-4.24209,-7.52924e-07,-4.88163e-07,-4.01569e-07,-3.56104e-07,-3.27446e-07,-3.07494e-07,-2.92707e-07,-2.81253e-07,-2.7209e-07,-2.64568e-07,-2.56776e-07,-2.50102e-07,-2.44308e-07,-2.39216e-07,-2.34699e-07,-2.30658e-07,-2.27016e-07,-2.23717e-07,-2.20711e-07,-2.17963e-07,-2.14596e-07,-2.11499e-07,-2.08648e-07,-2.06021e-07,-2.03602e-07,-2.01376e-07,-1.99331e-07,-1.9746e-07,-1.95754e-07,-1.94208e-07,-1.92235e-07,-1.90446e-07,-1.8884e-07,-1.87413e-07,-1.86165e-07,-1.85097e-07,-1.84211e-07,-1.83512e-07,-1.83003e-07,-1.82692e-07,-1.8212e-07,-1.81775e-07,-1.8167e-07,-1.81819e-07,-1.8224e-07,-1.82952e-07,-1.83983e-07,-1.85363e-07,-1.87128e-07,-1.89323e-07
207a0b6f3,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20988,1.22152,1.23311,1.24457,1.25592,1.26715,1.27827,1.28927,1.30017,1.31096,1.32165,1.33222,1.34269,1.35304,1.36326,1.37335,1.38333,1.39317,1.4029,1.4125,1.42198,1.43133,1.44056,1.44963,1.45854,1.46728,1.47586,1.48428,1.49254,1.50064,1.50858,1.51636,1.52398,1.53144,1.53873,1.54586,1.55282,1.55961,1.56623,1.57268,1.57895,1.58505,1.59098,1.5967,1.60223,1.60756,1.61269,1.61762,1.62233,1.62684,1.63114,1.63522,1.63908,1.64271,1.64609,1.64923,1.65212,1.65475,1.65714,1.65926,1.66113,1.66273,1.66407,1.66512,1.66587,1.66632,1.66647,1.66631,1.66584,1.66505,1.66393,1.66249,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607
207a0b6f3,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0117024,0.0116417,0.0115839,0.0114634,0.0113463,0.0112318,0.0111193,0.0110085,0.010899,0.0107905,0.0106828,0.0105758,0.0104693,0.0103445,0.0102202,0.0100961,0.00997231,0.00984868,0.00972514,0.00960164,0.00947809,0.00935441,0.00923052,0.00906711,0.00890436,0.00874226,0.00858078,0.00841985,0.00825944,0.00809946,0.00793987,0.00778061,0.00762158,0.0074582,0.0072934,0.00712718,0.00695959,0.00679057,0.00662018,0.00644833,0.00627505,0.00610028,0.00592396,0.00572817,0.00553017,0.00533001,0.00512766,0.00492312,0.0047164,0.00450743,0.00429619,0.00408265,0.00386672,0.00362589,0.00338241,0.00313633,0.0028876,0.00263621,0.0023821,0.00212531,0.00186571,0.00160326,0.00133791,0.00104814,0.000753651,0.000454314,0.000150095,-0.000159023,-0.000473168,-0.000792361,-0.00111677,-0.00144648,-0.00178168,-3.16228e-10,-2.05028e-10,-1.68659e-10,-1.49564e-10,-1.37527e-10,-1.29148e-10,-1.22937e-10,-1.18126e-10,-1.14278e-10,-1.11119e-10,-1.07846e-10,-1.05043e-10,-1.0261e-10,-1.00471e-10,-9.85734e-11,-9.68763e-11,-9.5347e-11,-9.39609e-11,-9.2699e-11,-9.15443e-11,-9.01306e-11,-8.88297e-11,-8.76323e-11,-8.65288e-11,-8.55126e-11,-8.45781e-11,-8.37191e-11,-8.29331e-11,-8.22169e-11,-8.15672e-11,-8.07385e-11,-7.99875e-11,-7.93125e-11,-7.87135e-11,-7.81895e-11,-7.77407e-11,-7.73688e-11,-7.70748e-11,-7.68612e-11,-7.67308e-11,-7.64902e-11,-7.63456e-11,-7.63015e-11,-7.63641e-11,-7.65406e-11,-7.68401e-11,-7.72729e-11,-7.78522e-11,-7.85938e-11,-7.9516e-11
207a0b6f3,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207a0b6f3,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),-4.99993e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,270.609,298.328,325.908,353.202,380.217,406.96,433.434,459.645,485.595,511.286,536.722,561.902,586.829,611.459,635.793,659.831,683.575,707.024,730.179,753.04,775.607,797.88,819.857,841.445,862.646,883.461,903.892,923.939,943.604,962.889,981.793,1000.32,1018.46,1036.22,1053.59,1070.56,1087.13,1103.3,1119.06,1134.41,1149.35,1163.88,1177.98,1191.62,1204.79,1217.48,1229.69,1241.41,1252.64,1263.37,1273.6,1283.32,1292.53,1301.16,1309.21,1316.68,1323.55,1329.83,1335.5,1340.56,1345.01,1348.82,1352.01,1354.5,1356.3,1357.38,1357.74,1357.36,1356.23,1354.35,1351.69,1348.24,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
207a0b6f3,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.703829,0.675734,0.651293,0.629701,0.610506,0.593265,0.577643,0.563384,0.550285,0.538186,0.526954,0.516485,0.506688,0.49748,0.488805,0.480611,0.472851,0.465484,0.458477,0.451799,0.445423,0.439325,0.433484,0.427879,0.422502,0.417339,0.412375,0.407595,0.40299,0.398547,0.394255,0.390109,0.386097,0.382203,0.378415,0.374727,0.371136,0.367635,0.364223,0.360894,0.357646,0.354475,0.351378,0.348348,0.345382,0.342478,0.339633,0.336846,0.334115,0.331438,0.328813,0.326238,0.323713,0.321232,0.318796,0.316403,0.314053,0.311743,0.309472,0.30724,0.305046,0.302888,0.300765,0.298673,0.296611,0.294575,0.292566,0.290585,0.288629,0.2867,0.284796,0.282916,0.281061,0.279347,0.277667,0.276023,0.274412,0.272831,0.271282,0.269762,0.268271,0.266807,0.26537,0.263959,0.262575,0.261216,0.259883,0.258573,0.257286,0.256022,0.254779,0.253558,0.252357,0.251176,0.250016,0.248876,0.247755,0.246653,0.245568,0.244501,0.243451,0.242417,0.2414,0.240399,0.239415,0.238445,0.237491,0.236552,0.235628,0.234717,0.23382,0.232936,0.232066,0.231208,0.230364,0.229532,0.228712,0.227905,0.22711,0.226326,0.225554,0.224791,0.224041
207a0b6f3,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),43.478,44.1192,44.7002,45.1874,45.5642,45.8263,45.9768,46.0232,46.5188,47.0245,47.5259,47.7861,48.0446,48.3019,48.5585,48.8148,49.0711,49.3275,49.5844,49.8418,50.0998,50.3236,50.5478,50.7725,50.9975,51.2232,51.4493,51.676,51.9033,52.131,52.3592,52.457,52.5551,52.6536,52.7526,52.852,52.9519,53.0523,53.1532,53.2545,53.3563,53.5987,53.8396,54.0792,54.3177,54.5552,54.7917,55.0274,55.2623,55.4965,55.7299,55.9889,56.2463,56.5021,56.7566,57.0098,57.2617,57.5125,57.7622,58.0109,58.2585,58.4873,58.7144,58.9399,59.164,59.3866,59.608,59.828,60.0469,60.2645,60.4809,60.797,61.1102,61.4206,61.7282,62.0332,62.3357,62.6355,62.9327,63.2274,63.5194,64.8231,65.2964,65.7705,66.2453,66.7207,67.1966,67.673,68.1496,68.6266,69.1038,69.4871,69.8714,70.2565,70.6423,71.0285,71.4152,71.8021,72.1893,72.5766,72.9639,73.2578,73.5524,73.8475,74.1431,74.439,74.7351,75.0313,75.3275,75.6238,75.92,76.1228,76.3262,76.5301,76.7342,76.9385,77.1429,77.3474,77.5519,77.7563,77.9605,78.0715,78.183,78.2948,78.4069,78.5191,78.6314,78.7438,78.856,78.9682,79.0803
207a0b6f3,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
207a0b6f3,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,27.8628,27.7184,27.5806,27.2939,27.0151,26.7424,26.4746,26.2107,25.9499,25.6916,25.4353,25.1806,24.9269,24.6299,24.3337,24.0384,23.7436,23.4492,23.1551,22.8611,22.5669,22.2724,21.9774,21.5883,21.2009,20.8149,20.4304,20.0473,19.6653,19.2844,18.9045,18.5253,18.1466,17.7576,17.3652,16.9695,16.5705,16.168,15.7623,15.3532,14.9406,14.5245,14.1047,13.6385,13.1671,12.6905,12.2087,11.7217,11.2295,10.732,10.229,9.7206,9.20649,8.63308,8.05335,7.46746,6.87525,6.27669,5.67166,5.06026,4.44217,3.81729,3.1855,2.49558,1.79441,1.0817,0.357369,-0.378625,-1.12659,-1.88657,-2.65898,-3.44401,-4.24209,-7.52924e-07,-4.88163e-07,-4.01569e-07,-3.56104e-07,-3.27446e-07,-3.07494e-07,-2.92707e-07,-2.81253e-07,-2.7209e-07,-2.64568e-07,-2.56776e-07,-2.50102e-07,-2.44308e-07,-2.39216e-07,-2.34699e-07,-2.30658e-07,-2.27016e-07,-2.23717e-07,-2.20711e-07,-2.17963e-07,-2.14596e-07,-2.11499e-07,-2.08648e-07,-2.06021e-07,-2.03602e-07,-2.01376e-07,-1.99331e-07,-1.9746e-07,-1.95754e-07,-1.94208e-07,-1.92235e-07,-1.90446e-07,-1.8884e-07,-1.87413e-07,-1.86165e-07,-1.85097e-07,-1.84211e-07,-1.83512e-07,-1.83003e-07,-1.82692e-07,-1.8212e-07,-1.81775e-07,-1.8167e-07,-1.81819e-07,-1.8224e-07,-1.82952e-07,-1.83983e-07,-1.85363e-07,-1.87128e-07,-1.89323e-07
207a0b6f3,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),1.35424e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.754575,0.759245,0.764809,0.771896,0.779522,0.787567,0.79594,0.80457,0.8134,0.822386,0.831494,0.840697,0.849972,0.860941,0.871926,0.882914,0.893892,0.904854,0.915791,0.926702,0.937583,0.948436,0.959262,0.972177,0.985054,0.997891,1.01068,1.02343,1.03614,1.0488,1.06143,1.07402,1.08659,1.10241,1.11821,1.13399,1.14973,1.16545,1.18114,1.1968,1.21243,1.22804,1.24364,1.26187,1.2801,1.29834,1.31657,1.33481,1.35304,1.37129,1.38955,1.40782,1.42612,1.44707,1.46807,1.48912,1.51023,1.53139,1.5526,1.57387,1.59522,1.61663,1.63812,1.6625,1.687,1.71164,1.73642,1.76134,1.78641,1.81164,1.83703,1.86261,1.88839,1.67509,1.66502,1.65516,1.6455,1.63602,1.62673,1.61762,1.60868,1.5999,1.59128,1.58282,1.57452,1.56637,1.55838,1.55052,1.54281,1.53523,1.52777,1.52045,1.51325,1.50617,1.49921,1.49238,1.48565,1.47904,1.47254,1.46614,1.45985,1.45365,1.44755,1.44154,1.43564,1.42983,1.42411,1.41848,1.41293,1.40747,1.40209,1.39679,1.39158,1.38643,1.38137,1.37638,1.37147,1.36662,1.36186,1.35716,1.35252,1.34795,1.34345
