ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
24374524f,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0112294,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.8781,34.6781,33.8836,33.8185,33.7406,33.648,33.5392,33.4127,33.0859,32.7455,32.3905,32.0201,31.6337,31.2304,30.8095,30.3703,29.9121,29.4339,28.8905,28.3257,27.7388,27.1291,26.4956,25.8375,25.1538,24.4436,23.7057,22.9389,22.0445,21.1229,20.1728,19.1932,18.1827,17.14,16.0637,14.952,13.8033,12.6155,11.3381,10.0041,8.61022,7.1532,5.62888,4.03313,2.36076,0.606134,-1.56349,-3.76346,-5.96344,-8.16342,-10.3634,-12.5634,-14.7634,-16.9634,-19.1633,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-7.53283e-06,-4.69913e-06,-4.05326e-06,-3.79624e-06,-3.68745e-06,-3.65412e-06,-3.66612e-06,-3.70841e-06,-3.77265e-06,-3.85371e-06,-3.92593e-06,-4.00947e-06,-4.10244e-06,-4.20341e-06,-4.31136e-06,-4.42545e-06,-4.54498e-06,-4.66941e-06,-4.79821e-06,-4.93097e-06,-5.04507e-06,-5.16219e-06,-5.28203e-06,-5.40432e-06,-5.52886e-06,-5.65547e-06,-5.78393e-06,-5.91419e-06,-6.04612e-06,-6.17964e-06,-6.29274e-06,-6.4075e-06,-6.52407e-06,-6.64262e-06,-6.7633e-06,-6.8864e-06,-7.01225e-06,-7.14123e-06,-7.27378e-06,-7.41043e-06,-7.53079e-06,-7.65675e-06,-7.78917e-06,-7.92909e-06,-8.07765e-06,-8.23618e-06,-8.40633e-06,-8.58992e-06,-8.78921e-06,-9.00674e-06
24374524f,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0112294,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17426,1.18846,1.20263,1.21677,1.23085,1.24488,1.25878,1.27253,1.28614,1.29959,1.31287,1.32599,1.33893,1.35169,1.36425,1.37661,1.38874,1.40064,1.41229,1.42369,1.43481,1.44567,1.45623,1.4665,1.47645,1.48609,1.49535,1.50422,1.51269,1.52075,1.52839,1.53559,1.54233,1.54861,1.55441,1.55971,1.56447,1.56867,1.57229,1.57529,1.57766,1.57935,1.58034,1.5806,1.57994,1.57836,1.57586,1.57243,1.56807,1.5628,1.5566,1.54947,1.54142,1.53302,1.52462,1.51622,1.50782,1.49942,1.49102,1.48262,1.47422,1.46582,1.45742,1.44902,1.44062,1.43222,1.42382,1.41542,1.40702,1.39862,1.39022,1.38182,1.37342,1.36502,1.35662,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
24374524f,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0112294,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0142311,0.0142038,0.014171,0.0141322,0.0140864,0.0140333,0.0138961,0.0137531,0.013604,0.0134485,0.0132862,0.0131168,0.01294,0.0127555,0.0125631,0.0123623,0.012134,0.0118968,0.0116503,0.0113942,0.0111281,0.0108517,0.0105646,0.0102663,0.00995639,0.00963434,0.00925871,0.0088716,0.00847256,0.00806112,0.00763673,0.00719881,0.00674674,0.00627983,0.00579737,0.0052985,0.00476199,0.00420171,0.00361629,0.00300434,0.00236413,0.00169392,0.000991518,0.000254576,-0.000656665,-0.00158065,-0.00250464,-0.00342864,-0.00435263,-0.00527662,-0.00620062,-0.00712461,-0.0080486,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-3.16379e-09,-1.97364e-09,-1.70237e-09,-1.59442e-09,-1.54873e-09,-1.53473e-09,-1.53977e-09,-1.55753e-09,-1.58451e-09,-1.61856e-09,-1.64889e-09,-1.68398e-09,-1.72302e-09,-1.76543e-09,-1.81077e-09,-1.85869e-09,-1.90889e-09,-1.96115e-09,-2.01525e-09,-2.07101e-09,-2.11893e-09,-2.16812e-09,-2.21845e-09,-2.26982e-09,-2.32212e-09,-2.3753e-09,-2.42925e-09,-2.48396e-09,-2.53937e-09,-2.59545e-09,-2.64295e-09,-2.69115e-09,-2.74011e-09,-2.7899e-09,-2.84059e-09,-2.89229e-09,-2.94515e-09,-2.99931e-09,-3.05499e-09,-3.11238e-09,-3.16293e-09,-3.21583e-09,-3.27145e-09,-3.33022e-09,-3.39261e-09,-3.4592e-09,-3.53066e-09,-3.60777e-09,-3.69147e-09,-3.78283e-09
24374524f,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0112294,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24374524f,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0112294,1,0.42 delta_degC/(TtCO2),-4.99971e-09,41.278,80.3561,117.234,151.912,185.796,219.614,253.355,287.003,320.542,353.955,387.041,419.786,452.176,484.197,515.83,547.061,577.87,608.241,638.153,667.587,696.477,724.803,752.542,779.671,806.166,832.004,857.158,881.601,905.307,928.246,950.29,971.413,991.586,1010.78,1028.96,1046.1,1062.17,1077.12,1090.92,1103.54,1114.87,1124.88,1133.49,1140.64,1146.27,1150.3,1152.66,1153.27,1151.71,1147.94,1141.98,1133.82,1123.45,1110.89,1096.13,1079.16,1060,1040,1020,1000,980,960,940,920,900,880,860,840,820,800,780,760,740,720,700,680,660,640,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
24374524f,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0112294,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.822691,0.78772,0.757174,0.730109,0.705848,0.683888,0.663788,0.645411,0.628496,0.612839,0.598274,0.584665,0.571899,0.559882,0.548536,0.537791,0.527579,0.517859,0.508588,0.499728,0.491245,0.483109,0.475294,0.467777,0.460536,0.453551,0.446803,0.440288,0.433992,0.427901,0.422001,0.416282,0.410732,0.405342,0.400103,0.395005,0.390028,0.385158,0.38039,0.375719,0.37114,0.366651,0.362246,0.357923,0.353654,0.349444,0.345297,0.341216,0.337205,0.333266,0.3294,0.32561,0.321896,0.318314,0.314892,0.311614,0.308472,0.305455,0.302556,0.299766,0.297077,0.294482,0.291978,0.289557,0.287214,0.284946,0.282746,0.28061,0.278533,0.276513,0.274548,0.272634,0.270769,0.268951,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
24374524f,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0112294,1,0.42 delta_degC/(TtCO2),43.478,44.1117,44.6852,45.1648,45.5341,45.9993,46.5458,47.0822,47.6091,48.1271,48.6368,48.891,49.1391,49.3814,49.6183,49.8499,50.0765,50.2982,50.515,50.7269,50.9338,51.1009,51.2622,51.4178,51.5673,51.7106,51.8474,51.9775,52.1003,52.2156,52.323,52.2906,52.25,52.2008,52.1425,52.0746,51.9966,51.908,51.808,51.6959,51.5709,51.5572,51.5228,51.4665,51.3867,51.2817,51.1498,50.9889,50.7963,50.4705,50.1212,49.7965,49.4614,49.118,48.7679,48.4128,48.0543,47.6936,47.7942,48.182,48.578,48.9834,49.395,49.8123,50.2348,50.6621,51.0938,51.5293,51.9682,52.4101,52.8547,53.408,53.9633,54.5204,55.0791,55.6391,56.2003,56.7624,57.3253,57.8887,58.4526,63.2998,63.9357,64.5599,65.1732,65.7766,66.3706,66.9562,67.5338,68.104,68.6675,69.1311,69.5893,70.0426,70.4912,70.9354,71.3757,71.8121,72.2449,72.6745,73.1009,73.4308,73.7585,74.0842,74.408,74.7299,75.05,75.3684,75.6852,76.0004,76.3141,76.5327,76.7506,76.9677,77.1842,77.3998,77.6146,77.8287,78.042,78.2545,78.4662,78.5836,78.7008,78.818,78.9349,79.0515,79.1678,79.2838,79.3994,79.5146,79.6294
24374524f,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0112294,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
24374524f,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0112294,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.8781,34.6781,33.8836,33.8185,33.7406,33.648,33.5392,33.4127,33.0859,32.7455,32.3905,32.0201,31.6337,31.2304,30.8095,30.3703,29.9121,29.4339,28.8905,28.3257,27.7388,27.1291,26.4956,25.8375,25.1538,24.4436,23.7057,22.9389,22.0445,21.1229,20.1728,19.1932,18.1827,17.14,16.0637,14.952,13.8033,12.6155,11.3381,10.0041,8.61022,7.1532,5.62888,4.03313,2.36076,0.606134,-1.56349,-3.76346,-5.96344,-8.16342,-10.3634,-12.5634,-14.7634,-16.9634,-19.1633,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-7.53283e-06,-4.69913e-06,-4.05326e-06,-3.79624e-06,-3.68745e-06,-3.65412e-06,-3.66612e-06,-3.70841e-06,-3.77265e-06,-3.85371e-06,-3.92593e-06,-4.00947e-06,-4.10244e-06,-4.20341e-06,-4.31136e-06,-4.42545e-06,-4.54498e-06,-4.66941e-06,-4.79821e-06,-4.93097e-06,-5.04507e-06,-5.16219e-06,-5.28203e-06,-5.40432e-06,-5.52886e-06,-5.65547e-06,-5.78393e-06,-5.91419e-06,-6.04612e-06,-6.17964e-06,-6.29274e-06,-6.4075e-06,-6.52407e-06,-6.64262e-06,-6.7633e-06,-6.8864e-06,-7.01225e-06,-7.14123e-06,-7.27378e-06,-7.41043e-06,-7.53079e-06,-7.65675e-06,-7.78917e-06,-7.92909e-06,-8.07765e-06,-8.23618e-06,-8.40633e-06,-8.58992e-06,-8.78921e-06,-9.00674e-06
24374524f,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0112294,1,0.42 delta_degC/(TtCO2),1.93288e-32,0.0237751,0.0895022,0.187488,0.308514,0.36216,0.374617,0.387892,0.401935,0.416716,0.432219,0.449021,0.466569,0.484865,0.503916,0.523734,0.544332,0.565732,0.587955,0.611028,0.634981,0.661193,0.68841,0.71667,0.746014,0.776488,0.808142,0.84103,0.875212,0.910754,0.947728,0.988555,1.03109,1.07541,1.12163,1.16983,1.22013,1.27266,1.32754,1.38494,1.44501,1.51309,1.58463,1.65989,1.73914,1.82272,1.91097,2.00433,2.10328,2.23162,2.36257,2.49357,2.62451,2.75528,2.88573,3.01575,3.14527,3.27417,3.29483,3.25072,3.2084,3.16817,3.12947,3.09222,3.05631,3.02165,2.98817,2.9558,2.92447,2.89412,2.8647,2.83376,2.80374,2.77456,2.7462,2.71862,2.69178,2.66565,2.64019,2.61538,2.59119,1.58378,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49713,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41908,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32769,1.3235,1.31936,1.31528,1.31124,1.30726
