ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
24aca995d,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27822,7.01042,6.39176,5.79486,5.21772,4.60737,4.01466,3.4387,2.87871,2.33402,1.80404,1.28826,0.786167,0.297265,9.55795e-06,2.49494e-06,1.48297e-06,1.07924e-06,8.62927e-07,7.28656e-07,6.3762e-07,5.72167e-07,5.23116e-07,4.8523e-07,4.55284e-07,4.239e-07,3.98879e-07,3.78626e-07,3.62055e-07,3.48381e-07,3.37047e-07,3.27625e-07,3.19801e-07,3.13325e-07,3.08004e-07,3.0169e-07,2.96494e-07,2.92274e-07,2.88913e-07,2.8632e-07,2.84421e-07,2.83153e-07,2.82469e-07,2.82329e-07,2.82702e-07,2.82365e-07,2.82559e-07,2.83263e-07,2.84457e-07,2.86127e-07,2.88265e-07,2.9087e-07,2.9394e-07,2.9748e-07,3.015e-07,3.05065e-07,3.09142e-07,3.13744e-07,3.18891e-07,3.24612e-07,3.30936e-07,3.37901e-07,3.4555e-07,3.53936e-07,3.15728e-16,-4.69169e-19,-5.62155e-16,-2.48281e-19,-5.29287e-16,-3.85311e-19,1.65897e-15,-2.14163e-19,-3.04124e-16,-2.16247e-17,-2.38513e-16,-1.77957e-19,4.97476e-17,-5.29769e-19,-8.06579e-16,-1.37963e-19,-6.0172e-16,3.4364e-18,4.46264e-17,-9.69886e-20,7.48557e-16,8.58812e-20,1.19826e-15,-5.32571e-20,4.42196e-17,7.48033e-18,-9.59948e-15,-9.03557e-21,4.08086e-16,1.40535e-17,4.23445e-16,3.48472e-20,8.18626e-16,9.92477e-16,1.65604e-16,7.90473e-20,-3.21995e-17,1.79932e-16,6.16718e-16,1.20993e-19,1.17789e-15,1.80684e-17,-4.2815e-17,1.61952e-19,-4.0242e-15,-8.43463e-16,2.42105e-15,1.25134e-14,1.19139e-15,2.26243e-19,-6.41053e-16
24aca995d,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35352,1.36933,1.38334,1.39554,1.40593,1.41452,1.42131,1.42706,1.4323,1.43705,1.44133,1.44511,1.4484,1.45122,1.45358,1.4555,1.45698,1.45803,1.45868,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892,1.45892
24aca995d,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0176121,0.0158081,0.0140041,0.0122001,0.0103961,0.00859213,0.00678814,0.00574855,0.00524124,0.00475178,0.00427853,0.00377804,0.00329202,0.00281973,0.00236054,0.0019139,0.00147931,0.00105638,0.000644657,0.000243758,7.83752e-09,2.04585e-09,1.21603e-09,8.84981e-10,7.076e-10,5.97498e-10,5.22849e-10,4.69177e-10,4.28956e-10,3.97889e-10,3.73333e-10,3.47598e-10,3.27081e-10,3.10473e-10,2.96885e-10,2.85672e-10,2.76378e-10,2.68653e-10,2.62237e-10,2.56926e-10,2.52563e-10,2.47386e-10,2.43125e-10,2.39665e-10,2.36909e-10,2.34783e-10,2.33225e-10,2.32186e-10,2.31625e-10,2.3151e-10,2.31815e-10,2.31539e-10,2.31699e-10,2.32276e-10,2.33254e-10,2.34624e-10,2.36377e-10,2.38513e-10,2.41031e-10,2.43933e-10,2.4723e-10,2.50153e-10,2.53496e-10,2.5727e-10,2.61491e-10,2.66182e-10,2.71368e-10,2.77079e-10,2.83351e-10,2.90228e-10,2.58897e-19,-4.66083e-17,-8.26708e-17,-2.04737e-22,-4.34015e-19,1.73971e-21,1.36036e-18,-1.7828e-22,-2.49381e-19,-3.58766e-17,1.39639e-16,-1.48323e-22,4.0793e-20,-1.28857e-16,-1.16748e-17,-1.0574e-22,-4.93411e-19,-3.55423e-17,-1.09768e-17,-7.76107e-23,2.22658e-16,4.57468e-21,-2.32075e-16,-4.42817e-23,3.62599e-20,2.3309e-16,-1.01095e-16,-4.53702e-24,-3.52636e-17,1.1538e-16,-2.08126e-16,3.47843e-23,6.71273e-19,2.06143e-16,-1.64284e-16,6.2371e-23,-2.64036e-20,3.6563e-17,5.81307e-17,9.75555e-23,9.65873e-19,5.62498e-17,-1.10485e-17,1.32536e-22,-3.29985e-18,-2.36178e-17,-1.49981e-16,1.99475e-16,6.34625e-17,2.55584e-19,-9.24922e-17
24aca995d,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24aca995d,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.82 delta_degC/(TtCO2),-5.00038e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.015,377.693,388.172,396.45,403.46,409.852,415.647,420.865,425.472,429.487,432.925,435.804,438.138,439.942,441.23,442.017,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314,442.314
24aca995d,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567287,0.547619,0.529633,0.513118,0.498185,0.484758,0.472586,0.461472,0.451256,0.441819,0.433061,0.4249,0.417267,0.410105,0.403364,0.397002,0.390984,0.385295,0.379939,0.374887,0.37011,0.365583,0.361282,0.357189,0.353284,0.349554,0.345985,0.342564,0.339277,0.336109,0.333054,0.330104,0.327251,0.324492,0.32182,0.319231,0.316719,0.314281,0.311912,0.309607,0.307365,0.305182,0.303054,0.30098,0.298957,0.296982,0.295055,0.293172,0.291332,0.289533,0.287775,0.286054,0.28437,0.282722,0.281107,0.279526,0.277975,0.276455,0.274963,0.273497,0.272055,0.270638,0.269244,0.267873,0.266524,0.265196,0.263889,0.262602,0.261336,0.260087,0.258858,0.257648,0.256454,0.255278,0.254119,0.252976,0.251849,0.250737,0.249641,0.248562,0.247498,0.246449,0.245416,0.244396,0.243391,0.242399,0.24142,0.240455,0.239504,0.238566,0.23764,0.236728,0.235828,0.23494,0.234065,0.2332,0.232347,0.231505,0.230675,0.229856,0.229048,0.228251,0.227464,0.226688,0.225922,0.225165,0.224419,0.223682,0.222954,0.222236,0.221527,0.220828,0.220138,0.219457,0.218784,0.21812,0.217464,0.216816
24aca995d,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.82 delta_degC/(TtCO2),43.478,44.0838,44.6583,45.1881,45.6668,46.0927,46.4669,46.7921,47.0719,47.31,47.5104,47.4615,47.3881,47.2932,47.1795,47.0495,46.9055,46.9676,47.179,47.3973,47.6224,47.8192,48.0221,48.2313,48.4466,48.6678,48.8947,49.1274,49.3654,49.6088,49.8913,50.1186,50.3453,50.5714,50.7969,51.0217,51.2459,51.4693,51.6919,51.9137,52.1347,52.5038,52.8716,53.238,53.6031,53.967,54.3297,54.6913,55.0519,55.4114,55.7699,56.1631,56.5549,56.9452,57.3343,57.7221,58.1088,58.4944,58.8789,59.2625,59.6451,60.0165,60.3864,60.755,61.1223,61.4884,61.8534,62.2174,62.5804,62.9425,63.3037,63.7833,64.2619,64.7393,65.2158,65.6914,66.1663,66.6403,67.1137,67.5865,68.0586,68.5302,69.0013,69.4718,69.942,70.4116,70.8809,71.3498,71.8183,72.2865,72.7543,73.1261,73.4986,73.8716,74.245,74.6188,74.9928,75.367,75.7414,76.1157,76.4902,76.7693,77.0493,77.3301,77.6113,77.8931,78.1752,78.4575,78.7401,79.0228,79.3056,79.4934,79.6821,79.8715,80.0614,80.2518,80.4425,80.6335,80.8247,81.016,81.2074,81.3041,81.4016,81.4997,81.5983,81.6974,81.7968,81.8965,81.9963,82.0963,82.1963
24aca995d,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
24aca995d,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27822,7.01042,6.39176,5.79486,5.21772,4.60737,4.01466,3.4387,2.87871,2.33402,1.80404,1.28826,0.786167,0.297265,9.55795e-06,2.49494e-06,1.48297e-06,1.07924e-06,8.62927e-07,7.28656e-07,6.3762e-07,5.72167e-07,5.23116e-07,4.8523e-07,4.55284e-07,4.239e-07,3.98879e-07,3.78626e-07,3.62055e-07,3.48381e-07,3.37047e-07,3.27625e-07,3.19801e-07,3.13325e-07,3.08004e-07,3.0169e-07,2.96494e-07,2.92274e-07,2.88913e-07,2.8632e-07,2.84421e-07,2.83153e-07,2.82469e-07,2.82329e-07,2.82702e-07,2.82365e-07,2.82559e-07,2.83263e-07,2.84457e-07,2.86127e-07,2.88265e-07,2.9087e-07,2.9394e-07,2.9748e-07,3.015e-07,3.05065e-07,3.09142e-07,3.13744e-07,3.18891e-07,3.24612e-07,3.30936e-07,3.37901e-07,3.4555e-07,3.53936e-07,3.15728e-16,-4.69169e-19,-5.62155e-16,-2.48281e-19,-5.29287e-16,-3.85311e-19,1.65897e-15,-2.14163e-19,-3.04124e-16,-2.16247e-17,-2.38513e-16,-1.77957e-19,4.97476e-17,-5.29769e-19,-8.06579e-16,-1.37963e-19,-6.0172e-16,3.4364e-18,4.46264e-17,-9.69886e-20,7.48557e-16,8.58812e-20,1.19826e-15,-5.32571e-20,4.42196e-17,7.48033e-18,-9.59948e-15,-9.03557e-21,4.08086e-16,1.40535e-17,4.23445e-16,3.48472e-20,8.18626e-16,9.92477e-16,1.65604e-16,7.90473e-20,-3.21995e-17,1.79932e-16,6.16718e-16,1.20993e-19,1.17789e-15,1.80684e-17,-4.2815e-17,1.61952e-19,-4.0242e-15,-8.43463e-16,2.42105e-15,1.25134e-14,1.19139e-15,2.26243e-19,-6.41053e-16
24aca995d,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.82 delta_degC/(TtCO2),5.68929e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.562403,0.62565,0.68946,0.753693,0.818229,0.882963,0.910147,0.911892,0.91379,0.915767,0.919572,0.923294,0.926896,0.930348,0.933628,0.936719,0.939609,0.94229,0.944759,0.941033,0.927951,0.915614,0.903947,0.89289,0.882386,0.872387,0.862851,0.853741,0.845024,0.836669,0.82864,0.820904,0.813441,0.806236,0.799269,0.792531,0.786004,0.77968,0.773545,0.76759,0.761804,0.756176,0.7507,0.745367,0.74017,0.735105,0.730164,0.725341,0.720634,0.716035,0.711541,0.707147,0.702852,0.698651,0.694538,0.690511,0.686569,0.682705,0.678918,0.675206,0.671561,0.667981,0.664461,0.660998,0.657594,0.654244,0.65095,0.647707,0.644515,0.641372,0.638278,0.63523,0.632228,0.629271,0.626356,0.623484,0.620652,0.617861,0.615108,0.612393,0.609717,0.607081,0.604482,0.601921,0.599396,0.596905,0.59445,0.592028,0.589638,0.587281,0.584957,0.582666,0.580406,0.578178,0.57598,0.573811,0.571673,0.569562,0.567478,0.565422,0.563394,0.561394,0.559421,0.557473,0.555552,0.553656,0.551785,0.549938,0.548114,0.546314,0.544536,0.542782,0.541052,0.539344,0.537658,0.535996,0.534353,0.532731,0.531128,0.529546
