ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
255986a57,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.8781,34.6781,32.4781,30.2781,28.1744,27.8854,27.6001,27.3159,26.8768,26.4423,26.0111,25.5824,25.1556,24.7303,24.3061,23.8829,23.4606,23.039,22.5717,22.1053,21.6399,21.1757,20.7127,20.2511,19.791,19.3327,18.8761,18.4214,17.8767,17.3366,16.8013,16.2711,15.7461,15.2263,14.7119,14.203,13.6997,13.2021,12.6781,12.1555,11.6346,11.1157,10.5991,10.0852,9.57413,9.06634,8.56196,8.06119,7.51098,6.96313,6.41811,5.87618,5.3377,4.803,4.27235,3.74597,3.22419,2.70713,2.13525,1.56796,1.00573,0.448799,0.000713342,0.000120327,6.94078e-05,5.06127e-05,4.09414e-05,3.51273e-05,3.08181e-05,2.78932e-05,2.58218e-05,2.43179e-05,2.3214e-05,2.24048e-05,2.18224e-05,2.142e-05,2.11661e-05,-2.37554e-12,-2.3776e-12,-2.36856e-12,-2.34947e-12,-2.32133e-12,-2.2851e-12,-2.2416e-12,-2.19163e-12,-2.13587e-12,-2.07502e-12,-2.00965e-12,-1.92749e-12,-1.84328e-12,-1.75742e-12,-1.67025e-12,-1.5821e-12,-1.49326e-12,-1.40399e-12,-1.31453e-12,-1.22511e-12,-1.13591e-12,-1.03949e-12,-9.4439e-13,-8.50742e-13,-7.58645e-13,-6.68208e-13,-5.79526e-13,-4.92664e-13,-4.07722e-13,-3.24765e-13,-2.43857e-13,-1.60251e-13,-7.92381e-14,-8.7428e-16,7.47907e-14,1.47716e-13,2.17849e-13,2.85134e-13,3.49519e-13,4.10947e-13,4.6936e-13,5.27877e-13,5.83001e-13,6.34659e-13,6.82769e-13,7.27246e-13,7.67997e-13,8.04911e-13,8.37879e-13,8.66769e-13,8.91474e-13
255986a57,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29536,1.31822,1.34085,1.36325,1.38529,1.40697,1.4283,1.44928,1.46991,1.49019,1.51012,1.5297,1.54894,1.56783,1.58634,1.60447,1.62221,1.63958,1.65656,1.67317,1.68939,1.70525,1.72073,1.73583,1.75049,1.76471,1.77848,1.79183,1.80474,1.81722,1.82929,1.84093,1.85217,1.86299,1.87339,1.88336,1.8929,1.90201,1.9107,1.91897,1.92682,1.93426,1.94128,1.94789,1.95405,1.95976,1.96502,1.96984,1.97422,1.97815,1.98166,1.98473,1.98737,1.98959,1.99134,1.99263,1.99345,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382,1.99382
255986a57,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023103,0.022866,0.0226321,0.022399,0.022039,0.0216827,0.0213291,0.0209776,0.0206276,0.0202788,0.019931,0.019584,0.0192377,0.018892,0.0185088,0.0181264,0.0177448,0.0173641,0.0169844,0.0166059,0.0162287,0.0158528,0.0154784,0.0151056,0.0146589,0.014216,0.0137771,0.0133423,0.0129118,0.0124856,0.0120638,0.0116465,0.0112338,0.0108257,0.0103961,0.00996753,0.00954034,0.00911486,0.00869123,0.00826984,0.00785079,0.00743439,0.0070208,0.00661018,0.006159,0.00570977,0.00526285,0.00481847,0.00437691,0.00393846,0.00350332,0.00307169,0.00264383,0.00221984,0.00175091,0.00128573,0.000824697,0.000368015,5.8494e-07,9.8668e-08,5.69144e-08,4.15024e-08,3.3572e-08,2.88044e-08,2.52708e-08,2.28724e-08,2.11739e-08,1.99407e-08,1.90355e-08,1.83719e-08,1.78943e-08,1.75644e-08,1.73562e-08,-1.85984e-15,-2.11917e-15,-2.07616e-15,-1.65201e-15,-2.03743e-15,-1.78568e-15,-1.97205e-15,-1.89548e-15,-1.44127e-15,-1.79986e-15,-1.74625e-15,-1.64328e-15,-1.57423e-15,-1.28178e-15,-1.39675e-15,-1.32446e-15,-1.02957e-15,-1.14282e-15,-1.29151e-15,-9.60533e-16,-8.8739e-16,-1.03037e-15,-4.72703e-16,-8.40001e-16,-7.28884e-16,-4.32681e-16,-5.46408e-16,-5.10779e-16,-1.47886e-16,-3.37504e-16,-1.35161e-17,-3.89048e-16,-6.49753e-17,-7.1691e-19,2.83373e-16,1.56726e-16,-7.81063e-18,2.69408e-16,1.35758e-16,6.30218e-16,2.34027e-16,5.04056e-16,3.27213e-16,6.27215e-16,4.4462e-16,7.03136e-16,7.7215e-16,5.44777e-16,6.07409e-16,6.31099e-16,8.73401e-16
255986a57,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255986a57,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),-2.6871e-13,41.278,80.3561,117.234,151.912,184.39,214.668,242.843,270.728,298.328,325.644,352.521,378.963,404.974,430.557,455.713,480.443,504.749,528.632,552.092,575.131,597.703,619.809,641.448,662.624,683.337,703.588,723.379,742.712,761.588,780.009,797.886,815.222,832.024,848.295,864.041,879.267,893.979,908.182,921.882,935.084,947.762,959.918,971.552,982.668,993.267,1003.35,1012.93,1021.99,1030.55,1038.62,1046.13,1053.09,1059.51,1065.38,1070.72,1075.52,1079.8,1083.54,1086.77,1089.47,1091.61,1093.18,1094.18,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63,1094.63
255986a57,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736894,0.704005,0.675734,0.651018,0.629092,0.609532,0.591911,0.575906,0.561265,0.547792,0.535327,0.523743,0.512932,0.502808,0.493285,0.484309,0.475827,0.467792,0.460163,0.452906,0.445991,0.43939,0.433078,0.427035,0.421239,0.415682,0.410349,0.405225,0.400295,0.395549,0.390973,0.386559,0.382297,0.378178,0.374185,0.370305,0.366532,0.362864,0.359293,0.355818,0.352432,0.349135,0.345922,0.342789,0.33973,0.33674,0.33382,0.330964,0.328172,0.325442,0.322771,0.320158,0.317602,0.3151,0.312648,0.310245,0.307892,0.305585,0.303327,0.301131,0.298995,0.296914,0.294886,0.29291,0.29098,0.289095,0.28725,0.285445,0.283678,0.281948,0.280254,0.278593,0.276966,0.27537,0.273805,0.272269,0.270762,0.269283,0.26783,0.266404,0.265001,0.263624,0.262269,0.260938,0.259629,0.258343,0.257079,0.255838,0.254616,0.253415,0.252233,0.25107,0.249926,0.2488,0.247692,0.246602,0.245529,0.244474,0.243435,0.242412,0.241405,0.240413,0.239436,0.238473,0.237525,0.236592,0.235673,0.234767,0.233875,0.232997,0.23213,0.231277,0.230435,0.229606,0.228788,0.227982,0.227188,0.226405,0.225633,0.224874,0.224123,0.223384,0.222654,0.221934
255986a57,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,44.1155,44.7351,45.3318,45.9034,46.4494,46.9705,47.4721,48.0363,48.5944,49.1473,49.4436,49.7366,50.0268,50.3148,50.601,50.8859,51.1696,51.4526,51.7351,52.0171,52.265,52.5124,52.7596,53.0068,53.254,53.5015,53.7493,53.9974,54.246,54.495,54.6069,54.7191,54.8319,54.9453,55.0593,55.1741,55.2898,55.4063,55.5238,55.6421,55.9186,56.1948,56.471,56.7473,57.0238,57.3008,57.5782,57.8563,58.135,58.4146,58.728,59.0418,59.3559,59.6706,59.986,60.3021,60.6191,60.9371,61.2561,61.5763,61.882,62.1885,62.4958,62.804,63.1175,63.4503,63.7834,64.1168,64.4504,64.7844,65.2413,65.698,66.1545,66.6108,67.067,67.5231,67.9791,68.4351,68.8911,69.3471,69.8031,70.259,70.715,71.171,71.627,72.083,72.539,72.9951,73.4511,73.9071,74.2673,74.6285,74.9906,75.3534,75.7169,76.081,76.4455,76.8103,77.1755,77.5409,77.8111,78.0824,78.3547,78.6277,78.9014,79.1757,79.4504,79.7255,80.0009,80.2765,80.4572,80.6389,80.8214,81.0047,81.1886,81.373,81.5578,81.7429,81.9283,82.1138,82.2046,82.2963,82.3888,82.4819,82.5756,82.6698,82.7643,82.8591,82.9541,83.0493
255986a57,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
255986a57,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.8781,34.6781,32.4781,30.2781,28.1744,27.8854,27.6001,27.3159,26.8768,26.4423,26.0111,25.5824,25.1556,24.7303,24.3061,23.8829,23.4606,23.039,22.5717,22.1053,21.6399,21.1757,20.7127,20.2511,19.791,19.3327,18.8761,18.4214,17.8767,17.3366,16.8013,16.2711,15.7461,15.2263,14.7119,14.203,13.6997,13.2021,12.6781,12.1555,11.6346,11.1157,10.5991,10.0852,9.57413,9.06634,8.56196,8.06119,7.51098,6.96313,6.41811,5.87618,5.3377,4.803,4.27235,3.74597,3.22419,2.70713,2.13525,1.56796,1.00573,0.448799,0.000713342,0.000120327,6.94078e-05,5.06127e-05,4.09414e-05,3.51273e-05,3.08181e-05,2.78932e-05,2.58218e-05,2.43179e-05,2.3214e-05,2.24048e-05,2.18224e-05,2.142e-05,2.11661e-05,-2.37554e-12,-2.3776e-12,-2.36856e-12,-2.34947e-12,-2.32133e-12,-2.2851e-12,-2.2416e-12,-2.19163e-12,-2.13587e-12,-2.07502e-12,-2.00965e-12,-1.92749e-12,-1.84328e-12,-1.75742e-12,-1.67025e-12,-1.5821e-12,-1.49326e-12,-1.40399e-12,-1.31453e-12,-1.22511e-12,-1.13591e-12,-1.03949e-12,-9.4439e-13,-8.50742e-13,-7.58645e-13,-6.68208e-13,-5.79526e-13,-4.92664e-13,-4.07722e-13,-3.24765e-13,-2.43857e-13,-1.60251e-13,-7.92381e-14,-8.7428e-16,7.47907e-14,1.47716e-13,2.17849e-13,2.85134e-13,3.49519e-13,4.10947e-13,4.6936e-13,5.27877e-13,5.83001e-13,6.34659e-13,6.82769e-13,7.27246e-13,7.67997e-13,8.04911e-13,8.37879e-13,8.66769e-13,8.91474e-13
255986a57,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),3.06733e-34,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.117738,0.119933,0.122269,0.124709,0.127399,0.130153,0.132957,0.135795,0.138658,0.141536,0.144421,0.147307,0.150188,0.153059,0.15623,0.159385,0.162519,0.16563,0.168712,0.171764,0.174781,0.177762,0.180704,0.183606,0.186912,0.190179,0.193404,0.196584,0.199718,0.202802,0.205835,0.208816,0.211742,0.214615,0.218075,0.221479,0.224823,0.228106,0.231324,0.234476,0.237559,0.240572,0.243514,0.246383,0.24971,0.252964,0.256143,0.259245,0.262269,0.265212,0.268073,0.270852,0.273547,0.276158,0.279209,0.282177,0.285059,0.287854,0.289659,0.287567,0.285527,0.283541,0.281604,0.279717,0.277874,0.276074,0.274312,0.272588,0.270901,0.269249,0.267631,0.266046,0.264492,0.262968,0.261473,0.260006,0.258567,0.257155,0.255767,0.254405,0.253066,0.25175,0.250457,0.249185,0.247935,0.246708,0.245501,0.244315,0.243148,0.242001,0.240873,0.239762,0.238669,0.237594,0.236536,0.235495,0.234471,0.233463,0.232471,0.231494,0.230533,0.229585,0.228652,0.227732,0.226827,0.225936,0.225058,0.224193,0.223342,0.222503,0.221676,0.22086,0.220056,0.219264,0.218483,0.217714,0.216955,0.216208,0.215471,0.214745,0.214029,0.213323,0.212626,0.211938
