ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
27fff015f,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,25.2632,25.0507,24.7093,24.3825,24.0679,23.7636,23.4685,23.1813,22.9015,22.6283,22.3612,22.0998,21.7984,21.5025,21.2121,20.9269,20.6468,20.3717,20.1016,19.8363,19.5757,19.3197,18.9787,18.6444,18.3168,17.9958,17.6815,17.3737,17.0723,16.7773,16.4886,16.2061,15.9101,15.6176,15.3286,15.0435,14.7623,14.4853,14.2125,13.9441,13.6802,13.4207,13.1224,12.8279,12.5378,12.252,11.9708,11.6946,11.4233,11.1572,10.8964,10.6411,10.3393,10.0431,9.75304,9.46929,9.1921,8.92168,8.65844,8.40244,8.15392,7.91314,7.64536,7.38429,7.13021,6.88358,6.64494,6.4146,6.19313,4.39997,2.19999,2.6058e-19,1.32995e-19,1.3154e-19,1.30527e-19,1.2997e-19,1.29692e-19,1.29831e-19,1.30476e-19,1.31729e-19,1.33492e-19,1.35419e-19,1.39186e-19,1.43303e-19,1.47938e-19,1.5281e-19,1.57613e-19,1.6258e-19,1.68055e-19,1.73863e-19,1.79558e-19,1.85176e-19,1.92529e-19,2.00241e-19,2.07727e-19,2.14994e-19,2.2262e-19,2.30554e-19,2.38193e-19,2.45544e-19,2.53269e-19,2.61264e-19,2.69819e-19,2.78098e-19,2.869e-19,2.95747e-19,3.03813e-19,3.11889e-19,3.20452e-19,3.28651e-19,3.36097e-19,3.43906e-19,3.53037e-19,3.61491e-19,3.69555e-19,3.78473e-19,3.87515e-19,3.96232e-19,4.06331e-19,4.19579e-19,4.4018e-19,-1.25068e-13
27fff015f,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21966,1.23018,1.24056,1.2508,1.26091,1.27089,1.28074,1.29048,1.3001,1.3096,1.31899,1.32828,1.33743,1.34646,1.35537,1.36416,1.37283,1.38139,1.38983,1.39816,1.40638,1.4145,1.42247,1.4303,1.43799,1.44555,1.45298,1.46027,1.46744,1.47449,1.48142,1.48822,1.4949,1.50146,1.5079,1.51422,1.52042,1.5265,1.53247,1.53833,1.54408,1.54971,1.55522,1.56061,1.56588,1.57102,1.57605,1.58096,1.58576,1.59045,1.59502,1.59949,1.60383,1.60805,1.61215,1.61613,1.61999,1.62373,1.62737,1.6309,1.63432,1.63765,1.64086,1.64396,1.64695,1.64985,1.65264,1.65533,1.65793,1.65978,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607
27fff015f,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.0106105,0.0105213,0.0103779,0.0102407,0.0101085,0.00998073,0.00985675,0.00973617,0.00961863,0.00950388,0.0093917,0.00928191,0.00915532,0.00903106,0.00890906,0.00878928,0.00867165,0.00855613,0.00844269,0.00833126,0.0082218,0.00811425,0.00797105,0.00783065,0.00769305,0.00755826,0.00742622,0.00729694,0.00717037,0.00704647,0.00692523,0.00680657,0.00668225,0.00655938,0.00643801,0.00631827,0.00620016,0.00608383,0.00596925,0.00585652,0.00574566,0.0056367,0.00551139,0.00538773,0.00526586,0.00514583,0.00502775,0.00491171,0.00479778,0.00468601,0.0045765,0.00446927,0.00434249,0.0042181,0.00409628,0.0039771,0.00386068,0.00374711,0.00363655,0.00352903,0.00342465,0.00332352,0.00321105,0.0031014,0.00299469,0.00289111,0.00279088,0.00269413,0.00260112,0.00184799,0.000923994,1.09403e-22,5.59071e-23,5.52297e-23,5.48243e-23,5.45753e-23,5.44716e-23,5.45209e-23,5.48215e-23,5.52929e-23,5.60792e-23,5.68641e-23,5.84381e-23,6.02155e-23,6.21168e-23,6.41773e-23,6.61845e-23,6.82974e-23,7.05575e-23,7.30423e-23,7.53746e-23,7.77631e-23,8.08807e-23,8.40942e-23,8.72377e-23,9.02922e-23,9.35074e-23,9.68153e-23,1.00039e-22,1.03091e-22,1.06377e-22,1.0972e-22,2.22045e-16,1.16803e-22,1.20478e-22,1.24195e-22,1.27588e-22,1.30994e-22,1.34566e-22,1.38017e-22,1.41159e-22,1.44427e-22,1.48293e-22,1.51794e-22,1.55185e-22,1.58959e-22,1.62738e-22,1.66396e-22,1.70641e-22,1.76197e-22,1.84873e-22,-2.29039e-16
27fff015f,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27fff015f,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.42 delta_degC/(TtCO2),-5.00045e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,293.888,318.938,343.648,368.03,392.098,415.862,439.33,462.512,485.413,508.041,530.403,552.502,574.301,595.803,617.015,637.942,658.589,678.961,699.062,718.899,738.474,757.794,776.773,795.417,813.734,831.73,849.411,866.785,883.857,900.635,917.123,933.329,949.239,964.857,980.186,995.229,1009.99,1024.48,1038.69,1052.63,1066.31,1079.73,1092.86,1105.68,1118.22,1130.47,1142.44,1154.14,1165.56,1176.72,1187.62,1198.26,1208.6,1218.64,1228.39,1237.86,1247.05,1255.98,1264.63,1273.04,1281.19,1289.1,1296.75,1304.13,1311.26,1318.15,1324.79,1331.21,1337.4,1341.8,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
27fff015f,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.670369,0.644204,0.621392,0.601323,0.583453,0.567381,0.552805,0.539492,0.527255,0.515948,0.505451,0.495664,0.486499,0.477892,0.469786,0.462131,0.454884,0.448008,0.44147,0.435243,0.429301,0.423621,0.418182,0.412976,0.407987,0.403199,0.398599,0.394175,0.389914,0.385807,0.381845,0.378019,0.374313,0.370713,0.367215,0.363815,0.360506,0.357288,0.354153,0.3511,0.348125,0.345225,0.342393,0.339626,0.336922,0.334279,0.331694,0.329166,0.326692,0.324272,0.321903,0.319584,0.317311,0.315083,0.3129,0.31076,0.308662,0.306603,0.304586,0.302606,0.300663,0.298758,0.296884,0.295042,0.293228,0.291443,0.289687,0.287959,0.286259,0.284545,0.282812,0.281061,0.279347,0.277667,0.276023,0.274412,0.272831,0.271282,0.269762,0.268271,0.266807,0.26537,0.263959,0.262575,0.261216,0.259883,0.258573,0.257286,0.256022,0.254779,0.253558,0.252357,0.251176,0.250016,0.248876,0.247755,0.246653,0.245568,0.244501,0.243451,0.242417,0.2414,0.240399,0.239415,0.238445,0.237491,0.236552,0.235628,0.234717,0.23382,0.232936,0.232066,0.231208,0.230364,0.229532,0.228712,0.227905,0.22711,0.226326,0.225554,0.224791,0.224041
27fff015f,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,44.0894,44.6402,45.0971,45.4438,45.6764,45.7984,45.8176,45.7438,46.0841,46.5342,46.7515,46.9681,47.1847,47.4018,47.6197,47.8389,48.0595,48.2818,48.5057,48.7314,48.9245,49.1192,49.3156,49.5137,49.7136,49.9152,50.1187,50.3239,50.5309,50.7395,50.8235,50.9092,50.9966,51.0858,51.1768,51.2696,51.3642,51.4605,51.5586,51.6584,51.894,52.1297,52.3657,52.6021,52.8392,53.077,53.3157,53.5552,53.7959,54.0375,54.3057,54.5743,54.8435,55.1135,55.3843,55.6562,55.9292,56.2035,56.479,56.7559,57.0173,57.2797,57.5432,57.808,58.0741,58.3418,58.611,58.882,59.1546,59.4291,59.808,60.188,60.5692,60.9519,61.3362,61.7223,62.1103,62.2354,62.2781,62.3054,62.7301,63.1578,63.5881,64.021,64.4561,64.8932,65.3323,65.773,66.2153,66.659,67.0133,67.3696,67.7277,68.0873,68.4482,68.8103,69.1734,69.5374,69.9021,70.2674,70.5432,70.8202,71.0983,71.3771,71.6567,71.9369,72.2174,72.4984,72.7796,73.0611,73.2529,73.4456,73.6388,73.8326,74.0267,74.2211,74.4157,74.6105,74.8053,75.0001,75.1053,75.2111,75.3173,75.4239,75.5307,75.6376,75.7447,75.8518,75.9588,76.0658
27fff015f,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
27fff015f,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,25.2632,25.0507,24.7093,24.3825,24.0679,23.7636,23.4685,23.1813,22.9015,22.6283,22.3612,22.0998,21.7984,21.5025,21.2121,20.9269,20.6468,20.3717,20.1016,19.8363,19.5757,19.3197,18.9787,18.6444,18.3168,17.9958,17.6815,17.3737,17.0723,16.7773,16.4886,16.2061,15.9101,15.6176,15.3286,15.0435,14.7623,14.4853,14.2125,13.9441,13.6802,13.4207,13.1224,12.8279,12.5378,12.252,11.9708,11.6946,11.4233,11.1572,10.8964,10.6411,10.3393,10.0431,9.75304,9.46929,9.1921,8.92168,8.65844,8.40244,8.15392,7.91314,7.64536,7.38429,7.13021,6.88358,6.64494,6.4146,6.19313,4.39997,2.19999,2.6058e-19,1.32995e-19,1.3154e-19,1.30527e-19,1.2997e-19,1.29692e-19,1.29831e-19,1.30476e-19,1.31729e-19,1.33492e-19,1.35419e-19,1.39186e-19,1.43303e-19,1.47938e-19,1.5281e-19,1.57613e-19,1.6258e-19,1.68055e-19,1.73863e-19,1.79558e-19,1.85176e-19,1.92529e-19,2.00241e-19,2.07727e-19,2.14994e-19,2.2262e-19,2.30554e-19,2.38193e-19,2.45544e-19,2.53269e-19,2.61264e-19,2.69819e-19,2.78098e-19,2.869e-19,2.95747e-19,3.03813e-19,3.11889e-19,3.20452e-19,3.28651e-19,3.36097e-19,3.43906e-19,3.53037e-19,3.61491e-19,3.69555e-19,3.78473e-19,3.87515e-19,3.96232e-19,4.06331e-19,4.19579e-19,4.4018e-19,-1.25068e-13
27fff015f,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.42 delta_degC/(TtCO2),6.37359e-34,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,0.938187,0.941415,0.946546,0.952371,0.958693,0.965366,0.972278,0.979343,0.986492,0.99367,1.00084,1.00795,1.01695,1.02581,1.0345,1.04302,1.05133,1.05944,1.06733,1.075,1.08244,1.08966,1.09903,1.10814,1.11698,1.12554,1.13382,1.14182,1.14954,1.15698,1.16413,1.17102,1.1812,1.19106,1.2006,1.2098,1.21866,1.22718,1.23537,1.24321,1.25071,1.25787,1.26735,1.27647,1.28521,1.29358,1.30156,1.30917,1.31639,1.32322,1.32967,1.33575,1.34386,1.35156,1.35885,1.36572,1.37216,1.37818,1.38376,1.38891,1.39363,1.39791,1.40402,1.40965,1.41481,1.41948,1.42366,1.42734,1.43051,1.5029,1.59386,1.68537,1.67509,1.66502,1.65516,1.6455,1.63602,1.62673,1.61762,1.60868,1.5999,1.59128,1.58282,1.57452,1.56637,1.55838,1.55052,1.54281,1.53523,1.52777,1.52045,1.51325,1.50617,1.49921,1.49238,1.48565,1.47904,1.47254,1.46614,1.45985,1.45365,1.44755,1.44154,1.43564,1.42983,1.42411,1.41848,1.41293,1.40747,1.40209,1.39679,1.39158,1.38643,1.38137,1.37638,1.37147,1.36662,1.36186,1.35716,1.35252,1.34795,1.34345
