ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
2a9a09dc1,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00267,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.8838,24.257,23.4668,22.6588,21.8304,20.9793,20.1037,19.2018,18.2719,17.3127,16.3225,15.2999,14.194,13.0529,11.8753,10.6599,9.40502,8.10925,6.77099,5.38847,3.95986,2.48319,0.887992,5.14531e-06,1.66438e-06,1.01928e-06,7.47848e-07,5.98473e-07,5.04031e-07,4.38992e-07,3.91524e-07,3.5539e-07,3.25499e-07,3.01693e-07,2.82311e-07,2.66248e-07,2.52737e-07,2.41231e-07,2.31326e-07,2.22722e-07,2.15188e-07,2.08544e-07,2.02406e-07,1.96958e-07,1.92095e-07,1.87736e-07,1.8381e-07,1.80262e-07,1.77044e-07,1.74116e-07,1.71443e-07,1.68998e-07,1.66668e-07,1.64534e-07,1.62575e-07,1.60772e-07,1.5911e-07,1.57576e-07,1.56157e-07,1.54842e-07,1.53622e-07,1.52489e-07,1.514e-07,1.50389e-07,1.49449e-07,1.48573e-07,1.47757e-07,1.46996e-07,1.46286e-07,1.45622e-07,1.45002e-07,-6.01282e-21,3.8667e-16,-5.95215e-21,-7.45885e-15,-5.65195e-21,1.55189e-15,-5.42631e-21,-1.26476e-14,-5.20514e-21,9.37954e-16,-5.0695e-21,-5.77604e-15,-4.82684e-21,-4.0702e-15,-4.56e-21,-9.39848e-15,-4.37208e-21,3.168e-14,-4.20018e-21,5.32144e-15,-3.87185e-21,-2.31343e-15,-3.77088e-21,-1.79133e-14,-3.39167e-21,1.50175e-16,-3.20765e-21,-2.68821e-15,-2.94137e-21,-1.9587e-15,-2.77446e-21,4.10638e-15,-2.49571e-21,-3.36989e-15,-2.20034e-21,-7.31361e-15,-1.94539e-21,-6.84423e-14,-1.70264e-21,1.60486e-15,-1.48861e-21,-4.4665e-15,-1.31772e-21,-2.40447e-15,-1.00833e-21,-1.22484e-14,-7.00671e-22,-8.2332e-15,-4.14178e-22,-2.23043e-16,-9.61154e-15
2a9a09dc1,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00267,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.2195,1.22969,1.23954,1.24906,1.25823,1.26704,1.27548,1.28355,1.29122,1.29849,1.30535,1.31177,1.31773,1.32322,1.3282,1.33268,1.33663,1.34004,1.34288,1.34514,1.34681,1.34785,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
2a9a09dc1,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00267,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.0104512,0.0101879,0.00985605,0.0095167,0.00916877,0.00881132,0.00844355,0.00806474,0.00767421,0.00727132,0.00685544,0.00642596,0.00596147,0.00548222,0.00498764,0.00447714,0.00395011,0.00340589,0.00284382,0.00226316,0.00166314,0.00104294,0.000372957,2.16103e-09,6.99039e-10,4.28099e-10,3.14096e-10,2.51359e-10,2.11693e-10,1.84377e-10,1.6444e-10,1.49264e-10,1.3671e-10,1.26711e-10,1.18571e-10,1.11824e-10,1.0615e-10,1.01317e-10,9.71568e-11,9.35434e-11,9.03791e-11,8.75882e-11,8.50109e-11,8.27223e-11,8.06799e-11,7.88492e-11,7.72002e-11,7.57103e-11,7.43585e-11,7.31284e-11,7.20062e-11,7.0979e-11,7.00005e-11,6.91045e-11,6.82814e-11,6.75242e-11,6.68263e-11,6.61817e-11,6.55858e-11,6.50335e-11,6.45213e-11,6.40455e-11,6.35883e-11,6.31635e-11,6.27684e-11,6.24005e-11,6.20579e-11,6.17383e-11,6.14402e-11,6.11613e-11,6.09008e-11,-2.52512e-24,-2.55677e-24,-2.5381e-24,-2.39144e-24,-2.44598e-24,1.4998e-19,-2.3844e-24,-1.99027e-24,-2.31513e-24,1.49981e-19,-2.28241e-24,-2.27388e-24,-2.19476e-24,-2.12635e-24,-2.09368e-24,-1.79328e-24,-2.03481e-24,-7.61951e-18,-1.95749e-24,-1.31206e-24,-1.79084e-24,-2.22195e-16,-1.70851e-24,-2.19834e-24,-1.50517e-24,2.21895e-16,-1.3831e-24,-2.21563e-24,-1.23167e-24,2.72328e-18,-1.15295e-24,-1.44901e-24,-1.05029e-24,-1.01067e-24,-9.50569e-25,-7.65307e-25,-8.85974e-25,7.61951e-18,-8.53e-25,-3.07195e-24,-8.39318e-25,-2.72328e-18,-8.30735e-25,-3.85173e-24,-7.35225e-25,-7.30902e-25,-6.49666e-25,-4.01303e-25,-5.52079e-25,-5.44656e-18,-3.10507e-17
2a9a09dc1,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00267,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2a9a09dc1,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00267,1,0.42 delta_degC/(TtCO2),-4.99915e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,293.508,317.765,341.232,363.891,385.721,406.701,426.804,446.006,464.278,481.591,497.913,513.213,527.407,540.46,552.335,562.995,572.4,580.509,587.28,592.669,596.629,599.112,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
2a9a09dc1,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00267,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.669919,0.643044,0.619368,0.598342,0.579459,0.562344,0.546708,0.532327,0.519024,0.506654,0.495101,0.484268,0.474065,0.464431,0.455308,0.446647,0.438404,0.430543,0.42303,0.415838,0.408941,0.402315,0.395942,0.389889,0.384215,0.37888,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
2a9a09dc1,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00267,1,0.42 delta_degC/(TtCO2),43.478,44.1346,44.774,45.3911,45.9833,46.5502,47.0922,47.6105,48.1063,48.6492,49.206,49.5053,49.8001,50.0908,50.3778,50.6613,50.9416,51.2188,51.493,51.7643,52.0325,52.263,52.4899,52.7131,52.9325,53.148,53.3594,53.5664,53.7688,53.9663,54.1586,54.2088,54.3163,54.4969,54.6778,54.859,55.0405,55.2222,55.4042,55.5863,55.7686,56.1111,56.4529,56.7941,57.1346,57.4747,57.8144,58.1536,58.4925,58.8311,59.1693,59.5436,59.917,60.2897,60.6616,61.033,61.4037,61.774,62.1439,62.5133,62.8823,63.2378,63.5923,63.946,64.2989,64.6512,65.003,65.3541,65.7048,66.0551,66.405,66.8803,67.3548,67.8286,68.3018,68.7745,69.2466,69.7183,70.1896,70.6606,71.1313,71.6017,72.0719,72.5419,73.0116,73.4812,73.9506,74.4199,74.889,75.358,75.8269,76.1973,76.5687,76.9409,77.3137,77.6872,78.0611,78.4354,78.8101,79.185,79.5601,79.8375,80.116,80.3954,80.6756,80.9564,81.2378,81.5196,81.8018,82.0842,82.3669,82.5521,82.7384,82.9256,83.1135,83.302,83.491,83.6804,83.8701,84.0601,84.2503,84.3432,84.4371,84.5318,84.6272,84.7231,84.8195,84.9162,85.0133,85.1106,85.208
2a9a09dc1,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00267,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
2a9a09dc1,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00267,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.8838,24.257,23.4668,22.6588,21.8304,20.9793,20.1037,19.2018,18.2719,17.3127,16.3225,15.2999,14.194,13.0529,11.8753,10.6599,9.40502,8.10925,6.77099,5.38847,3.95986,2.48319,0.887992,5.14531e-06,1.66438e-06,1.01928e-06,7.47848e-07,5.98473e-07,5.04031e-07,4.38992e-07,3.91524e-07,3.5539e-07,3.25499e-07,3.01693e-07,2.82311e-07,2.66248e-07,2.52737e-07,2.41231e-07,2.31326e-07,2.22722e-07,2.15188e-07,2.08544e-07,2.02406e-07,1.96958e-07,1.92095e-07,1.87736e-07,1.8381e-07,1.80262e-07,1.77044e-07,1.74116e-07,1.71443e-07,1.68998e-07,1.66668e-07,1.64534e-07,1.62575e-07,1.60772e-07,1.5911e-07,1.57576e-07,1.56157e-07,1.54842e-07,1.53622e-07,1.52489e-07,1.514e-07,1.50389e-07,1.49449e-07,1.48573e-07,1.47757e-07,1.46996e-07,1.46286e-07,1.45622e-07,1.45002e-07,-6.01282e-21,-7.85486e-16,-5.95215e-21,-5.56771e-21,-5.65195e-21,-1.64907e-16,-5.42631e-21,-4.47395e-21,-5.20513e-21,1.74512e-16,-5.06949e-21,-5.04938e-21,-4.82684e-21,-6.81912e-16,-4.56e-21,-3.82363e-21,-4.37208e-21,-7.60894e-15,-4.20018e-21,-2.71051e-21,-3.87185e-21,2.95704e-17,-3.77088e-21,-4.99707e-21,-3.39167e-21,2.08035e-17,-3.20765e-21,-5.23006e-21,-2.94137e-21,4.61475e-15,-2.77446e-21,-3.46725e-21,-2.49571e-21,2.70716e-15,-2.20034e-21,-1.71004e-21,-1.94539e-21,-1.36952e-14,-1.70264e-21,-6.89653e-21,-1.4886e-21,-6.19946e-15,-1.31772e-21,-8.46777e-21,-1.00832e-21,-1.02135e-16,-7.00672e-22,-3.76443e-15,-4.14185e-22,-4.01684e-22,-1.04629e-14
2a9a09dc1,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00267,1,0.42 delta_degC/(TtCO2),2.33065e-36,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.154147,0.159539,0.165489,0.171773,0.178382,0.185309,0.192554,0.200119,0.208007,0.216225,0.22478,0.233684,0.243439,0.253587,0.26414,0.275114,0.286527,0.298396,0.310741,0.323586,0.336954,0.350873,0.366245,0.372329,0.36691,0.361815,0.35701,0.352466,0.348159,0.344067,0.340172,0.336457,0.332903,0.329494,0.326217,0.323066,0.32003,0.317103,0.314277,0.311547,0.308906,0.306349,0.303872,0.301467,0.299133,0.296865,0.29466,0.292515,0.290426,0.288392,0.286409,0.284476,0.282589,0.280748,0.278951,0.277195,0.275479,0.273801,0.27216,0.270555,0.268982,0.267443,0.265934,0.264452,0.262997,0.261568,0.260164,0.258784,0.257427,0.256094,0.254782,0.253492,0.252223,0.250973,0.249743,0.248533,0.247341,0.246168,0.245011,0.243872,0.24275,0.241643,0.240553,0.239481,0.238423,0.237382,0.236356,0.235345,0.234349,0.233366,0.232397,0.231442,0.230501,0.229574,0.228659,0.227758,0.22687,0.225993,0.22513,0.224278,0.223437,0.222607,0.221789,0.220983,0.220188,0.219404,0.218631,0.217868,0.217115,0.216372,0.215638,0.214915,0.214201,0.213496,0.212801,0.212116,0.211439,0.210772,0.210113,0.209463,0.20882,0.208186
