ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
411b290dc,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,15.241,14.6944,14.1707,13.6669,13.181,12.7111,12.256,11.8146,11.3379,10.8741,10.4227,9.98337,9.55579,9.13969,8.73485,8.34103,7.95801,7.58558,7.15171,6.73085,6.32291,5.92784,5.54547,5.1757,4.81839,4.47339,4.14058,3.81974,3.43905,3.06773,2.70597,2.35416,2.01234,1.68091,1.35986,1.04946,0.74979,0.460921,0.119875,1.48567e-05,6.06719e-06,3.94248e-06,2.99217e-06,2.45765e-06,2.11813e-06,1.88591e-06,1.71927e-06,1.59576e-06,1.47057e-06,1.37603e-06,1.30361e-06,1.24774e-06,1.20474e-06,1.17205e-06,1.14792e-06,1.13104e-06,1.12051e-06,1.11569e-06,1.10404e-06,1.09814e-06,1.09753e-06,1.10195e-06,1.1113e-06,1.12558e-06,1.14496e-06,1.16967e-06,1.20017e-06,-2.94023e-16,-1.20191e-19,9.9103e-18,-1.06934e-19,-3.48387e-16,-5.18044e-18,-2.41077e-16,-8.32042e-20,3.41124e-16,-1.47638e-17,1.69694e-16,-5.38542e-20,-1.02093e-15,-4.27027e-18,-3.84343e-17,-1.75808e-20,7.25931e-17,6.38983e-18,-3.094e-16,2.0732e-20,-7.37608e-16,-4.64976e-18,2.39248e-16,6.33479e-20,2.62339e-16,1.03319e-17,7.03665e-15,1.06944e-19,8.5817e-16,-5.99369e-18,-6.69581e-16,1.50623e-19,-1.01737e-15,-3.8456e-18,4.70031e-15,1.95183e-19,-1.36786e-17,-7.25174e-17,1.51497e-15,2.37298e-19,-5.37178e-17,7.60055e-17,5.53521e-16,2.79464e-19,-8.68029e-16,-1.04828e-15,-5.39315e-17,1.17237e-14,4.51365e-16,3.56719e-19,4.66564e-16
411b290dc,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30272,1.31331,1.32276,1.33187,1.34065,1.34913,1.3573,1.36518,1.37278,1.38011,1.38713,1.39388,1.40034,1.40653,1.41245,1.41812,1.42354,1.42871,1.43364,1.43834,1.44278,1.44695,1.45087,1.45455,1.45798,1.46119,1.46418,1.46695,1.46952,1.47189,1.47402,1.47592,1.4776,1.47906,1.48031,1.48135,1.48219,1.48284,1.48331,1.4836,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367,1.48367
411b290dc,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0119525,0.0105885,0.00944939,0.00911054,0.00878583,0.0084735,0.00817219,0.00788086,0.0075987,0.00732506,0.00702951,0.00674194,0.00646207,0.00618969,0.00592459,0.0056666,0.00541561,0.00517144,0.00493397,0.00470306,0.00443406,0.00417313,0.0039202,0.00367526,0.00343819,0.00320894,0.0029874,0.0027735,0.00256716,0.00236824,0.00213221,0.00190199,0.0016777,0.00145958,0.00124765,0.00104216,0.000843111,0.000650668,0.00046487,0.000285771,7.43226e-05,9.21115e-09,3.76166e-09,2.44434e-09,1.85514e-09,1.52374e-09,1.31324e-09,1.16926e-09,1.06595e-09,9.89374e-10,9.11755e-10,8.53138e-10,8.08236e-10,7.73599e-10,7.46937e-10,7.2667e-10,7.11713e-10,7.01247e-10,6.94715e-10,6.91726e-10,6.84503e-10,6.80847e-10,6.80468e-10,6.83209e-10,6.89008e-10,6.97861e-10,7.09872e-10,7.25196e-10,7.44103e-10,-1.82294e-19,-1.66741e-21,6.14008e-21,-6.16456e-23,-8.12889e-17,1.51492e-16,-1.49468e-19,-5.09592e-23,2.11497e-19,-1.62261e-16,7.05911e-17,-4.52597e-23,-6.32979e-19,8.10419e-17,-2.38292e-20,-1.03745e-23,-1.51514e-16,7.05021e-17,-7.06777e-17,1.48106e-23,2.21587e-16,-2.22099e-16,7.06342e-17,3.05459e-23,1.6265e-19,8.05211e-17,-1.04848e-16,6.97596e-23,5.32065e-19,6.91433e-18,8.06578e-17,1.00121e-22,-6.30767e-19,-1.51579e-16,8.39871e-17,1.23387e-22,-8.48071e-21,5.25595e-17,-9.6478e-18,1.42578e-22,-5.99321e-17,1.91903e-17,-5.56957e-20,3.99051e-19,-5.38178e-19,1.21894e-16,-6.06923e-17,1.90316e-17,-2.60898e-19,5.40966e-19,7.06348e-17
411b290dc,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
411b290dc,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.62 delta_degC/(TtCO2),-5.00017e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.378,380.073,394.243,407.91,421.091,433.802,446.058,457.873,469.211,480.085,490.507,500.491,510.047,519.186,527.921,536.262,544.22,551.806,558.957,565.688,572.011,577.939,583.485,588.66,593.479,597.952,602.093,605.912,609.351,612.419,615.125,617.479,619.492,621.172,622.532,623.582,624.332,624.793,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912,624.912
411b290dc,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.56749,0.548762,0.53216,0.517285,0.50384,0.491595,0.48037,0.470023,0.460431,0.451504,0.443166,0.435351,0.428002,0.421073,0.414524,0.40832,0.402428,0.396824,0.391484,0.386393,0.381533,0.376887,0.372438,0.368173,0.364079,0.360145,0.356361,0.352717,0.349194,0.345783,0.342476,0.33927,0.336157,0.333137,0.330202,0.32735,0.324577,0.321879,0.319251,0.316696,0.314217,0.311809,0.309469,0.307193,0.304978,0.30282,0.300719,0.29867,0.296672,0.294722,0.292819,0.29096,0.289144,0.287369,0.285633,0.283935,0.282273,0.280645,0.27905,0.277484,0.275947,0.274437,0.272954,0.271496,0.270064,0.268656,0.267272,0.26591,0.26457,0.263252,0.261955,0.260678,0.259421,0.258183,0.256963,0.255763,0.254579,0.253413,0.252264,0.251133,0.250019,0.248922,0.247841,0.246776,0.245726,0.244691,0.243671,0.242665,0.241674,0.240697,0.239734,0.238786,0.23785,0.236928,0.236019,0.235122,0.234237,0.233364,0.232503,0.231655,0.230818,0.229993,0.229179,0.228377,0.227585,0.226803,0.226032,0.225271,0.22452,0.223779,0.223048,0.222327,0.221616,0.220914,0.220221,0.219538,0.218862,0.218196
411b290dc,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.62 delta_degC/(TtCO2),43.478,44.0969,44.6851,45.2292,45.7226,46.1633,46.5525,46.8925,47.1867,47.4388,47.6526,47.6156,47.5532,47.5403,47.7719,48.0064,48.2439,48.4847,48.7289,48.9767,49.2279,49.4482,49.6717,49.8985,50.1285,50.3619,50.5985,50.8384,51.0815,51.3276,51.5768,51.7001,51.8262,51.9549,52.0864,52.2205,52.3573,52.4966,52.6385,52.7829,52.9296,53.2191,53.5097,53.8019,54.0955,54.3909,54.688,54.9869,55.2878,55.5906,55.8953,56.23,56.5918,56.9679,57.3438,57.7196,58.0952,58.4705,58.8456,59.2205,59.5952,59.9593,60.3225,60.6849,61.0465,61.4074,61.7676,62.1272,62.4861,62.8444,63.2022,63.6785,64.1538,64.6284,65.1022,65.5752,66.0477,66.5196,66.9909,67.4617,67.9321,68.402,68.8715,69.3406,69.8093,70.2777,70.7457,71.2134,71.6808,72.1479,72.6147,72.9858,73.3575,73.7298,74.1025,74.4756,74.849,75.2226,75.5964,75.9702,76.3441,76.6229,76.9025,77.1829,77.4639,77.7453,78.0271,78.3092,78.5914,78.8738,79.1563,79.3441,79.5326,79.7219,79.9117,80.102,80.2926,80.4835,80.6746,80.8658,81.0571,81.1538,81.2513,81.3494,81.4481,81.5472,81.6467,81.7463,81.8462,81.9462,82.0463
411b290dc,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
411b290dc,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,15.241,14.6944,14.1707,13.6669,13.181,12.7111,12.256,11.8146,11.3379,10.8741,10.4227,9.98337,9.55579,9.13969,8.73485,8.34103,7.95801,7.58558,7.15171,6.73085,6.32291,5.92784,5.54547,5.1757,4.81839,4.47339,4.14058,3.81974,3.43905,3.06773,2.70597,2.35416,2.01234,1.68091,1.35986,1.04946,0.74979,0.460921,0.119875,1.48567e-05,6.06719e-06,3.94248e-06,2.99217e-06,2.45765e-06,2.11813e-06,1.88591e-06,1.71927e-06,1.59576e-06,1.47057e-06,1.37603e-06,1.30361e-06,1.24774e-06,1.20474e-06,1.17205e-06,1.14792e-06,1.13104e-06,1.12051e-06,1.11569e-06,1.10404e-06,1.09814e-06,1.09753e-06,1.10195e-06,1.1113e-06,1.12558e-06,1.14496e-06,1.16967e-06,1.20017e-06,-2.94023e-16,-1.20191e-19,9.9103e-18,-1.06934e-19,-3.48387e-16,-5.18044e-18,-2.41077e-16,-8.32042e-20,3.41124e-16,-1.47638e-17,1.69694e-16,-5.38542e-20,-1.02093e-15,-4.27027e-18,-3.84343e-17,-1.75808e-20,7.25931e-17,6.38983e-18,-3.094e-16,2.0732e-20,-7.37608e-16,-4.64977e-18,2.39248e-16,6.33479e-20,2.62339e-16,1.03319e-17,7.03665e-15,1.06944e-19,8.5817e-16,-5.99369e-18,-6.69581e-16,1.50623e-19,-1.01737e-15,-3.8456e-18,4.70031e-15,1.95183e-19,-1.36786e-17,-7.25174e-17,1.51497e-15,2.37298e-19,-5.37178e-17,7.60055e-17,5.53521e-16,2.79464e-19,-8.68029e-16,-1.04828e-15,-5.39315e-17,1.17237e-14,4.51365e-16,3.56719e-19,4.66564e-16
411b290dc,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0155092,1,0.62 delta_degC/(TtCO2),1.57334e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.562403,0.625649,0.675733,0.677588,0.679777,0.682185,0.684725,0.687333,0.689959,0.692562,0.696449,0.70022,0.703854,0.707332,0.710642,0.713772,0.716715,0.719465,0.722017,0.724372,0.72811,0.731616,0.734885,0.737915,0.740703,0.743249,0.745553,0.747617,0.749444,0.751037,0.754633,0.757948,0.760981,0.76373,0.766194,0.768373,0.77027,0.771885,0.773223,0.774287,0.776678,0.773489,0.767435,0.761554,0.755838,0.750279,0.744869,0.7396,0.734468,0.729464,0.724583,0.71982,0.715172,0.710633,0.706198,0.701861,0.697622,0.693475,0.689415,0.68544,0.681543,0.67772,0.673965,0.670277,0.666655,0.663094,0.659597,0.656158,0.652777,0.64945,0.646179,0.642959,0.63979,0.636673,0.633602,0.630579,0.6276,0.624667,0.621776,0.618928,0.616122,0.61336,0.610639,0.60796,0.60532,0.602718,0.600154,0.597626,0.595134,0.592678,0.590257,0.587871,0.58552,0.583203,0.580919,0.578665,0.576446,0.574255,0.572093,0.569961,0.567859,0.565787,0.563744,0.561728,0.559741,0.557781,0.555847,0.553938,0.552054,0.550195,0.54836,0.546551,0.544766,0.543005,0.541268,0.539555,0.537862,0.536193,0.534543,0.532915
