ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
430e3553b,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.6876,30.5618,30.4383,30.3143,30.1877,29.8912,29.5955,29.2998,29.0033,28.7054,28.4058,28.104,27.7998,27.4929,27.1831,26.8255,26.4649,26.1012,25.7343,25.364,24.9904,24.6134,24.2327,23.8483,23.46,22.9703,22.4791,21.9863,21.4919,20.9959,20.498,19.9983,19.4964,18.9924,18.486,17.9646,17.4354,16.8984,16.3536,15.8007,15.2398,14.6706,14.093,13.5067,12.9116,12.2597,11.5962,10.921,10.2337,9.5341,8.82188,8.09664,7.35794,6.6054,5.83838,4.99733,4.13972,3.26518,2.37298,1.46246,0.532827,1.36973e-05,4.26885e-06,2.58209e-06,1.878e-06,1.47165e-06,1.22146e-06,1.05216e-06,9.30179e-07,8.38269e-07,7.66646e-07,7.09367e-07,6.62593e-07,6.23749e-07,-4.08129e-19,-4.18952e-19,-4.20849e-19,-4.20953e-19,-4.19285e-19,-4.15595e-19,-4.1073e-19,-4.06055e-19,-4.01733e-19,-3.965e-19,-3.89394e-19,-3.79699e-19,-3.70497e-19,-3.61756e-19,-3.51987e-19,-3.40567e-19,-3.28886e-19,-3.17985e-19,-3.06913e-19,-2.94366e-19,-2.81121e-19,-2.6758e-19,-2.54234e-19,-2.39767e-19,-2.24616e-19,-2.10072e-19,-1.95775e-19,-1.80524e-19,-1.64837e-19,-1.49628e-19,-1.34504e-19,-1.17882e-19,-1.01118e-19,-8.47018e-20,-6.8173e-20,-5.12365e-20,-3.42936e-20,-1.73919e-20,-2.45085e-22,1.70305e-20,3.44622e-20,5.29373e-20,7.15425e-20,9.02878e-20,1.09908e-19,1.30384e-19,1.51435e-19,1.74252e-19,2.00894e-19,2.36017e-19,-8.03045e-15
430e3553b,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27259,1.29765,1.32261,1.34747,1.37222,1.39673,1.421,1.44502,1.46881,1.49235,1.51564,1.53868,1.56148,1.58402,1.60631,1.62831,1.65001,1.67141,1.69252,1.71332,1.73381,1.75399,1.77386,1.79342,1.81265,1.83149,1.84992,1.86795,1.88557,1.90279,1.9196,1.936,1.95199,1.96756,1.98272,1.99745,2.01175,2.0256,2.03901,2.05197,2.06447,2.0765,2.08805,2.09913,2.10971,2.11977,2.12928,2.13823,2.14662,2.15444,2.16168,2.16831,2.17435,2.17976,2.18455,2.18865,2.19204,2.19472,2.19667,2.19787,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983
430e3553b,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.0251638,0.0250607,0.0249594,0.0248577,0.0247539,0.0245108,0.0242683,0.0240258,0.0237827,0.0235384,0.0232928,0.0230453,0.0227958,0.0225442,0.0222901,0.0219969,0.0217012,0.021403,0.0211021,0.0207985,0.0204922,0.020183,0.0198708,0.0195556,0.0192372,0.0188356,0.0184328,0.0180288,0.0176234,0.0172166,0.0168084,0.0163986,0.0159871,0.0155738,0.0151585,0.014731,0.0142971,0.0138567,0.0134099,0.0129566,0.0124966,0.0120299,0.0115562,0.0110755,0.0105875,0.010053,0.00950892,0.00895523,0.00839165,0.00781796,0.00723394,0.00663924,0.00603351,0.00541643,0.00478747,0.00409781,0.00339457,0.00267745,0.00194585,0.00119922,0.000436918,1.12318e-08,3.50046e-09,2.11731e-09,1.53996e-09,1.20675e-09,1.0016e-09,8.62774e-10,7.62747e-10,6.87381e-10,6.28649e-10,5.81681e-10,5.43326e-10,5.11474e-10,-3.34675e-22,-3.43574e-22,-3.45146e-22,-3.45252e-22,-3.43901e-22,-3.409e-22,-3.36932e-22,-3.33119e-22,-3.29597e-22,-3.25322e-22,-3.19517e-22,-3.1159e-22,-3.04071e-22,-2.96913e-22,-2.88927e-22,-2.79587e-22,-2.70024e-22,-2.61106e-22,-2.52043e-22,-2.41786e-22,-2.30941e-22,-2.19857e-22,-2.08937e-22,-1.97087e-22,-1.84692e-22,-1.7278e-22,-1.61078e-22,-1.48599e-22,-1.3575e-22,-1.23299e-22,-1.10926e-22,-9.73106e-23,-8.35832e-23,-7.01441e-23,-5.66177e-23,-4.27425e-23,-2.88701e-23,-1.50337e-23,-9.96891e-25,1.31541e-23,2.74239e-23,4.25533e-23,5.77877e-23,7.31431e-23,8.92024e-23,1.05978e-22,1.23218e-22,1.41906e-22,1.63734e-22,1.92509e-22,1.1525e-16
430e3553b,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
430e3553b,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),-4.9999e-09,41.278,80.3561,117.234,151.912,184.39,215.078,245.64,276.078,306.392,336.58,366.471,396.067,425.366,454.37,483.075,511.481,539.585,567.385,594.878,622.061,648.886,675.351,701.452,727.187,752.551,777.541,802.154,826.387,850.235,873.695,896.666,919.145,941.131,962.623,983.619,1004.12,1024.12,1043.61,1062.6,1081.09,1099.05,1116.49,1133.39,1149.74,1165.54,1180.78,1195.45,1209.55,1223.05,1235.96,1248.22,1259.82,1270.74,1280.98,1290.51,1299.33,1307.43,1314.79,1321.39,1327.23,1332.23,1336.37,1339.63,1342,1343.47,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
430e3553b,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776945,0.742053,0.712123,0.685995,0.662867,0.642121,0.623458,0.606522,0.591043,0.576806,0.56364,0.551405,0.539989,0.529295,0.519246,0.509763,0.500797,0.492299,0.484228,0.476546,0.469218,0.462219,0.455522,0.449103,0.442943,0.43702,0.431329,0.425855,0.420585,0.415504,0.410601,0.405865,0.401286,0.396856,0.392565,0.388396,0.384337,0.38038,0.376524,0.372762,0.369092,0.365508,0.36201,0.358591,0.35525,0.351979,0.348775,0.345635,0.342558,0.339541,0.336582,0.33368,0.330832,0.328038,0.325295,0.322598,0.319948,0.317343,0.314782,0.312264,0.309785,0.307363,0.305011,0.302727,0.300506,0.298344,0.296237,0.294181,0.292175,0.290215,0.288301,0.28643,0.284601,0.282812,0.281061,0.279347,0.277667,0.276023,0.274412,0.272831,0.271282,0.269762,0.268271,0.266807,0.26537,0.263959,0.262575,0.261216,0.259883,0.258573,0.257286,0.256022,0.254779,0.253558,0.252357,0.251176,0.250016,0.248876,0.247755,0.246653,0.245568,0.244501,0.243451,0.242417,0.2414,0.240399,0.239415,0.238445,0.237491,0.236552,0.235628,0.234717,0.23382,0.232936,0.232066,0.231208,0.230364,0.229532,0.228712,0.227905,0.22711,0.226326,0.225554,0.224791,0.224041
430e3553b,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,44.0929,44.6466,45.106,45.4548,45.6891,45.8963,46.3941,46.8829,47.3637,47.8372,48.063,48.2845,48.5023,48.717,48.9289,49.1385,49.3461,49.5519,49.7561,49.9589,50.1261,50.2919,50.4563,50.6196,50.7819,50.9432,51.1036,51.2632,51.4221,51.5801,51.6083,51.6362,51.664,51.6916,51.7193,51.747,51.7749,51.803,51.8314,51.8599,52.0243,52.1866,52.3468,52.5053,52.6621,52.8175,52.9714,53.1241,53.2756,53.4258,53.599,53.7698,53.9385,54.1052,54.2701,54.433,54.5943,54.7537,54.9114,55.0673,55.2033,55.3367,55.4675,55.5959,55.7217,55.8449,56.0558,56.3843,56.7157,57.05,57.4925,57.9368,58.383,58.8307,59.2798,59.7303,60.1819,60.6346,61.0882,61.5427,61.9978,62.4537,62.91,63.3668,63.824,64.2815,64.7393,65.1973,65.6554,66.1136,66.4819,66.8511,67.2209,67.5912,67.9619,68.3329,68.7041,69.0755,69.4469,69.8184,70.1003,70.3828,70.6659,70.9493,71.2329,71.5168,71.8007,72.0846,72.3685,72.6523,72.8468,73.0417,73.2371,73.4327,73.6285,73.8243,74.0202,74.2161,74.4119,74.6075,74.7139,74.8207,74.9278,75.0352,75.1428,75.2504,75.358,75.4655,75.573,75.6803
430e3553b,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
430e3553b,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.6876,30.5618,30.4383,30.3143,30.1877,29.8912,29.5955,29.2998,29.0033,28.7054,28.4058,28.104,27.7998,27.4929,27.1831,26.8255,26.4649,26.1012,25.7343,25.364,24.9904,24.6134,24.2327,23.8483,23.46,22.9703,22.4791,21.9863,21.4919,20.9959,20.498,19.9983,19.4964,18.9924,18.486,17.9646,17.4354,16.8984,16.3536,15.8007,15.2398,14.6706,14.093,13.5067,12.9116,12.2597,11.5962,10.921,10.2337,9.5341,8.82188,8.09664,7.35794,6.6054,5.83838,4.99733,4.13972,3.26518,2.37298,1.46246,0.532827,1.36973e-05,4.26885e-06,2.58209e-06,1.878e-06,1.47165e-06,1.22146e-06,1.05216e-06,9.30179e-07,8.38269e-07,7.66646e-07,7.09367e-07,6.62593e-07,6.23749e-07,-4.08129e-19,-4.18952e-19,-4.20849e-19,-4.20953e-19,-4.19285e-19,-4.15595e-19,-4.1073e-19,-4.06055e-19,-4.01733e-19,-3.965e-19,-3.89394e-19,-3.79699e-19,-3.70497e-19,-3.61756e-19,-3.51987e-19,-3.40567e-19,-3.28886e-19,-3.17985e-19,-3.06913e-19,-2.94366e-19,-2.81121e-19,-2.6758e-19,-2.54234e-19,-2.39767e-19,-2.24616e-19,-2.10072e-19,-1.95775e-19,-1.80524e-19,-1.64837e-19,-1.49628e-19,-1.34504e-19,-1.17882e-19,-1.01118e-19,-8.47018e-20,-6.8173e-20,-5.12365e-20,-3.42936e-20,-1.73919e-20,-2.45085e-22,1.70305e-20,3.44622e-20,5.29373e-20,7.15425e-20,9.02878e-20,1.09908e-19,1.30384e-19,1.51435e-19,1.74252e-19,2.00894e-19,2.36017e-19,-8.03045e-15
430e3553b,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),5.59596e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.564619,0.573357,0.582958,0.593235,0.604056,0.616064,0.628464,0.641192,0.654197,0.667441,0.680888,0.694514,0.708296,0.722217,0.736263,0.751907,0.76766,0.783509,0.799446,0.815462,0.831553,0.847715,0.863944,0.880242,0.896609,0.915138,0.933759,0.952467,0.971262,0.99014,1.0091,1.02816,1.0473,1.06653,1.08588,1.10877,1.13182,1.15503,1.1784,1.20194,1.22565,1.24954,1.2736,1.29786,1.32233,1.34998,1.37792,1.40615,1.43469,1.46354,1.49273,1.52226,1.55217,1.58247,1.61319,1.64751,1.68239,1.71784,1.75389,1.79059,1.82796,1.84309,1.82899,1.81529,1.80197,1.78901,1.77638,1.76405,1.75201,1.74027,1.72878,1.71757,1.7066,1.69587,1.68537,1.67509,1.66502,1.65516,1.6455,1.63602,1.62673,1.61762,1.60868,1.5999,1.59128,1.58282,1.57452,1.56637,1.55838,1.55052,1.54281,1.53523,1.52777,1.52045,1.51325,1.50617,1.49921,1.49238,1.48565,1.47904,1.47254,1.46614,1.45985,1.45365,1.44755,1.44154,1.43564,1.42983,1.42411,1.41848,1.41293,1.40747,1.40209,1.39679,1.39158,1.38643,1.38137,1.37638,1.37147,1.36662,1.36186,1.35716,1.35252,1.34795,1.34345
