ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
440194b82,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.7307,24.1198,23.3511,22.5665,21.763,20.938,20.0892,19.2145,18.3116,17.3785,16.413,15.4128,14.3229,13.1928,12.02,10.8013,9.53344,8.21268,6.83484,5.3951,3.88798,2.30717,0.57865,2.13883e-06,8.85679e-07,5.69673e-07,4.25833e-07,3.43686e-07,2.90617e-07,2.53558e-07,2.2625e-07,2.05318e-07,1.87702e-07,1.73652e-07,1.62205e-07,1.52716e-07,1.44735e-07,1.37941e-07,1.32097e-07,1.27026e-07,1.2259e-07,1.18684e-07,1.15058e-07,1.11845e-07,1.08985e-07,1.06427e-07,1.0413e-07,1.0206e-07,1.00188e-07,9.84894e-08,9.69449e-08,9.55364e-08,9.4191e-08,9.29631e-08,9.18403e-08,9.08118e-08,8.98679e-08,8.90004e-08,8.82021e-08,8.74663e-08,8.67873e-08,8.61601e-08,8.55531e-08,8.49929e-08,8.44754e-08,8.3997e-08,8.35544e-08,8.31447e-08,8.27652e-08,8.24135e-08,8.20874e-08,-5.14684e-19,-5.05687e-19,-4.95772e-19,-4.85673e-19,-4.75254e-19,-4.65016e-19,-4.54934e-19,-4.44847e-19,-4.34817e-19,-4.24768e-19,-4.1508e-19,-4.05029e-19,-3.94747e-19,-3.84741e-19,-3.75041e-19,-3.65302e-19,-3.55021e-19,-3.44978e-19,-3.35367e-19,-3.25664e-19,-3.1531e-19,-3.05285e-19,-2.95653e-19,-2.85537e-19,-2.75129e-19,-2.6512e-19,-2.55228e-19,-2.44985e-19,-2.34678e-19,-2.24651e-19,-2.14502e-19,-2.04064e-19,-1.9382e-19,-1.83625e-19,-1.73297e-19,-1.62828e-19,-1.52564e-19,-1.4226e-19,-1.31777e-19,-1.21434e-19,-1.10967e-19,-1.00537e-19,-9.00375e-20,-7.96015e-20,-6.91397e-20,-5.8654e-20,-4.80501e-20,-3.75746e-20,-2.68981e-20,-1.63677e-20,-1.72677e-12
440194b82,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0197889,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33678,1.35655,1.3757,1.39421,1.41205,1.42922,1.44569,1.46145,1.47647,1.49072,1.50417,1.51681,1.52856,1.53938,1.54923,1.55809,1.56591,1.57264,1.57825,1.58267,1.58586,1.58775,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822
440194b82,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0197889,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0202792,0.0197782,0.0191479,0.0185045,0.0178456,0.0171692,0.0164732,0.0157559,0.0150155,0.0142504,0.0134586,0.0126385,0.0117447,0.0108181,0.00985638,0.00885706,0.00781742,0.0067344,0.00560457,0.00442398,0.00318814,0.00189188,0.000474493,1.75384e-09,7.26257e-10,4.67132e-10,3.49184e-10,2.81822e-10,2.38306e-10,2.07917e-10,1.85525e-10,1.68361e-10,1.53915e-10,1.42395e-10,1.33008e-10,1.25227e-10,1.18682e-10,1.13112e-10,1.0832e-10,1.04161e-10,1.00524e-10,9.7321e-11,9.43474e-11,9.17131e-11,8.93677e-11,8.72701e-11,8.53864e-11,8.36888e-11,8.21539e-11,8.07614e-11,7.94946e-11,7.834e-11,7.72364e-11,7.62299e-11,7.53089e-11,7.44657e-11,7.36915e-11,7.29805e-11,7.23257e-11,7.17224e-11,7.11655e-11,7.06512e-11,7.01534e-11,6.96943e-11,6.92697e-11,6.88776e-11,6.85148e-11,6.81786e-11,6.78674e-11,6.75789e-11,6.73119e-11,-4.22043e-22,-4.14664e-22,-4.06532e-22,-3.98253e-22,-3.8971e-22,-3.81313e-22,-3.73047e-22,-3.64775e-22,-3.56549e-22,-3.48312e-22,-3.40366e-22,-3.32124e-22,-3.23694e-22,-3.15486e-22,-3.07535e-22,-2.99548e-22,-2.91118e-22,-2.82882e-22,-2.75001e-22,-2.67046e-22,-2.58554e-22,-2.50334e-22,-2.42437e-22,-2.3414e-22,-2.25607e-22,-2.17397e-22,-2.09287e-22,-2.00888e-22,-1.92436e-22,-1.84213e-22,-1.75893e-22,-1.67332e-22,-1.58933e-22,-1.50573e-22,-1.42104e-22,-1.33519e-22,-1.25103e-22,-1.16653e-22,-1.08057e-22,-9.95761e-23,-9.09932e-23,-8.24402e-23,-2.22045e-16,-6.52738e-23,-5.66945e-23,-4.80967e-23,-3.94013e-23,-3.08116e-23,-2.20563e-23,-1.3422e-23,2.22045e-16
440194b82,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0197889,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
440194b82,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0197889,1,0.82 delta_degC/(TtCO2),-5.0009e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,293.355,317.475,340.826,363.393,385.156,406.094,426.183,445.397,463.709,481.087,497.5,512.913,527.236,540.429,552.449,563.25,572.784,580.996,587.831,593.226,597.114,599.421,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
440194b82,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0197889,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.669738,0.642759,0.619031,0.597987,0.579111,0.562017,0.546413,0.532071,0.51881,0.506484,0.494975,0.484185,0.474022,0.464424,0.455332,0.446695,0.438472,0.430622,0.423113,0.415916,0.409003,0.402352,0.395942,0.389889,0.384215,0.37888,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
440194b82,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,44.0636,44.5872,45.016,45.3342,45.5381,45.6319,45.6237,45.5237,45.6756,45.9753,46.0349,46.0838,46.1223,46.1506,46.1688,46.1767,46.1741,46.1606,46.1358,46.0991,46.0135,45.9138,45.7994,45.669,45.5216,45.3558,45.1699,44.962,44.7299,44.471,44.0741,44.1028,44.3457,44.5912,44.8392,45.0893,45.3413,45.5949,45.8497,46.1056,46.4926,46.8798,47.2672,47.6545,48.0418,48.4289,48.8157,49.202,49.5879,49.9731,50.3925,50.8107,51.2277,51.6434,52.0579,52.4711,52.8831,53.2939,53.7033,54.1116,54.5138,54.9142,55.3128,55.7097,56.1049,56.4985,56.8904,57.2809,57.6699,58.0574,58.5514,59.0439,59.535,60.0247,60.5131,61.0002,61.4862,61.971,62.4548,62.9375,63.4193,63.9001,64.38,64.859,65.3372,65.8146,66.2912,66.767,67.2421,67.7165,68.0983,68.4802,68.8621,69.244,69.6258,70.0074,70.3888,70.7699,71.1508,71.5313,71.82,72.109,72.3983,72.6878,72.9774,73.2669,73.5564,73.8457,74.1349,74.4239,74.6214,74.8193,75.0176,75.216,75.4146,75.6132,75.8119,76.0104,76.2088,76.4071,76.514,76.6214,76.7292,76.8371,76.9452,77.0534,77.1616,77.2698,77.3779,77.4858
440194b82,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0197889,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
440194b82,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.7307,24.1198,23.3511,22.5665,21.763,20.938,20.0892,19.2145,18.3116,17.3785,16.413,15.4128,14.3229,13.1928,12.02,10.8013,9.53344,8.21268,6.83484,5.3951,3.88798,2.30717,0.57865,2.13883e-06,8.85679e-07,5.69673e-07,4.25833e-07,3.43686e-07,2.90617e-07,2.53558e-07,2.2625e-07,2.05318e-07,1.87702e-07,1.73652e-07,1.62205e-07,1.52716e-07,1.44735e-07,1.37941e-07,1.32097e-07,1.27026e-07,1.2259e-07,1.18684e-07,1.15058e-07,1.11845e-07,1.08985e-07,1.06427e-07,1.0413e-07,1.0206e-07,1.00188e-07,9.84894e-08,9.69449e-08,9.55364e-08,9.4191e-08,9.29631e-08,9.18403e-08,9.08118e-08,8.98679e-08,8.90004e-08,8.82021e-08,8.74663e-08,8.67873e-08,8.61601e-08,8.55531e-08,8.49929e-08,8.44754e-08,8.3997e-08,8.35544e-08,8.31447e-08,8.27652e-08,8.24135e-08,8.20874e-08,-5.14684e-19,-5.05687e-19,-4.95772e-19,-4.85673e-19,-4.75254e-19,-4.65016e-19,-4.54934e-19,-4.44847e-19,-4.34817e-19,-4.24768e-19,-4.1508e-19,-4.05029e-19,-3.94747e-19,-3.84741e-19,-3.75041e-19,-3.65302e-19,-3.55021e-19,-3.44978e-19,-3.35367e-19,-3.25664e-19,-3.1531e-19,-3.05285e-19,-2.95653e-19,-2.85537e-19,-2.75129e-19,-2.6512e-19,-2.55228e-19,-2.44985e-19,-2.34678e-19,-2.24651e-19,-2.14502e-19,-2.04064e-19,-1.9382e-19,-1.83625e-19,-1.73297e-19,-1.62828e-19,-1.52564e-19,-1.4226e-19,-1.31777e-19,-1.21434e-19,-1.10967e-19,-1.00537e-19,-9.00375e-20,-7.96015e-20,-6.91397e-20,-5.8654e-20,-4.80501e-20,-3.75746e-20,-2.68981e-20,-1.63677e-20,-1.72677e-12
440194b82,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0197889,1,0.82 delta_degC/(TtCO2),9.28504e-34,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,0.980058,1.01227,1.04772,1.08522,1.1247,1.16615,1.20958,1.25501,1.30251,1.35217,1.40406,1.45833,1.51841,1.58133,1.64728,1.71649,1.78921,1.86575,1.94645,2.03172,2.12204,2.21795,2.32557,2.33796,2.30393,2.27194,2.24176,2.21323,2.18618,2.16049,2.13603,2.11271,2.09039,2.06898,2.04841,2.02862,2.00956,1.99118,1.97343,1.95629,1.93971,1.92365,1.90809,1.893,1.87834,1.8641,1.85025,1.83678,1.82367,1.81089,1.79844,1.7863,1.77446,1.76289,1.75161,1.74058,1.72981,1.71927,1.70897,1.69889,1.68901,1.67935,1.66987,1.66057,1.65143,1.64246,1.63364,1.62497,1.61646,1.60808,1.59985,1.59174,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
