ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155
446806d1d,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.6309,30.4575,30.2802,30.096,29.9026,29.534,29.1599,28.779,28.3904,27.9934,27.5872,27.1711,26.7447,26.3074,25.8586,25.3526,24.8344,24.3037,23.76,23.2028,22.6318,22.0464,21.4462,20.8306,20.1991,19.459,18.7055,17.9383,17.1569,16.3609,15.5497,14.7229,13.8797,13.0197,12.1421,11.1999,10.2294,9.22976,8.20007,7.13909,6.04587,4.91892,3.75698,2.55844,1.32156,-0.0289003,-1.42686,-2.87456,-4.37474,-5.93032,-7.54454,-9.22119,-10.9645,-12.7792,-14.6708,-16.7287,-18.8813,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-8.38132e-07,-5.01231e-07,-4.17653e-07,-3.79462e-07,-3.5845e-07,-3.46025e-07,-3.38601e-07,-3.3438e-07,-3.3236e-07,-3.31921e-07,-3.30862e-07,-3.30816e-07,-3.31564e-07,-3.32941e-07,-3.34832e-07,-3.37147e-07,-3.39812e-07,-3.42774e-07,-3.45985e-07,-3.4941e-07,-3.51597e-07,-3.5398e-07,-3.56537e-07,-3.59249e-07,-3.62102e-07,-3.65087e-07,-3.68191e-07,-3.71411e-07,-3.74742e-07,-3.78179e-07,-3.80497e-07,-3.82946e-07,-3.85532e-07,-3.88261e-07,-3.91137e-07,-3.9417e-07,-3.9737e-07,-4.00749e-07,-4.04322e-07,-4.08104e-07,-4.11009e-07,-4.14177e-07,-4.17632e-07,-4.21406e-07,-4.25529e-07,-4.30038e-07,-4.34978e-07,-4.40396e-07,-4.46352e-07,-4.52909e-07,-4.59027e-07,-4.65892e-07,-4.73603e-07,-4.82283e-07,-4.92074e-07
446806d1d,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18653,1.19933,1.21204,1.22468,1.23724,1.24965,1.26189,1.27398,1.2859,1.29766,1.30925,1.32066,1.33189,1.34294,1.3538,1.36445,1.37488,1.38509,1.39507,1.40481,1.41432,1.42358,1.43259,1.44133,1.44982,1.45799,1.46585,1.47338,1.48059,1.48746,1.49399,1.50017,1.506,1.51147,1.51657,1.52127,1.52557,1.52945,1.53289,1.53589,1.53843,1.5405,1.54207,1.54315,1.5437,1.54369,1.54309,1.54188,1.54005,1.53756,1.53439,1.53051,1.52591,1.52054,1.51438,1.50735,1.49942,1.49102,1.48262,1.47422,1.46582,1.45742,1.44902,1.44062,1.43222,1.42382,1.41542,1.40702,1.39862,1.39022,1.38182,1.37342,1.36502,1.35662,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
446806d1d,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.012865,0.0127922,0.0127177,0.0126403,0.0125591,0.0124043,0.0122471,0.0120872,0.011924,0.0117572,0.0115866,0.0114119,0.0112328,0.0110491,0.0108606,0.0106481,0.0104305,0.0102076,0.00997919,0.00974518,0.00950534,0.00925948,0.0090074,0.00874885,0.00848362,0.00817278,0.00785633,0.00753409,0.00720591,0.00687158,0.00653089,0.00618361,0.00582949,0.00546829,0.00509969,0.00470395,0.00429636,0.0038765,0.00344403,0.00299842,0.00253927,0.00206594,0.00157793,0.00107454,0.000555054,-1.21381e-05,-0.00059928,-0.00120732,-0.00183739,-0.00249073,-0.00316871,-0.0038729,-0.0046051,-0.00536726,-0.00616173,-0.00702604,-0.00793015,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-3.52015e-10,-2.10517e-10,-1.75414e-10,-1.59374e-10,-1.50549e-10,-1.4533e-10,-1.42212e-10,-1.4044e-10,-1.39591e-10,-1.39407e-10,-1.38962e-10,-1.38943e-10,-1.39257e-10,-1.39835e-10,-1.4063e-10,-1.41602e-10,-1.42721e-10,-1.43965e-10,-1.45314e-10,-1.46752e-10,-1.47671e-10,-1.48672e-10,-1.49746e-10,-1.50884e-10,-1.52083e-10,-1.53337e-10,-1.5464e-10,-1.55993e-10,-1.57392e-10,-1.58835e-10,-1.59809e-10,-1.60837e-10,-1.61924e-10,-1.6307e-10,-1.64277e-10,-1.65551e-10,-1.66895e-10,-1.68315e-10,-1.69815e-10,-1.71404e-10,-1.72624e-10,-1.73954e-10,-1.75406e-10,-1.76991e-10,-1.78722e-10,-1.80616e-10,-1.82691e-10,-1.84966e-10,-1.87468e-10,-1.90222e-10,-1.92791e-10,-1.95675e-10,-1.98913e-10,-2.02559e-10,-2.06671e-10
446806d1d,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
446806d1d,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),-4.99967e-09,41.278,80.3561,117.234,151.912,184.39,215.021,245.479,275.759,305.855,335.758,365.292,394.451,423.23,451.621,479.614,507.201,534.373,561.117,587.425,613.283,638.636,663.47,687.774,711.534,734.737,757.368,779.415,800.861,821.692,841.891,861.35,880.055,897.994,915.151,931.511,947.061,961.784,975.664,988.683,1000.83,1012.03,1022.25,1031.48,1039.68,1046.82,1052.87,1057.79,1061.55,1064.1,1065.43,1065.4,1063.97,1061.1,1056.72,1050.79,1043.25,1034.02,1023.06,1010.28,995.61,978.881,960,940,920,900,880,860,840,820,800,780,760,740,720,700,680,660,640,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
446806d1d,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776814,0.741751,0.711627,0.68529,0.661942,0.640972,0.622081,0.604915,0.589203,0.574732,0.561331,0.54886,0.537206,0.526274,0.515986,0.506263,0.497056,0.488317,0.480004,0.472078,0.464506,0.457262,0.450318,0.443653,0.437245,0.431074,0.425136,0.419413,0.413893,0.408562,0.403408,0.39842,0.393588,0.388904,0.384359,0.379933,0.375614,0.371395,0.367275,0.363246,0.359307,0.355453,0.351681,0.347987,0.344369,0.340817,0.337328,0.333902,0.330534,0.327223,0.323967,0.320763,0.31761,0.314506,0.311448,0.308432,0.305455,0.302556,0.299766,0.297077,0.294482,0.291978,0.289557,0.287214,0.284946,0.282746,0.28061,0.278533,0.276513,0.274548,0.272634,0.270769,0.268951,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005,0.21735,0.216703,0.216065,0.215435,0.214814
446806d1d,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),43.478,44.1266,44.7152,45.21,45.5944,45.8638,46.0947,46.6209,47.1388,47.649,48.1522,48.4061,48.6553,48.9004,49.1418,49.3796,49.6142,49.8457,50.0742,50.2998,50.5225,50.7071,50.8882,51.0659,51.24,51.4107,51.5776,51.7408,51.9001,52.0552,52.2061,52.222,52.2337,52.2411,52.244,52.2424,52.236,52.2249,52.2086,52.187,52.1599,52.255,52.3397,52.4139,52.4773,52.5294,52.57,52.5985,52.6145,52.6173,52.6064,52.5965,52.5686,52.5219,52.4553,52.3678,52.2581,52.1249,51.9665,51.7813,51.567,51.2956,50.9881,51.007,51.3844,51.7687,52.1593,52.5555,52.957,53.3632,53.7735,54.2956,54.821,55.3493,55.8802,56.4134,56.9486,57.4856,58.024,58.5637,59.1045,63.9867,64.6119,65.2265,65.8313,66.4271,67.0144,67.5941,68.1665,68.7323,69.2919,69.7513,70.206,70.6563,71.1023,71.5444,71.9828,72.4178,72.8496,73.2784,73.7043,74.0332,74.3602,74.6854,75.0088,75.3306,75.6508,75.9694,76.2865,76.6022,76.9165,77.1351,77.3532,77.5706,77.7873,78.0034,78.2187,78.4334,78.6473,78.8605,79.0731,79.1905,79.308,79.4253,79.5425,79.6594,79.7761,79.8924,80.0084,80.1241,80.2393,80.2598,80.2805,80.3014,80.3223,80.3433
446806d1d,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582,8.43582,8.43582,8.43582,8.43582,8.43582
446806d1d,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.6309,30.4575,30.2802,30.096,29.9026,29.534,29.1599,28.779,28.3904,27.9934,27.5872,27.1711,26.7447,26.3074,25.8586,25.3526,24.8344,24.3037,23.76,23.2028,22.6318,22.0464,21.4462,20.8306,20.1991,19.459,18.7055,17.9383,17.1569,16.3609,15.5497,14.7229,13.8797,13.0197,12.1421,11.1999,10.2294,9.22976,8.20007,7.13909,6.04587,4.91892,3.75698,2.55844,1.32156,-0.0289003,-1.42686,-2.87456,-4.37474,-5.93032,-7.54454,-9.22119,-10.9645,-12.7792,-14.6708,-16.7287,-18.8813,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-8.38132e-07,-5.01231e-07,-4.17653e-07,-3.79462e-07,-3.5845e-07,-3.46025e-07,-3.38601e-07,-3.3438e-07,-3.3236e-07,-3.31921e-07,-3.30862e-07,-3.30816e-07,-3.31564e-07,-3.32941e-07,-3.34832e-07,-3.37147e-07,-3.39812e-07,-3.42774e-07,-3.45985e-07,-3.4941e-07,-3.51597e-07,-3.5398e-07,-3.56537e-07,-3.59249e-07,-3.62102e-07,-3.65087e-07,-3.68191e-07,-3.71411e-07,-3.74742e-07,-3.78179e-07,-3.80497e-07,-3.82946e-07,-3.85532e-07,-3.88261e-07,-3.91137e-07,-3.9417e-07,-3.9737e-07,-4.00749e-07,-4.04322e-07,-4.08104e-07,-4.11009e-07,-4.14177e-07,-4.17632e-07,-4.21406e-07,-4.25529e-07,-4.30038e-07,-4.34978e-07,-4.40396e-07,-4.46352e-07,-4.52909e-07,-4.59027e-07,-4.65892e-07,-4.73603e-07,-4.82283e-07,-4.92074e-07
446806d1d,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,1,0.42 delta_degC/(TtCO2),6.58162e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.568435,0.580131,0.592924,0.606645,0.621178,0.637203,0.653923,0.671288,0.689263,0.707821,0.726943,0.746617,0.766836,0.787598,0.808903,0.832407,0.856494,0.881168,0.906438,0.932317,0.958817,0.985954,1.01375,1.04223,1.07141,1.10383,1.13707,1.17115,1.20609,1.24193,1.2787,1.31643,1.35516,1.39493,1.43579,1.48268,1.53096,1.58071,1.63199,1.68486,1.73941,1.79573,1.85391,1.91406,1.9763,2.04563,2.1176,2.19238,2.27018,2.3512,2.43569,2.52394,2.61627,2.71305,2.81471,2.92801,3.04776,3.09222,3.05631,3.02165,2.98817,2.9558,2.92447,2.89412,2.8647,2.83376,2.80374,2.77456,2.7462,2.71862,2.69178,2.66565,2.64019,2.61538,2.59119,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726,1.30333,1.29945,1.29563,1.29185,1.28812
