ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
456f6d8cb,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.611,18.904,18.2096,17.525,16.848,16.1771,15.5109,14.8484,14.1889,13.5318,12.8264,12.1225,11.4196,10.7177,10.0164,9.3155,8.61474,7.91384,7.21251,6.51044,5.73212,4.95578,4.18117,3.40804,2.63602,1.86476,1.09383,0.32279,3.63746e-05,1.40821e-05,8.69727e-06,6.47703e-06,5.27258e-06,4.52186e-06,4.01287e-06,3.64817e-06,3.37644e-06,3.16829e-06,3.00552e-06,2.87636e-06,2.75786e-06,2.66291e-06,2.58648e-06,2.52489e-06,2.47539e-06,2.43591e-06,2.40486e-06,2.38096e-06,2.36322e-06,2.35082e-06,2.33759e-06,2.32918e-06,2.32504e-06,2.3247e-06,2.32776e-06,2.3339e-06,2.34285e-06,2.35436e-06,2.36822e-06,2.38425e-06,2.39948e-06,2.41681e-06,2.4361e-06,2.45723e-06,2.48008e-06,2.50455e-06,2.53056e-06,2.55801e-06,2.58685e-06,-4.96956e-20,-1.3894e-10,-4.67559e-20,-9.78263e-11,-4.32694e-20,1.3147e-10,-3.9619e-20,-8.75378e-11,-3.61828e-20,2.26103e-10,-3.27216e-20,5.12722e-12,-2.91893e-20,1.99009e-11,-2.57822e-20,9.77909e-11,-2.23711e-20,-4.42773e-11,-1.90956e-20,-3.16394e-10,-1.57601e-20,-9.73951e-10,-1.21764e-20,-2.03256e-10,-8.17711e-21,-3.57297e-10,-4.29382e-21,-1.51669e-10,-3.75902e-22,6.4114e-11,3.42658e-21,7.76184e-11,7.22507e-21,-1.32019e-10,1.07663e-20,-1.09465e-10,1.40287e-20,9.72104e-11,1.73075e-20,-1.81892e-10,2.04942e-20,-5.29756e-10,2.36835e-20,-2.4207e-11,2.68354e-20,-1.69757e-10,2.99469e-20,1.87178e-12,3.30942e-20,-2.98023e-08,-2.49906e-10
456f6d8cb,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21899,1.22801,1.23625,1.24419,1.25184,1.2592,1.26627,1.27307,1.27958,1.28582,1.29178,1.29746,1.30285,1.30794,1.31274,1.31724,1.32144,1.32536,1.32897,1.3323,1.33533,1.33806,1.34047,1.34255,1.34431,1.34574,1.34685,1.34763,1.34809,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
456f6d8cb,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.00994481,0.00902082,0.00823661,0.00793966,0.00764803,0.00736051,0.00707617,0.00679437,0.00651456,0.00623633,0.00595935,0.00568335,0.00538709,0.00509143,0.00479625,0.00450144,0.0042069,0.00391251,0.00361819,0.00332381,0.00302926,0.00273438,0.00240749,0.00208143,0.00175609,0.00143138,0.00110713,0.000783198,0.000459409,0.000135572,1.52773e-08,5.91449e-09,3.65285e-09,2.72035e-09,2.21448e-09,1.89918e-09,1.68541e-09,1.53223e-09,1.41811e-09,1.33068e-09,1.26232e-09,1.20807e-09,1.1583e-09,1.11842e-09,1.08632e-09,1.06045e-09,1.03966e-09,1.02308e-09,1.01004e-09,1e-09,9.92551e-10,9.87343e-10,9.81788e-10,9.78256e-10,9.76517e-10,9.76373e-10,9.7766e-10,9.80239e-10,9.83997e-10,9.8883e-10,9.9465e-10,1.00138e-09,1.00778e-09,1.01506e-09,1.02316e-09,1.03204e-09,1.04163e-09,1.05191e-09,1.06283e-09,1.07437e-09,1.08648e-09,-2.08691e-23,5.12398e-15,-1.2256e-23,-1.57209e-23,-1.45794e-23,-1.23741e-20,-3.45924e-24,-1.86528e-19,-7.98527e-24,-1.72262e-20,6.51484e-24,-4.87473e-24,-1.4285e-24,-3.1215e-15,1.13641e-24,-3.73034e-19,5.05484e-24,-5.39222e-21,5.35952e-24,-3.73029e-19,1.14517e-23,9.08646e-14,-1.23055e-23,1.20219e-23,2.01413e-23,-4.87977e-14,3.96333e-23,1.91211e-23,2.95571e-23,8.5068e-21,2.3672e-23,7.46096e-19,3.89043e-23,2.94695e-17,4.71723e-23,3.29552e-23,4.68795e-23,2.26428e-18,7.37451e-23,3.9013e-23,5.4383e-23,1.06742e-19,2.83234e-23,4.5016e-23,6.18449e-23,-1.46739e-19,8.32397e-23,6.39155e-16,6.91255e-23,-8.60058e-12,9.6606e-17
456f6d8cb,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
456f6d8cb,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),-5.0008e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.392,352.296,370.505,388.03,404.878,421.055,436.566,451.415,465.604,479.135,491.962,504.084,515.504,526.222,536.238,545.554,554.168,562.082,569.295,575.805,581.537,586.493,590.674,594.082,596.718,598.583,599.677,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
456f6d8cb,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612996,0.59033,0.570403,0.552667,0.53672,0.522259,0.509051,0.49691,0.48569,0.475272,0.46555,0.456448,0.447899,0.439845,0.432236,0.425029,0.41819,0.411685,0.405485,0.399567,0.393908,0.388496,0.383312,0.378341,0.373566,0.368974,0.364554,0.360294,0.356215,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
456f6d8cb,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),43.478,44.0899,44.6839,45.255,45.8011,46.3219,46.8182,47.2914,47.7433,48.1758,48.5906,48.7745,49.0332,49.2903,49.5465,49.8021,50.0576,50.3134,50.5696,50.8266,51.0845,51.3094,51.5352,51.7621,51.9902,52.2196,52.4506,52.6831,52.9172,53.1529,53.3904,53.495,53.6011,53.709,53.8187,53.9303,54.0437,54.1591,54.2764,54.4251,54.5959,54.9242,55.2523,55.5803,55.908,56.2357,56.5634,56.8909,57.2184,57.5459,57.8734,58.2363,58.5986,58.9603,59.3216,59.6824,60.0429,60.403,60.7628,61.1223,61.4816,61.8277,62.173,62.5176,62.8615,63.2049,63.5478,63.8902,64.2322,64.5739,64.9152,65.3792,65.8425,66.3051,66.7671,67.2287,67.6898,68.1505,68.6108,69.0708,69.5306,69.9901,70.4495,70.9086,71.3675,71.8263,72.2849,72.7434,73.2018,73.6601,74.1182,74.4802,74.843,75.2067,75.5711,75.936,76.3014,76.6672,77.0333,77.3997,77.7663,78.0373,78.3095,78.5825,78.8564,79.1308,79.4058,79.6812,79.957,80.233,80.5093,80.6904,80.8724,81.0554,81.239,81.4232,81.6079,81.793,81.9785,82.1641,82.35,82.4408,82.5326,82.6251,82.7183,82.8121,82.9063,83.0009,83.0957,83.1908,83.286
456f6d8cb,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
456f6d8cb,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.611,18.904,18.2096,17.525,16.848,16.1771,15.5109,14.8484,14.1889,13.5318,12.8264,12.1225,11.4196,10.7177,10.0164,9.3155,8.61474,7.91384,7.21251,6.51044,5.73212,4.95578,4.18117,3.40804,2.63602,1.86476,1.09383,0.32279,3.63746e-05,1.40821e-05,8.69727e-06,6.47703e-06,5.27258e-06,4.52186e-06,4.01287e-06,3.64817e-06,3.37644e-06,3.16829e-06,3.00552e-06,2.87636e-06,2.75786e-06,2.66291e-06,2.58648e-06,2.52489e-06,2.47539e-06,2.43591e-06,2.40486e-06,2.38096e-06,2.36322e-06,2.35082e-06,2.33759e-06,2.32918e-06,2.32504e-06,2.3247e-06,2.32776e-06,2.3339e-06,2.34285e-06,2.35436e-06,2.36822e-06,2.38425e-06,2.39948e-06,2.41681e-06,2.4361e-06,2.45723e-06,2.48008e-06,2.50455e-06,2.53056e-06,2.55801e-06,2.58685e-06,-4.96956e-20,5.21844e-12,-4.67559e-20,-4.14848e-20,-4.32694e-20,3.25087e-11,-3.9619e-20,-4.44123e-16,-3.61828e-20,3.44775e-11,-3.27216e-20,-2.64675e-20,-2.91893e-20,1.63521e-11,-2.57822e-20,-8.88198e-16,-2.23711e-20,8.56171e-11,-1.90956e-20,-8.88191e-16,-1.57601e-20,-3.88684e-10,-1.21764e-20,-5.09389e-21,-8.17701e-21,-7.03909e-11,-4.29377e-21,1.27102e-21,-3.75919e-22,1.21734e-10,3.42659e-21,1.77636e-15,7.22508e-21,1.20789e-10,1.07663e-20,1.30712e-20,1.40287e-20,6.3333e-11,1.73075e-20,1.9374e-20,2.04942e-20,-1.73282e-10,2.36835e-20,2.55025e-20,2.68354e-20,7.02198e-11,2.99469e-20,1.3603e-12,3.30926e-20,-2.04776e-08,-4.74979e-10
456f6d8cb,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),1.42544e-34,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.195454,0.215224,0.218906,0.222737,0.226678,0.2307,0.234782,0.238906,0.243059,0.24723,0.251412,0.256115,0.260818,0.265516,0.270204,0.274879,0.279538,0.28418,0.288803,0.293407,0.297995,0.30329,0.308577,0.313858,0.319132,0.324401,0.329667,0.334932,0.340201,0.340171,0.336457,0.332903,0.329493,0.326217,0.323066,0.32003,0.317103,0.314277,0.311547,0.308906,0.306349,0.303872,0.301467,0.299133,0.296865,0.29466,0.292515,0.290426,0.288392,0.286409,0.284476,0.282589,0.280748,0.278951,0.277195,0.275479,0.273801,0.27216,0.270555,0.268982,0.267443,0.265934,0.264452,0.262997,0.261568,0.260164,0.258784,0.257427,0.256094,0.254782,0.253492,0.252223,0.250973,0.249743,0.248533,0.247341,0.246168,0.245011,0.243872,0.24275,0.241643,0.240553,0.239481,0.238423,0.237382,0.236356,0.235345,0.234349,0.233366,0.232397,0.231442,0.230501,0.229574,0.228659,0.227758,0.22687,0.225993,0.22513,0.224278,0.223437,0.222607,0.221789,0.220983,0.220188,0.219404,0.218631,0.217868,0.217115,0.216372,0.215638,0.214915,0.214201,0.213496,0.212801,0.212116,0.211439,0.210772,0.210113,0.209463,0.20882,0.208186
