ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
5099d8852,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,15.5383,15.0075,14.4988,14.0095,13.5377,13.0816,12.6403,12.2126,11.7472,11.2948,10.855,10.4277,10.0125,9.60934,9.21798,8.83824,8.46998,8.11302,7.69608,7.29302,6.90379,6.52839,6.16669,5.81862,5.48406,5.16289,4.85503,4.56023,4.19791,3.84626,3.50554,3.17617,2.85825,2.55222,2.25812,1.97625,1.70672,1.44963,1.13809,0.838883,0.552462,0.279113,0.019171,-0.227025,-0.459246,-0.677256,-0.880747,-1.0696,-1.3049,-1.52484,-1.72887,-1.91669,-2.08792,-2.24223,-2.3791,-2.49836,-2.59964,-2.68256,-2.81395,-2.92628,-3.01904,-3.09152,-3.14293,-3.17269,-3.17997,-3.16418,-3.12452,-3.06034,-2.97075,-2.8551,-2.71242,-2.54185,-2.34264,-2.11364,-1.85404,-1.56261,-1.23837,-0.880015,-0.401297,-3.84685e-05,-6.65284e-06,-3.60616e-06,-2.45873e-06,-1.85756e-06,-1.48809e-06,-1.23841e-06,-1.05863e-06,-9.23199e-07,-8.06773e-07,-7.16144e-07,-6.43698e-07,-5.8454e-07,-5.35397e-07,-4.93988e-07,-4.58665e-07,-4.28238e-07,-4.01797e-07,-3.78648e-07,-3.56402e-07,-3.36902e-07,-3.19715e-07,-3.04496e-07,-2.90967e-07,-2.78906e-07,-2.68131e-07,-2.58494e-07,-2.4987e-07,-2.42159e-07,-2.3454e-07,-2.27771e-07,-2.21782e-07,-2.16517e-07,-2.1193e-07,-2.07987e-07,-2.04665e-07,-2.01948e-07,-1.99833e-07,-1.98325e-07
5099d8852,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35352,1.36933,1.38334,1.39608,1.40838,1.42027,1.43176,1.44286,1.45359,1.46395,1.47397,1.4836,1.49286,1.50176,1.51031,1.51852,1.5264,1.53396,1.54121,1.54816,1.55481,1.56112,1.5671,1.57276,1.57811,1.58317,1.58794,1.59244,1.59667,1.60065,1.60439,1.60784,1.61099,1.61386,1.61647,1.61881,1.6209,1.62276,1.62438,1.62578,1.62697,1.6279,1.62859,1.62904,1.62927,1.62928,1.6291,1.62872,1.62817,1.62744,1.62657,1.6255,1.62425,1.62283,1.62126,1.61954,1.61771,1.61576,1.61371,1.61157,1.60937,1.60707,1.60467,1.60219,1.59966,1.59708,1.59448,1.59187,1.58928,1.58671,1.5842,1.58177,1.57943,1.5772,1.57512,1.5732,1.57146,1.56994,1.56866,1.56765,1.56693,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666,1.5666
5099d8852,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0176121,0.0158081,0.0140041,0.0127414,0.0123062,0.011889,0.0114878,0.0111009,0.0107269,0.010365,0.0100143,0.00963268,0.0092617,0.00890112,0.00855071,0.00821028,0.00787966,0.00755874,0.00724736,0.00694538,0.00665268,0.00631079,0.00598028,0.00566111,0.00535328,0.00505668,0.00477127,0.00449693,0.00423357,0.00398112,0.00373939,0.00344229,0.00315393,0.00287454,0.00260446,0.00234377,0.00209282,0.00185166,0.00162053,0.00139951,0.00118869,0.000933235,0.000687884,0.000453019,0.000228873,1.57203e-05,-0.00018616,-0.000376581,-0.00055535,-0.000722212,-0.000877071,-0.00107002,-0.00125037,-0.00141767,-0.00157168,-0.0017121,-0.00183863,-0.00195087,-0.00204865,-0.0021317,-0.0021997,-0.00230744,-0.00239955,-0.00247562,-0.00253505,-0.0025772,-0.00260161,-0.00260757,-0.00259463,-0.00256211,-0.00250948,-0.00243602,-0.00234118,-0.00222419,-0.00208432,-0.00192096,-0.00173318,-0.00152031,-0.00128134,-0.00101547,-0.000721613,-0.000329064,-3.15442e-08,-5.45533e-09,-2.95705e-09,-2.01616e-09,-1.5232e-09,-1.22023e-09,-1.0155e-09,-8.6808e-10,-7.57023e-10,-6.61553e-10,-5.87238e-10,-5.27832e-10,-4.79323e-10,-4.39026e-10,-4.0507e-10,-3.76106e-10,-3.51155e-10,-3.29473e-10,-3.10491e-10,-2.9225e-10,-2.76259e-10,-2.62166e-10,-2.49686e-10,-2.38593e-10,-2.28703e-10,-2.19868e-10,-2.11965e-10,-2.04894e-10,-1.9857e-10,-1.92323e-10,-1.86772e-10,-1.81862e-10,-1.77544e-10,-1.73783e-10,-1.70549e-10,-1.67825e-10,-1.65597e-10,-1.63863e-10,-1.62627e-10
5099d8852,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5099d8852,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.82 delta_degC/(TtCO2),-5.00131e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.675,380.683,395.182,409.191,422.729,435.811,448.451,460.664,472.411,483.705,494.56,504.988,515.001,524.61,533.828,542.666,551.136,559.249,566.945,574.238,581.142,587.671,593.837,599.656,605.14,610.303,615.158,619.718,623.916,627.762,631.268,634.444,637.302,639.854,642.113,644.089,645.796,647.245,648.383,649.222,649.775,650.054,650.073,649.846,649.387,648.709,647.829,646.759,645.454,643.929,642.2,640.284,638.196,635.954,633.574,631.076,628.476,625.794,622.98,620.054,617.035,613.943,610.8,607.627,604.447,601.283,598.159,595.098,592.128,589.273,586.56,584.018,581.676,579.562,577.708,576.145,574.907,574.027,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626,573.626
5099d8852,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567657,0.549058,0.532555,0.517761,0.50438,0.492188,0.481007,0.470697,0.461136,0.452235,0.443918,0.436121,0.428789,0.421874,0.415337,0.409143,0.403261,0.397666,0.392334,0.387251,0.382399,0.37776,0.373319,0.369062,0.364975,0.361049,0.357273,0.353637,0.350123,0.346719,0.343419,0.34022,0.337115,0.334101,0.331173,0.328329,0.325563,0.322873,0.320252,0.317696,0.315205,0.312774,0.310402,0.308087,0.305827,0.30362,0.301465,0.29936,0.297301,0.295287,0.293317,0.291391,0.289506,0.287661,0.285856,0.284089,0.28236,0.280666,0.279005,0.277375,0.275774,0.274202,0.272659,0.271144,0.269657,0.268197,0.266764,0.265357,0.263976,0.26262,0.26129,0.259985,0.258704,0.257448,0.256214,0.255005,0.253818,0.252654,0.251515,0.250399,0.249299,0.248216,0.247149,0.246097,0.24506,0.244037,0.243029,0.242035,0.241055,0.24009,0.239138,0.2382,0.237275,0.236362,0.235463,0.234575,0.233699,0.232835,0.231983,0.231143,0.230315,0.229498,0.228692,0.227897,0.227112,0.226338,0.225573,0.224819,0.224075,0.22334,0.222616,0.221901,0.221196,0.220501,0.219813,0.219135,0.218465,0.217804
5099d8852,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.82 delta_degC/(TtCO2),43.478,44.049,44.5576,44.9711,45.2738,45.4626,45.5417,45.5193,45.4059,45.2128,44.9511,44.4637,43.9384,43.6552,43.7756,43.9028,44.0371,44.1786,44.3275,44.4837,44.6471,44.7823,44.9244,45.0734,45.2292,45.3917,45.5607,45.7363,45.9181,46.106,46.2999,46.3866,46.4791,46.5775,46.6814,46.791,46.906,47.0263,47.1518,47.2822,47.4175,47.6666,47.9191,48.1754,48.4355,48.6997,48.9679,49.2403,49.517,49.7979,50.0831,50.3904,50.7014,51.0165,51.3356,51.6588,51.9864,52.3183,52.6545,52.9951,53.3401,53.6713,54.0065,54.3457,54.6892,55.0368,55.3888,55.7451,56.1056,56.4704,56.8395,57.3055,57.7756,58.25,58.7288,59.212,59.6996,60.1918,60.6885,61.1897,61.6954,62.2055,62.72,63.2388,63.7618,64.2888,64.8199,65.3548,65.8933,66.4354,66.9807,67.4513,67.9075,68.3001,68.6916,69.0821,69.4716,69.8602,70.2478,70.6345,71.0202,71.3142,71.608,71.9016,72.1949,72.4879,72.7805,73.0726,73.3643,73.6556,73.9464,74.1459,74.3457,74.5456,74.7454,74.9452,75.1449,75.3444,75.5437,75.7427,75.9414,76.0492,76.1574,76.2658,76.3743,76.4829,76.5915,76.7,76.8084,76.9166,77.0247
5099d8852,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
5099d8852,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,15.5383,15.0075,14.4988,14.0095,13.5377,13.0816,12.6403,12.2126,11.7472,11.2948,10.855,10.4277,10.0125,9.60934,9.21798,8.83824,8.46998,8.11302,7.69608,7.29302,6.90379,6.52839,6.16669,5.81862,5.48406,5.16289,4.85503,4.56023,4.19791,3.84626,3.50554,3.17617,2.85825,2.55222,2.25812,1.97625,1.70672,1.44963,1.13809,0.838883,0.552462,0.279113,0.019171,-0.227025,-0.459246,-0.677256,-0.880747,-1.0696,-1.3049,-1.52484,-1.72887,-1.91669,-2.08792,-2.24223,-2.3791,-2.49836,-2.59964,-2.68256,-2.81395,-2.92628,-3.01904,-3.09152,-3.14293,-3.17269,-3.17997,-3.16418,-3.12452,-3.06034,-2.97075,-2.8551,-2.71242,-2.54185,-2.34264,-2.11364,-1.85404,-1.56261,-1.23837,-0.880015,-0.401297,-3.84685e-05,-6.65284e-06,-3.60616e-06,-2.45873e-06,-1.85756e-06,-1.48809e-06,-1.23841e-06,-1.05863e-06,-9.23199e-07,-8.06773e-07,-7.16144e-07,-6.43698e-07,-5.8454e-07,-5.35397e-07,-4.93988e-07,-4.58665e-07,-4.28238e-07,-4.01797e-07,-3.78648e-07,-3.56402e-07,-3.36902e-07,-3.19715e-07,-3.04496e-07,-2.90967e-07,-2.78906e-07,-2.68131e-07,-2.58494e-07,-2.4987e-07,-2.42159e-07,-2.3454e-07,-2.27771e-07,-2.21782e-07,-2.16517e-07,-2.1193e-07,-2.07987e-07,-2.04665e-07,-2.01948e-07,-1.99833e-07,-1.98325e-07
5099d8852,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0240686,1,0.82 delta_degC/(TtCO2),2.15445e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.22731,1.3808,1.53608,1.63166,1.63579,1.64074,1.64623,1.65204,1.65802,1.66404,1.66999,1.67922,1.68815,1.69672,1.70487,1.71258,1.71981,1.72654,1.73275,1.73844,1.74361,1.75194,1.75965,1.76673,1.77316,1.77895,1.78408,1.78857,1.79242,1.79562,1.7982,1.80632,1.81368,1.82027,1.82609,1.83115,1.83543,1.83895,1.8417,1.84371,1.84497,1.84965,1.8535,1.85655,1.85877,1.86017,1.86077,1.86056,1.85955,1.85775,1.85518,1.85529,1.85457,1.853,1.85059,1.84735,1.84327,1.83836,1.83263,1.82609,1.81874,1.81374,1.80783,1.80103,1.79334,1.78474,1.77525,1.76487,1.7536,1.74143,1.72839,1.71446,1.69965,1.68396,1.6674,1.64997,1.63167,1.61251,1.59247,1.57156,1.54979,1.52385,1.50151,1.49491,1.48842,1.48202,1.47571,1.46949,1.46336,1.45732,1.45135,1.44548,1.43969,1.43398,1.42835,1.42281,1.41733,1.41194,1.40662,1.40137,1.39619,1.39108,1.38604,1.38107,1.37617,1.37134,1.36657,1.36187,1.35723,1.35264,1.34812,1.34366,1.33925,1.33491,1.33062,1.32639,1.32222,1.3181,1.31404,1.31002,1.30606
