ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
58055dd1b,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0283483,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,25.126,24.8153,24.371,23.9385,23.5156,23.1009,22.6931,22.2915,21.8952,21.5039,21.1172,20.7348,20.3099,19.8892,19.4727,19.0603,18.6521,18.2481,17.8483,17.4527,17.0613,16.6741,16.2033,15.7394,15.2823,14.8323,14.3894,13.9536,13.525,13.1036,12.6895,12.2826,11.847,11.4152,10.9874,10.5641,10.1453,9.73171,9.32326,8.9204,8.52329,8.13216,7.69473,7.26259,6.83623,6.41598,6.00226,5.59549,5.19598,4.80407,4.42018,4.04454,3.61987,3.20393,2.79737,2.40057,2.01403,1.63819,1.2737,0.920861,0.580177,0.252189,0.000124451,3.20686e-05,1.93719e-05,1.43856e-05,1.17624e-05,1.0174e-05,9.13498e-06,8.42469e-06,7.93008e-06,-6.50694e-21,-9.22086e-19,-1.02628e-18,-6.9448e-21,-6.91353e-21,-6.32653e-19,-1.54969e-18,-6.58091e-21,-6.344e-21,-3.70456e-17,-1.31773e-18,-5.35279e-21,-4.85794e-21,-1.21241e-16,-2.61159e-18,-3.30182e-21,-2.73798e-21,-1.14653e-18,-3.7329e-18,-9.50293e-22,-3.54577e-22,5.84678e-17,2.48349e-15,1.77197e-21,2.47219e-21,2.53017e-18,1.91891e-15,4.54055e-21,5.23368e-21,-2.35317e-18,-3.64155e-15,7.28497e-21,7.97839e-21,2.98243e-18,-2.64215e-13,9.98668e-21,1.06245e-20,-4.35501e-15,-7.03941e-15,1.23897e-20,1.29542e-20,-4.25781e-14,7.44585e-14,1.46034e-20,1.51089e-20,-1.12745e-14,1.21958e-14,-3.29057e-15,1.26284e-14,1.77023e-20,1.25322e-13
58055dd1b,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0283483,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.2196,1.23002,1.24026,1.25031,1.26019,1.26989,1.27942,1.28878,1.29798,1.30701,1.31588,1.32459,1.33312,1.34147,1.34965,1.35766,1.36549,1.37316,1.38065,1.38798,1.39515,1.40215,1.40896,1.41557,1.42198,1.42821,1.43426,1.44012,1.4458,1.4513,1.45663,1.46179,1.46677,1.47156,1.47618,1.48061,1.48487,1.48896,1.49288,1.49662,1.5002,1.50362,1.50685,1.5099,1.51277,1.51547,1.51799,1.52034,1.52252,1.52454,1.52639,1.52809,1.52961,1.53096,1.53213,1.53314,1.53399,1.53468,1.53521,1.5356,1.53584,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595,1.53595
58055dd1b,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0283483,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.0105529,0.0104224,0.0102358,0.0100542,0.00987657,0.00970238,0.00953112,0.00936242,0.009196,0.00903166,0.00886923,0.0087086,0.00853015,0.00835346,0.00817853,0.00800534,0.0078339,0.00766421,0.00749628,0.00733013,0.00716574,0.00700312,0.00680539,0.00661053,0.00641857,0.00622958,0.00604355,0.00586053,0.00568052,0.00550353,0.0053296,0.0051587,0.00497576,0.00479439,0.00461472,0.00443691,0.00426105,0.00408732,0.00391577,0.00374657,0.00357978,0.00341551,0.00323179,0.00305029,0.00287122,0.00269471,0.00252095,0.0023501,0.00218231,0.00201771,0.00185647,0.00169871,0.00152034,0.00134565,0.0011749,0.00100824,0.000845891,0.000688038,0.000534953,0.000386762,0.000243674,0.000105919,5.22692e-08,1.34688e-08,8.13619e-09,6.04197e-09,4.9402e-09,4.27308e-09,3.83669e-09,3.53837e-09,3.33063e-09,-2.73447e-24,-8.57999e-21,-4.31033e-22,-2.91842e-24,-2.91365e-24,-2.72362e-20,-6.50864e-22,-2.77892e-24,-2.66113e-24,-2.46573e-19,-5.53441e-22,-2.26071e-24,-2.04183e-24,-7.83497e-19,-1.09687e-21,-1.39107e-24,-1.15194e-24,-2.2204e-16,-1.56782e-21,-4.00708e-25,-1.59066e-25,6.51486e-19,1.53587e-17,-1.43156e-17,1.04031e-24,9.11022e-21,2.783e-17,-2.70241e-17,2.19459e-24,7.28819e-22,-4.4288e-17,2.64803e-16,3.35e-24,-9.55074e-17,-3.47188e-16,2.36217e-16,4.46703e-24,3.87511e-18,-6.4802e-17,6.18454e-17,5.43194e-24,2.09258e-17,4.84276e-16,-4.53003e-16,6.33752e-24,-3.94141e-17,-7.15184e-17,1.19397e-16,7.06658e-17,-6.53618e-17,-2.90831e-17
58055dd1b,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0283483,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58055dd1b,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0283483,1,0.42 delta_degC/(TtCO2),-5.00093e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,293.751,318.566,342.937,366.875,390.391,413.492,436.185,458.476,480.372,501.876,522.993,543.728,564.037,583.927,603.399,622.46,641.112,659.36,677.208,694.661,711.722,728.396,744.6,760.339,775.621,790.454,804.843,818.797,832.322,845.425,858.115,870.397,882.245,893.66,904.647,915.211,925.357,935.088,944.412,953.332,961.855,969.987,977.682,984.945,991.781,998.197,1004.2,1009.79,1014.99,1019.79,1024.21,1028.26,1031.88,1035.08,1037.88,1040.28,1042.3,1043.93,1045.21,1046.13,1046.71,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96,1046.96
58055dd1b,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0283483,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.670206,0.643834,0.620793,0.600485,0.582372,0.566059,0.551245,0.5377,0.525238,0.513713,0.503004,0.493014,0.483652,0.474855,0.466565,0.458733,0.451315,0.444274,0.437578,0.431197,0.425107,0.419284,0.413709,0.408371,0.403254,0.398343,0.393624,0.389085,0.384713,0.3805,0.376435,0.372509,0.368706,0.365014,0.361425,0.357938,0.354546,0.351246,0.348033,0.344906,0.341859,0.338889,0.335991,0.33316,0.330394,0.327692,0.325051,0.322469,0.319944,0.317475,0.31506,0.312696,0.310382,0.308114,0.305894,0.303719,0.301588,0.299499,0.297453,0.295447,0.29348,0.291553,0.289662,0.287814,0.286006,0.284235,0.282502,0.280803,0.279139,0.277508,0.275909,0.27434,0.272801,0.27129,0.269807,0.268351,0.26692,0.265515,0.264133,0.262776,0.26144,0.260127,0.258837,0.257569,0.256321,0.255096,0.25389,0.252704,0.251537,0.250388,0.249258,0.248145,0.24705,0.245972,0.244912,0.243868,0.242841,0.241829,0.240833,0.239851,0.238884,0.237931,0.236993,0.236069,0.235159,0.234262,0.233379,0.232508,0.23165,0.230804,0.22997,0.229149,0.228338,0.227539,0.226752,0.225976,0.225211,0.224457,0.223713,0.22298,0.222255,0.221542
58055dd1b,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0283483,1,0.42 delta_degC/(TtCO2),43.478,44.0876,44.6666,45.2016,45.6861,46.1183,46.4991,46.8312,47.118,47.5605,48.0525,48.2969,48.5388,48.7788,49.0176,49.2555,49.493,49.7304,49.968,50.2059,50.4444,50.6495,50.8551,51.0614,51.2685,51.4766,51.6857,51.896,52.1074,52.3201,52.5341,52.6173,52.7018,52.7878,52.8753,52.9644,53.0552,53.1477,53.242,53.338,53.4358,53.6811,53.9268,54.1731,54.4201,54.668,54.917,55.1672,55.4186,55.6714,55.9256,56.2108,56.4968,56.7839,57.0723,57.3621,57.6535,57.9464,58.2411,58.5376,58.836,59.1204,59.4062,59.6938,59.9832,60.2746,60.568,60.8635,61.1613,61.4614,61.7639,62.1906,62.6406,63.0908,63.5413,63.9921,64.4432,64.8945,65.346,65.7977,66.2496,66.7016,67.1538,67.6061,68.0585,68.5109,68.9634,69.416,69.8686,70.3212,70.7738,71.1332,71.4936,71.8548,72.2166,72.5789,72.9417,73.3048,73.6682,74.0319,74.3957,74.6669,74.939,75.212,75.4856,75.7597,76.0342,76.3091,76.5842,76.8595,77.135,77.3181,77.502,77.6867,77.872,78.0577,78.2437,78.4301,78.6166,78.8033,78.9901,79.0847,79.1801,79.2761,79.3727,79.4696,79.5669,79.6645,79.7622,79.8601,79.958
58055dd1b,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0283483,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
58055dd1b,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0283483,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,25.126,24.8153,24.371,23.9385,23.5156,23.1009,22.6931,22.2915,21.8952,21.5039,21.1172,20.7348,20.3099,19.8892,19.4727,19.0603,18.6521,18.2481,17.8483,17.4527,17.0613,16.6741,16.2033,15.7394,15.2823,14.8323,14.3894,13.9536,13.525,13.1036,12.6895,12.2826,11.847,11.4152,10.9874,10.5641,10.1453,9.73171,9.32326,8.9204,8.52329,8.13216,7.69473,7.26259,6.83623,6.41598,6.00226,5.59549,5.19598,4.80407,4.42018,4.04454,3.61987,3.20393,2.79737,2.40057,2.01403,1.63819,1.2737,0.920861,0.580177,0.252189,0.000124451,3.20686e-05,1.93719e-05,1.43856e-05,1.17624e-05,1.0174e-05,9.13498e-06,8.42469e-06,7.93008e-06,-6.50695e-21,-9.22086e-19,-1.02628e-18,-6.9448e-21,-6.91353e-21,-6.32653e-19,-1.54969e-18,-6.58091e-21,-6.344e-21,-3.70456e-17,-1.31773e-18,-5.35279e-21,-4.85795e-21,-1.21241e-16,-2.61159e-18,-3.30182e-21,-2.73798e-21,-1.14653e-18,-3.7329e-18,-9.50294e-22,-3.54578e-22,5.84678e-17,2.48349e-15,1.77197e-21,2.47219e-21,2.53017e-18,1.91891e-15,4.54055e-21,5.23368e-21,-2.35317e-18,-3.64155e-15,7.28497e-21,7.97839e-21,2.98243e-18,-2.64215e-13,9.98668e-21,1.06245e-20,-4.35501e-15,-7.03941e-15,1.23897e-20,1.29542e-20,-4.25781e-14,7.44585e-14,1.46034e-20,1.51089e-20,-1.12745e-14,1.21958e-14,-3.29057e-15,1.26284e-14,1.77024e-20,1.25322e-13
58055dd1b,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0283483,1,0.42 delta_degC/(TtCO2),7.78402e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.386487,0.390642,0.395609,0.400821,0.406206,0.41171,0.417288,0.422908,0.428542,0.434168,0.439768,0.445327,0.451719,0.45804,0.464277,0.470421,0.476464,0.482398,0.488217,0.493917,0.499494,0.504944,0.51144,0.5178,0.52402,0.530094,0.536017,0.541786,0.547399,0.552852,0.558145,0.563277,0.569939,0.576422,0.582722,0.588833,0.59475,0.600469,0.605985,0.611297,0.616402,0.621298,0.627305,0.633091,0.638651,0.64398,0.649072,0.653924,0.658532,0.662893,0.667005,0.670865,0.675717,0.680304,0.684619,0.688658,0.692413,0.695882,0.699058,0.701938,0.704519,0.706796,0.707461,0.702949,0.698532,0.694207,0.689973,0.685825,0.681762,0.677778,0.673872,0.67004,0.666281,0.66259,0.658968,0.655412,0.651917,0.648486,0.645111,0.641796,0.638534,0.635328,0.632175,0.629078,0.626032,0.623039,0.620094,0.617196,0.614347,0.611541,0.60878,0.606062,0.603387,0.600756,0.598166,0.595617,0.593108,0.590636,0.588204,0.585806,0.583444,0.581116,0.578824,0.576568,0.574345,0.572155,0.569998,0.567872,0.565776,0.56371,0.561673,0.559666,0.557685,0.555734,0.553812,0.551917,0.550048,0.548207,0.54639,0.544599,0.54283,0.541087
