ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
6794da5ec,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.5612,20.8554,20.1538,19.4528,18.7496,18.0421,17.3287,16.6079,15.8785,15.1393,14.3894,13.5789,12.7562,11.9207,11.0718,10.2088,9.33089,8.43745,7.52767,6.60073,5.65578,4.62111,3.57151,2.50628,1.42472,0.325949,4.2745e-06,1.81568e-06,1.17409e-06,8.78862e-07,7.09206e-07,5.91028e-07,5.10308e-07,4.51722e-07,4.07309e-07,3.72505e-07,3.44525e-07,3.21558e-07,3.02384e-07,2.86147e-07,2.72232e-07,2.59438e-07,2.4835e-07,2.38657e-07,2.3012e-07,2.22552e-07,2.15803e-07,2.09753e-07,2.04303e-07,1.99374e-07,1.94897e-07,1.90573e-07,1.86639e-07,1.83048e-07,1.79762e-07,1.76746e-07,1.73971e-07,1.71413e-07,1.69049e-07,1.66861e-07,1.64832e-07,1.62839e-07,1.60992e-07,1.59276e-07,1.5768e-07,1.56193e-07,1.54808e-07,1.53515e-07,1.52307e-07,1.51177e-07,-1.41162e-18,-1.40325e-18,-1.38088e-18,-1.35536e-18,-1.33027e-18,-1.30594e-18,-1.2803e-18,-1.25288e-18,-1.22574e-18,-1.2001e-18,-1.17409e-18,-1.14563e-18,-1.11684e-18,-1.08951e-18,-1.06229e-18,-1.03341e-18,-1.00403e-18,-9.75975e-19,-9.48181e-19,-9.18821e-19,-8.89061e-19,-8.60121e-19,-8.31284e-19,-8.01098e-19,-7.7079e-19,-7.4158e-19,-7.12175e-19,-6.81622e-19,-6.51269e-19,-6.2179e-19,-5.91762e-19,-5.60628e-19,-5.29974e-19,-4.99796e-19,-4.6892e-19,-4.37576e-19,-4.0678e-19,-3.7606e-19,-3.44714e-19,-3.13275e-19,-2.82153e-19,-2.50551e-19,-2.18465e-19,-1.86354e-19,-1.54145e-19,-1.21392e-19,-8.81937e-20,-5.46115e-20,-2.05092e-20,1.40803e-20,4.54828e-13
6794da5ec,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29082,1.30375,1.31625,1.32831,1.33993,1.35112,1.36186,1.37216,1.382,1.39139,1.40031,1.40873,1.41664,1.42403,1.43089,1.43722,1.44301,1.44824,1.45291,1.457,1.46051,1.46337,1.46558,1.46714,1.46802,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822
6794da5ec,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.013368,0.0129304,0.0124954,0.0120607,0.0116247,0.0111861,0.0107438,0.0102969,0.00984465,0.00938637,0.00892146,0.0084189,0.00790884,0.00739086,0.00686454,0.00632945,0.00578515,0.00523122,0.00466715,0.00409246,0.00350658,0.00286509,0.00221433,0.00155389,0.000883324,0.000202088,2.65019e-09,1.12572e-09,7.27933e-10,5.44894e-10,4.39708e-10,3.66437e-10,3.16391e-10,2.80068e-10,2.52531e-10,2.30953e-10,2.13606e-10,1.99366e-10,1.87478e-10,1.77411e-10,1.68784e-10,1.60852e-10,1.53977e-10,1.47967e-10,1.42674e-10,1.37982e-10,1.33798e-10,1.30047e-10,1.26668e-10,1.23612e-10,1.20836e-10,1.18155e-10,1.15716e-10,1.1349e-10,1.11452e-10,1.09583e-10,1.07862e-10,1.06276e-10,1.04811e-10,1.03454e-10,1.02195e-10,1.00961e-10,9.98148e-11,9.87508e-11,9.77613e-11,9.68399e-11,9.59808e-11,9.5179e-11,9.44302e-11,9.37297e-11,-8.75211e-22,-8.70049e-22,-8.5621e-22,-8.4042e-22,-8.24889e-22,-8.09831e-22,-7.93967e-22,-7.76993e-22,-7.60198e-22,-7.44324e-22,-7.2823e-22,-7.10611e-22,-6.92793e-22,-6.75876e-22,-6.59025e-22,-6.41155e-22,-6.22962e-22,-6.05597e-22,-5.88398e-22,-5.70219e-22,-5.518e-22,-5.33882e-22,-5.16035e-22,-4.97346e-22,-4.78585e-22,-4.60504e-22,-4.423e-22,-4.23387e-22,-4.04597e-22,-3.86347e-22,-3.67759e-22,-3.48485e-22,-3.29508e-22,-3.10828e-22,-2.91712e-22,-2.72309e-22,-2.53243e-22,-2.34225e-22,-2.14818e-22,-1.95357e-22,-1.76088e-22,-1.56525e-22,-1.36659e-22,-1.16781e-22,-9.68392e-23,-7.65614e-23,-5.6008e-23,-3.52151e-23,-1.41005e-23,7.31631e-24,-2.48548e-16
6794da5ec,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6794da5ec,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),-4.99974e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.864,334.719,354.873,374.326,393.075,411.118,428.446,445.054,460.933,476.072,490.461,504.04,516.797,528.717,539.789,549.998,559.329,567.766,575.294,581.895,587.55,592.172,595.743,598.249,599.674,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
6794da5ec,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639254,0.614054,0.592069,0.572617,0.555208,0.539479,0.525153,0.512014,0.499892,0.488651,0.478179,0.468374,0.459168,0.450494,0.4423,0.434537,0.427164,0.420148,0.413456,0.407062,0.400941,0.395074,0.389448,0.384045,0.37885,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
6794da5ec,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),43.478,44.119,44.7298,45.2968,45.8132,46.277,46.6888,47.0511,47.3668,47.6396,47.8865,48.1199,48.3496,48.5763,48.8003,49.022,49.2417,49.4595,49.6756,49.8902,50.1031,50.2795,50.4538,50.6262,50.7966,50.965,51.1314,51.2956,51.4576,51.6171,51.7741,51.799,51.8214,51.8413,51.8584,51.8728,52.0213,52.2265,52.4326,52.6395,52.8471,53.2061,53.5649,53.9234,54.2816,54.6396,54.9972,55.3546,55.7116,56.0682,56.4245,56.8165,57.2075,57.5975,57.9867,58.3751,58.7627,59.1495,59.5356,59.9209,60.3056,60.6792,61.0515,61.4227,61.7927,62.1618,62.5298,62.897,63.2633,63.6287,63.9934,64.4779,64.9614,65.4438,65.9254,66.4061,66.886,67.3653,67.8439,68.3219,68.7993,69.2762,69.7526,70.2286,70.7041,71.1792,71.6539,72.1282,72.6021,73.0758,73.549,73.9253,74.3021,74.6796,75.0575,75.4357,75.8141,76.1928,76.5716,76.9504,77.3293,77.6119,77.8953,78.1794,78.4642,78.7493,79.0348,79.3206,79.6066,79.8927,80.1789,80.3692,80.5602,80.752,80.9443,81.137,81.3302,81.5235,81.7171,81.9108,82.1046,82.2025,82.3013,82.4007,82.5007,82.6011,82.7018,82.8028,82.9039,83.0052,83.1065
6794da5ec,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
6794da5ec,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.5612,20.8554,20.1538,19.4528,18.7496,18.0421,17.3287,16.6079,15.8785,15.1393,14.3894,13.5789,12.7562,11.9207,11.0718,10.2088,9.33089,8.43745,7.52767,6.60073,5.65578,4.62111,3.57151,2.50628,1.42472,0.325949,4.2745e-06,1.81568e-06,1.17409e-06,8.78862e-07,7.09206e-07,5.91028e-07,5.10308e-07,4.51722e-07,4.07309e-07,3.72505e-07,3.44525e-07,3.21558e-07,3.02384e-07,2.86147e-07,2.72232e-07,2.59438e-07,2.4835e-07,2.38657e-07,2.3012e-07,2.22552e-07,2.15803e-07,2.09753e-07,2.04303e-07,1.99374e-07,1.94897e-07,1.90573e-07,1.86639e-07,1.83048e-07,1.79762e-07,1.76746e-07,1.73971e-07,1.71413e-07,1.69049e-07,1.66861e-07,1.64832e-07,1.62839e-07,1.60992e-07,1.59276e-07,1.5768e-07,1.56193e-07,1.54808e-07,1.53515e-07,1.52307e-07,1.51177e-07,-1.41162e-18,-1.40325e-18,-1.38088e-18,-1.35536e-18,-1.33027e-18,-1.30594e-18,-1.2803e-18,-1.25288e-18,-1.22574e-18,-1.2001e-18,-1.17409e-18,-1.14563e-18,-1.11684e-18,-1.08951e-18,-1.06229e-18,-1.03341e-18,-1.00403e-18,-9.75975e-19,-9.48181e-19,-9.18821e-19,-8.89061e-19,-8.60121e-19,-8.31284e-19,-8.01098e-19,-7.7079e-19,-7.4158e-19,-7.12175e-19,-6.81622e-19,-6.51269e-19,-6.2179e-19,-5.91762e-19,-5.60628e-19,-5.29974e-19,-4.99796e-19,-4.6892e-19,-4.37576e-19,-4.0678e-19,-3.7606e-19,-3.44714e-19,-3.13275e-19,-2.82153e-19,-2.50551e-19,-2.18465e-19,-1.86354e-19,-1.54145e-19,-1.21392e-19,-8.81937e-20,-5.46115e-20,-2.05092e-20,1.40803e-20,4.54828e-13
6794da5ec,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),4.34819e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.496985,0.506904,0.517509,0.528696,0.540391,0.552541,0.565106,0.578058,0.591376,0.605047,0.619062,0.634681,0.650649,0.666967,0.683634,0.700657,0.71804,0.735793,0.753929,0.772461,0.791408,0.812639,0.834359,0.856583,0.879331,0.902627,0.901454,0.890437,0.879972,0.870011,0.86051,0.85142,0.8427,0.834321,0.826261,0.818496,0.811011,0.803783,0.7968,0.790046,0.783508,0.77717,0.771021,0.765052,0.759251,0.753612,0.748125,0.742784,0.73758,0.732509,0.727564,0.72274,0.71803,0.713434,0.708944,0.704555,0.700263,0.696067,0.69196,0.687939,0.684003,0.680142,0.676353,0.672632,0.668976,0.665385,0.661855,0.658387,0.654975,0.651621,0.648321,0.645075,0.641879,0.638735,0.63564,0.632591,0.629589,0.626632,0.623719,0.620847,0.618017,0.61523,0.612486,0.609782,0.60712,0.604496,0.60191,0.599361,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577992,0.575784,0.573604,0.571453,0.569332,0.56724,0.565179,0.563145,0.561139,0.559161,0.55721,0.555284,0.553384,0.551509,0.549658,0.547831,0.54603,0.544253,0.542499,0.540769,0.539063,0.537377,0.535714,0.534071,0.53245
