ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
82ebefaa7,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.2835,21.8082,21.3495,20.904,20.4689,20.0425,19.6231,19.2097,18.8013,18.3971,17.9966,17.5517,17.11,16.6711,16.2348,15.8007,15.3687,14.9385,14.51,14.0828,13.6566,13.1513,12.6498,12.1518,11.6574,11.1664,10.6786,10.1939,9.71202,9.23287,8.75612,8.223,7.68741,7.14935,6.60897,6.06612,5.52096,4.97326,4.42307,3.87022,3.31452,2.69189,2.06437,1.43205,0.794828,0.15266,-0.494513,-1.14688,-1.80463,-2.4679,-3.13704,-3.87623,-4.62237,-5.37545,-6.13576,-6.90352,-7.67902,-8.4624,-9.25422,-10.0549,-10.8648,-11.7835,-12.7179,-13.6688,-14.6366,-15.622,-16.626,-17.6493,-18.693,-19.7583,-20,-1.14043e-06,-6.61174e-07,-5.3094e-07,-4.65545e-07,-4.24924e-07,-3.96693e-07,-3.7565e-07,-3.59169e-07,-3.45785e-07,-3.34596e-07,-3.22802e-07,-3.1256e-07,-3.03537e-07,-2.95485e-07,-2.8823e-07,-2.81637e-07,-2.75601e-07,-2.70043e-07,-2.64898e-07,-2.60116e-07,-2.54525e-07,-2.49339e-07,-2.44519e-07,-2.40032e-07,-2.35854e-07,-2.31962e-07,-2.28335e-07,-2.2496e-07,-2.21824e-07,-2.18913e-07,-2.1552e-07,-2.1239e-07,-2.09513e-07,-2.06884e-07,-2.04496e-07,-2.02344e-07,-2.00428e-07,-1.98747e-07,-1.97302e-07,-1.96097e-07,-1.9462e-07,-1.93415e-07,-1.9249e-07,-1.91855e-07,-1.91525e-07,-1.91516e-07,-1.91851e-07,-1.92556e-07,-1.93666e-07,-1.95219e-07
82ebefaa7,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35418,1.37207,1.38957,1.40672,1.4235,1.43993,1.45603,1.47178,1.48719,1.50228,1.51704,1.53143,1.54546,1.55913,1.57244,1.5854,1.598,1.61025,1.62215,1.6337,1.6449,1.65568,1.66605,1.67602,1.68558,1.69473,1.70349,1.71185,1.71981,1.72738,1.73456,1.74131,1.74761,1.75347,1.75889,1.76387,1.76839,1.77247,1.7761,1.77927,1.78199,1.7842,1.78589,1.78706,1.78772,1.78784,1.78744,1.78649,1.78501,1.78299,1.78042,1.77724,1.77345,1.76904,1.76401,1.75835,1.75205,1.74511,1.73753,1.72928,1.72037,1.71071,1.70028,1.68907,1.67707,1.66426,1.65063,1.63615,1.62083,1.60462,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822
82ebefaa7,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0182725,0.0178827,0.0175066,0.0171413,0.0167845,0.0164348,0.016091,0.015752,0.0154171,0.0150857,0.0147572,0.0143924,0.0140302,0.0136703,0.0133125,0.0129566,0.0126023,0.0122496,0.0118982,0.0115479,0.0111985,0.0107841,0.0103728,0.00996448,0.00955908,0.00915644,0.00875646,0.00835899,0.00796386,0.00757095,0.00718002,0.00674286,0.00630368,0.00586246,0.00541936,0.00497421,0.00452719,0.00407807,0.00362692,0.00317358,0.00271791,0.00220735,0.00169278,0.00117428,0.000651759,0.000125181,-0.0004055,-0.000940441,-0.0014798,-0.00202368,-0.00257238,-0.0031785,-0.00379034,-0.00440787,-0.00503133,-0.00566089,-0.0062968,-0.00693917,-0.00758846,-0.00824499,-0.0089091,-0.00966248,-0.0104287,-0.0112084,-0.012002,-0.01281,-0.0136333,-0.0144724,-0.0153283,-0.0162018,-0.0164,-9.3515e-10,-5.42162e-10,-4.35371e-10,-3.81747e-10,-3.48437e-10,-3.25289e-10,-3.08033e-10,-2.94519e-10,-2.83544e-10,-2.74369e-10,-2.64697e-10,-2.56299e-10,-2.489e-10,-2.42298e-10,-2.36349e-10,-2.30943e-10,-2.25993e-10,-2.21435e-10,-2.17216e-10,-2.13295e-10,-2.08711e-10,-2.04458e-10,-2.00505e-10,-1.96827e-10,-1.934e-10,-1.90209e-10,-1.87235e-10,-1.84467e-10,-1.81895e-10,-1.79509e-10,-1.76727e-10,-1.7416e-10,-1.71801e-10,-1.69645e-10,-1.67686e-10,-1.65922e-10,-1.64351e-10,-1.62973e-10,-1.61788e-10,-1.60799e-10,-1.59588e-10,-1.586e-10,-1.57841e-10,-1.57321e-10,-1.57051e-10,-1.57043e-10,-1.57318e-10,-1.57896e-10,-1.58806e-10,-1.60079e-10
82ebefaa7,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82ebefaa7,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.82 delta_degC/(TtCO2),-5.00005e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,314.586,336.394,357.744,378.648,399.117,419.159,438.782,457.992,476.793,495.191,513.187,530.739,547.849,564.52,580.755,596.555,611.924,626.863,641.373,655.455,669.112,682.263,694.913,707.065,718.722,729.889,740.567,750.761,760.473,769.706,778.462,786.685,794.373,801.522,808.131,814.197,819.718,824.691,829.114,832.985,836.299,838.991,841.055,842.487,843.282,843.435,842.94,841.794,839.989,837.521,834.384,830.508,825.885,820.51,814.374,807.471,799.792,791.329,782.075,772.02,761.155,749.372,736.654,722.985,708.349,692.727,676.101,658.451,639.758,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
82ebefaa7,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639948,0.615401,0.594034,0.575169,0.558322,0.543131,0.529323,0.516684,0.505047,0.494276,0.484261,0.474902,0.466131,0.457884,0.450107,0.442753,0.435783,0.429163,0.422861,0.416851,0.411111,0.405617,0.40036,0.395323,0.390491,0.385847,0.381381,0.37708,0.372933,0.368932,0.365067,0.36132,0.35768,0.35414,0.350697,0.347345,0.344081,0.340901,0.337801,0.334778,0.331828,0.328945,0.326125,0.323366,0.320666,0.318023,0.315434,0.312899,0.310415,0.30798,0.305593,0.30325,0.30095,0.298693,0.296477,0.2943,0.29216,0.290059,0.287993,0.285962,0.283966,0.281998,0.280058,0.278144,0.276255,0.274392,0.272552,0.270738,0.268946,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
82ebefaa7,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,44.1075,44.6763,45.151,45.5151,45.7646,45.9026,45.937,45.8772,45.7341,45.8047,45.9974,46.1899,46.3829,46.577,46.7726,46.9698,47.169,47.3702,47.5735,47.7788,47.9511,48.1252,48.301,48.4787,48.6582,48.8396,49.0227,49.2075,49.394,49.582,49.6492,49.7179,49.7883,49.8604,49.9342,50.0097,50.0868,50.1655,50.2457,50.3274,50.5318,50.7353,50.9382,51.1406,51.3426,51.5444,51.746,51.9476,52.1492,52.3507,52.5715,52.7911,53.0097,53.2275,53.4446,53.661,53.8769,54.0922,54.307,54.5213,54.7153,54.9079,55.0994,55.2896,55.4788,55.6669,55.8539,56.0398,56.2245,56.408,56.6736,56.9356,57.1938,57.4482,57.6987,57.9452,58.1874,58.4253,58.6583,59.1028,63.9271,64.4986,65.0633,65.6217,66.1742,66.7212,67.2631,67.8003,68.3332,68.8619,69.2931,69.7214,70.1469,70.5698,70.9902,71.4083,71.8242,72.2379,72.6497,73.0595,73.3741,73.6876,74,74.3115,74.6219,74.9314,75.2398,75.5472,75.8537,76.1593,76.3705,76.5815,76.7922,77.0026,77.2126,77.4222,77.6313,77.84,78.0482,78.2558,78.3696,78.4836,78.5976,78.7116,78.8255,78.9392,79.0528,79.1662,79.2792,79.392
82ebefaa7,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
82ebefaa7,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.2835,21.8082,21.3495,20.904,20.4689,20.0425,19.6231,19.2097,18.8013,18.3971,17.9966,17.5517,17.11,16.6711,16.2348,15.8007,15.3687,14.9385,14.51,14.0828,13.6566,13.1513,12.6498,12.1518,11.6574,11.1664,10.6786,10.1939,9.71202,9.23287,8.75612,8.223,7.68741,7.14935,6.60897,6.06612,5.52096,4.97326,4.42307,3.87022,3.31452,2.69189,2.06437,1.43205,0.794828,0.15266,-0.494513,-1.14688,-1.80463,-2.4679,-3.13704,-3.87623,-4.62237,-5.37545,-6.13576,-6.90352,-7.67902,-8.4624,-9.25422,-10.0549,-10.8648,-11.7835,-12.7179,-13.6688,-14.6366,-15.622,-16.626,-17.6493,-18.693,-19.7583,-20,-1.14043e-06,-6.61174e-07,-5.3094e-07,-4.65545e-07,-4.24924e-07,-3.96693e-07,-3.7565e-07,-3.59169e-07,-3.45785e-07,-3.34596e-07,-3.22802e-07,-3.1256e-07,-3.03537e-07,-2.95485e-07,-2.8823e-07,-2.81637e-07,-2.75601e-07,-2.70043e-07,-2.64898e-07,-2.60116e-07,-2.54525e-07,-2.49339e-07,-2.44519e-07,-2.40032e-07,-2.35854e-07,-2.31962e-07,-2.28335e-07,-2.2496e-07,-2.21824e-07,-2.18913e-07,-2.1552e-07,-2.1239e-07,-2.09513e-07,-2.06884e-07,-2.04496e-07,-2.02344e-07,-2.00428e-07,-1.98747e-07,-1.97302e-07,-1.96097e-07,-1.9462e-07,-1.93415e-07,-1.9249e-07,-1.91855e-07,-1.91525e-07,-1.91516e-07,-1.91851e-07,-1.92556e-07,-1.93666e-07,-1.95219e-07
82ebefaa7,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.82 delta_degC/(TtCO2),1.01015e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.15911,1.16656,1.17523,1.18482,1.1951,1.20593,1.21716,1.2287,1.24047,1.25242,1.26449,1.27916,1.29384,1.30851,1.32314,1.3377,1.3522,1.36661,1.38093,1.39516,1.4093,1.4264,1.44338,1.46022,1.47693,1.49351,1.50994,1.52624,1.5424,1.55844,1.57435,1.59535,1.61623,1.63699,1.65763,1.67814,1.69854,1.71881,1.73897,1.75903,1.77898,1.80287,1.82668,1.85043,1.87411,1.89773,1.9213,1.94482,1.9683,1.99177,2.01523,2.04255,2.06992,2.09734,2.12482,2.15238,2.18003,2.20779,2.23567,2.2637,2.29191,2.32478,2.35795,2.39146,2.42534,2.45962,2.49434,2.52955,2.56531,2.60167,2.59119,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
