ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
86dc40b12,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,29.8839,29.6503,29.412,29.1668,28.751,28.3324,27.9099,27.4826,27.0498,26.6111,26.166,25.714,25.2547,24.7879,24.267,23.7379,23.2004,22.6542,22.0992,21.5349,20.9611,20.3773,19.7834,19.1787,18.4701,17.7531,17.0274,16.2927,15.5484,14.7941,14.0294,13.2536,12.4662,11.6664,10.8103,9.9328,9.03312,8.11055,7.16403,6.19278,5.19555,4.17132,3.11873,2.03639,0.855736,-0.36159,-1.61717,-2.91291,-4.25077,-5.63289,-7.06167,-8.53971,-10.0697,-11.6549,-13.3723,-15.154,-17.0038,-18.926,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-4.29382e-05,-2.8182e-05,-2.52562e-05,-2.44645e-05,-2.45046e-05,-2.49793e-05,-2.57212e-05,-2.66406e-05,-2.7683e-05,-2.88075e-05,-2.94332e-05,-3.00665e-05,-3.0683e-05,-3.12611e-05,-3.17855e-05,-3.22433e-05,-3.26242e-05,-3.29223e-05,-3.31332e-05,-3.32561e-05,-3.28851e-05,-3.24792e-05,-3.20436e-05,-3.15837e-05,-3.11053e-05,-3.06143e-05,-3.0115e-05,-2.96132e-05,-2.9113e-05,-2.86183e-05,-2.79469e-05,-2.73172e-05,-2.67282e-05,-2.61791e-05,-2.56687e-05,-2.51963e-05,-2.47613e-05,-2.4363e-05,-2.40009e-05,-2.36747e-05,-2.32986e-05,-2.2969e-05,-2.26847e-05,-2.24451e-05,-2.22501e-05,-2.20998e-05,-2.19955e-05,-2.19383e-05,-2.19308e-05,-2.19756e-05
86dc40b12,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29676,1.32107,1.34519,1.3691,1.39268,1.41591,1.4388,1.46133,1.48352,1.50534,1.52679,1.54788,1.56859,1.58891,1.60881,1.62828,1.6473,1.66588,1.684,1.70166,1.71885,1.73556,1.75178,1.7675,1.78265,1.79721,1.81117,1.82453,1.83728,1.84941,1.86091,1.87178,1.88201,1.89157,1.90044,1.90858,1.91599,1.92264,1.92851,1.93359,1.93785,1.94127,1.94383,1.9455,1.9462,1.9459,1.94458,1.94219,1.9387,1.93409,1.92829,1.92129,1.91303,1.90348,1.89251,1.88009,1.86614,1.85062,1.83422,1.81782,1.80142,1.78502,1.76862,1.75222,1.73582,1.71942,1.70302,1.68662,1.67022,1.65382,1.63742,1.62102,1.60462,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822
86dc40b12,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.0245048,0.0243133,0.0241179,0.0239168,0.0235759,0.0232326,0.0228861,0.0225357,0.0221808,0.0218211,0.0214561,0.0210854,0.0207089,0.020326,0.0198989,0.0194651,0.0190243,0.0185765,0.0181213,0.0176586,0.0171881,0.0167094,0.0162224,0.0157265,0.0151455,0.0145576,0.0139625,0.01336,0.0127497,0.0121312,0.0115041,0.010868,0.0102223,0.00956643,0.00886443,0.0081449,0.00740716,0.00665065,0.0058745,0.00507808,0.00426035,0.00342048,0.00255736,0.00166984,0.000701703,-0.000296504,-0.00132608,-0.00238858,-0.00348564,-0.00461897,-0.00579057,-0.00700257,-0.00825718,-0.00955704,-0.0109653,-0.0124263,-0.0139431,-0.0155193,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-3.52094e-08,-2.31092e-08,-2.071e-08,-2.00609e-08,-2.00938e-08,-2.0483e-08,-2.10914e-08,-2.18453e-08,-2.27001e-08,-2.36221e-08,-2.41352e-08,-2.46546e-08,-2.516e-08,-2.56341e-08,-2.60641e-08,-2.64395e-08,-2.67518e-08,-2.69963e-08,-2.71692e-08,-2.727e-08,-2.69658e-08,-2.66329e-08,-2.62758e-08,-2.58986e-08,-2.55064e-08,-2.51037e-08,-2.46943e-08,-2.42828e-08,-2.38727e-08,-2.3467e-08,-2.29165e-08,-2.24001e-08,-2.19171e-08,-2.14668e-08,-2.10483e-08,-2.0661e-08,-2.03043e-08,-1.99777e-08,-1.96808e-08,-1.94132e-08,-1.91049e-08,-1.88346e-08,-1.86014e-08,-1.8405e-08,-1.82451e-08,-1.81219e-08,-1.80363e-08,-1.79894e-08,-1.79833e-08,-1.802e-08
86dc40b12,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86dc40b12,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),-5.00024e-09,41.278,80.3561,117.234,151.912,184.39,214.668,244.552,274.203,303.615,332.781,361.532,389.865,417.775,445.257,472.307,498.918,525.084,550.798,576.053,600.841,625.108,648.846,672.046,694.7,716.799,738.334,759.295,779.673,799.456,818.635,837.105,854.858,871.885,888.178,903.726,918.521,932.55,945.804,958.27,969.936,980.746,990.679,999.712,1007.82,1014.99,1021.18,1026.38,1030.55,1033.67,1035.7,1036.56,1036.2,1034.58,1031.67,1027.41,1021.78,1014.72,1006.18,996.111,984.456,971.084,955.93,938.926,920,900,880,860,840,820,800,780,760,740,720,700,680,660,640,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999
86dc40b12,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.740028,0.709229,0.682382,0.658642,0.63737,0.618243,0.600894,0.585041,0.570461,0.556979,0.544452,0.532761,0.52181,0.511518,0.501804,0.492619,0.483912,0.475639,0.467763,0.460249,0.453068,0.446195,0.439606,0.43328,0.427196,0.421347,0.415719,0.410296,0.405065,0.400014,0.395132,0.390407,0.385833,0.381399,0.377086,0.372882,0.368781,0.36478,0.360872,0.357056,0.353326,0.349679,0.346111,0.342619,0.339196,0.335837,0.33254,0.329304,0.326125,0.323002,0.319933,0.316915,0.313947,0.311026,0.308149,0.305314,0.30252,0.299766,0.297076,0.294482,0.291978,0.289557,0.287214,0.284946,0.282746,0.28061,0.278533,0.276513,0.274548,0.272634,0.270769,0.268951,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
86dc40b12,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,44.0985,44.688,45.2332,45.7275,46.169,46.5587,47.0762,47.5995,48.115,48.6233,48.8774,49.1269,49.3724,49.6146,49.8537,50.0904,50.3247,50.5572,50.7878,51.017,51.2107,51.4028,51.5936,51.7831,51.9716,52.159,52.3456,52.5314,52.7163,52.9005,52.9508,53.0006,53.0501,53.0992,53.1482,53.197,53.2456,53.2942,53.3426,53.391,53.5837,53.7739,53.9619,54.1477,54.3312,54.5127,54.6919,54.8689,55.0436,55.2158,55.4122,55.6047,55.7929,55.9769,56.1563,56.3308,56.5001,56.6638,56.8213,56.972,57.0968,57.2125,57.3183,57.4132,57.6399,58.0352,58.4346,58.8377,59.2441,59.6536,60.1822,60.7131,61.2461,61.7811,62.3177,62.856,63.3957,63.9367,64.4787,65.0218,67.546,68.0836,68.6158,69.143,69.6655,70.1836,70.6978,71.2083,71.7153,72.2191,72.6248,73.0286,73.4306,73.8308,74.2293,74.6262,75.0217,75.4156,75.8083,76.1996,76.4947,76.7894,77.0838,77.3777,77.6711,77.964,78.2564,78.5483,78.8396,79.1304,79.3259,79.5216,79.7175,79.9135,80.1095,80.3054,80.5013,80.6969,80.8924,81.0877,81.1881,81.289,81.3903,81.4919,81.5938,81.6957,81.7978,81.8998,82.0019,82.1039
86dc40b12,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
86dc40b12,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,29.8839,29.6503,29.412,29.1668,28.751,28.3324,27.9099,27.4826,27.0498,26.6111,26.166,25.714,25.2547,24.7879,24.267,23.7379,23.2004,22.6542,22.0992,21.5349,20.9611,20.3773,19.7834,19.1787,18.4701,17.7531,17.0274,16.2927,15.5484,14.7941,14.0294,13.2536,12.4662,11.6664,10.8103,9.9328,9.03312,8.11055,7.16403,6.19278,5.19555,4.17132,3.11873,2.03639,0.855736,-0.36159,-1.61717,-2.91291,-4.25077,-5.63289,-7.06167,-8.53971,-10.0697,-11.6549,-13.3723,-15.154,-17.0038,-18.926,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-4.29382e-05,-2.8182e-05,-2.52562e-05,-2.44645e-05,-2.45046e-05,-2.49793e-05,-2.57212e-05,-2.66406e-05,-2.7683e-05,-2.88075e-05,-2.94332e-05,-3.00665e-05,-3.0683e-05,-3.12611e-05,-3.17855e-05,-3.22433e-05,-3.26242e-05,-3.29223e-05,-3.31332e-05,-3.32561e-05,-3.28851e-05,-3.24792e-05,-3.20436e-05,-3.15837e-05,-3.11053e-05,-3.06143e-05,-3.0115e-05,-2.96132e-05,-2.9113e-05,-2.86183e-05,-2.79469e-05,-2.73172e-05,-2.67282e-05,-2.61791e-05,-2.56687e-05,-2.51963e-05,-2.47613e-05,-2.4363e-05,-2.40009e-05,-2.36747e-05,-2.32986e-05,-2.2969e-05,-2.26847e-05,-2.24451e-05,-2.22501e-05,-2.20998e-05,-2.19955e-05,-2.19383e-05,-2.19308e-05,-2.19756e-05
86dc40b12,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),3.34183e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.25171,0.257831,0.264289,0.271031,0.278383,0.285969,0.293763,0.301746,0.309903,0.318223,0.326697,0.335316,0.344078,0.352978,0.362748,0.372667,0.382734,0.392948,0.40331,0.413821,0.424484,0.435304,0.446286,0.457436,0.469883,0.482543,0.495421,0.508526,0.521865,0.53545,0.549293,0.563405,0.577803,0.592503,0.609405,0.626698,0.644399,0.66253,0.681112,0.700169,0.71973,0.739823,0.760483,0.781747,0.805446,0.829898,0.855151,0.881254,0.908263,0.936238,0.965247,0.995365,1.02667,1.05926,1.09539,1.13312,1.17257,1.21387,1.23072,1.21709,1.2039,1.19114,1.17878,1.1668,1.1542,1.14197,1.13008,1.11853,1.1073,1.09637,1.08572,1.07536,1.06525,1.0554,0.645076,0.64188,0.638735,0.63564,0.632591,0.62959,0.626632,0.623719,0.620847,0.618018,0.615231,0.612487,0.609783,0.60712,0.604497,0.60191,0.599362,0.596849,0.594371,0.591929,0.589521,0.587149,0.584811,0.582506,0.580234,0.577993,0.575784,0.573605,0.571454,0.569332,0.567241,0.565179,0.563146,0.56114,0.559162,0.55721,0.555285,0.553384,0.551509,0.549659,0.547832,0.54603,0.544253,0.542499,0.540769,0.539063,0.537378,0.535715,0.534071,0.53245
