ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
8ebb2bd8a,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,4.14797,3.49599,2.86611,2.20355,1.56024,0.935009,0.326861,5.53617e-06,1.79258e-06,1.10477e-06,8.16431e-07,6.58368e-07,5.58913e-07,4.82394e-07,4.28541e-07,3.88781e-07,3.58393e-07,3.34555e-07,3.15482e-07,2.9999e-07,2.87261e-07,2.76715e-07,2.67923e-07,2.57816e-07,2.49376e-07,2.42305e-07,2.3638e-07,2.31422e-07,2.27295e-07,2.23887e-07,2.21111e-07,2.18894e-07,2.17177e-07,2.14879e-07,2.13085e-07,2.11749e-07,2.10831e-07,2.10301e-07,2.10132e-07,2.10303e-07,2.10798e-07,2.11602e-07,2.12705e-07,2.13402e-07,2.14412e-07,2.15729e-07,2.17347e-07,2.19265e-07,2.21482e-07,2.24002e-07,2.26827e-07,2.29966e-07,2.33426e-07,2.36641e-07,2.40201e-07,2.44118e-07,2.48409e-07,2.53093e-07,2.58193e-07,2.63735e-07,2.6975e-07,2.76271e-07,-5.16522e-15,-1.36345e-15,2.99622e-13,-3.58272e-19,-4.09555e-15,-7.63927e-15,-5.97656e-16,-3.11951e-19,-6.09036e-14,-6.4228e-15,2.6987e-14,-2.62926e-19,2.28231e-13,3.53441e-15,-1.0925e-13,-2.10031e-19,-3.00202e-15,1.04172e-14,1.99161e-13,-1.56658e-19,-2.98035e-15,-6.77622e-16,-1.39857e-13,-1.00904e-19,-3.18862e-15,3.9524e-14,-2.8824e-14,-4.51379e-20,-2.28713e-13,4.62151e-14,-1.05496e-13,1.00332e-20,-4.56627e-13,4.46291e-15,-1.27657e-13,6.51136e-20,-4.43675e-13,1.43286e-14,1.43918e-13,1.17037e-19,-4.57158e-13,-1.18986e-13,4.75163e-14,1.66809e-19,-3.17584e-15,2.30875e-13,4.52536e-13,3.68867e-13,4.53335e-13,2.41879e-19,-9.26676e-15
8ebb2bd8a,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30272,1.31331,1.32253,1.33039,1.33689,1.34202,1.34579,1.34836,1.35053,1.35231,1.35367,1.35464,1.35522,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542,1.35542
8ebb2bd8a,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0119525,0.0105885,0.00922447,0.00786048,0.00649648,0.00513249,0.0037685,0.00257174,0.00216752,0.00177699,0.0013662,0.00096735,0.000579706,0.000202654,3.43242e-09,1.1114e-09,6.84957e-10,5.06187e-10,4.08188e-10,3.46526e-10,2.99084e-10,2.65695e-10,2.41044e-10,2.22204e-10,2.07424e-10,1.95599e-10,1.85994e-10,1.78102e-10,1.71563e-10,1.66112e-10,1.59846e-10,1.54613e-10,1.50229e-10,1.46556e-10,1.43482e-10,1.40923e-10,1.3881e-10,1.37089e-10,1.35714e-10,1.3465e-10,1.33225e-10,1.32113e-10,1.31284e-10,1.30715e-10,1.30386e-10,1.30282e-10,1.30388e-10,1.30694e-10,1.31193e-10,1.31877e-10,1.32309e-10,1.32935e-10,1.33752e-10,1.34756e-10,1.35944e-10,1.37319e-10,1.38881e-10,1.40633e-10,1.42579e-10,1.44724e-10,1.46718e-10,1.48925e-10,1.51353e-10,1.54013e-10,1.56918e-10,1.6008e-10,1.63516e-10,1.67245e-10,1.71288e-10,-3.20244e-18,6.74742e-19,2.42183e-16,-2.04995e-22,-2.53924e-18,-9.06701e-17,3.48724e-17,-1.57915e-22,-2.51734e-18,-1.95191e-16,6.2562e-17,-2.12728e-22,2.22576e-16,3.92324e-17,-6.7735e-17,-1.24139e-22,-1.86125e-18,7.03804e-17,1.77509e-17,-1.20946e-22,7.92251e-17,1.21896e-18,-1.9244e-16,-8.92106e-23,1.38995e-16,1.50545e-16,-7.28377e-18,-1.2884e-23,-1.41802e-16,1.57438e-16,-1.71136e-16,5.23005e-23,-2.83109e-16,-3.82841e-16,-3.33175e-17,2.59625e-23,-2.15179e-16,6.4926e-17,6.45734e-17,7.50882e-23,-2.83438e-16,-5.46822e-16,2.59784e-17,1.29243e-22,-1.96902e-18,9.43821e-16,2.81462e-16,3.05784e-15,1.96452e-16,5.99601e-17,-1.02674e-16
8ebb2bd8a,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8ebb2bd8a,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),-5.00092e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.015,377.693,388.172,396.45,402.528,406.676,410.172,413.038,415.242,416.802,417.737,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064,418.064
8ebb2bd8a,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567287,0.547619,0.529633,0.513118,0.497894,0.483883,0.471244,0.459752,0.449226,0.439533,0.430562,0.422224,0.414478,0.407293,0.400601,0.394341,0.388467,0.382937,0.377723,0.372799,0.368139,0.363716,0.359512,0.355505,0.351681,0.348025,0.344525,0.341167,0.337939,0.334826,0.331822,0.32892,0.326112,0.323396,0.320763,0.318211,0.315735,0.31333,0.310993,0.308718,0.306504,0.304348,0.302246,0.300196,0.298197,0.296244,0.294338,0.292475,0.290655,0.288874,0.287133,0.28543,0.283763,0.282129,0.28053,0.278963,0.277426,0.275919,0.27444,0.272986,0.271557,0.270151,0.268768,0.267407,0.266069,0.264751,0.263454,0.262177,0.260919,0.25968,0.258459,0.257257,0.256071,0.254903,0.253751,0.252616,0.251496,0.250391,0.249302,0.248229,0.247172,0.246129,0.245101,0.244087,0.243088,0.242101,0.241129,0.240169,0.239222,0.238289,0.237368,0.236461,0.235566,0.234682,0.233811,0.232951,0.232101,0.231263,0.230437,0.229622,0.228818,0.228024,0.227241,0.226468,0.225705,0.224952,0.224208,0.223474,0.222749,0.222034,0.221329,0.220632,0.219945,0.219267,0.218597,0.217935,0.217281,0.216636
8ebb2bd8a,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,44.0749,44.6405,45.1617,45.632,46.0497,46.4162,46.734,47.0067,47.2382,47.4325,47.3782,47.3001,47.2009,47.0835,46.9503,46.8037,46.6459,46.5444,46.7494,46.9626,47.1485,47.342,47.5429,47.7511,48.0237,48.3676,48.7121,49.0571,49.4025,49.7485,49.9823,50.215,50.4466,50.6771,50.9065,51.1349,51.3621,51.5882,51.8132,52.037,52.4085,52.7783,53.1466,53.5134,53.8788,54.2429,54.6057,54.9673,55.3278,55.6871,56.081,56.4732,56.864,57.2534,57.6415,58.0284,58.4142,58.7988,59.1824,59.565,59.9363,60.3061,60.6745,61.0417,61.4076,61.7724,62.1361,62.4988,62.8606,63.2214,63.7006,64.1786,64.6556,65.1315,65.6066,66.0809,66.5544,67.0272,67.4993,67.9709,68.4419,68.9123,69.3823,69.8518,70.3209,70.7895,71.2578,71.7256,72.1932,72.6604,73.0317,73.4036,73.7761,74.149,74.5223,74.8958,75.2694,75.6432,76.0171,76.391,76.6697,76.9493,77.2296,77.5105,77.7918,78.0735,78.3555,78.6376,78.9199,79.2023,79.3898,79.5782,79.7673,79.957,80.1471,80.3375,80.5282,80.7192,80.9102,81.1013,81.1978,81.2951,81.393,81.4915,81.5904,81.6897,81.7892,81.8889,81.9887,82.0886
8ebb2bd8a,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
8ebb2bd8a,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,4.14797,3.49599,2.86611,2.20355,1.56024,0.935009,0.326861,5.53617e-06,1.79258e-06,1.10477e-06,8.16431e-07,6.58368e-07,5.58913e-07,4.82394e-07,4.28541e-07,3.88781e-07,3.58393e-07,3.34555e-07,3.15482e-07,2.9999e-07,2.87261e-07,2.76715e-07,2.67923e-07,2.57816e-07,2.49376e-07,2.42305e-07,2.3638e-07,2.31422e-07,2.27295e-07,2.23887e-07,2.21111e-07,2.18894e-07,2.17177e-07,2.14879e-07,2.13085e-07,2.11749e-07,2.10831e-07,2.10301e-07,2.10132e-07,2.10303e-07,2.10798e-07,2.11602e-07,2.12705e-07,2.13402e-07,2.14412e-07,2.15729e-07,2.17347e-07,2.19265e-07,2.21482e-07,2.24002e-07,2.26827e-07,2.29966e-07,2.33426e-07,2.36641e-07,2.40201e-07,2.44118e-07,2.48409e-07,2.53093e-07,2.58193e-07,2.63735e-07,2.6975e-07,2.76271e-07,-5.16522e-15,-1.36345e-15,2.99622e-13,-3.58272e-19,-4.09555e-15,-7.63927e-15,-5.97656e-16,-3.11951e-19,-6.09036e-14,-6.4228e-15,2.6987e-14,-2.62926e-19,2.28231e-13,3.53441e-15,-1.0925e-13,-2.10031e-19,-3.00202e-15,1.04172e-14,1.99161e-13,-1.56658e-19,-2.98035e-15,-6.77622e-16,-1.39857e-13,-1.00904e-19,-3.18862e-15,3.9524e-14,-2.8824e-14,-4.51379e-20,-2.28713e-13,4.62151e-14,-1.05496e-13,1.00332e-20,-4.56627e-13,4.46291e-15,-1.27657e-13,6.51136e-20,-4.43675e-13,1.43286e-14,1.43918e-13,1.17037e-19,-4.57158e-13,-1.18986e-13,4.75163e-14,1.66809e-19,-3.17584e-15,2.30875e-13,4.52536e-13,3.68867e-13,4.53335e-13,2.41879e-19,-9.26676e-15
8ebb2bd8a,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),7.21437e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.562403,0.62565,0.68946,0.753693,0.818229,0.882963,0.947801,1.00155,1.00296,1.00453,1.0082,1.01183,1.01538,1.01881,1.01231,0.994762,0.978415,0.963128,0.948781,0.935274,0.92254,0.910515,0.899131,0.888331,0.878061,0.868276,0.858937,0.850007,0.841457,0.833257,0.825372,0.81777,0.810432,0.803344,0.796487,0.789852,0.783423,0.77719,0.771142,0.765268,0.759559,0.754004,0.748597,0.74333,0.738197,0.733191,0.728307,0.723539,0.718883,0.714334,0.709886,0.705538,0.701287,0.697126,0.693054,0.689065,0.685159,0.681331,0.677578,0.673898,0.670284,0.666734,0.663243,0.659809,0.656432,0.653108,0.649839,0.646621,0.643453,0.640333,0.637261,0.634235,0.631253,0.628317,0.625421,0.622569,0.619755,0.616982,0.614246,0.611548,0.608889,0.606269,0.603685,0.601139,0.598629,0.596152,0.593711,0.591302,0.588926,0.586581,0.584269,0.58199,0.579742,0.577525,0.575339,0.57318,0.571053,0.568952,0.566878,0.564831,0.562812,0.560822,0.558857,0.556918,0.555006,0.553119,0.551256,0.549416,0.5476,0.545807,0.544037,0.54229,0.540567,0.538866,0.537187,0.535531,0.533894,0.532279,0.530682,0.529106
