ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
907b2d1b8,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.5475,23.9328,23.1604,22.3734,21.5687,20.7442,19.8977,19.0274,18.1314,17.2082,16.2561,15.2733,14.208,13.1087,11.9738,10.8016,9.59029,8.33777,7.04203,5.70073,4.31135,2.87116,1.30855,1.56851e-05,2.54765e-06,1.42876e-06,1.01262e-06,7.95624e-07,6.62578e-07,5.72769e-07,5.08146e-07,4.59474e-07,4.19331e-07,3.87622e-07,3.61982e-07,3.40856e-07,3.23176e-07,3.08187e-07,2.95338e-07,2.84218e-07,2.74515e-07,2.65987e-07,2.581e-07,2.51123e-07,2.44917e-07,2.3937e-07,2.34392e-07,2.29906e-07,2.25851e-07,2.22172e-07,2.18825e-07,2.15772e-07,2.12859e-07,2.10199e-07,2.07766e-07,2.05535e-07,2.03486e-07,2.016e-07,1.99863e-07,1.9826e-07,1.96779e-07,1.95408e-07,1.94087e-07,1.92866e-07,1.91735e-07,1.90687e-07,1.89716e-07,1.88814e-07,1.87976e-07,1.87198e-07,1.86474e-07,-1.71377e-19,-1.68337e-19,-1.65326e-19,-1.62188e-19,-1.59084e-19,-1.55919e-19,-1.52793e-19,-1.4962e-19,-1.46448e-19,-1.43182e-19,-1.3993e-19,-1.3666e-19,-1.33346e-19,-1.30002e-19,-1.2666e-19,-1.23277e-19,-1.19968e-19,-1.16568e-19,-1.13183e-19,-1.09776e-19,-1.06382e-19,-1.02963e-19,-9.95706e-20,-9.60798e-20,-9.26626e-20,-8.92221e-20,-8.57192e-20,-8.22665e-20,-7.8865e-20,-7.53364e-20,-7.18623e-20,-6.83616e-20,-6.49201e-20,-6.14286e-20,-5.79235e-20,-5.44746e-20,-5.09289e-20,-4.74734e-20,-4.39698e-20,-4.04625e-20,-3.69267e-20,-3.34716e-20,-2.99533e-20,-2.64795e-20,-2.29608e-20,-1.94831e-20,-1.59973e-20,-1.24475e-20,-8.94034e-21,-5.52678e-21,-3.12185e-12
907b2d1b8,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21936,1.22941,1.23914,1.24853,1.25759,1.2663,1.27466,1.28265,1.29027,1.29749,1.30432,1.31074,1.3167,1.32221,1.32724,1.33178,1.3358,1.33931,1.34226,1.34466,1.34647,1.34767,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
907b2d1b8,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.01031,0.0100518,0.00972738,0.00939681,0.00905887,0.00871258,0.00835704,0.0079915,0.00761521,0.00722745,0.00682755,0.00641481,0.00596736,0.00550566,0.00502901,0.00453669,0.00402792,0.00350187,0.00295765,0.0023943,0.00181077,0.00120589,0.000549591,6.58772e-09,1.07001e-09,6.0008e-10,4.253e-10,3.34162e-10,2.78283e-10,2.40563e-10,2.13421e-10,1.92979e-10,1.76119e-10,1.62802e-10,1.52032e-10,1.43159e-10,1.35734e-10,1.29439e-10,1.24042e-10,1.19371e-10,1.15296e-10,1.11714e-10,1.08402e-10,1.05472e-10,1.02865e-10,1.00536e-10,9.84446e-11,9.65607e-11,9.48572e-11,9.33121e-11,9.19062e-11,9.06242e-11,8.94007e-11,8.82838e-11,8.72616e-11,8.63247e-11,8.54639e-11,8.4672e-11,8.39426e-11,8.32692e-11,8.2647e-11,8.20715e-11,8.15166e-11,8.10036e-11,8.05287e-11,8.00886e-11,7.96805e-11,7.93019e-11,7.895e-11,7.86233e-11,7.83191e-11,-7.19789e-23,-7.07011e-23,-6.94388e-23,-6.81188e-23,-6.68158e-23,-6.54859e-23,-6.41743e-23,-6.28404e-23,-6.15092e-23,-6.01367e-23,-5.87716e-23,-5.73973e-23,-5.60055e-23,-5.46006e-23,-5.31981e-23,-5.17767e-23,-5.03874e-23,-4.89584e-23,-4.75374e-23,-4.61061e-23,-4.46805e-23,-4.32449e-23,-4.18201e-23,-4.03534e-23,-3.89191e-23,-3.74741e-23,-3.60013e-23,-3.45527e-23,-3.3123e-23,-3.16421e-23,-3.0182e-23,-2.87123e-23,-2.72666e-23,-2.58002e-23,-2.43282e-23,-2.28795e-23,-2.13904e-23,-1.9939e-23,-1.84675e-23,-1.69945e-23,-1.55096e-23,-1.40579e-23,-1.25807e-23,-1.11214e-23,-9.64396e-24,-8.18306e-24,-6.71894e-24,-5.22822e-24,-3.75512e-24,-2.32154e-24,-8.29461e-25
907b2d1b8,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
907b2d1b8,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.42 delta_degC/(TtCO2),-5.00019e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,293.172,317.105,340.265,362.639,384.207,404.952,424.849,443.877,462.008,479.216,495.473,510.746,524.954,538.063,550.036,560.838,570.428,578.766,585.808,591.509,595.82,598.691,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
907b2d1b8,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.669522,0.642395,0.618566,0.597453,0.578529,0.561405,0.545783,0.531433,0.518173,0.505856,0.494361,0.48359,0.473453,0.463885,0.454829,0.446234,0.438057,0.43026,0.42281,0.415677,0.408836,0.402265,0.395942,0.389889,0.384215,0.37888,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
907b2d1b8,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.42 delta_degC/(TtCO2),43.478,44.1099,44.7116,45.2695,45.777,46.2319,46.6352,46.9891,47.2969,47.6843,48.1574,48.3787,48.5936,48.8024,49.0055,49.203,49.3951,49.5817,49.7629,49.9386,50.1084,50.2371,50.359,50.4739,50.5814,50.6811,50.7725,50.8551,50.9283,50.9913,51.0435,50.9564,50.9156,51.1209,51.3273,51.5347,51.743,51.9519,52.1615,52.3715,52.5818,52.9426,53.3029,53.6626,54.0219,54.3808,54.7391,55.097,55.4544,55.8113,56.1676,56.5595,56.9502,57.3399,57.7286,58.1164,58.5034,58.8895,59.2748,59.6593,60.0431,60.4158,60.7872,61.1574,61.5264,61.8944,62.2614,62.6274,62.9926,63.3568,63.7203,64.2031,64.6848,65.1655,65.6452,66.1242,66.6023,67.0797,67.5565,68.0327,68.5082,68.9833,69.4578,69.9319,70.4055,70.8787,71.3515,71.8239,72.296,72.7677,73.239,73.6137,73.9891,74.365,74.7414,75.118,75.495,75.8721,76.2493,76.6266,77.0039,77.2853,77.5676,77.8506,78.1341,78.4181,78.7024,78.987,79.2719,79.5568,79.8418,80.0312,80.2215,80.4125,80.604,80.7959,80.9882,81.1808,81.3736,81.5665,81.7594,81.857,81.9553,82.0544,82.1539,82.2539,82.3542,82.4547,82.5555,82.6563,82.7573
907b2d1b8,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
907b2d1b8,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.5475,23.9328,23.1604,22.3734,21.5687,20.7442,19.8977,19.0274,18.1314,17.2082,16.2561,15.2733,14.208,13.1087,11.9738,10.8016,9.59029,8.33777,7.04203,5.70073,4.31135,2.87116,1.30855,1.56851e-05,2.54765e-06,1.42876e-06,1.01262e-06,7.95624e-07,6.62578e-07,5.72769e-07,5.08146e-07,4.59474e-07,4.19331e-07,3.87622e-07,3.61982e-07,3.40856e-07,3.23176e-07,3.08187e-07,2.95338e-07,2.84218e-07,2.74515e-07,2.65987e-07,2.581e-07,2.51123e-07,2.44917e-07,2.3937e-07,2.34392e-07,2.29906e-07,2.25851e-07,2.22172e-07,2.18825e-07,2.15772e-07,2.12859e-07,2.10199e-07,2.07766e-07,2.05535e-07,2.03486e-07,2.016e-07,1.99863e-07,1.9826e-07,1.96779e-07,1.95408e-07,1.94087e-07,1.92866e-07,1.91735e-07,1.90687e-07,1.89716e-07,1.88814e-07,1.87976e-07,1.87198e-07,1.86474e-07,-1.71377e-19,-1.68337e-19,-1.65326e-19,-1.62188e-19,-1.59084e-19,-1.55919e-19,-1.52793e-19,-1.4962e-19,-1.46448e-19,-1.43182e-19,-1.3993e-19,-1.3666e-19,-1.33346e-19,-1.30002e-19,-1.2666e-19,-1.23277e-19,-1.19968e-19,-1.16568e-19,-1.13183e-19,-1.09776e-19,-1.06382e-19,-1.02963e-19,-9.95706e-20,-9.60798e-20,-9.26626e-20,-8.92221e-20,-8.57192e-20,-8.22665e-20,-7.8865e-20,-7.53364e-20,-7.18623e-20,-6.83616e-20,-6.49201e-20,-6.14286e-20,-5.79235e-20,-5.44746e-20,-5.09289e-20,-4.74734e-20,-4.39698e-20,-4.04625e-20,-3.69267e-20,-3.34716e-20,-2.99533e-20,-2.64795e-20,-2.29608e-20,-1.94831e-20,-1.59973e-20,-1.24475e-20,-8.94034e-21,-5.52678e-21,-3.12185e-12
907b2d1b8,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.42 delta_degC/(TtCO2),9.13093e-34,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.405128,0.418166,0.432585,0.447821,0.46384,0.480626,0.498173,0.516483,0.535568,0.555445,0.576136,0.597669,0.621361,0.646017,0.67168,0.698396,0.72622,0.755211,0.785435,0.816967,0.849892,0.884302,0.922493,0.952254,0.938396,0.925365,0.913075,0.901454,0.890437,0.879972,0.870011,0.86051,0.85142,0.8427,0.834321,0.826261,0.818496,0.811011,0.803783,0.7968,0.790046,0.783508,0.77717,0.771021,0.765052,0.759251,0.753612,0.748125,0.742784,0.73758,0.732509,0.727564,0.72274,0.71803,0.713434,0.708944,0.704555,0.700263,0.696067,0.69196,0.687939,0.684003,0.680142,0.676353,0.672632,0.668976,0.665385,0.661855,0.658387,0.654975,0.651621,0.648321,0.645075,0.641879,0.638735,0.63564,0.632591,0.629589,0.626632,0.623719,0.620847,0.618017,0.61523,0.612486,0.609782,0.60712,0.604496,0.60191,0.599361,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577992,0.575784,0.573604,0.571453,0.569332,0.56724,0.565179,0.563145,0.561139,0.559161,0.55721,0.555284,0.553384,0.551509,0.549658,0.547831,0.54603,0.544253,0.542499,0.540769,0.539063,0.537377,0.535714,0.534071,0.53245
