ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
914b1c828,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.197,21.4883,20.7784,20.0637,19.3417,18.6101,17.8672,17.1112,16.3408,15.5547,14.7514,13.8786,12.9864,12.0735,11.1388,10.181,9.19877,8.19074,7.15528,6.09066,4.995,3.798,2.57144,1.31328,0.0213896,1.34011e-06,6.76243e-07,4.57445e-07,3.48552e-07,2.83407e-07,2.40072e-07,2.06754e-07,1.82383e-07,1.63795e-07,1.49164e-07,1.37354e-07,1.2763e-07,1.19489e-07,1.12579e-07,1.06643e-07,1.01492e-07,9.67239e-08,9.2548e-08,8.88638e-08,8.5592e-08,8.26692e-08,8.00447e-08,7.76765e-08,7.55304e-08,7.3578e-08,7.17953e-08,7.0077e-08,6.85051e-08,6.70629e-08,6.57362e-08,6.45126e-08,6.33814e-08,6.23336e-08,6.13608e-08,6.04561e-08,5.96131e-08,5.87858e-08,5.8015e-08,5.72958e-08,5.66237e-08,5.5995e-08,5.54059e-08,5.48536e-08,5.43349e-08,5.38475e-08,-4.26442e-18,-4.22693e-18,-4.16273e-18,-4.09308e-18,-4.02261e-18,-3.95185e-18,-3.87884e-18,-3.80283e-18,-3.72581e-18,-3.65001e-18,-3.57466e-18,-3.49545e-18,-3.41374e-18,-3.33198e-18,-3.25137e-18,-3.16988e-18,-3.08589e-18,-3.00119e-18,-2.91778e-18,-2.83417e-18,-2.74827e-18,-2.66023e-18,-2.57322e-18,-2.48614e-18,-2.39711e-18,-2.30738e-18,-2.21856e-18,-2.12937e-18,-2.0384e-18,-1.9471e-18,-1.85641e-18,-1.76399e-18,-1.67023e-18,-1.57661e-18,-1.483e-18,-1.38801e-18,-1.29221e-18,-1.19665e-18,-1.10027e-18,-1.00227e-18,-9.03893e-19,-8.04421e-19,-7.03157e-19,-6.00488e-19,-4.97346e-19,-3.92778e-19,-2.86618e-19,-1.8059e-19,-7.54315e-20,2.6563e-20,-1.40156e-13
914b1c828,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21899,1.22831,1.23734,1.24607,1.25449,1.26262,1.27043,1.27794,1.28512,1.29199,1.29852,1.30472,1.31054,1.316,1.32107,1.32575,1.33002,1.33389,1.33733,1.34033,1.34289,1.34499,1.34658,1.34766,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
914b1c828,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.00994481,0.00932276,0.00902509,0.00872692,0.00842677,0.00812352,0.00781625,0.00750421,0.00718671,0.00686314,0.00653295,0.00619559,0.00582903,0.00545427,0.00507086,0.00467828,0.00427601,0.00386348,0.00344011,0.00300522,0.00255808,0.0020979,0.00159516,0.00108,0.000551577,8.98364e-06,5.62846e-10,2.84022e-10,1.92127e-10,1.46392e-10,1.19031e-10,1.0083e-10,8.68367e-11,7.66009e-11,6.87941e-11,6.26488e-11,5.76887e-11,5.36049e-11,5.01854e-11,4.72831e-11,4.47902e-11,4.26268e-11,4.06239e-11,3.88703e-11,3.73228e-11,3.59486e-11,3.47211e-11,3.36187e-11,3.26241e-11,3.17229e-11,3.09028e-11,3.01539e-11,2.94325e-11,2.87721e-11,2.81663e-11,2.76093e-11,2.70952e-11,2.66203e-11,2.61802e-11,2.57714e-11,2.53917e-11,2.50375e-11,2.469e-11,2.43663e-11,2.40641e-11,2.37821e-11,2.35179e-11,2.32705e-11,2.30385e-11,2.28206e-11,2.26162e-11,-1.79106e-21,-1.77532e-21,-1.74835e-21,-1.71909e-21,-1.6895e-21,-1.65978e-21,-1.62912e-21,-1.5972e-21,-1.56484e-21,-1.53301e-21,-1.50136e-21,-1.46809e-21,-1.43377e-21,-1.39943e-21,-1.36558e-21,-1.33135e-21,-1.29607e-21,-1.2605e-21,-1.22547e-21,-1.19035e-21,-1.15428e-21,-1.11729e-21,-1.08076e-21,-1.04418e-21,-1.00678e-21,-9.69107e-22,-9.31792e-22,-8.94338e-22,-8.56127e-22,-8.17784e-22,-7.79694e-22,-7.40879e-22,-7.01499e-22,-6.62179e-22,-6.2286e-22,-5.82966e-22,-5.4273e-22,-5.02597e-22,-4.62117e-22,-4.20953e-22,-3.79636e-22,-3.3786e-22,-2.95328e-22,-2.52205e-22,-2.0889e-22,-1.64971e-22,-1.20384e-22,-7.5847e-23,-3.16866e-23,1.11524e-23,-2.22045e-16
914b1c828,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
914b1c828,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.42 delta_degC/(TtCO2),-4.99989e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,314.5,335.988,356.766,376.83,396.172,414.782,432.649,449.76,466.101,481.656,496.407,510.286,523.272,535.346,546.484,556.665,565.864,574.055,581.21,587.301,592.296,596.094,598.665,599.979,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
914b1c828,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639865,0.615073,0.593362,0.57409,0.556794,0.541129,0.52683,0.513691,0.501546,0.490264,0.479737,0.469865,0.460581,0.451822,0.443534,0.435672,0.428194,0.421067,0.41426,0.407747,0.401503,0.395508,0.389751,0.384213,0.37888,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
914b1c828,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.42 delta_degC/(TtCO2),43.478,44.1043,44.6702,45.1423,45.504,45.7514,45.8876,45.9204,45.8594,45.7152,45.7546,45.8659,45.9712,46.0711,46.1659,46.2558,46.3408,46.421,46.4962,46.5662,46.6309,46.6533,46.6691,46.6782,46.6801,46.6744,46.6608,46.6386,46.6072,46.5661,46.5144,46.338,46.1511,45.9532,45.7432,45.9856,46.2379,46.4925,46.7489,47.0069,47.2662,47.66,48.0543,48.4489,48.8437,49.2386,49.6333,50.0279,50.4221,50.816,51.2093,51.6378,52.0651,52.4912,52.9161,53.3398,53.7623,54.1836,54.6037,55.0225,55.4401,55.8516,56.2613,56.6691,57.0752,57.4797,57.8825,58.2837,58.6834,59.0815,59.4782,59.9841,60.4884,60.9912,61.4926,61.9928,62.4916,62.9893,63.4858,63.9813,64.4757,64.9691,65.4615,65.953,66.4437,66.9334,67.4224,67.9106,68.3979,68.8846,69.3705,69.7615,70.1527,70.5439,70.9351,71.3261,71.717,72.1077,72.4981,72.8882,73.278,73.5737,73.8698,74.1661,74.4627,74.7592,75.0559,75.3524,75.6488,75.945,76.2411,76.4433,76.6461,76.8492,77.0525,77.2559,77.4593,77.6628,77.8662,78.0694,78.2726,78.3821,78.4921,78.6024,78.713,78.8238,78.9346,79.0455,79.1563,79.267,79.3776
914b1c828,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
914b1c828,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.197,21.4883,20.7784,20.0637,19.3417,18.6101,17.8672,17.1112,16.3408,15.5547,14.7514,13.8786,12.9864,12.0735,11.1388,10.181,9.19877,8.19074,7.15528,6.09066,4.995,3.798,2.57144,1.31328,0.0213896,1.34011e-06,6.76243e-07,4.57445e-07,3.48552e-07,2.83407e-07,2.40072e-07,2.06754e-07,1.82383e-07,1.63795e-07,1.49164e-07,1.37354e-07,1.2763e-07,1.19489e-07,1.12579e-07,1.06643e-07,1.01492e-07,9.67239e-08,9.2548e-08,8.88638e-08,8.5592e-08,8.26692e-08,8.00447e-08,7.76765e-08,7.55304e-08,7.3578e-08,7.17953e-08,7.0077e-08,6.85051e-08,6.70629e-08,6.57362e-08,6.45126e-08,6.33814e-08,6.23336e-08,6.13608e-08,6.04561e-08,5.96131e-08,5.87858e-08,5.8015e-08,5.72958e-08,5.66237e-08,5.5995e-08,5.54059e-08,5.48536e-08,5.43349e-08,5.38475e-08,-4.26442e-18,-4.22693e-18,-4.16273e-18,-4.09308e-18,-4.02261e-18,-3.95185e-18,-3.87884e-18,-3.80283e-18,-3.72581e-18,-3.65001e-18,-3.57466e-18,-3.49545e-18,-3.41374e-18,-3.33198e-18,-3.25137e-18,-3.16988e-18,-3.08589e-18,-3.00119e-18,-2.91778e-18,-2.83417e-18,-2.74827e-18,-2.66023e-18,-2.57322e-18,-2.48614e-18,-2.39711e-18,-2.30738e-18,-2.21856e-18,-2.12937e-18,-2.0384e-18,-1.9471e-18,-1.85641e-18,-1.76399e-18,-1.67023e-18,-1.57661e-18,-1.483e-18,-1.38801e-18,-1.29221e-18,-1.19665e-18,-1.10027e-18,-1.00227e-18,-9.03893e-19,-8.04421e-19,-7.03157e-19,-6.00488e-19,-4.97346e-19,-3.92778e-19,-2.86618e-19,-1.8059e-19,-7.54315e-20,2.6563e-20,-1.40156e-13
914b1c828,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.42 delta_degC/(TtCO2),6.49291e-34,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.16635,1.19272,1.2209,1.25068,1.28191,1.31451,1.3484,1.38354,1.41991,1.45751,1.49634,1.53966,1.58434,1.6304,1.67791,1.7269,1.77746,1.82967,1.88361,1.93941,1.99719,2.06168,2.12857,2.19802,2.27022,2.24176,2.21323,2.18618,2.16049,2.13603,2.11271,2.09039,2.06898,2.04841,2.02862,2.00956,1.99118,1.97343,1.95629,1.93971,1.92365,1.90809,1.893,1.87834,1.8641,1.85025,1.83678,1.82367,1.81089,1.79844,1.7863,1.77446,1.76289,1.75161,1.74058,1.72981,1.71927,1.70897,1.69889,1.68901,1.67935,1.66987,1.66057,1.65143,1.64246,1.63364,1.62497,1.61646,1.60808,1.59985,1.59174,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
