ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
9c5df7611,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,16.0458,15.4773,14.9247,14.3854,13.8574,13.3392,12.8295,12.3273,11.7811,11.2414,10.7079,10.1799,9.65732,9.13965,8.62664,8.11792,7.61316,7.11202,6.54494,5.98432,5.42997,4.88175,4.33936,3.80259,3.27114,2.74469,2.22296,1.70549,1.09288,0.478859,9.04254e-06,1.67537e-06,9.39921e-07,6.61345e-07,5.14922e-07,4.24756e-07,3.63708e-07,3.19678e-07,2.82455e-07,2.54143e-07,2.31921e-07,2.14043e-07,1.9937e-07,1.87133e-07,1.76788e-07,1.6794e-07,1.60302e-07,1.53649e-07,1.47049e-07,1.41281e-07,1.3621e-07,1.31725e-07,1.27741e-07,1.24186e-07,1.21004e-07,1.18145e-07,1.15569e-07,1.13244e-07,1.10802e-07,1.08599e-07,1.06608e-07,1.04807e-07,1.03177e-07,1.017e-07,1.00362e-07,9.91512e-08,9.80551e-08,-4.65996e-10,-4.56165e-10,-4.46004e-10,-4.35523e-10,-4.24738e-10,-4.13663e-10,-4.02308e-10,-3.90688e-10,-3.78813e-10,-3.66696e-10,-3.54346e-10,-3.40781e-10,-3.27049e-10,-3.13165e-10,-2.99137e-10,-2.8498e-10,-2.70702e-10,-2.56313e-10,-2.41825e-10,-2.27245e-10,-2.12583e-10,-1.97045e-10,-1.81472e-10,-1.65876e-10,-1.50267e-10,-1.34658e-10,-1.19059e-10,-1.0348e-10,-8.79347e-11,-7.24334e-11,-5.69872e-11,-4.09213e-11,-2.49529e-11,-9.09816e-12,6.62718e-12,2.22083e-11,3.76279e-11,5.28687e-11,6.79125e-11,8.27407e-11,9.7334e-11,1.12286e-10,1.26948e-10,1.41294e-10,1.55297e-10,1.68929e-10,1.8216e-10,1.94957e-10,2.07286e-10,2.19112e-10,2.30396e-10
9c5df7611,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30272,1.31331,1.32326,1.33285,1.34211,1.35103,1.35962,1.36789,1.37584,1.38348,1.39079,1.39776,1.4044,1.41071,1.4167,1.42236,1.42771,1.43275,1.43747,1.44187,1.44593,1.44964,1.45301,1.45604,1.45873,1.46108,1.46311,1.46481,1.46619,1.46725,1.46793,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822
9c5df7611,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0119525,0.0105885,0.0099484,0.00959594,0.00925332,0.00891896,0.00859162,0.00827032,0.00795432,0.00764295,0.0073043,0.0069697,0.00663887,0.00631156,0.00598754,0.00566658,0.00534852,0.00503311,0.00472016,0.00440945,0.00405787,0.00371028,0.00336658,0.00302668,0.00269041,0.00235761,0.00202811,0.00170171,0.00137823,0.00105741,0.000677587,0.000296892,5.60638e-09,1.03873e-09,5.82751e-10,4.10034e-10,3.19252e-10,2.63349e-10,2.25499e-10,1.982e-10,1.75122e-10,1.57569e-10,1.43791e-10,1.32706e-10,1.2361e-10,1.16023e-10,1.09608e-10,1.04123e-10,9.93869e-11,9.52627e-11,9.11702e-11,8.75944e-11,8.445e-11,8.16696e-11,7.91993e-11,7.69955e-11,7.50222e-11,7.32498e-11,7.16529e-11,7.02114e-11,6.86971e-11,6.73312e-11,6.6097e-11,6.49804e-11,6.39695e-11,6.30538e-11,6.22246e-11,6.14739e-11,6.0794e-11,-2.88876e-13,-2.82848e-13,-2.76452e-13,-2.7e-13,-2.63347e-13,-2.56505e-13,-2.4956e-13,-2.42066e-13,-2.34858e-13,-2.27408e-13,-2.19814e-13,-2.11203e-13,-2.0271e-13,-1.94263e-13,-1.85424e-13,-1.76727e-13,-1.67874e-13,-1.58801e-13,-1.50039e-13,-1.40837e-13,-1.31666e-13,-1.22292e-13,-1.12594e-13,-1.02811e-13,-9.30202e-14,-8.35214e-14,-7.37368e-14,-6.4338e-14,-5.44349e-14,-4.48622e-14,-3.53238e-14,-2.53094e-14,-1.5507e-14,-5.77515e-15,4.23952e-15,1.37207e-14,2.33132e-14,3.28653e-14,4.19922e-14,5.12778e-14,6.04073e-14,6.96993e-14,7.86494e-14,8.74742e-14,9.63681e-14,1.04799e-13,1.1282e-13,1.21004e-13,1.28515e-13,1.35692e-13,1.42968e-13
9c5df7611,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9c5df7611,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),-1.64661e-12,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,366.183,381.66,396.585,410.97,424.828,438.167,450.997,463.324,475.105,486.347,497.054,507.234,516.892,526.031,534.658,542.776,550.389,557.501,564.046,570.03,575.46,580.342,584.681,588.484,591.755,594.5,596.723,598.428,599.521,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
9c5df7611,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567943,0.549532,0.533149,0.518424,0.505076,0.492888,0.481689,0.471344,0.461733,0.452771,0.444384,0.436509,0.429091,0.422085,0.415452,0.409157,0.403171,0.397467,0.392024,0.386828,0.381859,0.377102,0.372539,0.368159,0.363947,0.359894,0.355989,0.352222,0.348574,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
9c5df7611,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,44.0803,44.6215,45.0684,45.4049,45.6273,45.7392,45.7486,45.6655,45.5006,45.2651,44.8002,44.2945,44.2389,44.3666,44.4989,44.6361,44.7784,44.9257,45.0782,45.2357,45.3622,45.4933,45.6289,45.7689,45.9134,46.0621,46.215,46.3718,46.5325,46.6969,46.751,46.8089,46.8705,46.9358,47.0046,47.0769,47.1525,47.2313,47.3132,47.3981,47.5887,47.7796,48.0117,48.3854,48.7604,49.1363,49.513,49.8903,50.2681,50.6461,51.0597,51.4728,51.8853,52.2972,52.7084,53.119,53.5288,53.9378,54.3461,54.7535,55.1552,55.5554,55.9541,56.3514,56.7472,57.1417,57.5349,57.9267,58.3172,58.7064,59.2036,59.6993,60.1938,60.6869,61.1789,61.6698,62.1595,62.6483,63.136,63.6228,64.1087,64.5937,65.0778,65.5611,66.0437,66.5254,67.0065,67.4868,67.9664,68.4453,68.8307,69.2162,69.6018,69.9874,70.3729,70.7582,71.1434,71.5283,71.9129,72.2973,72.5888,72.8807,73.1729,73.4653,73.7578,74.0503,74.3427,74.635,74.9271,75.2191,75.4186,75.6185,75.8188,76.0193,76.2199,76.4205,76.6212,76.8218,77.0223,77.2226,77.3306,77.4391,77.548,77.657,77.7663,77.8756,77.9849,78.0942,78.2034,78.3125
9c5df7611,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
9c5df7611,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,16.0458,15.4773,14.9247,14.3854,13.8574,13.3392,12.8295,12.3273,11.7811,11.2414,10.7079,10.1799,9.65732,9.13965,8.62664,8.11792,7.61316,7.11202,6.54494,5.98432,5.42997,4.88175,4.33936,3.80259,3.27114,2.74469,2.22296,1.70549,1.09288,0.478859,9.04254e-06,1.67537e-06,9.39921e-07,6.61345e-07,5.14922e-07,4.24756e-07,3.63708e-07,3.19678e-07,2.82455e-07,2.54143e-07,2.31921e-07,2.14043e-07,1.9937e-07,1.87133e-07,1.76788e-07,1.6794e-07,1.60302e-07,1.53649e-07,1.47049e-07,1.41281e-07,1.3621e-07,1.31725e-07,1.27741e-07,1.24186e-07,1.21004e-07,1.18145e-07,1.15569e-07,1.13244e-07,1.10802e-07,1.08599e-07,1.06608e-07,1.04807e-07,1.03177e-07,1.017e-07,1.00362e-07,9.91512e-08,9.80551e-08,-4.65996e-10,-4.56165e-10,-4.46004e-10,-4.35523e-10,-4.24738e-10,-4.13663e-10,-4.02308e-10,-3.90688e-10,-3.78813e-10,-3.66696e-10,-3.54346e-10,-3.40781e-10,-3.27049e-10,-3.13165e-10,-2.99137e-10,-2.8498e-10,-2.70702e-10,-2.56313e-10,-2.41825e-10,-2.27245e-10,-2.12583e-10,-1.97045e-10,-1.81472e-10,-1.65876e-10,-1.50267e-10,-1.34658e-10,-1.19059e-10,-1.0348e-10,-8.79347e-11,-7.24334e-11,-5.69872e-11,-4.09213e-11,-2.49529e-11,-9.09816e-12,6.62718e-12,2.22083e-11,3.76279e-11,5.28687e-11,6.79125e-11,8.27407e-11,9.7334e-11,1.12286e-10,1.26948e-10,1.41294e-10,1.55297e-10,1.68929e-10,1.8216e-10,1.94957e-10,2.07286e-10,2.19112e-10,2.30396e-10
9c5df7611,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1.82973e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.22731,1.3808,1.53608,1.58544,1.59457,1.60466,1.61549,1.62685,1.6386,1.65063,1.66287,1.67864,1.69442,1.71015,1.72578,1.74129,1.75665,1.77185,1.78687,1.80171,1.81637,1.83472,1.85282,1.87069,1.8883,1.90566,1.92277,1.93964,1.95628,1.9727,1.98891,2.01211,2.03511,2.04841,2.02862,2.00956,1.99118,1.97343,1.95629,1.93971,1.92365,1.90809,1.893,1.87834,1.8641,1.85025,1.83678,1.82367,1.81089,1.79844,1.7863,1.77446,1.76289,1.75161,1.74058,1.72981,1.71927,1.70897,1.69889,1.68901,1.67935,1.66987,1.66057,1.65143,1.64246,1.63364,1.62497,1.61646,1.60808,1.59985,1.59174,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
