ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
a33955e4c,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.1851,16.5924,16.0155,15.451,14.8966,14.3503,13.8107,13.2764,12.7465,12.1698,11.5963,11.0256,10.4574,9.89103,9.32621,8.76256,8.19964,7.63705,7.07437,6.44214,5.81276,5.186,4.56165,3.93936,3.31884,2.69971,2.08159,1.4641,0.846703,0.123739,1.98264e-06,9.1346e-07,6.00124e-07,4.50507e-07,3.62944e-07,3.0548e-07,2.64902e-07,2.34733e-07,2.11433e-07,1.91023e-07,1.74728e-07,1.61431e-07,1.50382e-07,1.41063e-07,1.33104e-07,1.26232e-07,1.20243e-07,1.1498e-07,1.10323e-07,1.05759e-07,1.01705e-07,9.80861e-08,9.48375e-08,9.19084e-08,8.92562e-08,8.68464e-08,8.46487e-08,8.26383e-08,8.0794e-08,7.89142e-08,7.71906e-08,7.5606e-08,7.41463e-08,7.27993e-08,7.15538e-08,7.04006e-08,6.9331e-08,6.83377e-08,-2.35631e-18,-2.35261e-18,-2.31418e-18,-2.26709e-18,-2.21254e-18,-2.15316e-18,-2.09439e-18,-2.03955e-18,-1.98587e-18,-1.92813e-18,-1.86599e-18,-1.80051e-18,-1.7392e-18,-1.67884e-18,-1.61447e-18,-1.54685e-18,-1.48136e-18,-1.41901e-18,-1.35506e-18,-1.28694e-18,-1.21878e-18,-1.15077e-18,-1.08284e-18,-1.01163e-18,-9.39889e-19,-8.70798e-19,-8.02174e-19,-7.31011e-19,-6.59459e-19,-5.89903e-19,-5.20507e-19,-4.46822e-19,-3.7326e-19,-3.00919e-19,-2.28411e-19,-1.55277e-19,-8.24563e-20,-9.88444e-21,6.28925e-20,1.35433e-19,2.08228e-19,2.84328e-19,3.60166e-19,4.3593e-19,5.1398e-19,5.94297e-19,6.75165e-19,7.60365e-19,8.56941e-19,9.68011e-19,4.30034e-13
a33955e4c,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21899,1.22801,1.23611,1.24333,1.2503,1.25702,1.26351,1.26977,1.27579,1.2816,1.28717,1.29253,1.29764,1.30251,1.30714,1.31153,1.31568,1.3196,1.32328,1.32673,1.32993,1.3329,1.33561,1.33805,1.34023,1.34214,1.3438,1.34519,1.34633,1.3472,1.34782,1.34817,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
a33955e4c,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.00994481,0.00902082,0.00809682,0.00721773,0.0069688,0.00672649,0.00648942,0.00625657,0.00602715,0.00580049,0.00557611,0.00535355,0.0051113,0.00487044,0.00463077,0.0043921,0.00415423,0.00391701,0.00368027,0.00344385,0.00320756,0.00297124,0.0027057,0.00244136,0.00217812,0.00191589,0.00165453,0.00139391,0.00113388,0.000874266,0.000614922,0.000355615,5.19704e-05,8.32707e-10,3.83653e-10,2.52052e-10,1.89213e-10,1.52436e-10,1.28302e-10,1.11259e-10,9.85878e-11,8.88019e-11,8.02296e-11,7.3386e-11,6.78011e-11,6.31604e-11,5.92464e-11,5.59037e-11,5.30174e-11,5.0502e-11,4.82916e-11,4.63354e-11,4.44187e-11,4.27163e-11,4.11962e-11,3.98317e-11,3.86015e-11,3.74876e-11,3.64755e-11,3.55524e-11,3.47082e-11,3.39333e-11,3.31441e-11,3.24199e-11,3.17546e-11,3.11415e-11,3.05757e-11,3.00527e-11,2.95681e-11,2.9119e-11,2.87019e-11,-9.89636e-22,-9.88102e-22,-9.71982e-22,-9.52163e-22,-9.29276e-22,-9.04358e-22,-8.79606e-22,-8.56626e-22,-8.34075e-22,-8.09839e-22,-7.83678e-22,-7.56247e-22,-7.30465e-22,-7.05101e-22,-6.78081e-22,-6.49702e-22,-6.22171e-22,-5.95992e-22,-5.6913e-22,-5.40547e-22,-5.11863e-22,-4.8333e-22,-4.54808e-22,-4.24891e-22,-3.94768e-22,-3.65728e-22,-3.36931e-22,-3.07044e-22,-2.76985e-22,-2.47751e-22,-2.18612e-22,-1.87672e-22,-1.56779e-22,-1.26394e-22,-9.59617e-23,-6.5223e-23,-3.46306e-23,-4.17633e-24,2.63989e-23,5.68749e-23,8.74514e-23,1.19385e-22,1.51261e-22,1.83081e-22,2.15849e-22,2.49579e-22,2.83536e-22,3.19343e-22,3.59886e-22,4.06538e-22,4.55059e-22
a33955e4c,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a33955e4c,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),-5.00011e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.244,366.836,382.852,398.303,413.199,427.55,441.361,454.637,467.384,479.553,491.15,502.175,512.633,522.524,531.85,540.612,548.812,556.449,563.523,569.966,575.778,580.964,585.526,589.465,592.784,595.484,597.565,599.03,599.876,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
a33955e4c,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588961,0.568312,0.550112,0.53388,0.519261,0.505986,0.493844,0.482673,0.472339,0.462726,0.453754,0.445347,0.437445,0.429996,0.422953,0.416279,0.40994,0.403906,0.398153,0.392657,0.387407,0.382382,0.377567,0.372946,0.368505,0.364232,0.360117,0.356148,0.352317,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
a33955e4c,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,44.0968,44.6552,45.1197,45.4739,45.7139,45.843,45.869,45.8016,45.6515,45.4295,44.9762,44.5243,44.6579,44.7945,44.9344,45.0779,45.2252,45.3762,45.5309,45.6893,45.8151,45.9441,46.0762,46.2112,46.3492,46.4899,46.6333,46.7792,46.9274,47.0777,47.1154,47.1553,47.1975,47.2419,47.2883,47.3367,47.387,47.4389,47.4925,47.5474,47.7046,48.0462,48.4264,48.8078,49.19,49.573,49.9565,50.3404,50.7246,51.1088,51.5287,51.948,52.3665,52.7842,53.2012,53.6173,54.0326,54.447,54.8605,55.273,55.6797,56.0848,56.4883,56.8903,57.2908,57.6899,58.0876,58.4838,58.8787,59.2723,59.7748,60.2758,60.7755,61.2738,61.771,62.2669,62.7618,63.2556,63.7483,64.2401,64.731,65.2209,65.71,66.1982,66.6856,67.1722,67.6581,68.1432,68.6276,69.1113,69.5006,69.8899,70.2794,70.6688,71.0581,71.4473,71.8363,72.225,72.6135,73.0016,73.296,73.5909,73.886,74.1812,74.4766,74.772,75.0673,75.3625,75.6575,75.9523,76.1538,76.3557,76.5579,76.7604,76.963,77.1656,77.3683,77.5708,77.7733,77.9756,78.0847,78.1942,78.3041,78.4143,78.5246,78.635,78.7454,78.8557,78.966,79.0762
a33955e4c,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
a33955e4c,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.1851,16.5924,16.0155,15.451,14.8966,14.3503,13.8107,13.2764,12.7465,12.1698,11.5963,11.0256,10.4574,9.89103,9.32621,8.76256,8.19964,7.63705,7.07437,6.44214,5.81276,5.186,4.56165,3.93936,3.31884,2.69971,2.08159,1.4641,0.846703,0.123739,1.98264e-06,9.1346e-07,6.00124e-07,4.50507e-07,3.62944e-07,3.0548e-07,2.64902e-07,2.34733e-07,2.11433e-07,1.91023e-07,1.74728e-07,1.61431e-07,1.50382e-07,1.41063e-07,1.33104e-07,1.26232e-07,1.20243e-07,1.1498e-07,1.10323e-07,1.05759e-07,1.01705e-07,9.80861e-08,9.48375e-08,9.19084e-08,8.92562e-08,8.68464e-08,8.46487e-08,8.26383e-08,8.0794e-08,7.89142e-08,7.71906e-08,7.5606e-08,7.41463e-08,7.27993e-08,7.15538e-08,7.04006e-08,6.9331e-08,6.83377e-08,-2.35631e-18,-2.35261e-18,-2.31418e-18,-2.26709e-18,-2.21254e-18,-2.15316e-18,-2.09439e-18,-2.03955e-18,-1.98587e-18,-1.92813e-18,-1.86599e-18,-1.80051e-18,-1.7392e-18,-1.67884e-18,-1.61447e-18,-1.54685e-18,-1.48136e-18,-1.41901e-18,-1.35506e-18,-1.28694e-18,-1.21878e-18,-1.15077e-18,-1.08284e-18,-1.01163e-18,-9.39889e-19,-8.70798e-19,-8.02174e-19,-7.31011e-19,-6.59459e-19,-5.89903e-19,-5.20507e-19,-4.46822e-19,-3.7326e-19,-3.00919e-19,-2.28411e-19,-1.55277e-19,-8.24563e-20,-9.88444e-21,6.28925e-20,1.35433e-19,2.08228e-19,2.84328e-19,3.60166e-19,4.3593e-19,5.1398e-19,5.94297e-19,6.75165e-19,7.60365e-19,8.56941e-19,9.68011e-19,4.30034e-13
a33955e4c,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),7.92507e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.22731,1.3808,1.52635,1.53655,1.54805,1.56057,1.57387,1.5878,1.60221,1.61701,1.63213,1.65085,1.66972,1.68869,1.70773,1.7268,1.7459,1.765,1.7841,1.8032,1.82231,1.8453,1.86827,1.8912,1.91409,1.93694,1.95976,1.98257,2.00537,2.02818,2.05103,2.08147,2.06898,2.04841,2.02862,2.00956,1.99118,1.97343,1.95629,1.93971,1.92365,1.90809,1.893,1.87834,1.8641,1.85025,1.83678,1.82367,1.81089,1.79844,1.7863,1.77446,1.76289,1.75161,1.74058,1.72981,1.71927,1.70897,1.69889,1.68901,1.67935,1.66987,1.66057,1.65143,1.64246,1.63364,1.62497,1.61646,1.60808,1.59985,1.59174,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
