ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
a382a5489,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4782,20.8371,20.2745,19.7276,19.1937,18.6712,18.1586,17.6549,17.1595,16.6717,16.1911,15.6691,15.1541,14.6461,14.145,13.6508,13.1635,12.6832,12.2099,11.7436,11.2842,10.7522,10.23,9.71785,9.21589,8.72414,8.24269,7.77157,7.31081,6.86048,6.4205,5.92765,5.44155,4.96255,4.49113,4.02749,3.57216,3.12528,2.68728,2.25835,1.83872,1.36504,0.900024,0.444219,-0.00200845,-0.438229,-0.864004,-1.279,-1.68288,-2.07522,-2.4558,-2.88661,-3.30513,-3.71073,-4.10305,-4.48159,-4.84594,-5.19547,-5.52991,-5.84879,-6.15164,-6.51045,-6.85369,-7.18078,-7.4909,-7.7832,-8.05698,-8.31131,-8.5455,-8.75863,-8.94995,-9.11845,-9.26334,-9.38354,-9.47807,-9.54602,-9.58615,-9.59749,-9.57867,-9.52859,-9.44577,-9.22309,-8.96635,-8.67462,-8.34653,-7.98093,-7.57639,-7.13121,-6.64381,-6.11215,-5.53423,-4.81436,-4.04685,-3.22949,-2.35973,-1.43482,-0.451728,-0.000100355,-3.63045e-05,-2.22925e-05,-1.61597e-05,-1.25261e-05,-1.02692e-05,-8.73407e-06,-7.62468e-06,-6.78741e-06,-6.13488e-06,-5.61364e-06,-5.18919e-06,-4.83828e-06,-4.5447e-06,-4.27916e-06,-4.05504e-06,-3.8648e-06,-3.70281e-06,-3.56479e-06,-3.44744e-06,-3.3483e-06,-3.26544e-06,-3.19748e-06,-3.14338e-06
a382a5489,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30369,1.31626,1.32849,1.34039,1.35196,1.36322,1.37417,1.38481,1.39514,1.40518,1.4149,1.42429,1.43337,1.44214,1.45061,1.45877,1.46663,1.4742,1.48148,1.48848,1.49515,1.50149,1.50751,1.51323,1.51864,1.52375,1.52857,1.5331,1.53735,1.54133,1.54501,1.54838,1.55146,1.55424,1.55674,1.55895,1.56089,1.56256,1.56396,1.5651,1.56594,1.5665,1.56678,1.56678,1.5665,1.56597,1.56518,1.56413,1.56285,1.56132,1.55953,1.55748,1.55518,1.55264,1.54986,1.54686,1.54364,1.54021,1.53658,1.53277,1.52873,1.52448,1.52003,1.51538,1.51056,1.50556,1.50041,1.49511,1.48968,1.48413,1.47848,1.47274,1.46692,1.46104,1.45512,1.44918,1.44323,1.43729,1.43138,1.42553,1.41981,1.41425,1.40887,1.4037,1.39875,1.39405,1.38963,1.38551,1.38172,1.37829,1.3753,1.3728,1.37079,1.36933,1.36844,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816,1.36816
a382a5489,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133165,0.012919,0.0125702,0.0122311,0.0119001,0.0115761,0.0112583,0.010946,0.0106389,0.0103364,0.0100385,0.00971484,0.00939556,0.00908059,0.0087699,0.0084635,0.00816138,0.00786359,0.00757013,0.00728101,0.00699623,0.00666634,0.00634259,0.00602506,0.00571385,0.00540897,0.00511047,0.00481837,0.0045327,0.0042535,0.00398071,0.00367514,0.00337376,0.00307678,0.0027845,0.00249704,0.00221474,0.00193768,0.00166611,0.00140017,0.00114,0.000846322,0.000558015,0.000275416,-1.24524e-06,-0.000271702,-0.000535682,-0.000792981,-0.00104339,-0.00128664,-0.0015226,-0.0017897,-0.00204918,-0.00230065,-0.00254389,-0.00277859,-0.00300448,-0.00322119,-0.00342854,-0.00362625,-0.00381402,-0.00403648,-0.00424929,-0.00445208,-0.00464436,-0.00482558,-0.00499533,-0.00515301,-0.00529821,-0.00543035,-0.00554897,-0.00565344,-0.00574327,-0.0058178,-0.0058764,-0.00591854,-0.00594341,-0.00595045,-0.00593878,-0.00590773,-0.00585638,-0.00571832,-0.00555913,-0.00537827,-0.00517485,-0.00494818,-0.00469736,-0.00442135,-0.00411916,-0.00378954,-0.00343122,-0.0029849,-0.00250904,-0.00200229,-0.00146303,-0.000889587,-0.000280071,-6.22204e-08,-2.25088e-08,-1.38213e-08,-1.0019e-08,-7.76621e-09,-6.36687e-09,-5.41512e-09,-4.7273e-09,-4.20819e-09,-3.80362e-09,-3.48045e-09,-3.2173e-09,-2.99974e-09,-2.81772e-09,-2.65308e-09,-2.51412e-09,-2.39618e-09,-2.29574e-09,-2.21017e-09,-2.13741e-09,-2.07594e-09,-2.02457e-09,-1.98244e-09,-1.9489e-09
a382a5489,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a382a5489,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.62 delta_degC/(TtCO2),-5.00111e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,334.618,354.892,374.62,393.814,412.485,430.643,448.298,465.458,482.129,498.32,513.99,529.144,543.79,557.935,571.586,584.749,597.432,609.642,621.386,632.67,643.422,653.652,663.37,672.586,681.31,689.553,697.324,704.635,711.496,717.916,723.844,729.285,734.248,738.739,742.766,746.339,749.464,752.151,754.41,756.248,757.613,758.513,758.958,758.956,758.517,757.653,756.374,754.691,752.616,750.16,747.274,743.969,740.258,736.155,731.673,726.827,721.632,716.102,710.253,704.102,697.591,690.737,683.557,676.066,668.283,660.226,651.914,643.369,634.61,625.66,616.542,607.278,597.895,588.417,578.871,569.285,559.687,550.108,540.58,531.134,521.911,512.945,504.27,495.923,487.943,480.366,473.235,466.591,460.479,454.945,450.13,446.084,442.854,440.494,439.059,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.608,438.607,438.607,438.607,438.607,438.607,438.607
a382a5489,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.613973,0.592082,0.572789,0.555585,0.540092,0.526027,0.513167,0.501339,0.490402,0.480243,0.47076,0.46188,0.45354,0.445682,0.438261,0.431233,0.424566,0.418226,0.412187,0.406425,0.400918,0.395655,0.390617,0.38579,0.381158,0.376709,0.37243,0.36831,0.364341,0.360513,0.356808,0.353214,0.349725,0.346339,0.343047,0.339849,0.336738,0.333713,0.330768,0.327901,0.325105,0.322376,0.319713,0.317113,0.314573,0.312093,0.30967,0.307301,0.304986,0.302723,0.300509,0.298341,0.296219,0.294143,0.292109,0.290118,0.288168,0.286258,0.284387,0.282554,0.280755,0.278988,0.277251,0.275545,0.273869,0.272223,0.270606,0.269017,0.267457,0.265924,0.264418,0.262939,0.261486,0.260059,0.258658,0.257282,0.255931,0.254604,0.253301,0.252023,0.250769,0.249543,0.24834,0.247164,0.246012,0.244883,0.243779,0.242698,0.24164,0.240605,0.239595,0.238609,0.237646,0.236708,0.235793,0.234901,0.234026,0.233162,0.23231,0.231468,0.230638,0.22982,0.229013,0.228216,0.22743,0.226654,0.225889,0.225133,0.224386,0.22365,0.222922,0.222205,0.221497,0.220798,0.220108,0.219428,0.218756,0.218092,0.217436,0.216789
a382a5489,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,44.0749,44.6405,45.1617,45.632,46.0497,46.4162,46.734,47.0067,47.2382,47.4325,47.6369,47.8493,48.061,48.2725,48.4845,48.6972,48.911,49.1261,49.3429,49.5614,49.7476,49.9356,50.1255,50.3174,50.5116,50.7081,50.907,51.1083,51.312,51.5183,51.598,51.6803,51.7653,51.8531,51.9438,52.0374,52.1339,52.2333,52.3357,52.441,52.6892,52.9389,53.1905,53.444,53.6997,53.9576,54.218,54.4809,54.7464,55.0146,55.313,55.6136,55.9165,56.222,56.5302,56.8411,57.1549,57.4716,57.7914,58.1143,58.4237,58.7359,59.0509,59.3689,59.6899,60.0141,60.3414,60.6721,61.0059,61.3431,61.7926,62.2451,62.7006,63.1594,63.6216,64.0872,64.5563,65.0289,65.5052,65.985,66.4685,66.9557,67.4464,67.9408,68.4389,68.9404,69.4456,69.9542,70.4662,70.9816,71.414,71.85,72.2892,72.7314,73.1764,73.6238,74.0734,74.5249,74.9781,75.4328,75.8004,76.1691,76.5384,76.908,77.2773,77.646,77.9776,78.2794,78.5798,78.879,79.0825,79.2857,79.4884,79.6906,79.8924,80.0936,80.2943,80.4945,80.6941,80.8931,80.9972,81.1015,81.206,81.3105,81.4149,81.5193,81.6236,81.7277,81.8316,81.9353
a382a5489,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
a382a5489,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4782,20.8371,20.2745,19.7276,19.1937,18.6712,18.1586,17.6549,17.1595,16.6717,16.1911,15.6691,15.1541,14.6461,14.145,13.6508,13.1635,12.6832,12.2099,11.7436,11.2842,10.7522,10.23,9.71785,9.21589,8.72414,8.24269,7.77157,7.31081,6.86048,6.4205,5.92765,5.44155,4.96255,4.49113,4.02749,3.57216,3.12528,2.68728,2.25835,1.83872,1.36504,0.900024,0.444219,-0.00200845,-0.438229,-0.864004,-1.279,-1.68288,-2.07522,-2.4558,-2.88661,-3.30513,-3.71073,-4.10305,-4.48159,-4.84594,-5.19547,-5.52991,-5.84879,-6.15164,-6.51045,-6.85369,-7.18078,-7.4909,-7.7832,-8.05698,-8.31131,-8.5455,-8.75863,-8.94995,-9.11845,-9.26334,-9.38354,-9.47807,-9.54602,-9.58615,-9.59749,-9.57867,-9.52859,-9.44577,-9.22309,-8.96635,-8.67462,-8.34653,-7.98093,-7.57639,-7.13121,-6.64381,-6.11215,-5.53423,-4.81436,-4.04685,-3.22949,-2.35973,-1.43482,-0.451728,-0.000100355,-3.63045e-05,-2.22925e-05,-1.61597e-05,-1.25261e-05,-1.02692e-05,-8.73407e-06,-7.62468e-06,-6.78741e-06,-6.13488e-06,-5.61364e-06,-5.18919e-06,-4.83828e-06,-4.5447e-06,-4.27916e-06,-4.05504e-06,-3.8648e-06,-3.70281e-06,-3.56479e-06,-3.44744e-06,-3.3483e-06,-3.26544e-06,-3.19748e-06,-3.14338e-06
a382a5489,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.62 delta_degC/(TtCO2),8.87976e-34,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.507479,0.513366,0.519537,0.525898,0.532377,0.538918,0.545477,0.552019,0.558515,0.564943,0.572416,0.579773,0.586996,0.594071,0.600986,0.607731,0.614296,0.620675,0.626861,0.632852,0.640108,0.647153,0.653978,0.660578,0.666948,0.673083,0.678979,0.684634,0.690047,0.695218,0.702284,0.709081,0.715605,0.721848,0.727805,0.733473,0.738848,0.743929,0.748713,0.753201,0.759015,0.764516,0.769698,0.774557,0.77909,0.783294,0.787166,0.790706,0.793914,0.796788,0.800818,0.804499,0.807824,0.810792,0.813399,0.815641,0.817518,0.819027,0.820167,0.820937,0.822657,0.823979,0.8249,0.825414,0.825518,0.825207,0.824479,0.82333,0.821756,0.819755,0.817323,0.814457,0.811155,0.807412,0.803225,0.79859,0.793503,0.787961,0.781957,0.775488,0.766881,0.757866,0.748443,0.738611,0.728368,0.71771,0.706633,0.695131,0.683198,0.670827,0.656671,0.642134,0.627208,0.611886,0.596157,0.580011,0.57158,0.569469,0.567387,0.565332,0.563305,0.561306,0.559334,0.557388,0.555468,0.553574,0.551704,0.549858,0.548035,0.546236,0.544459,0.542707,0.540978,0.539271,0.537586,0.535925,0.534282,0.532662,0.53106,0.529479
