ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
a46421cc4,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.9988,22.249,21.4934,20.7288,19.953,19.1639,18.3598,17.5392,16.7006,15.8426,14.964,14.0129,13.0385,12.0396,11.0148,9.96286,8.88226,7.77152,6.62892,5.45265,4.24075,2.92022,1.5653,0.173997,4.24913e-06,2.05764e-06,1.39054e-06,1.06821e-06,8.78562e-07,7.53866e-07,6.65777e-07,5.95936e-07,5.43e-07,5.01584e-07,4.68376e-07,4.41214e-07,4.18638e-07,3.9962e-07,3.83417e-07,3.69478e-07,3.57388e-07,3.4622e-07,3.36461e-07,3.27885e-07,3.20309e-07,3.13586e-07,3.07595e-07,3.02238e-07,2.97432e-07,2.93108e-07,2.89207e-07,2.85468e-07,2.82095e-07,2.79046e-07,2.76286e-07,2.73784e-07,2.71513e-07,2.6945e-07,2.67573e-07,2.65865e-07,2.64309e-07,2.628e-07,2.61428e-07,2.60182e-07,2.59049e-07,2.58019e-07,2.57084e-07,2.56235e-07,2.55465e-07,2.54767e-07,-1.89229e-10,-1.85837e-10,-1.82406e-10,-1.7894e-10,-1.7544e-10,-1.71911e-10,-1.68353e-10,-1.64769e-10,-1.61161e-10,-1.57531e-10,-1.5388e-10,-1.50179e-10,-1.46464e-10,-1.42736e-10,-1.38997e-10,-1.35246e-10,-1.31485e-10,-1.27715e-10,-1.23937e-10,-1.20152e-10,-1.16359e-10,-1.12542e-10,-1.08721e-10,-1.04897e-10,-1.0107e-10,-9.72405e-11,-9.3409e-11,-8.95759e-11,-8.57415e-11,-8.19061e-11,-7.80701e-11,-7.4222e-11,-7.03749e-11,-6.6529e-11,-6.26846e-11,-5.88419e-11,-5.50011e-11,-5.11625e-11,-4.73264e-11,-4.34929e-11,-3.96623e-11,-3.5827e-11,-3.19956e-11,-2.81685e-11,-2.43458e-11,-2.05279e-11,-1.67149e-11,-1.29073e-11,-9.10527e-12,-5.3092e-12,-1.51938e-12
a46421cc4,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29171,1.30551,1.31883,1.33168,1.34405,1.35594,1.36732,1.37819,1.38855,1.39837,1.40765,1.41634,1.42442,1.43188,1.43871,1.44489,1.4504,1.45522,1.45933,1.46271,1.46534,1.46715,1.46812,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822
a46421cc4,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0142592,0.0137944,0.0133259,0.0128519,0.0123709,0.0118816,0.0113831,0.0108743,0.0103544,0.00982243,0.00927768,0.008688,0.00808387,0.00746453,0.00682918,0.00617697,0.005507,0.00481834,0.00410993,0.00338064,0.00262927,0.00181053,0.000970489,0.000107878,2.63446e-09,1.27574e-09,8.62134e-10,6.6229e-10,5.44708e-10,4.67397e-10,4.12782e-10,3.6948e-10,3.3666e-10,3.10982e-10,2.90393e-10,2.73552e-10,2.59556e-10,2.47764e-10,2.37719e-10,2.29077e-10,2.21581e-10,2.14656e-10,2.08606e-10,2.03289e-10,1.98592e-10,1.94423e-10,1.90709e-10,1.87387e-10,1.84408e-10,1.81727e-10,1.79309e-10,1.7699e-10,1.74899e-10,1.73009e-10,1.71297e-10,1.69746e-10,1.68338e-10,1.67059e-10,1.65895e-10,1.64836e-10,1.63872e-10,1.62936e-10,1.62086e-10,1.61313e-10,1.6061e-10,1.59972e-10,1.59392e-10,1.58866e-10,1.58388e-10,1.57955e-10,-1.17273e-13,-1.15216e-13,-1.13053e-13,-1.1102e-13,-1.08745e-13,-1.06591e-13,-1.0435e-13,-1.02163e-13,-9.9891e-14,-9.77458e-14,-9.5447e-14,-9.30361e-14,-9.08384e-14,-8.85621e-14,-8.61974e-14,-8.3685e-14,-8.15295e-14,-7.92273e-14,-7.6839e-14,-7.43755e-14,-7.22003e-14,-6.97172e-14,-6.74538e-14,-6.51073e-14,-6.26181e-14,-6.03494e-14,-5.77763e-14,-5.57274e-14,-5.3082e-14,-5.08097e-14,-4.84559e-14,-4.59536e-14,-4.35224e-14,-4.14656e-14,-3.86625e-14,-3.66076e-14,-3.40288e-14,-3.17545e-14,-2.92597e-14,-2.71295e-14,-2.4416e-14,-2.22141e-14,-1.99443e-14,-1.73739e-14,-1.5039e-14,-1.29184e-14,-1.02159e-14,-7.96074e-15,-5.77956e-15,-3.15798e-15,-1.06544e-15
a46421cc4,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a46421cc4,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),-1.64661e-12,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,315.301,337.55,359.044,379.773,399.726,418.89,437.249,454.789,471.489,487.332,502.296,516.309,529.347,541.387,552.401,562.364,571.247,579.018,585.647,591.1,595.34,598.261,599.826,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
a46421cc4,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.640639,0.616339,0.594933,0.575842,0.55864,0.543006,0.528695,0.51551,0.503296,0.491929,0.481303,0.471324,0.461925,0.453048,0.444639,0.436652,0.42905,0.421799,0.414868,0.408231,0.401864,0.395748,0.389871,0.384215,0.37888,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
a46421cc4,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,44.0859,44.6628,45.1954,45.6773,46.1065,46.4843,46.8132,47.0967,47.3385,47.775,47.9736,48.167,48.3559,48.5407,48.7218,48.8993,49.0737,49.2449,49.4131,49.5782,49.7056,49.8294,49.9498,50.0666,50.1796,50.2888,50.3938,50.4944,50.5904,50.6812,50.6398,50.5932,50.541,50.7079,50.9071,51.1076,51.3092,51.5117,51.715,51.9189,52.2716,52.624,52.9762,53.3282,53.6798,54.0312,54.3822,54.7329,55.0833,55.4333,55.8184,56.2025,56.5858,56.9681,57.3497,57.7304,58.1104,58.4897,58.8683,59.2462,59.6132,59.979,60.3437,60.7072,61.0698,61.4314,61.792,62.1519,62.5109,62.8692,63.3452,63.8202,64.2941,64.7672,65.2395,65.711,66.1818,66.652,67.1216,67.5907,68.0592,68.5272,68.9948,69.462,69.9287,70.3951,70.8611,71.3267,71.792,72.257,72.6266,72.9968,73.3676,73.7389,74.1104,74.4823,74.8543,75.2264,75.5986,75.9708,76.2484,76.5269,76.806,77.0857,77.3659,77.6464,77.9271,78.2081,78.4892,78.7704,78.9573,79.145,79.3333,79.5223,79.7116,79.9014,80.0913,80.2815,80.4718,80.6622,80.7584,80.8554,80.9531,81.0513,81.1499,81.2489,81.3481,81.4475,81.547,81.6465
a46421cc4,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
a46421cc4,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.9988,22.249,21.4934,20.7288,19.953,19.1639,18.3598,17.5392,16.7006,15.8426,14.964,14.0129,13.0385,12.0396,11.0148,9.96286,8.88226,7.77152,6.62892,5.45265,4.24075,2.92022,1.5653,0.173997,4.24913e-06,2.05764e-06,1.39054e-06,1.06821e-06,8.78562e-07,7.53866e-07,6.65777e-07,5.95936e-07,5.43e-07,5.01584e-07,4.68376e-07,4.41214e-07,4.18638e-07,3.9962e-07,3.83417e-07,3.69478e-07,3.57388e-07,3.4622e-07,3.36461e-07,3.27885e-07,3.20309e-07,3.13586e-07,3.07595e-07,3.02238e-07,2.97432e-07,2.93108e-07,2.89207e-07,2.85468e-07,2.82095e-07,2.79046e-07,2.76286e-07,2.73784e-07,2.71513e-07,2.6945e-07,2.67573e-07,2.65865e-07,2.64309e-07,2.628e-07,2.61428e-07,2.60182e-07,2.59049e-07,2.58019e-07,2.57084e-07,2.56235e-07,2.55465e-07,2.54767e-07,-1.89229e-10,-1.85837e-10,-1.82406e-10,-1.7894e-10,-1.7544e-10,-1.71911e-10,-1.68353e-10,-1.64769e-10,-1.61161e-10,-1.57531e-10,-1.5388e-10,-1.50179e-10,-1.46464e-10,-1.42736e-10,-1.38997e-10,-1.35246e-10,-1.31485e-10,-1.27715e-10,-1.23937e-10,-1.20152e-10,-1.16359e-10,-1.12542e-10,-1.08721e-10,-1.04897e-10,-1.0107e-10,-9.72405e-11,-9.3409e-11,-8.95759e-11,-8.57415e-11,-8.19061e-11,-7.80701e-11,-7.4222e-11,-7.03749e-11,-6.6529e-11,-6.26846e-11,-5.88419e-11,-5.50011e-11,-5.11625e-11,-4.73264e-11,-4.34929e-11,-3.96623e-11,-3.5827e-11,-3.19956e-11,-2.81685e-11,-2.43458e-11,-2.05279e-11,-1.67149e-11,-1.29073e-11,-9.10527e-12,-5.3092e-12,-1.51938e-12
a46421cc4,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),4.25193e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.448082,0.461005,0.474623,0.488877,0.503728,0.519154,0.53514,0.55168,0.568774,0.58643,0.604659,0.624768,0.645524,0.66695,0.68907,0.711917,0.735525,0.759934,0.78519,0.811345,0.838455,0.868649,0.900014,0.932623,0.925365,0.913075,0.901454,0.890437,0.879972,0.870011,0.86051,0.85142,0.8427,0.834321,0.826261,0.818496,0.811011,0.803783,0.7968,0.790046,0.783508,0.77717,0.771021,0.765052,0.759251,0.753612,0.748125,0.742784,0.73758,0.732509,0.727564,0.72274,0.71803,0.713434,0.708944,0.704555,0.700263,0.696067,0.69196,0.687939,0.684003,0.680142,0.676353,0.672632,0.668976,0.665385,0.661855,0.658387,0.654975,0.651621,0.648321,0.645075,0.641879,0.638735,0.63564,0.632591,0.629589,0.626632,0.623719,0.620847,0.618017,0.61523,0.612486,0.609782,0.60712,0.604496,0.60191,0.599361,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577992,0.575784,0.573604,0.571453,0.569332,0.56724,0.565179,0.563145,0.561139,0.559161,0.55721,0.555284,0.553384,0.551509,0.549658,0.547831,0.54603,0.544253,0.542499,0.540769,0.539063,0.537377,0.535714,0.534071,0.53245
