ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
a4659175f,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,14.222,13.682,13.1627,12.6619,12.1777,11.7088,11.2541,10.7643,10.2877,9.82406,9.37283,8.93373,8.50648,8.09086,7.6866,7.29348,6.91129,6.46905,6.04017,5.62456,5.22215,4.83277,4.45631,4.0926,3.74148,3.40283,3.07639,2.68677,2.30671,1.93639,1.57618,1.2261,0.886519,0.557418,0.239055,4.19068e-05,8.07623e-06,4.23836e-06,2.95439e-06,2.31552e-06,1.93586e-06,1.68636e-06,1.5116e-06,1.38381e-06,1.28759e-06,1.21372e-06,1.15632e-06,1.09399e-06,1.04522e-06,1.00701e-06,9.772e-07,9.54296e-07,9.372e-07,9.25142e-07,9.17511e-07,9.13891e-07,9.13996e-07,9.09417e-07,9.08649e-07,9.11475e-07,9.17797e-07,9.27607e-07,9.40946e-07,9.57966e-07,9.78864e-07,1.00396e-06,-4.79082e-11,-4.6361e-11,-4.46772e-11,-4.28627e-11,-4.09239e-11,-3.8868e-11,-3.67e-11,-3.44266e-11,-3.20524e-11,-2.95836e-11,-2.70247e-11,-2.39484e-11,-2.08131e-11,-1.76251e-11,-1.43883e-11,-1.11086e-11,-7.79045e-12,-4.43799e-12,-1.05616e-12,2.35122e-12,5.77967e-12,9.57162e-12,1.33628e-11,1.7148e-11,2.09225e-11,2.4681e-11,2.84182e-11,3.21298e-11,3.58096e-11,3.94524e-11,4.3053e-11,4.68996e-11,5.06837e-11,5.43979e-11,5.80347e-11,6.15867e-11,6.50458e-11,6.84033e-11,7.16503e-11,7.47774e-11,7.7775e-11,8.08941e-11,8.38567e-11,8.665e-11,8.92601e-11,9.1673e-11,9.38737e-11,9.58452e-11,9.75707e-11,9.90314e-11,1.00208e-10
a4659175f,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0112294,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35352,1.36933,1.38334,1.39554,1.4072,1.41842,1.42921,1.43959,1.44958,1.45918,1.46841,1.47724,1.48567,1.49373,1.50141,1.50874,1.51571,1.52235,1.52865,1.53463,1.5403,1.5456,1.55056,1.55517,1.55945,1.56341,1.56707,1.57042,1.57349,1.57628,1.57881,1.58101,1.5829,1.58449,1.58578,1.58679,1.58751,1.58797,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817,1.58817
a4659175f,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0112294,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0176121,0.0158081,0.0140041,0.0122001,0.011662,0.0112192,0.0107934,0.0103827,0.00998568,0.00960119,0.00922836,0.00882671,0.00843595,0.00805573,0.00768572,0.00732566,0.00697531,0.0066345,0.00630301,0.00598065,0.00566726,0.00530462,0.00495294,0.00461214,0.00428217,0.00396288,0.00365418,0.00335593,0.00306801,0.00279032,0.00252264,0.00220315,0.0018915,0.00158784,0.00129246,0.0010054,0.000726945,0.000457083,0.000196025,3.43636e-08,6.62251e-09,3.47546e-09,2.4226e-09,1.89873e-09,1.58741e-09,1.38281e-09,1.23951e-09,1.13473e-09,1.05582e-09,9.95249e-10,9.4818e-10,8.97073e-10,8.57083e-10,8.25746e-10,8.01304e-10,7.82523e-10,7.68504e-10,7.58617e-10,7.52359e-10,7.49391e-10,7.49477e-10,7.45722e-10,7.45092e-10,7.47409e-10,7.52594e-10,7.60638e-10,7.71576e-10,7.85532e-10,8.02668e-10,8.23244e-10,-3.91176e-14,-3.81726e-14,-3.6636e-14,-3.50853e-14,-3.3526e-14,-3.19639e-14,-3.01809e-14,-2.81828e-14,-2.61953e-14,-2.42234e-14,-2.21776e-14,-1.96007e-14,-1.71044e-14,-1.44359e-14,-1.19495e-14,-9.077e-15,-6.26624e-15,-3.7782e-15,-6.93179e-16,1.8399e-15,4.64788e-15,8.01158e-15,1.08373e-14,1.41955e-14,1.71008e-14,2.02151e-14,2.33118e-14,2.62588e-14,2.95305e-14,3.2199e-14,3.52769e-14,3.85922e-14,4.15987e-14,4.45834e-14,4.75621e-14,5.03783e-14,5.33046e-14,5.61476e-14,5.88644e-14,6.12609e-14,6.37376e-14,6.63496e-14,6.88908e-14,7.08491e-14,7.31946e-14,7.53071e-14,7.70235e-14,7.86097e-14,7.99585e-14,8.10546e-14,8.21975e-14
a4659175f,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0112294,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a4659175f,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0112294,1,0.82 delta_degC/(TtCO2),-7.01495e-13,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.015,379.237,392.919,406.082,418.744,430.921,442.63,453.884,464.649,474.936,484.76,494.133,503.067,511.573,519.664,527.351,534.644,541.556,548.025,554.065,559.689,564.912,569.744,574.201,578.293,582.035,585.438,588.514,591.201,593.507,595.444,597.02,598.246,599.133,599.69,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929,599.929
a4659175f,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0112294,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567287,0.54836,0.531604,0.51661,0.503071,0.490749,0.479464,0.469067,0.459434,0.450475,0.44211,0.434272,0.426905,0.419962,0.413401,0.407186,0.401288,0.395678,0.390333,0.38524,0.380379,0.375732,0.371283,0.367019,0.362926,0.358994,0.355213,0.351572,0.348053,0.344645,0.341342,0.338139,0.335031,0.332015,0.329084,0.326237,0.323472,0.320795,0.3182,0.315683,0.313239,0.310864,0.308555,0.306308,0.304121,0.301991,0.299915,0.29789,0.295915,0.293987,0.292105,0.290267,0.28847,0.286712,0.284995,0.283313,0.281667,0.280055,0.278474,0.276923,0.2754,0.273903,0.272433,0.270987,0.269567,0.268171,0.266797,0.265446,0.264117,0.262809,0.261521,0.260254,0.259006,0.257777,0.256566,0.255373,0.254197,0.253039,0.251898,0.250774,0.249667,0.248577,0.247503,0.246444,0.2454,0.244371,0.243357,0.242357,0.241372,0.2404,0.239443,0.238499,0.237569,0.236651,0.235747,0.234855,0.233974,0.233105,0.232249,0.231405,0.230573,0.229751,0.228941,0.228142,0.227354,0.226576,0.225808,0.22505,0.224302,0.223565,0.222837,0.222119,0.221411,0.220712,0.220022,0.219341,0.218668,0.218005
a4659175f,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,44.0985,44.688,45.2332,45.7275,46.169,46.5587,46.8991,47.1936,47.4459,47.6598,47.6227,47.5603,47.4752,47.6855,47.9171,48.152,48.3904,48.6324,48.8782,49.1276,49.3462,49.5682,49.7937,50.0227,50.2551,50.491,50.7303,50.973,51.2189,51.468,51.5918,51.7184,51.8479,51.9802,52.1154,52.2533,52.3939,52.5372,52.6831,52.8315,53.1219,53.4137,53.707,54.002,54.2988,54.5974,54.898,55.2006,55.5139,55.8581,56.2381,56.6178,56.997,57.3758,57.7543,58.1323,58.51,58.8873,59.2642,59.6407,60.0066,60.3714,60.7353,61.0984,61.4606,61.8221,62.1828,62.5428,62.9022,63.2609,63.7382,64.2145,64.69,65.1647,65.6386,66.1119,66.5846,67.0567,67.5282,67.9993,68.4698,68.94,69.4097,69.8791,70.3481,70.8167,71.285,71.7529,72.2206,72.6879,73.0594,73.4315,73.8042,74.1774,74.5509,74.9247,75.2987,75.6728,76.047,76.4213,76.7004,76.9803,77.261,77.5422,77.8239,78.106,78.3883,78.6708,78.9535,79.2362,79.4241,79.6129,79.8023,79.9923,80.1827,80.3735,80.5646,80.7558,80.9472,81.1386,81.2354,81.333,81.4312,81.53,81.6291,81.7287,81.8284,81.9284,82.0284,82.1286
a4659175f,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0112294,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
a4659175f,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,14.222,13.682,13.1627,12.6619,12.1777,11.7088,11.2541,10.7643,10.2877,9.82406,9.37283,8.93373,8.50648,8.09086,7.6866,7.29348,6.91129,6.46905,6.04017,5.62456,5.22215,4.83277,4.45631,4.0926,3.74148,3.40283,3.07639,2.68677,2.30671,1.93639,1.57618,1.2261,0.886519,0.557418,0.239055,4.19068e-05,8.07623e-06,4.23836e-06,2.95439e-06,2.31552e-06,1.93586e-06,1.68636e-06,1.5116e-06,1.38381e-06,1.28759e-06,1.21372e-06,1.15632e-06,1.09399e-06,1.04522e-06,1.00701e-06,9.772e-07,9.54296e-07,9.372e-07,9.25142e-07,9.17511e-07,9.13891e-07,9.13996e-07,9.09417e-07,9.08649e-07,9.11475e-07,9.17797e-07,9.27607e-07,9.40946e-07,9.57966e-07,9.78864e-07,1.00396e-06,-4.79082e-11,-4.6361e-11,-4.46772e-11,-4.28627e-11,-4.09239e-11,-3.8868e-11,-3.67e-11,-3.44266e-11,-3.20524e-11,-2.95836e-11,-2.70247e-11,-2.39484e-11,-2.08131e-11,-1.76251e-11,-1.43883e-11,-1.11086e-11,-7.79045e-12,-4.43799e-12,-1.05616e-12,2.35122e-12,5.77967e-12,9.57162e-12,1.33628e-11,1.7148e-11,2.09225e-11,2.4681e-11,2.84182e-11,3.21298e-11,3.58096e-11,3.94524e-11,4.3053e-11,4.68996e-11,5.06837e-11,5.43979e-11,5.80347e-11,6.15867e-11,6.50458e-11,6.84033e-11,7.16503e-11,7.47774e-11,7.7775e-11,8.08941e-11,8.38567e-11,8.665e-11,8.92601e-11,9.1673e-11,9.38737e-11,9.58452e-11,9.75707e-11,9.90314e-11,1.00208e-10
a4659175f,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.0112294,1,0.82 delta_degC/(TtCO2),1.70502e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.562403,0.625649,0.689459,0.694902,0.697113,0.699557,0.702143,0.704801,0.707479,0.710135,0.714108,0.717962,0.721673,0.725224,0.728598,0.731787,0.73478,0.737572,0.74016,0.742542,0.746339,0.749895,0.753206,0.756268,0.759081,0.761644,0.763958,0.766024,0.767846,0.769428,0.773071,0.776426,0.779492,0.782267,0.784752,0.786947,0.788855,0.790479,0.790038,0.7835,0.777163,0.771014,0.765045,0.759245,0.753605,0.748119,0.742778,0.737574,0.732504,0.727559,0.722734,0.718025,0.713429,0.708939,0.70455,0.700258,0.696063,0.691956,0.687935,0.683999,0.680138,0.676349,0.672628,0.668973,0.665382,0.661852,0.658383,0.654972,0.651618,0.648318,0.645072,0.641876,0.638732,0.635637,0.632588,0.629587,0.626629,0.623716,0.620844,0.618015,0.615228,0.612484,0.60978,0.607118,0.604494,0.601907,0.599359,0.596846,0.594369,0.591926,0.589519,0.587147,0.584808,0.582504,0.580232,0.57799,0.575782,0.573602,0.571452,0.56933,0.567239,0.565177,0.563144,0.561138,0.55916,0.557208,0.555283,0.553383,0.551507,0.549657,0.54783,0.546028,0.544251,0.542498,0.540767,0.539062,0.537376,0.535713,0.53407,0.532448
