ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
a484dc596,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,29.2973,29.1267,28.9599,28.7945,28.4686,28.147,27.8286,27.5126,27.1985,26.8856,26.5736,26.2623,25.9515,25.6408,25.2856,24.9308,24.5762,24.2219,23.8678,23.5141,23.1607,22.8076,22.4547,22.102,21.6537,21.2081,20.7652,20.325,19.8875,19.4528,19.0208,18.5915,18.1649,17.7408,17.308,16.8738,16.4384,16.002,15.5646,15.1266,14.6878,14.2486,13.8088,13.3685,12.8841,12.3978,11.91,11.4207,10.93,10.4382,9.94518,9.45107,8.95599,8.45984,7.90801,7.35476,6.80037,6.24484,5.68825,5.13064,4.57223,4.01286,3.45254,2.89129,2.28137,1.66723,1.04879,0.426159,-0.200515,-0.831323,-1.4661,-2.10503,-2.74806,-3.39539,-1.56278e-05,-1.07499e-05,-9.45571e-06,-8.90191e-06,-8.62849e-06,-8.48515e-06,-8.40654e-06,-8.35747e-06,-8.31808e-06,-8.27531e-06,-8.05288e-06,-7.83767e-06,-7.6261e-06,-7.416e-06,-7.20707e-06,-6.99944e-06,-6.79354e-06,-6.5903e-06,-6.39041e-06,-6.19474e-06,-5.94119e-06,-5.70572e-06,-5.4869e-06,-5.28343e-06,-5.09419e-06,-4.9182e-06,-4.75437e-06,-4.602e-06,-4.46027e-06,-4.32844e-06,-4.18312e-06,-4.05034e-06,-3.929e-06,-3.81815e-06,-3.71692e-06,-3.62461e-06,-3.54061e-06,-3.46441e-06,-3.39555e-06,-3.33367e-06,-3.26779e-06,-3.20955e-06,-3.15864e-06,-3.11481e-06,-3.07791e-06,-3.04786e-06,-3.0247e-06,-3.00853e-06,-2.99958e-06,-2.99817e-06
a484dc596,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29628,1.32016,1.34391,1.36752,1.39086,1.41394,1.43676,1.45932,1.48163,1.50367,1.52546,1.547,1.56828,1.5893,1.61004,1.63048,1.65063,1.67049,1.69007,1.70935,1.72834,1.74704,1.76545,1.78358,1.80133,1.81873,1.83575,1.85242,1.86873,1.88468,1.90028,1.91552,1.93042,1.94496,1.95916,1.97299,1.98647,1.99959,2.01236,2.02476,2.0368,2.04849,2.05981,2.07077,2.08134,2.0915,2.10127,2.11064,2.1196,2.12816,2.13631,2.14406,2.15141,2.15834,2.16483,2.17086,2.17643,2.18156,2.18622,2.19043,2.19418,2.19747,2.2003,2.20267,2.20454,2.20591,2.20677,2.20712,2.20695,2.20627,2.20507,2.20334,2.20109,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983,2.1983
a484dc596,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.0240238,0.0238839,0.0237471,0.0236115,0.0233442,0.0230805,0.0228195,0.0225604,0.0223027,0.0220462,0.0217904,0.0215351,0.0212802,0.0210255,0.0207342,0.0204432,0.0201524,0.0198619,0.0195716,0.0192816,0.0189918,0.0187022,0.0184128,0.0181236,0.0177561,0.0173907,0.0170274,0.0166665,0.0163078,0.0159513,0.015597,0.015245,0.0148952,0.0145475,0.0141926,0.0138365,0.0134795,0.0131216,0.012763,0.0124038,0.012044,0.0116838,0.0113232,0.0109621,0.0105649,0.0101662,0.0097662,0.00936497,0.00896263,0.00855931,0.00815505,0.00774988,0.00734391,0.00693707,0.00648456,0.0060309,0.0055763,0.00512077,0.00466437,0.00420713,0.00374923,0.00329054,0.00283108,0.00237086,0.00187072,0.00136713,0.000860011,0.000349451,-0.000164422,-0.000681684,-0.0012022,-0.00172612,-0.00225341,-0.00278422,-1.28148e-08,-8.81496e-09,-7.75368e-09,-7.29957e-09,-7.07536e-09,-6.95782e-09,-6.89336e-09,-6.85313e-09,-6.82083e-09,-6.78575e-09,-6.60336e-09,-6.42689e-09,-6.2534e-09,-6.08112e-09,-5.9098e-09,-5.73954e-09,-5.5707e-09,-5.40404e-09,-5.24013e-09,-5.07969e-09,-4.87178e-09,-4.67869e-09,-4.49926e-09,-4.33241e-09,-4.17724e-09,-4.03292e-09,-3.89858e-09,-3.77364e-09,-3.65742e-09,-3.54932e-09,-3.43016e-09,-3.32128e-09,-3.22178e-09,-3.13088e-09,-3.04787e-09,-2.97218e-09,-2.9033e-09,-2.84081e-09,-2.78435e-09,-2.73361e-09,-2.67958e-09,-2.63183e-09,-2.59008e-09,-2.55414e-09,-2.52389e-09,-2.49924e-09,-2.48025e-09,-2.46699e-09,-2.45965e-09,-2.4585e-09
a484dc596,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a484dc596,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.82 delta_degC/(TtCO2),-5.00077e-09,41.278,80.3561,117.234,151.912,184.39,214.668,243.966,273.092,302.052,330.847,359.315,387.462,415.291,442.803,470.002,496.887,523.461,549.723,575.675,601.316,626.601,651.532,676.108,700.33,724.198,747.712,770.873,793.68,816.135,838.237,859.891,881.099,901.864,922.189,942.077,961.529,980.55,999.142,1017.31,1035.05,1052.36,1069.23,1085.67,1101.67,1117.23,1132.36,1147.05,1161.3,1175.11,1188.47,1201.36,1213.76,1225.67,1237.09,1248.02,1258.45,1268.4,1277.85,1286.81,1295.27,1303.18,1310.53,1317.33,1323.58,1329.26,1334.39,1338.97,1342.98,1346.43,1349.32,1351.6,1353.27,1354.32,1354.75,1354.55,1353.71,1352.25,1350.14,1347.4,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
a484dc596,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.738946,0.707541,0.680387,0.656535,0.635288,0.616275,0.599103,0.58347,0.569143,0.555935,0.543697,0.532307,0.521665,0.511685,0.502288,0.493421,0.485033,0.477079,0.469521,0.462324,0.45546,0.448902,0.442626,0.436611,0.430836,0.425296,0.419973,0.414855,0.409928,0.405179,0.400597,0.396173,0.391898,0.387763,0.383751,0.379849,0.376052,0.372357,0.368755,0.365248,0.361828,0.358493,0.35524,0.352064,0.348961,0.345925,0.342955,0.340048,0.337203,0.334418,0.331691,0.329019,0.326401,0.323837,0.32132,0.318851,0.31643,0.314054,0.311721,0.309431,0.307183,0.304976,0.302808,0.300678,0.298582,0.296519,0.294485,0.292481,0.290507,0.288562,0.286645,0.284757,0.282895,0.281061,0.279347,0.277667,0.276023,0.274412,0.272831,0.271282,0.269762,0.268271,0.266807,0.26537,0.263959,0.262575,0.261216,0.259883,0.258573,0.257286,0.256022,0.254779,0.253558,0.252357,0.251176,0.250016,0.248876,0.247755,0.246653,0.245568,0.244501,0.243451,0.242417,0.2414,0.240399,0.239415,0.238445,0.237491,0.236552,0.235628,0.234717,0.23382,0.232936,0.232066,0.231208,0.230364,0.229532,0.228712,0.227905,0.22711,0.226326,0.225554,0.224791,0.224041
a484dc596,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,44.1131,44.7177,45.2783,45.7882,46.2453,46.6505,47.13,47.6759,48.2156,48.7497,49.0305,49.3079,49.5826,49.855,50.1256,50.3947,50.6628,50.93,51.1965,51.4626,51.6941,51.9251,52.1557,52.386,52.6162,52.8464,53.0767,53.307,53.5375,53.7682,53.8637,53.9592,54.0551,54.1514,54.2482,54.3455,54.4433,54.5419,54.6411,54.741,54.9933,55.245,55.496,55.7466,55.9971,56.2473,56.4976,56.7481,56.9987,57.2495,57.5317,57.8136,58.0953,58.3769,58.6587,58.9406,59.2229,59.5056,59.7889,60.0726,60.3411,60.6096,60.8785,61.1478,61.4177,61.6882,61.9595,62.2316,62.5047,62.7788,63.1673,63.5561,63.9452,64.3348,64.725,65.1159,65.5076,65.9002,66.2938,66.6884,67.436,67.8905,68.3454,68.8006,69.2562,69.712,70.1681,70.6243,71.0808,71.5374,71.8999,72.2635,72.628,72.9933,73.3592,73.7256,74.0925,74.4598,74.8273,75.195,75.4692,75.7444,76.0204,76.2972,76.5745,76.8522,77.1303,77.4087,77.6873,77.9661,78.1515,78.3378,78.5248,78.7124,78.9005,79.0889,79.2777,79.4667,79.6558,79.845,79.941,80.0378,80.1352,80.2332,80.3316,80.4303,80.5293,80.6285,80.7278,80.8271
a484dc596,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
a484dc596,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,29.2973,29.1267,28.9599,28.7945,28.4686,28.147,27.8286,27.5126,27.1985,26.8856,26.5736,26.2623,25.9515,25.6408,25.2856,24.9308,24.5762,24.2219,23.8678,23.5141,23.1607,22.8076,22.4547,22.102,21.6537,21.2081,20.7652,20.325,19.8875,19.4528,19.0208,18.5915,18.1649,17.7408,17.308,16.8738,16.4384,16.002,15.5646,15.1266,14.6878,14.2486,13.8088,13.3685,12.8841,12.3978,11.91,11.4207,10.93,10.4382,9.94518,9.45107,8.95599,8.45984,7.90801,7.35476,6.80037,6.24484,5.68825,5.13064,4.57223,4.01286,3.45254,2.89129,2.28137,1.66723,1.04879,0.426159,-0.200515,-0.831323,-1.4661,-2.10503,-2.74806,-3.39539,-1.56278e-05,-1.07499e-05,-9.45571e-06,-8.90191e-06,-8.62849e-06,-8.48515e-06,-8.40654e-06,-8.35747e-06,-8.31808e-06,-8.27531e-06,-8.05288e-06,-7.83767e-06,-7.6261e-06,-7.416e-06,-7.20707e-06,-6.99944e-06,-6.79354e-06,-6.5903e-06,-6.39041e-06,-6.19474e-06,-5.94119e-06,-5.70572e-06,-5.4869e-06,-5.28343e-06,-5.09419e-06,-4.9182e-06,-4.75437e-06,-4.602e-06,-4.46027e-06,-4.32844e-06,-4.18312e-06,-4.05034e-06,-3.929e-06,-3.81815e-06,-3.71692e-06,-3.62461e-06,-3.54061e-06,-3.46441e-06,-3.39555e-06,-3.33367e-06,-3.26779e-06,-3.20955e-06,-3.15864e-06,-3.11481e-06,-3.07791e-06,-3.04786e-06,-3.0247e-06,-3.00853e-06,-2.99958e-06,-2.99817e-06
a484dc596,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00694972,1,0.82 delta_degC/(TtCO2),2.05168e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.268189,0.271885,0.275901,0.28016,0.284965,0.289923,0.294997,0.300161,0.305392,0.310671,0.315983,0.321315,0.326658,0.332002,0.337998,0.34398,0.34994,0.355874,0.361774,0.367637,0.373459,0.379236,0.384968,0.390652,0.3972,0.403701,0.41015,0.416546,0.422884,0.429163,0.435381,0.441537,0.447632,0.453664,0.460978,0.468229,0.475413,0.482528,0.48957,0.496538,0.503429,0.510243,0.516978,0.523636,0.531323,0.538935,0.546469,0.553924,0.561296,0.568585,0.57579,0.58291,0.589946,0.596899,0.60488,0.612784,0.620609,0.628353,0.636015,0.643595,0.651093,0.65851,0.665846,0.673103,0.681347,0.689519,0.697616,0.705639,0.713587,0.721463,0.729266,0.736999,0.744664,0.752264,0.682269,0.678167,0.674151,0.670215,0.666356,0.662573,0.65886,0.655218,0.651642,0.648131,0.644686,0.641307,0.637988,0.634731,0.631532,0.628389,0.625301,0.622266,0.619283,0.616349,0.613466,0.610633,0.607848,0.60511,0.602418,0.599768,0.597163,0.594598,0.592074,0.589589,0.587144,0.584739,0.582373,0.580042,0.577749,0.575491,0.573267,0.571076,0.568917,0.566792,0.564696,0.562633,0.560602,0.558601,0.556629,0.554688,0.552773,0.550886,0.549024,0.54719
