ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
a6658e0e4,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.5399,21.9195,21.3128,20.7172,20.1309,19.5526,18.9813,18.4164,17.8574,17.3039,16.7559,16.1645,15.5783,14.9977,14.4226,13.8533,13.2899,12.7326,12.1816,11.637,11.0989,10.4859,9.88248,9.28897,8.7056,8.13249,7.56983,7.01777,6.47643,5.94597,5.42641,4.8514,4.28314,3.72201,3.16861,2.6232,2.08638,1.55837,1.03967,0.530546,0.0313036,-0.524461,-1.07129,-1.6086,-2.13598,-2.65299,-3.15913,-3.65406,-4.13741,-4.60873,-5.06779,-5.57933,-6.07841,-6.56441,-7.03699,-7.49573,-7.94023,-8.36993,-8.78461,-9.18388,-9.56731,-10.0148,-10.4476,-10.8652,-11.2671,-11.6523,-12.0206,-12.371,-12.703,-13.0159,-13.3092,-13.582,-13.8337,-14.0635,-14.2705,-14.4541,-14.6132,-14.7471,-14.8546,-14.9349,-14.9866,-14.8887,-14.7609,-14.6024,-14.4117,-14.1878,-13.9294,-13.6347,-13.3022,-12.9298,-12.5154,-11.9465,-11.3334,-10.6737,-9.96429,-9.20224,-8.38395,-7.5051,-6.5614,-5.54751,-4.45741,-3.19334,-1.84368,-0.401832,-0.000909305,-0.000392802,-0.000254073,-0.000189796,-0.00015282,-0.000128877,-0.000112172,-9.93002e-05,-8.96151e-05,-8.21113e-05,-7.61717e-05,-7.13972e-05,-6.75192e-05,-6.43522e-05,-6.17638e-05,-5.96595e-05,-5.79688e-05
a6658e0e4,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35439,1.37237,1.38985,1.40683,1.42334,1.43937,1.45494,1.47004,1.48468,1.49887,1.51261,1.52587,1.53864,1.55094,1.56277,1.57413,1.58502,1.59546,1.60545,1.615,1.6241,1.63269,1.6408,1.64842,1.65555,1.66222,1.66843,1.67418,1.6795,1.68437,1.68882,1.6928,1.69631,1.69936,1.70196,1.70411,1.70582,1.7071,1.70795,1.70839,1.70841,1.70798,1.70711,1.70579,1.70404,1.70186,1.69927,1.69627,1.69288,1.6891,1.68495,1.68037,1.67539,1.67,1.66423,1.65809,1.65158,1.64471,1.63751,1.62998,1.62213,1.61392,1.60535,1.59644,1.58721,1.57765,1.56779,1.55765,1.54723,1.53656,1.52565,1.51451,1.50317,1.49163,1.47993,1.46808,1.4561,1.444,1.43182,1.41958,1.40729,1.39508,1.38297,1.371,1.35918,1.34755,1.33613,1.32495,1.31404,1.30344,1.29317,1.28338,1.27408,1.26533,1.25716,1.24962,1.24274,1.23659,1.23121,1.22666,1.223,1.22038,1.21887,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854,1.21854
a6658e0e4,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0184827,0.017974,0.0174765,0.0169881,0.0165074,0.0160331,0.0155647,0.0151014,0.014643,0.0141892,0.0137399,0.0132549,0.0127742,0.0122981,0.0118266,0.0113597,0.0108977,0.0104407,0.00998889,0.00954231,0.00910113,0.00859842,0.00810364,0.00761696,0.00713859,0.00666864,0.00620726,0.00575457,0.00531067,0.0048757,0.00444965,0.00397815,0.00351217,0.00305205,0.00259826,0.00215102,0.00171083,0.00127786,0.000852526,0.000435048,2.56689e-05,-0.000430058,-0.000878455,-0.00131905,-0.00175151,-0.00217545,-0.00259049,-0.00299633,-0.00339267,-0.00377916,-0.00415559,-0.00457505,-0.00498429,-0.00538282,-0.00577034,-0.0061465,-0.00651099,-0.00686334,-0.00720338,-0.00753078,-0.00784519,-0.00821213,-0.00856702,-0.00890949,-0.00923898,-0.00955492,-0.00985687,-0.0101442,-0.0104165,-0.0106731,-0.0109136,-0.0111372,-0.0113436,-0.011532,-0.0117018,-0.0118523,-0.0119828,-0.0120926,-0.0121808,-0.0122466,-0.012289,-0.0122088,-0.012104,-0.011974,-0.0118176,-0.011634,-0.0114221,-0.0111805,-0.0109078,-0.0106024,-0.0102626,-0.00979613,-0.00929341,-0.0087524,-0.00817072,-0.00754583,-0.00687484,-0.00615419,-0.00538035,-0.00454896,-0.00365508,-0.00261854,-0.00151182,-0.000329502,-7.4563e-07,-3.22098e-07,-2.0834e-07,-1.55633e-07,-1.25313e-07,-1.05679e-07,-9.19814e-08,-8.14262e-08,-7.34844e-08,-6.73312e-08,-6.24608e-08,-5.85457e-08,-5.53657e-08,-5.27688e-08,-5.06463e-08,-4.89208e-08,-4.75344e-08
a6658e0e4,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a6658e0e4,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),-5.00034e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,314.843,336.762,358.075,378.792,398.923,418.476,437.457,455.873,473.731,491.035,507.79,523.955,539.533,554.531,568.954,582.807,596.097,608.829,621.011,632.648,643.747,654.233,664.115,673.404,682.11,690.242,697.812,704.83,711.306,717.252,722.679,727.53,731.813,735.535,738.704,741.327,743.413,744.972,746.011,746.542,746.573,746.049,744.978,743.369,741.233,738.58,735.421,731.767,727.629,723.021,717.953,712.374,706.295,699.731,692.694,685.198,677.258,668.888,660.103,650.919,641.352,631.337,620.89,610.024,598.757,587.105,575.084,562.713,550.01,536.995,523.685,510.103,496.27,482.206,467.936,453.482,438.868,424.121,409.267,394.332,379.345,364.457,349.696,335.093,320.682,306.494,292.564,278.93,265.627,252.698,240.182,228.236,216.902,206.229,196.264,187.062,178.678,171.173,164.612,159.064,154.607,151.414,149.57,149.168,149.167,149.167,149.166,149.166,149.166,149.166,149.166,149.166,149.166,149.166,149.166,149.165,149.165,149.165,149.165,149.165,149.165
a6658e0e4,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.640195,0.615699,0.594262,0.575255,0.558221,0.542816,0.528779,0.515906,0.504033,0.493028,0.482785,0.473205,0.464219,0.455767,0.447794,0.440254,0.433107,0.42632,0.419861,0.413703,0.407824,0.402201,0.396824,0.391676,0.38674,0.382001,0.377448,0.373067,0.368849,0.364784,0.360862,0.357066,0.353383,0.349808,0.346337,0.342963,0.339685,0.336497,0.333396,0.330378,0.32744,0.324575,0.32178,0.319051,0.316388,0.313787,0.311248,0.308767,0.306342,0.303973,0.301658,0.299391,0.297174,0.295004,0.292881,0.290802,0.288766,0.286773,0.284821,0.282909,0.281037,0.279199,0.277394,0.27562,0.273878,0.272167,0.270485,0.268834,0.267212,0.265619,0.264053,0.262516,0.261005,0.259521,0.258063,0.256631,0.255225,0.253843,0.252486,0.251153,0.249843,0.24856,0.247302,0.246069,0.244862,0.243679,0.242519,0.241383,0.24027,0.239179,0.238111,0.237068,0.236047,0.235051,0.234077,0.233126,0.232198,0.231292,0.230408,0.229546,0.228707,0.22789,0.227098,0.226329,0.225573,0.224827,0.22409,0.223362,0.222643,0.221933,0.221232,0.220539,0.219855,0.21918,0.218513,0.217855,0.217205,0.216562,0.215928,0.215301,0.214682
a6658e0e4,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,44.1008,44.7053,45.2866,45.8426,46.3728,46.8781,47.3599,47.82,48.2601,48.7486,49.0217,49.2921,49.5604,49.8271,50.0929,50.358,50.6229,50.8879,51.1531,51.4189,51.6513,51.8842,52.1178,52.3524,52.588,52.8249,53.063,53.3025,53.5434,53.7859,53.8942,54.0039,54.1152,54.2282,54.3429,54.4595,54.5779,54.6982,54.8205,54.9447,55.2244,55.5049,55.7864,56.0691,56.3532,56.6387,56.9258,57.2146,57.5051,57.7975,58.1238,58.4514,58.7805,59.1113,59.4437,59.778,60.1142,60.4524,60.7926,61.1348,61.4634,61.7936,62.1256,62.4594,62.7951,63.1327,63.4724,63.8141,64.1578,64.5037,64.9707,65.4395,65.9101,66.3825,66.857,67.3334,67.8119,68.2925,68.7751,69.2599,69.7467,70.2357,70.7267,71.2197,71.7148,72.2119,72.7109,73.2118,73.7146,74.2192,74.6327,75.0485,75.4665,75.8863,76.308,76.7311,77.1557,77.5815,78.0084,78.4363,78.7712,79.1074,79.4445,79.7824,80.1207,80.4593,80.7979,81.1364,81.4745,81.812,82.0537,82.2949,82.5351,82.7478,82.95,83.1516,83.3527,83.5532,83.7531,83.9525,84.0543,84.1563,84.2585,84.3609,84.4632,84.5655,84.6677,84.7699,84.8718,84.9736
a6658e0e4,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
a6658e0e4,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.5399,21.9195,21.3128,20.7172,20.1309,19.5526,18.9813,18.4164,17.8574,17.3039,16.7559,16.1645,15.5783,14.9977,14.4226,13.8533,13.2899,12.7326,12.1816,11.637,11.0989,10.4859,9.88248,9.28897,8.7056,8.13249,7.56983,7.01777,6.47643,5.94597,5.42641,4.8514,4.28314,3.72201,3.16861,2.6232,2.08638,1.55837,1.03967,0.530546,0.0313036,-0.524461,-1.07129,-1.6086,-2.13598,-2.65299,-3.15913,-3.65406,-4.13741,-4.60873,-5.06779,-5.57933,-6.07841,-6.56441,-7.03699,-7.49573,-7.94023,-8.36993,-8.78461,-9.18388,-9.56731,-10.0148,-10.4476,-10.8652,-11.2671,-11.6523,-12.0206,-12.371,-12.703,-13.0159,-13.3092,-13.582,-13.8337,-14.0635,-14.2705,-14.4541,-14.6132,-14.7471,-14.8546,-14.9349,-14.9866,-14.8887,-14.7609,-14.6024,-14.4117,-14.1878,-13.9294,-13.6347,-13.3022,-12.9298,-12.5154,-11.9465,-11.3334,-10.6737,-9.96429,-9.20224,-8.38395,-7.5051,-6.5614,-5.54751,-4.45741,-3.19334,-1.84368,-0.401832,-0.000909305,-0.000392802,-0.000254073,-0.000189796,-0.00015282,-0.000128877,-0.000112172,-9.93002e-05,-8.96151e-05,-8.21113e-05,-7.61717e-05,-7.13972e-05,-6.75192e-05,-6.43522e-05,-6.17638e-05,-5.96595e-05,-5.79688e-05
a6658e0e4,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,1,0.82 delta_degC/(TtCO2),2.28141e-33,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.181199,0.184395,0.187709,0.191103,0.194548,0.198022,0.201505,0.204984,0.208447,0.211882,0.215281,0.219079,0.222828,0.226522,0.230153,0.233716,0.237206,0.240619,0.24395,0.247198,0.250358,0.254035,0.257625,0.261121,0.264522,0.267823,0.271023,0.274118,0.277106,0.279987,0.28276,0.286278,0.28968,0.292962,0.296121,0.299155,0.302061,0.304837,0.307481,0.309993,0.312371,0.31529,0.318071,0.320712,0.323212,0.325568,0.32778,0.329845,0.331764,0.333535,0.33516,0.337275,0.339239,0.341051,0.342711,0.344216,0.345567,0.346763,0.347803,0.348688,0.349418,0.350542,0.351504,0.352302,0.352935,0.353403,0.353706,0.353842,0.353812,0.353615,0.35325,0.352719,0.352019,0.351151,0.350113,0.348907,0.347529,0.34598,0.344259,0.342362,0.34029,0.337298,0.334152,0.330852,0.327395,0.32378,0.320004,0.316063,0.311954,0.307672,0.303211,0.297951,0.292528,0.286937,0.281169,0.275216,0.269069,0.262716,0.256146,0.249345,0.242298,0.234518,0.22649,0.218202,0.215418,0.214703,0.213998,0.213303,0.212616,0.211938,0.211268,0.210607,0.209953,0.209309,0.208672,0.208043,0.207423,0.206809,0.206203,0.205604,0.205013
