ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
a86cd94be,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00267,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,25.1051,24.4786,23.6864,22.8746,22.0403,21.1813,20.2954,19.3809,18.4357,17.4583,16.4467,15.3992,14.2635,13.0881,11.8712,10.6108,9.30459,7.9504,6.54576,5.0879,3.57385,2.00032,0.296529,1.16788e-06,5.43303e-07,3.60358e-07,2.7306e-07,2.21995e-07,1.88516e-07,1.64896e-07,1.47359e-07,1.33835e-07,1.22519e-07,1.13435e-07,1.05991e-07,9.97884e-08,9.45476e-08,9.00674e-08,8.61981e-08,8.28273e-08,7.9868e-08,7.72525e-08,7.48325e-08,7.26799e-08,7.07557e-08,6.90278e-08,6.74697e-08,6.60595e-08,6.47789e-08,6.36123e-08,6.25465e-08,6.15703e-08,6.06404e-08,5.97876e-08,5.90039e-08,5.82823e-08,5.76165e-08,5.70011e-08,5.64316e-08,5.59036e-08,5.54135e-08,5.49578e-08,5.45196e-08,5.41123e-08,5.37332e-08,5.33802e-08,5.3051e-08,5.27437e-08,5.24568e-08,5.21885e-08,5.19376e-08,-2.12716e-20,2.97725e-13,-2.05702e-20,4.96456e-14,-2.00173e-20,3.10211e-13,-1.93213e-20,3.80023e-13,-1.86477e-20,-9.93603e-14,-1.79732e-20,-7.04994e-14,-1.73308e-20,8.1123e-15,-1.65996e-20,-1.1287e-14,-1.59646e-20,-8.36322e-15,-1.53214e-20,-2.21032e-13,-1.45308e-20,1.12391e-14,-1.382e-20,-2.12869e-13,-1.33198e-20,1.57694e-13,-1.25827e-20,-1.69296e-13,-1.19466e-20,-3.77715e-13,-1.13556e-20,-2.83453e-13,-1.0803e-20,-2.88707e-13,-1.01732e-20,1.22569e-13,-9.51793e-21,-1.9661e-13,-8.86467e-21,5.16537e-14,-8.2508e-21,1.03578e-14,-7.57154e-21,-2.11951e-13,-7.00627e-21,2.79839e-13,-6.29922e-21,2.22031e-13,-5.01251e-21,-4.5125e-13,1.09761e-12
a86cd94be,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00267,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33708,1.35715,1.37658,1.39533,1.41341,1.43078,1.44742,1.46331,1.47843,1.49274,1.50623,1.51886,1.53055,1.54129,1.55102,1.55972,1.56735,1.57387,1.57924,1.58341,1.58634,1.58798,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822
a86cd94be,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00267,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0205862,0.0200724,0.0194229,0.0187572,0.018073,0.0173686,0.0166423,0.0158923,0.0151173,0.0143158,0.0134863,0.0126273,0.0116961,0.0107323,0.00973441,0.00870082,0.00762976,0.00651933,0.00536752,0.00417208,0.00293055,0.00164027,0.000243154,9.57659e-10,4.45509e-10,2.95494e-10,2.23909e-10,1.82036e-10,1.54583e-10,1.35215e-10,1.20834e-10,1.09745e-10,1.00466e-10,9.30165e-11,8.69125e-11,8.18265e-11,7.75289e-11,7.38554e-11,7.06825e-11,6.79184e-11,6.54916e-11,6.33471e-11,6.13626e-11,5.95977e-11,5.80196e-11,5.66027e-11,5.53251e-11,5.41689e-11,5.31186e-11,5.2162e-11,5.12883e-11,5.04876e-11,4.97251e-11,4.9026e-11,4.83833e-11,4.77913e-11,4.72456e-11,4.67408e-11,4.62741e-11,4.58409e-11,4.5439e-11,4.50655e-11,4.4706e-11,4.43723e-11,4.40613e-11,4.37716e-11,4.35018e-11,4.32499e-11,4.30145e-11,4.27947e-11,4.25888e-11,-1.74428e-23,-1.54457e-23,-1.23506e-23,-1.13866e-23,-7.37893e-24,-6.34522e-24,-2.28959e-24,-3.22755e-24,2.7795e-24,1.84415e-24,7.85041e-24,4.93868e-24,1.28946e-23,1.02302e-23,1.8012e-23,1.17173e-23,2.30501e-23,1.64028e-23,2.80957e-23,2.19972e-23,3.3261e-23,-4.76916e-18,3.93541e-23,3.00905e-23,4.62667e-23,3.6787e-23,5.33659e-23,3.88516e-23,6.03771e-23,4.94929e-23,6.73433e-23,5.31339e-23,7.42716e-23,6.18432e-23,8.12602e-23,6.19564e-23,8.8275e-23,5.3567e-23,9.5283e-23,7.62582e-23,1.02264e-22,6.93891e-23,1.09291e-22,8.21638e-23,1.16233e-22,7.83448e-23,1.2329e-22,1.86371e-16,1.12883e-22,3.72743e-16,-9.32232e-17
a86cd94be,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00267,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a86cd94be,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00267,1,0.82 delta_degC/(TtCO2),-5.00015e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,293.73,318.208,341.895,364.769,386.81,407.991,428.286,447.667,466.103,483.561,500.008,515.407,529.671,542.759,554.63,565.241,574.545,582.496,589.041,594.129,597.703,599.703,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
a86cd94be,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00267,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.670181,0.643481,0.61992,0.598969,0.580132,0.563041,0.547413,0.533029,0.519712,0.507321,0.49574,0.484874,0.474633,0.464957,0.455788,0.447078,0.438782,0.430866,0.423295,0.416041,0.409079,0.402386,0.395942,0.389889,0.384215,0.37888,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
a86cd94be,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00267,1,0.82 delta_degC/(TtCO2),43.478,44.1277,44.7474,45.3235,45.8489,46.3216,46.7423,47.1131,47.4372,47.9158,48.4063,48.6428,48.8719,49.094,49.3092,49.5177,49.7195,49.9144,50.1022,50.2828,50.4558,50.5854,50.706,50.8172,50.9185,51.0093,51.0888,51.1564,51.2112,51.2522,51.2782,51.1604,51.3133,51.5239,51.7354,51.9476,52.1604,52.3738,52.5875,52.8015,53.0157,53.3814,53.7465,54.1109,54.4748,54.8381,55.2007,55.5629,55.9244,56.2853,56.6457,57.0417,57.4366,57.8304,58.2232,58.615,59.0058,59.3958,59.7849,60.1733,60.5608,60.9371,61.3121,61.6858,62.0584,62.4298,62.8002,63.1697,63.5382,63.9059,64.2727,64.7599,65.2459,65.7309,66.215,66.6982,67.1806,67.6623,68.1433,68.6237,69.1035,69.5828,70.0615,70.5398,71.0176,71.495,71.9719,72.4485,72.9247,73.4006,73.8761,74.2541,74.6327,75.012,75.3916,75.7716,76.1518,76.5322,76.9128,77.2934,77.674,77.9579,78.2426,78.5281,78.8141,79.1006,79.3874,79.6745,79.9618,80.2492,80.5367,80.7278,80.9197,81.1124,81.3056,81.4992,81.6932,81.8874,82.0819,82.2764,82.4711,82.5695,82.6687,82.7686,82.869,82.9699,83.071,83.1725,83.2741,83.3758,83.4776
a86cd94be,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00267,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
a86cd94be,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00267,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,25.1051,24.4786,23.6864,22.8746,22.0403,21.1813,20.2954,19.3809,18.4357,17.4583,16.4467,15.3992,14.2635,13.0881,11.8712,10.6108,9.30459,7.9504,6.54576,5.0879,3.57385,2.00032,0.296529,1.16788e-06,5.43303e-07,3.60358e-07,2.7306e-07,2.21995e-07,1.88516e-07,1.64896e-07,1.47359e-07,1.33835e-07,1.22519e-07,1.13435e-07,1.05991e-07,9.97884e-08,9.45476e-08,9.00674e-08,8.61981e-08,8.28273e-08,7.9868e-08,7.72525e-08,7.48325e-08,7.26799e-08,7.07557e-08,6.90278e-08,6.74697e-08,6.60595e-08,6.47789e-08,6.36123e-08,6.25465e-08,6.15703e-08,6.06404e-08,5.97876e-08,5.90039e-08,5.82823e-08,5.76165e-08,5.70011e-08,5.64316e-08,5.59036e-08,5.54135e-08,5.49578e-08,5.45196e-08,5.41123e-08,5.37332e-08,5.33802e-08,5.3051e-08,5.27437e-08,5.24568e-08,5.21885e-08,5.19376e-08,-2.12716e-20,2.38205e-15,-2.05702e-20,-2.21502e-20,-2.00173e-20,5.83956e-14,-1.93213e-20,-2.32183e-20,-1.86477e-20,8.89905e-14,-1.79732e-20,-2.42784e-20,-1.73308e-20,1.19925e-13,-1.65996e-20,-2.70306e-20,-1.59646e-20,-1.03862e-14,-1.53214e-20,-2.55129e-20,-1.45308e-20,-6.48769e-16,-1.382e-20,-2.90815e-20,-1.33198e-20,-8.29069e-15,-1.25827e-20,-3.42409e-20,-1.19466e-20,-1.6108e-13,-1.13556e-20,-3.26325e-20,-1.0803e-20,4.71885e-15,-1.01732e-20,-3.76664e-20,-9.51793e-21,-1.83816e-13,-8.86467e-21,-3.60168e-20,-8.2508e-21,-2.27146e-13,-7.57154e-21,-4.46066e-20,-7.00627e-21,-1.19238e-14,-6.29922e-21,-1.9538e-14,-5.01251e-21,1.60454e-20,2.27797e-13
a86cd94be,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00267,1,0.82 delta_degC/(TtCO2),5.66331e-35,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.387151,0.401164,0.416593,0.432908,0.45009,0.468133,0.487042,0.50683,0.527516,0.549126,0.571693,0.595256,0.621139,0.648168,0.676399,0.705893,0.736717,0.768948,0.802671,0.837982,0.874988,0.913809,0.956851,0.952254,0.938396,0.925366,0.913075,0.901454,0.890437,0.879972,0.870011,0.86051,0.85142,0.8427,0.834321,0.826261,0.818496,0.811011,0.803783,0.7968,0.790046,0.783508,0.77717,0.771021,0.765052,0.759251,0.753612,0.748125,0.742784,0.73758,0.732509,0.727564,0.72274,0.71803,0.713434,0.708944,0.704555,0.700263,0.696067,0.69196,0.687939,0.684003,0.680142,0.676353,0.672632,0.668976,0.665385,0.661855,0.658387,0.654975,0.651621,0.648321,0.645075,0.641879,0.638735,0.63564,0.632591,0.629589,0.626632,0.623719,0.620847,0.618017,0.61523,0.612486,0.609782,0.60712,0.604496,0.60191,0.599361,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577992,0.575784,0.573604,0.571453,0.569332,0.56724,0.565179,0.563145,0.561139,0.559161,0.55721,0.555284,0.553384,0.551509,0.549658,0.547831,0.54603,0.544253,0.542499,0.540769,0.539063,0.537377,0.535714,0.534071,0.53245
