ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
a964321b2,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,3.87824,1.67825,2.28562e-07,2.19544e-07,2.12521e-07,2.07021e-07,2.02718e-07,1.99377e-07,1.96826e-07,1.94936e-07,1.93607e-07,1.92762e-07,1.92341e-07,1.91883e-07,1.91804e-07,1.92066e-07,1.92637e-07,1.93491e-07,1.94608e-07,1.95971e-07,1.97565e-07,1.9938e-07,2.01405e-07,2.03243e-07,2.05298e-07,2.07563e-07,2.10034e-07,2.12706e-07,2.15577e-07,2.18645e-07,2.21909e-07,2.2537e-07,2.29028e-07,2.32645e-07,2.36468e-07,2.40499e-07,2.44742e-07,2.492e-07,2.53878e-07,2.58781e-07,2.63915e-07,2.69286e-07,2.74902e-07,2.80565e-07,2.86489e-07,2.92683e-07,2.99157e-07,3.05922e-07,3.12991e-07,3.20376e-07,3.28091e-07,3.36152e-07,3.44575e-07,3.53196e-07,3.62212e-07,3.71644e-07,3.81514e-07,3.91847e-07,4.02669e-07,4.1401e-07,4.259e-07,4.38374e-07,-1.28504e-19,-1.15963e-19,8.11597e-17,-1.17188e-19,-1.13379e-19,3.08778e-18,-9.36795e-20,-1.02516e-19,-9.89936e-20,-8.82148e-20,-8.30264e-17,-8.87553e-20,-8.54092e-20,8.4243e-19,-8.0633e-17,-7.57017e-20,-7.25886e-20,-3.91958e-17,4.52517e-16,-6.35171e-20,-6.05637e-20,-3.07393e-16,-1.1444e-16,-5.19443e-20,-4.91433e-20,-2.83815e-20,-5.86355e-16,-4.10779e-20,-3.84862e-20,2.27906e-16,-4.42109e-16,-3.09401e-20,-2.85037e-20,-3.08282e-15,8.74804e-15,-2.14955e-20,-1.92621e-20,-2.13803e-17,3.20883e-16,-1.28504e-20,-1.08391e-20,3.07493e-12,8.01697e-16,-5.01312e-21,-3.21541e-21,1.08992e-15,1.71463e-16,8.01831e-16,-5.27714e-16,5.10553e-21,-6.16884e-15
a964321b2,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35352,1.36933,1.38334,1.39554,1.40593,1.41452,1.42131,1.4263,1.42948,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085
a964321b2,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0176121,0.0158081,0.0140041,0.0122001,0.0103961,0.00859212,0.00678813,0.00498415,0.00318016,0.00137617,1.87421e-10,1.80026e-10,1.74267e-10,1.69757e-10,1.66229e-10,1.63489e-10,1.61398e-10,1.59847e-10,1.58758e-10,1.58065e-10,1.5772e-10,1.57344e-10,1.5728e-10,1.57494e-10,1.57962e-10,1.58663e-10,1.59579e-10,1.60696e-10,1.62003e-10,1.63491e-10,1.65152e-10,1.66659e-10,1.68344e-10,1.70202e-10,1.72228e-10,1.74419e-10,1.76773e-10,1.79289e-10,1.81966e-10,1.84804e-10,1.87803e-10,1.90769e-10,1.93904e-10,1.9721e-10,2.00689e-10,2.04344e-10,2.0818e-10,2.122e-10,2.1641e-10,2.20814e-10,2.2542e-10,2.30063e-10,2.34921e-10,2.4e-10,2.45309e-10,2.50856e-10,2.56653e-10,2.62708e-10,2.69035e-10,2.75645e-10,2.82552e-10,2.89621e-10,2.97014e-10,3.04748e-10,3.12841e-10,3.21315e-10,3.30189e-10,3.39488e-10,3.49238e-10,3.59466e-10,-1.0602e-22,-5.82675e-23,6.65503e-20,-9.67076e-23,-9.35744e-23,3.35645e-21,-7.74051e-23,-8.46378e-23,-8.1743e-23,-4.62864e-23,-6.80822e-20,-7.33169e-23,-7.05783e-23,1.02903e-19,-6.61195e-20,-6.25892e-23,-6.00279e-23,-2.26106e-19,3.71064e-19,-5.25744e-23,-5.01454e-23,-5.85099e-19,-9.38416e-20,-4.30648e-23,-4.07625e-23,2.35421e-23,-4.80811e-19,-3.4142e-23,-3.20146e-23,7.24651e-19,-3.6253e-19,-2.58237e-23,-2.38334e-23,-5.46222e-18,7.8519e-17,-7.13456e-17,-1.62565e-23,-2.51559e-18,1.06815e-18,-8.05037e-19,-9.37214e-24,7.09442e-15,2.29495e-18,-1.63757e-18,-3.10569e-24,-1.30612e-16,1.37798e-18,-1.35263e-18,5.62752e-19,-9.95473e-19,5.53856e-16
a964321b2,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a964321b2,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),-5.0014e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.015,377.693,388.172,396.45,402.528,406.406,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085
a964321b2,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567287,0.547619,0.529633,0.513118,0.497894,0.483809,0.470736,0.458677,0.447829,0.437992,0.429008,0.420751,0.413123,0.40604,0.399436,0.393256,0.387452,0.381985,0.376828,0.371955,0.367341,0.362961,0.358794,0.354823,0.351031,0.347405,0.343932,0.3406,0.337395,0.334304,0.331321,0.328438,0.325649,0.322949,0.320333,0.317796,0.315334,0.312942,0.310618,0.308355,0.306153,0.304008,0.301916,0.299876,0.297886,0.295943,0.294045,0.292191,0.290378,0.288605,0.286871,0.285175,0.283514,0.281887,0.280294,0.278733,0.277202,0.2757,0.274226,0.272778,0.271353,0.269952,0.268573,0.267217,0.265883,0.264569,0.263276,0.262003,0.260749,0.259513,0.258296,0.257097,0.255915,0.25475,0.253601,0.252468,0.251351,0.250249,0.249163,0.248093,0.247038,0.245998,0.244973,0.243961,0.242964,0.24198,0.241009,0.240051,0.239107,0.238175,0.237257,0.236351,0.235458,0.234576,0.233707,0.232848,0.232001,0.231164,0.230339,0.229526,0.228723,0.227931,0.227149,0.226378,0.225616,0.224864,0.224122,0.223389,0.222666,0.221952,0.221247,0.220552,0.219866,0.219189,0.21852,0.217859,0.217206,0.216562
a964321b2,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),43.478,44.0569,44.6162,45.1511,45.66,46.1428,46.6009,47.0359,47.45,47.8455,48.2244,48.3525,48.4713,48.5824,48.6874,48.7876,48.8844,48.9789,49.0722,49.1653,49.3169,49.6267,49.9359,50.2451,50.5544,50.8641,51.1742,51.4849,51.7961,52.1078,52.42,52.6057,52.7908,52.9755,53.1598,53.3436,53.5271,53.7103,53.893,54.0754,54.2575,54.5951,54.9316,55.2671,55.6018,55.9356,56.2688,56.6013,56.9332,57.2646,57.5955,57.9613,58.3261,58.6899,59.053,59.4154,59.7771,60.1382,60.4988,60.8589,61.2185,61.5648,61.9102,62.2547,62.5984,62.9415,63.2839,63.6258,63.9672,64.3081,64.6487,65.1113,65.5732,66.0343,66.4948,66.9548,67.4142,67.8733,68.3319,68.7902,69.2483,69.706,70.1635,70.6208,71.0779,71.5348,71.9915,72.4481,72.9046,73.3609,73.8171,74.1775,74.5388,74.9009,75.2636,75.627,75.9908,76.3549,76.7194,77.0842,77.4492,77.719,77.9899,78.2617,78.5343,78.8075,79.0812,79.3554,79.6299,79.9047,80.1797,80.3598,80.541,80.7231,80.9059,81.0892,81.273,81.4573,81.6418,81.8266,82.0116,82.1019,82.1932,82.2853,82.378,82.4713,82.565,82.6591,82.7534,82.848,82.9428
a964321b2,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
a964321b2,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,3.87824,1.67825,2.28562e-07,2.19544e-07,2.12521e-07,2.07021e-07,2.02718e-07,1.99377e-07,1.96826e-07,1.94936e-07,1.93607e-07,1.92762e-07,1.92341e-07,1.91883e-07,1.91804e-07,1.92066e-07,1.92637e-07,1.93491e-07,1.94608e-07,1.95971e-07,1.97565e-07,1.9938e-07,2.01405e-07,2.03243e-07,2.05298e-07,2.07563e-07,2.10034e-07,2.12706e-07,2.15577e-07,2.18645e-07,2.21909e-07,2.2537e-07,2.29028e-07,2.32645e-07,2.36468e-07,2.40499e-07,2.44742e-07,2.492e-07,2.53878e-07,2.58781e-07,2.63915e-07,2.69286e-07,2.74902e-07,2.80565e-07,2.86489e-07,2.92683e-07,2.99157e-07,3.05922e-07,3.12991e-07,3.20376e-07,3.28091e-07,3.36152e-07,3.44575e-07,3.53196e-07,3.62212e-07,3.71644e-07,3.81514e-07,3.91847e-07,4.02669e-07,4.1401e-07,4.259e-07,4.38374e-07,-1.28504e-19,-1.15963e-19,8.11597e-17,-1.17188e-19,-1.13379e-19,3.08778e-18,-9.36797e-20,-1.02516e-19,-9.89938e-20,-8.8215e-20,-8.30264e-17,-8.87555e-20,-8.54093e-20,8.4243e-19,-8.0633e-17,-7.57019e-20,-7.25887e-20,-3.91958e-17,4.52517e-16,-6.35172e-20,-6.05638e-20,-3.07393e-16,-1.1444e-16,-5.19444e-20,-4.91434e-20,-2.83817e-20,-5.86355e-16,-4.1078e-20,-3.84863e-20,2.27906e-16,-4.42109e-16,-3.09402e-20,-2.85038e-20,-3.08282e-15,8.74804e-15,-2.14956e-20,-1.92622e-20,-2.13803e-17,3.20883e-16,-1.28505e-20,-1.08392e-20,3.07493e-12,8.01697e-16,-5.01317e-21,-3.21546e-21,1.08992e-15,1.71463e-16,8.01831e-16,-5.27714e-16,5.10553e-21,-6.16884e-15
a964321b2,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),6.76396e-34,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.195454,0.219898,0.244627,0.269577,0.294692,0.319925,0.345236,0.370588,0.395949,0.421291,0.438019,0.427659,0.418265,0.409686,0.401801,0.394516,0.387752,0.381446,0.375544,0.370002,0.364781,0.359856,0.355203,0.350796,0.346613,0.342634,0.338842,0.335221,0.331758,0.328441,0.32526,0.322199,0.319248,0.316398,0.313645,0.310982,0.308404,0.305905,0.303483,0.301131,0.298848,0.296628,0.294467,0.292364,0.290315,0.288318,0.28637,0.28447,0.282614,0.280802,0.279031,0.277299,0.275606,0.273951,0.272331,0.270745,0.269191,0.26767,0.266179,0.264717,0.263283,0.261875,0.260492,0.259131,0.257793,0.256477,0.255182,0.253908,0.252653,0.251418,0.250202,0.249005,0.247825,0.246662,0.245517,0.244388,0.243276,0.242179,0.241097,0.240031,0.238978,0.237941,0.236919,0.235911,0.234918,0.233939,0.232973,0.232021,0.231081,0.230154,0.229239,0.228337,0.227448,0.226571,0.225706,0.224853,0.224011,0.223181,0.222361,0.221551,0.220753,0.219965,0.219188,0.218421,0.217665,0.216918,0.216182,0.215455,0.214737,0.214028,0.213328,0.212637,0.211955,0.211283,0.210618,0.209963,0.209317,0.208678,0.208047,0.207424,0.206808
