ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
aa8962194,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.00267,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,25.0502,24.8286,24.4775,24.1419,23.8192,23.5077,23.2059,22.9129,22.6277,22.3498,22.0785,21.8136,21.5102,21.2129,20.9215,20.636,20.3561,20.0817,19.8128,19.5491,19.2907,19.0373,18.6992,18.3683,18.0444,17.7276,17.4178,17.115,16.8191,16.5299,16.2476,15.9718,15.6884,15.4092,15.1343,14.864,14.5982,14.3374,14.0815,13.8307,13.5852,13.3449,13.0697,12.7993,12.5341,12.2743,12.0201,11.7718,11.5294,11.2933,11.0635,10.8403,10.5736,10.3137,10.0612,9.81621,9.57901,9.34984,9.12915,8.91701,8.71371,8.51953,8.30722,8.10342,7.90845,7.7228,7.54703,7.38153,6.59995,4.39997,2.19999,-3.92175e-07,-8.83484e-07,-8.88628e-07,-8.91829e-07,-8.93127e-07,-8.92606e-07,-8.90323e-07,-8.86401e-07,-8.80931e-07,-8.74055e-07,-8.65888e-07,-8.49103e-07,-8.32115e-07,-8.15058e-07,-7.98018e-07,-7.81101e-07,-7.6438e-07,-7.47913e-07,-7.31761e-07,-7.15959e-07,-7.00549e-07,-6.81727e-07,-6.63837e-07,-6.46853e-07,-6.30741e-07,-6.15477e-07,-6.01033e-07,-5.87369e-07,-5.74469e-07,-5.62302e-07,-5.50841e-07,-5.38044e-07,-5.26126e-07,-5.15049e-07,-5.04779e-07,-4.95281e-07,-4.86532e-07,-4.78508e-07,-4.71194e-07,-4.64574e-07,-4.5864e-07,-4.52119e-07,-4.46365e-07,-4.41375e-07,-4.37156e-07,-4.33718e-07,-4.31081e-07,-4.29277e-07,-4.28343e-07,-4.28337e-07,-4.29325e-07
aa8962194,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.00267,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.2783,1.2937,1.30887,1.32384,1.33861,1.35318,1.36757,1.38178,1.39581,1.40966,1.42335,1.43688,1.45021,1.46336,1.47634,1.48913,1.50175,1.5142,1.52648,1.53861,1.55057,1.56237,1.57396,1.58535,1.59654,1.60753,1.61833,1.62894,1.63937,1.64962,1.65969,1.66959,1.67932,1.68887,1.69826,1.70747,1.71652,1.72541,1.73414,1.74272,1.75114,1.75941,1.76752,1.77545,1.78322,1.79083,1.79829,1.80558,1.81273,1.81973,1.82659,1.83332,1.83987,1.84627,1.8525,1.85859,1.86453,1.87033,1.87599,1.88151,1.88692,1.8922,1.89735,1.90237,1.90728,1.91206,1.91674,1.92132,1.92541,1.92814,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295
aa8962194,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.00267,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0155311,0.0153937,0.0151761,0.014968,0.0147679,0.0145748,0.0143877,0.014206,0.0140292,0.0138569,0.0136887,0.0135244,0.0133363,0.013152,0.0129714,0.0127943,0.0126208,0.0124506,0.0122839,0.0121205,0.0119602,0.0118031,0.0115935,0.0113883,0.0111875,0.0109911,0.010799,0.0106113,0.0104278,0.0102486,0.0100735,0.00990251,0.00972683,0.00955372,0.00938326,0.00921565,0.00905089,0.00888919,0.00873052,0.00857505,0.0084228,0.00827382,0.00810319,0.00793557,0.00777116,0.00761008,0.00745247,0.0072985,0.00714824,0.00700182,0.00685938,0.00672097,0.00655561,0.00639451,0.00623795,0.00608605,0.00593898,0.0057969,0.00566007,0.00552855,0.0054025,0.00528211,0.00515048,0.00502412,0.00490324,0.00478813,0.00467916,0.00457655,0.00409197,0.00272798,0.00136399,-2.43149e-10,-5.4776e-10,-5.50949e-10,-5.52934e-10,-5.53739e-10,-5.53416e-10,-5.52001e-10,-5.49569e-10,-5.46177e-10,-5.41914e-10,-5.36851e-10,-5.26444e-10,-5.15911e-10,-5.05336e-10,-4.94771e-10,-4.84282e-10,-4.73916e-10,-4.63706e-10,-4.53692e-10,-4.43895e-10,-4.3434e-10,-4.2267e-10,-4.11579e-10,-4.01049e-10,-3.9106e-10,-3.81596e-10,-3.72641e-10,-3.64169e-10,-3.56171e-10,-3.48627e-10,-3.41521e-10,-3.33588e-10,-3.26198e-10,-3.1933e-10,-3.12963e-10,-3.07074e-10,-3.0165e-10,-2.96675e-10,-2.9214e-10,-2.88036e-10,-2.84357e-10,-2.80314e-10,-2.76746e-10,-2.73653e-10,-2.71037e-10,-2.68906e-10,-2.6727e-10,-2.66151e-10,-2.65573e-10,-2.65569e-10,-2.66181e-10
aa8962194,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.00267,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aa8962194,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.00267,1,0.62 delta_degC/(TtCO2),-4.99988e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,293.675,318.503,342.981,367.123,390.942,414.45,437.656,460.569,483.196,505.546,527.625,549.438,570.948,592.161,613.083,633.719,654.075,674.157,693.969,713.518,732.809,751.846,770.546,788.914,806.958,824.686,842.104,859.219,876.038,892.568,908.815,924.787,940.476,955.885,971.019,985.883,1000.48,1014.82,1028.9,1042.73,1056.32,1069.66,1082.73,1095.53,1108.06,1120.34,1132.36,1144.13,1155.66,1166.95,1178.02,1188.86,1199.43,1209.74,1219.81,1229.62,1239.2,1248.55,1257.68,1266.6,1275.31,1283.83,1292.14,1300.24,1308.15,1315.87,1323.42,1330.8,1337.4,1341.8,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
aa8962194,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.00267,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.670116,0.643773,0.62083,0.600664,0.58272,0.566592,0.551972,0.538625,0.526364,0.515038,0.504527,0.494732,0.485561,0.476951,0.468846,0.461193,0.45395,0.44708,0.440549,0.43433,0.428397,0.422727,0.417299,0.412105,0.407127,0.402352,0.397764,0.393352,0.389104,0.38501,0.381062,0.37725,0.373557,0.369973,0.36649,0.363106,0.359814,0.356612,0.353495,0.35046,0.347503,0.344621,0.341808,0.33906,0.336376,0.333753,0.331188,0.328681,0.326229,0.323829,0.321482,0.319185,0.316934,0.314729,0.312569,0.310452,0.308376,0.306341,0.304347,0.302392,0.300473,0.298592,0.296743,0.294926,0.293138,0.291379,0.28965,0.287948,0.286259,0.284545,0.282812,0.281061,0.279347,0.277667,0.276023,0.274412,0.272831,0.271282,0.269762,0.268271,0.266807,0.26537,0.263959,0.262575,0.261216,0.259883,0.258573,0.257286,0.256022,0.254779,0.253558,0.252357,0.251176,0.250016,0.248876,0.247755,0.246653,0.245568,0.244501,0.243451,0.242417,0.2414,0.240399,0.239415,0.238445,0.237491,0.236552,0.235628,0.234717,0.23382,0.232936,0.232066,0.231208,0.230364,0.229532,0.228712,0.227905,0.22711,0.226326,0.225554,0.224791,0.224041
aa8962194,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.00267,1,0.62 delta_degC/(TtCO2),43.478,44.1324,44.7694,45.3841,45.9739,46.5384,47.0779,47.5936,48.087,48.6364,49.2124,49.5331,49.8514,50.168,50.4832,50.7975,51.1112,51.4246,51.7379,52.0514,52.3651,52.6448,52.9246,53.2047,53.485,53.7658,54.047,54.3288,54.611,54.8939,55.1773,55.3219,55.4666,55.6116,55.7569,55.9025,56.0486,56.1951,56.342,56.4894,56.6372,56.9463,57.2548,57.5629,57.8707,58.1783,58.4858,58.7933,59.1009,59.4086,59.7164,60.0589,60.401,60.7428,61.0845,61.4261,61.7676,62.1093,62.451,62.793,63.1352,63.4621,63.7887,64.1152,64.4416,64.768,65.0946,65.4212,65.7481,66.0752,66.4025,66.8548,67.3068,67.7587,68.2106,68.6625,69.1146,69.5479,69.936,70.3205,70.7014,71.1583,71.6159,72.0739,72.5324,72.9914,73.4508,73.9106,74.3708,74.8313,75.2921,75.6555,76.0203,76.3862,76.7531,77.1209,77.4894,77.8586,78.2283,78.5985,78.969,79.2428,79.5177,79.7938,80.0707,80.3484,80.6268,80.9057,81.1851,81.4649,81.7449,81.9283,82.1128,82.2983,82.4845,82.6713,82.8588,83.0466,83.2348,83.4233,83.6121,83.7043,83.7975,83.8915,83.9863,84.0816,84.1773,84.2735,84.37,84.4667,84.5635
aa8962194,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.00267,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
aa8962194,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.00267,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,25.0502,24.8286,24.4775,24.1419,23.8192,23.5077,23.2059,22.9129,22.6277,22.3498,22.0785,21.8136,21.5102,21.2129,20.9215,20.636,20.3561,20.0817,19.8128,19.5491,19.2907,19.0373,18.6992,18.3683,18.0444,17.7276,17.4178,17.115,16.8191,16.5299,16.2476,15.9718,15.6884,15.4092,15.1343,14.864,14.5982,14.3374,14.0815,13.8307,13.5852,13.3449,13.0697,12.7993,12.5341,12.2743,12.0201,11.7718,11.5294,11.2933,11.0635,10.8403,10.5736,10.3137,10.0612,9.81621,9.57901,9.34984,9.12915,8.91701,8.71371,8.51953,8.30722,8.10342,7.90845,7.7228,7.54703,7.38153,6.59995,4.39997,2.19999,-3.92175e-07,-8.83484e-07,-8.88628e-07,-8.91829e-07,-8.93127e-07,-8.92606e-07,-8.90323e-07,-8.86401e-07,-8.80931e-07,-8.74055e-07,-8.65888e-07,-8.49103e-07,-8.32115e-07,-8.15058e-07,-7.98018e-07,-7.81101e-07,-7.6438e-07,-7.47913e-07,-7.31761e-07,-7.15959e-07,-7.00549e-07,-6.81727e-07,-6.63837e-07,-6.46853e-07,-6.30741e-07,-6.15477e-07,-6.01033e-07,-5.87369e-07,-5.74469e-07,-5.62302e-07,-5.50841e-07,-5.38044e-07,-5.26126e-07,-5.15049e-07,-5.04779e-07,-4.95281e-07,-4.86532e-07,-4.78508e-07,-4.71194e-07,-4.64574e-07,-4.5864e-07,-4.52119e-07,-4.46365e-07,-4.41375e-07,-4.37156e-07,-4.33718e-07,-4.31081e-07,-4.29277e-07,-4.28343e-07,-4.28337e-07,-4.29325e-07
aa8962194,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.00267,1,0.62 delta_degC/(TtCO2),4.76419e-34,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.152061,0.152561,0.153399,0.154344,0.155365,0.156439,0.157547,0.158676,0.159814,0.160954,0.162087,0.163209,0.16462,0.166005,0.16736,0.168683,0.169971,0.171222,0.172436,0.173611,0.174747,0.175843,0.177291,0.178694,0.180051,0.181361,0.182624,0.183838,0.185005,0.186125,0.187197,0.188222,0.189717,0.191156,0.19254,0.193866,0.195136,0.196347,0.1975,0.198594,0.199631,0.200611,0.201928,0.203182,0.204373,0.2055,0.206561,0.207557,0.208488,0.209353,0.210153,0.210887,0.211924,0.212891,0.213788,0.214612,0.215364,0.216042,0.216648,0.217179,0.217636,0.21802,0.218639,0.219178,0.219635,0.22001,0.2203,0.220507,0.224968,0.239342,0.253828,0.268402,0.266765,0.265162,0.263591,0.262052,0.260543,0.259064,0.257612,0.256188,0.25479,0.253418,0.252071,0.250749,0.249451,0.248178,0.246927,0.245698,0.244491,0.243304,0.242138,0.240991,0.239864,0.238756,0.237667,0.236596,0.235544,0.234508,0.233489,0.232486,0.231499,0.230528,0.229572,0.228632,0.227706,0.226795,0.225898,0.225015,0.224146,0.223289,0.222445,0.221614,0.220795,0.219988,0.219194,0.218411,0.21764,0.216882,0.216133,0.215395,0.214667,0.21395
