ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
aaac32be0,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,20.4087,19.7556,19.1161,18.4876,17.8684,17.2569,16.6524,16.0539,15.4609,14.873,14.2404,13.6123,12.9888,12.3697,11.7551,11.1449,10.5392,9.9379,9.34099,8.74846,8.08184,7.42252,6.77053,6.12596,5.48876,4.85894,4.23645,3.6212,3.01315,2.41208,1.7375,1.06455,0.393378,7.9844e-05,2.47211e-05,1.53382e-05,1.14872e-05,9.40933e-06,8.12281e-06,7.25851e-06,6.56096e-06,6.05919e-06,5.68774e-06,5.4077e-06,5.19461e-06,5.03234e-06,4.9098e-06,4.81915e-06,4.75477e-06,4.71242e-06,4.66692e-06,4.64074e-06,4.63144e-06,4.63712e-06,4.65632e-06,4.68794e-06,4.73117e-06,4.78535e-06,4.85002e-06,4.92488e-06,4.99748e-06,5.08053e-06,5.17389e-06,5.27758e-06,5.39171e-06,5.51648e-06,5.65217e-06,5.79914e-06,5.95786e-06,-1.02521e-20,1.43544e-11,-4.38924e-20,1.63638e-12,-9.06347e-21,1.83833e-12,-8.45172e-21,3.27255e-12,-7.833e-21,2.64021e-12,-7.23521e-21,3.55271e-15,-6.61516e-21,-1.49355e-12,-4.60706e-22,3.23726e-11,-5.42486e-21,5.46848e-12,-4.58044e-21,3.27277e-12,-4.35702e-21,-1.70644e-12,-7.26025e-21,1.63638e-12,-3.30022e-21,3.79118e-12,2.39274e-19,1.63638e-12,-2.36702e-21,8.95796e-13,-9.86791e-18,2.54585e-12,-1.50337e-21,9.96776e-12,1.22045e-19,1.81899e-12,-7.44282e-22,2.21394e-11,-1.04327e-19,-3.09228e-11,2.31411e-19,-1.98739e-13,1.24223e-19,1.63638e-12,2.9769e-19,-8.09536e-12,6.30298e-20,-3.36596e-12,9.76371e-19,1.069e-21,6.56604e-11
aaac32be0,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21899,1.22801,1.23658,1.24488,1.25291,1.26067,1.26818,1.27543,1.28242,1.28916,1.29566,1.3019,1.30788,1.3136,1.31906,1.32425,1.32919,1.33387,1.3383,1.34247,1.34639,1.35007,1.35346,1.35658,1.35942,1.362,1.3643,1.36634,1.36812,1.36964,1.37091,1.37192,1.37265,1.3731,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326,1.37326
aaac32be0,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.00994481,0.00902082,0.00857164,0.00829736,0.00802877,0.00776481,0.00750471,0.00724792,0.006994,0.00674263,0.00649359,0.00624666,0.00598096,0.00571718,0.0054553,0.00519529,0.00493716,0.00468087,0.00442647,0.00417392,0.00392322,0.00367435,0.00339437,0.00311746,0.00284362,0.0025729,0.00230528,0.00204076,0.00177931,0.0015209,0.00126552,0.00101307,0.000729749,0.000447109,0.000165219,3.35345e-08,1.03829e-08,6.44205e-09,4.82462e-09,3.95192e-09,3.41158e-09,3.04857e-09,2.7556e-09,2.54486e-09,2.38885e-09,2.27123e-09,2.18174e-09,2.11358e-09,2.06212e-09,2.02404e-09,1.997e-09,1.97921e-09,1.96011e-09,1.94911e-09,1.9452e-09,1.94759e-09,1.95565e-09,1.96893e-09,1.98709e-09,2.00985e-09,2.03701e-09,2.06845e-09,2.09894e-09,2.13382e-09,2.17303e-09,2.21658e-09,2.26452e-09,2.31692e-09,2.37391e-09,2.43564e-09,2.5023e-09,-4.30915e-24,-3.85623e-16,-1.79657e-23,-2.91786e-21,-3.80913e-24,-9.58509e-18,-3.53738e-24,-9.32618e-20,-3.29172e-24,1.60137e-17,-3.60393e-24,1.49214e-18,-2.78075e-24,1.61149e-17,-7.18095e-25,-1.67866e-18,-2.27707e-24,1.5729e-16,-1.57979e-24,-1.71073e-24,-1.83013e-24,-6.3516e-17,-2.1828e-24,-1.32479e-24,-1.38783e-24,5.13651e-16,1.00653e-22,-9.58072e-25,-9.94521e-25,2.81355e-18,-4.14467e-21,3.81976e-16,-6.33608e-25,-4.40964e-17,5.16731e-23,7.63976e-16,-3.13437e-25,8.8824e-17,-4.44956e-23,-7.63976e-16,9.71937e-23,1.17288e-16,5.15907e-23,1.43246e-25,1.25029e-22,-3.89091e-16,-2.34476e-18,-3.58563e-15,5.97571e-17,-1.37982e-24,4.39149e-15
aaac32be0,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aaac32be0,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),-5.00091e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,334.189,353.945,373.061,391.549,409.417,426.674,443.327,459.38,474.841,489.714,503.955,517.567,530.556,542.926,554.681,565.826,576.365,586.303,595.644,604.392,612.474,619.897,626.667,632.793,638.282,643.141,647.377,650.998,654.012,656.424,658.161,659.226,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619,659.619
aaac32be0,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.613631,0.59144,0.57188,0.554434,0.538721,0.524452,0.511405,0.4994,0.488299,0.477984,0.468354,0.459335,0.450861,0.442876,0.435332,0.428188,0.421407,0.414958,0.408814,0.402949,0.397343,0.391983,0.386851,0.381932,0.377211,0.372673,0.368307,0.364102,0.360049,0.356138,0.35235,0.348674,0.345104,0.341653,0.338332,0.335135,0.332053,0.329078,0.326205,0.323426,0.320736,0.318128,0.315599,0.313144,0.310759,0.308441,0.306185,0.30399,0.301852,0.299769,0.297738,0.295756,0.293824,0.291937,0.290093,0.288292,0.286531,0.284809,0.283124,0.281475,0.279858,0.278272,0.276715,0.275187,0.273685,0.27221,0.270761,0.269337,0.267937,0.26656,0.265206,0.263873,0.262562,0.261272,0.260002,0.258752,0.257521,0.256308,0.255113,0.253936,0.252777,0.251635,0.250511,0.249405,0.248314,0.24724,0.246181,0.245138,0.244109,0.243095,0.242096,0.241112,0.240142,0.239186,0.238244,0.237314,0.236399,0.235495,0.234604,0.233725,0.232858,0.232004,0.231162,0.230331,0.229512,0.228704,0.227907,0.227121,0.226344,0.225579,0.224823,0.224077,0.223342,0.222617,0.221902,0.221196,0.220499,0.219812,0.219132,0.218462
aaac32be0,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),43.478,44.0899,44.6839,45.255,45.8011,46.3219,46.8182,47.2914,47.7433,48.1758,48.5906,48.8284,49.0902,49.3504,49.6096,49.8682,50.1266,50.3853,50.6444,50.9043,51.165,51.3928,51.6215,51.8513,52.0824,52.3149,52.5488,52.7844,53.0216,53.2605,53.5012,53.6087,53.718,53.829,53.9419,54.0568,54.1737,54.2926,54.4136,54.5367,54.6619,54.941,55.2211,55.5024,55.801,56.1233,56.4459,56.7688,57.0919,57.4153,57.7389,58.0981,58.4569,58.8154,59.1736,59.5315,59.8892,60.2467,60.604,60.9612,61.3183,61.6623,62.0056,62.3482,62.6904,63.032,63.3732,63.714,64.0545,64.3946,64.7345,65.1968,65.6583,66.1193,66.5797,67.0396,67.4991,67.9583,68.4171,68.8757,69.3339,69.792,70.2499,70.7076,71.1651,71.6225,72.0798,72.5369,72.9939,73.4508,73.9077,74.2685,74.6303,74.993,75.3563,75.7202,76.0845,76.4493,76.8144,77.1797,77.5453,77.8156,78.087,78.3593,78.6323,78.906,79.1802,79.4549,79.7299,80.0052,80.2807,80.4613,80.6429,80.8253,81.0085,81.1922,81.3764,81.561,81.746,81.9311,82.1165,82.2071,82.2986,82.3909,82.4839,82.5774,82.6714,82.7657,82.8603,82.9552,83.0502
aaac32be0,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
aaac32be0,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,20.4087,19.7556,19.1161,18.4876,17.8684,17.2569,16.6524,16.0539,15.4609,14.873,14.2404,13.6123,12.9888,12.3697,11.7551,11.1449,10.5392,9.9379,9.34099,8.74846,8.08184,7.42252,6.77053,6.12596,5.48876,4.85894,4.23645,3.6212,3.01315,2.41208,1.7375,1.06455,0.393378,7.9844e-05,2.47211e-05,1.53382e-05,1.14872e-05,9.40933e-06,8.12281e-06,7.25851e-06,6.56096e-06,6.05919e-06,5.68774e-06,5.4077e-06,5.19461e-06,5.03234e-06,4.9098e-06,4.81915e-06,4.75477e-06,4.71242e-06,4.66692e-06,4.64074e-06,4.63144e-06,4.63712e-06,4.65632e-06,4.68794e-06,4.73117e-06,4.78535e-06,4.85002e-06,4.92488e-06,4.99748e-06,5.08053e-06,5.17389e-06,5.27758e-06,5.39171e-06,5.51648e-06,5.65217e-06,5.79914e-06,5.95786e-06,-1.02521e-20,-1.0157e-12,-4.38924e-20,-6.94728e-18,-9.06347e-21,1.83833e-12,-8.45172e-21,-2.22052e-16,-7.833e-21,-6.32556e-13,-7.23521e-21,3.55271e-15,-6.61516e-21,-4.76632e-12,-4.60706e-22,-3.99681e-15,-5.42486e-21,3.8321e-12,-4.58044e-21,-4.08785e-21,-4.35702e-21,-4.97921e-12,-7.26025e-21,-3.15171e-21,-3.30022e-21,2.97299e-12,2.39274e-19,-2.28217e-21,-2.36702e-21,-7.40589e-13,-9.86791e-18,9.09467e-13,-1.50337e-21,1.16041e-11,1.22045e-19,1.81899e-12,-7.44282e-22,-8.60077e-12,-1.04327e-19,-1.81899e-12,2.31411e-19,-1.98739e-13,1.24223e-19,3.44252e-22,2.9769e-19,-2.04669e-12,6.30298e-20,-5.00234e-12,9.76371e-19,1.11573e-21,3.1219e-11
aaac32be0,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.42 delta_degC/(TtCO2),1.01837e-34,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.195454,0.204219,0.207529,0.210953,0.214454,0.218006,0.221587,0.225181,0.228775,0.232356,0.235917,0.239935,0.243919,0.247863,0.251761,0.255607,0.259398,0.26313,0.2668,0.270406,0.273947,0.278085,0.282159,0.286167,0.290105,0.293973,0.297769,0.301492,0.305141,0.308717,0.31222,0.316605,0.320915,0.325151,0.326264,0.323093,0.320041,0.317097,0.314257,0.311513,0.308859,0.30629,0.3038,0.301385,0.29904,0.296763,0.294549,0.292395,0.290299,0.288257,0.286268,0.284328,0.282436,0.28059,0.278788,0.277028,0.275307,0.273626,0.271982,0.270372,0.268797,0.267253,0.265739,0.264252,0.262792,0.261359,0.25995,0.258566,0.257206,0.255869,0.254554,0.253261,0.251988,0.250737,0.249505,0.248292,0.247098,0.245922,0.244764,0.243623,0.242499,0.241392,0.240302,0.239228,0.238172,0.23713,0.236104,0.235094,0.234097,0.233115,0.232146,0.231192,0.230252,0.229326,0.228413,0.227513,0.226626,0.225751,0.224889,0.224037,0.223198,0.22237,0.221555,0.220751,0.219957,0.219175,0.218404,0.217642,0.216891,0.21615,0.215419,0.214697,0.213985,0.213283,0.212591,0.211907,0.211234,0.210568,0.209912,0.209263,0.208623
