ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
acdca5098,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2882,30.1038,29.9224,29.7411,29.5579,29.2074,28.859,28.5117,28.1651,27.8186,27.472,27.1252,26.7778,26.4299,26.0814,25.6867,25.2916,24.896,24.5002,24.1043,23.7083,23.3125,22.9168,22.5215,22.1267,21.6351,21.1464,20.661,20.1788,19.7002,19.2251,18.7537,18.2861,17.8225,17.3628,16.8917,16.4205,15.9493,15.4787,15.0087,14.5398,14.0722,13.6062,13.1421,12.6799,12.1734,11.6677,11.1632,10.6604,10.1595,9.66098,9.16508,8.6721,8.18244,7.69627,7.15678,6.62078,6.08883,5.56121,5.03833,4.52052,4.00836,3.50201,3.00187,2.50832,1.97142,1.43896,0.911338,0.389207,0.000423523,8.96599e-05,5.30096e-05,3.9091e-05,3.18632e-05,-2.75087e-21,-3.07404e-21,-3.47931e-21,-3.48466e-21,-3.64002e-21,-3.7512e-21,-3.1606e-21,-3.8181e-21,-3.83786e-21,-3.82813e-21,-3.60504e-21,-3.64351e-21,-3.52437e-21,-3.3715e-21,-6.33674e-21,-3.0393e-21,-2.85586e-21,-2.68604e-21,-9.49106e-21,-2.28906e-21,-2.08389e-21,-1.84735e-21,-8.11918e-21,-1.35624e-21,-1.14006e-21,-9.13954e-22,-2.70317e-20,-4.60664e-22,-2.09605e-22,1.10011e-23,-4.05363e-20,4.66795e-22,7.05612e-22,9.08307e-22,1.77442e-19,1.35216e-21,1.55858e-21,1.76712e-21,-1.60125e-19,2.13894e-21,2.33266e-21,2.5174e-21,3.60847e-18,2.88891e-21,3.02102e-21,3.22074e-21,4.73952e-18,3.52369e-21,5.6699e-17,3.855e-21,4.66314e-10
acdca5098,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24799,1.26654,1.28498,1.30331,1.32141,1.33931,1.35698,1.37445,1.39169,1.40873,1.42554,1.44215,1.45853,1.4747,1.49063,1.50631,1.52175,1.53694,1.55188,1.56658,1.58103,1.59524,1.60921,1.62292,1.63634,1.64945,1.66226,1.67477,1.68698,1.6989,1.71053,1.72187,1.73292,1.74368,1.75416,1.76434,1.77422,1.78382,1.79313,1.80214,1.81087,1.8193,1.82745,1.83531,1.84286,1.85009,1.85701,1.86362,1.86992,1.87591,1.8816,1.88697,1.89204,1.89682,1.90125,1.90536,1.90913,1.91258,1.91571,1.91851,1.92099,1.92316,1.92503,1.92658,1.9278,1.9287,1.92926,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295
acdca5098,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187787,0.0186644,0.0185519,0.0184395,0.0183259,0.0181086,0.0178926,0.0176773,0.0174624,0.0172475,0.0170327,0.0168176,0.0166022,0.0163865,0.0161705,0.0159258,0.0156808,0.0154355,0.0151901,0.0149447,0.0146991,0.0144537,0.0142084,0.0139634,0.0137185,0.0134137,0.0131108,0.0128098,0.0125109,0.0122141,0.0119196,0.0116273,0.0113374,0.0110499,0.0107649,0.0104729,0.0101807,0.00988859,0.00959678,0.00930537,0.00901468,0.00872475,0.00843584,0.00814807,0.00786156,0.00754751,0.00723396,0.00692121,0.00660945,0.0062989,0.00598981,0.00568235,0.0053767,0.00507311,0.00477169,0.0044372,0.00410489,0.00377507,0.00344795,0.00312376,0.00280273,0.00248518,0.00217125,0.00186116,0.00155516,0.00122228,0.000892158,0.000565029,0.000241308,2.62585e-07,5.55892e-08,3.2866e-08,2.42364e-08,1.97552e-08,-1.70838e-24,-1.9127e-24,-2.1592e-24,-2.16106e-24,-2.26215e-24,-2.32715e-24,-1.96381e-24,-2.36915e-24,-2.38225e-24,-2.37528e-24,-2.23848e-24,-2.25973e-24,-2.18699e-24,-2.09189e-24,-3.93277e-24,-1.8861e-24,-1.77343e-24,-1.66547e-24,-5.88782e-24,-1.42259e-24,-1.29169e-24,-1.14731e-24,-5.03506e-24,-8.43379e-25,-7.06912e-25,-5.69474e-25,-1.67607e-23,-2.87065e-25,-1.30921e-25,5.44099e-27,-2.51336e-23,2.88864e-25,4.35357e-25,5.62256e-25,1.10013e-22,8.36945e-25,9.65356e-25,1.09491e-24,-9.92783e-23,1.32538e-24,1.44539e-24,1.56113e-24,2.23725e-21,1.79049e-24,1.87193e-24,1.98942e-24,2.9385e-21,2.17867e-24,3.51534e-20,2.37811e-24,-2.91928e-18
acdca5098,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acdca5098,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),-5.00057e-09,41.278,80.3561,117.234,151.912,184.39,214.678,244.782,274.705,304.446,334.004,363.211,392.07,420.582,448.747,476.565,504.037,531.163,557.94,584.37,610.452,636.138,661.43,686.326,710.826,734.931,758.639,781.951,804.868,827.39,849.516,871.151,892.298,912.959,933.138,952.838,972.063,990.817,1009.1,1026.93,1044.29,1061.18,1077.6,1093.55,1109.03,1124.04,1138.58,1152.65,1166.26,1179.4,1192.08,1204.25,1215.92,1227.08,1237.74,1247.9,1257.56,1266.73,1275.4,1283.58,1291.28,1298.44,1305.06,1311.14,1316.71,1321.74,1326.26,1330.27,1333.78,1336.78,1339.29,1341.26,1342.7,1343.61,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
acdca5098,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776027,0.740454,0.709999,0.683454,0.659988,0.638967,0.620075,0.602948,0.587307,0.572932,0.55965,0.547318,0.53582,0.525058,0.514953,0.505426,0.496426,0.487904,0.479817,0.472125,0.464797,0.457803,0.451118,0.444717,0.438581,0.432688,0.427032,0.421598,0.416372,0.41134,0.40649,0.401811,0.397293,0.392927,0.388706,0.38461,0.380627,0.376752,0.372981,0.369308,0.365731,0.362245,0.358847,0.355534,0.352302,0.349144,0.346056,0.343038,0.340085,0.337197,0.334372,0.331607,0.3289,0.326251,0.323657,0.321114,0.318621,0.316179,0.313784,0.311436,0.309132,0.306874,0.304659,0.302486,0.300354,0.298259,0.296198,0.29417,0.292174,0.290215,0.288301,0.28643,0.284601,0.282812,0.281061,0.279347,0.277667,0.276023,0.274412,0.272831,0.271282,0.269762,0.268271,0.266807,0.26537,0.263959,0.262575,0.261216,0.259883,0.258573,0.257286,0.256022,0.254779,0.253558,0.252357,0.251176,0.250016,0.248876,0.247755,0.246653,0.245568,0.244501,0.243451,0.242417,0.2414,0.240399,0.239415,0.238445,0.237491,0.236552,0.235628,0.234717,0.23382,0.232936,0.232066,0.231208,0.230363,0.229532,0.228712,0.227905,0.22711,0.226326,0.225554,0.224791,0.224041
acdca5098,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,44.0859,44.6628,45.1954,45.6773,46.1065,46.4852,47.0087,47.5237,48.031,48.5313,48.7779,49.0202,49.2589,49.4946,49.7276,49.9585,50.1876,50.4153,50.6417,50.8671,51.0579,51.2478,51.4369,51.6256,51.8139,52.002,52.1901,52.3781,52.5662,52.7545,52.8102,52.8664,52.9232,52.9809,53.0394,53.099,53.1596,53.2215,53.2846,53.3489,53.562,53.7749,53.9876,54.2006,54.4138,54.6276,54.8421,55.0573,55.2735,55.4907,55.7389,55.9876,56.237,56.4873,56.7387,56.9913,57.2453,57.5008,57.758,58.0169,58.262,58.5086,58.7568,59.0068,59.2588,59.513,59.7693,60.028,60.2892,60.5529,60.9285,61.3061,61.6858,62.0678,62.4632,62.893,63.324,63.7559,64.1886,64.6222,65.0565,65.4915,65.927,66.3632,66.7998,67.2369,67.6743,68.1122,68.5503,68.9888,69.3366,69.6856,70.0356,70.3864,70.738,71.0901,71.4428,71.7959,72.1493,72.503,72.7666,73.0312,73.2966,73.5628,73.8295,74.0968,74.3644,74.6323,74.9005,75.1688,75.3472,75.5265,75.7064,75.887,76.0681,76.2495,76.4312,76.6132,76.7953,76.9775,77.0699,77.1631,77.2569,77.3512,77.4459,77.541,77.6363,77.7318,77.8274,77.9231
acdca5098,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
acdca5098,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2882,30.1038,29.9224,29.7411,29.5579,29.2074,28.859,28.5117,28.1651,27.8186,27.472,27.1252,26.7778,26.4299,26.0814,25.6867,25.2916,24.896,24.5002,24.1043,23.7083,23.3125,22.9168,22.5215,22.1267,21.6351,21.1464,20.661,20.1788,19.7002,19.2251,18.7537,18.2861,17.8225,17.3628,16.8917,16.4205,15.9493,15.4787,15.0087,14.5398,14.0722,13.6062,13.1421,12.6799,12.1734,11.6677,11.1632,10.6604,10.1595,9.66098,9.16508,8.6721,8.18244,7.69627,7.15678,6.62078,6.08883,5.56121,5.03833,4.52052,4.00836,3.50201,3.00187,2.50832,1.97142,1.43896,0.911338,0.389207,0.000423523,8.96599e-05,5.30096e-05,3.9091e-05,3.18632e-05,-2.75087e-21,-3.07404e-21,-3.47931e-21,-3.48466e-21,-3.64002e-21,-3.7512e-21,-3.1606e-21,-3.8181e-21,-3.83786e-21,-3.82813e-21,-3.60504e-21,-3.64351e-21,-3.52437e-21,-3.3715e-21,-6.33674e-21,-3.0393e-21,-2.85586e-21,-2.68604e-21,-9.49106e-21,-2.28906e-21,-2.08389e-21,-1.84735e-21,-8.11918e-21,-1.35624e-21,-1.14006e-21,-9.13954e-22,-2.70317e-20,-4.60664e-22,-2.09605e-22,1.10011e-23,-4.05363e-20,4.66795e-22,7.05612e-22,9.08307e-22,1.77442e-19,1.35216e-21,1.55858e-21,1.76712e-21,-1.60125e-19,2.13894e-21,2.33266e-21,2.5174e-21,3.60847e-18,2.88891e-21,3.02102e-21,3.22074e-21,4.73952e-18,3.52369e-21,5.6699e-17,3.855e-21,4.66314e-10
acdca5098,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0197889,1,0.62 delta_degC/(TtCO2),6.79373e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241032,0.245666,0.250624,0.255829,0.261225,0.267121,0.273147,0.279274,0.285478,0.29174,0.298044,0.304374,0.31072,0.31707,0.323415,0.330413,0.337397,0.344358,0.351287,0.358178,0.365023,0.371817,0.378555,0.385231,0.391843,0.399339,0.406775,0.414144,0.42144,0.428658,0.435794,0.442842,0.449799,0.456663,0.46343,0.471522,0.479519,0.487412,0.495196,0.502864,0.510411,0.517831,0.525121,0.532274,0.53929,0.547346,0.555265,0.56304,0.570665,0.578133,0.585439,0.592578,0.599545,0.606338,0.612952,0.620566,0.628001,0.635251,0.642309,0.649169,0.655827,0.662276,0.668512,0.674532,0.680331,0.687014,0.693467,0.699682,0.705651,0.708805,0.704136,0.699568,0.695101,0.690731,0.686454,0.682268,0.678167,0.67415,0.670215,0.666355,0.662572,0.658859,0.655218,0.651641,0.648131,0.644686,0.641306,0.637987,0.634731,0.631532,0.628389,0.625301,0.622266,0.619282,0.616349,0.613466,0.610633,0.607848,0.60511,0.602417,0.599767,0.597163,0.594598,0.592073,0.589589,0.587144,0.584739,0.582372,0.580042,0.577749,0.575491,0.573267,0.571076,0.568917,0.566792,0.564696,0.562633,0.560602,0.558601,0.556629,0.554688,0.552773,0.550886,0.549024,0.54719
