ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
adad5fdbd,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.8535,17.2107,16.5846,15.9728,15.3733,14.7848,14.2063,13.6369,13.0761,12.4738,11.8795,11.2931,10.7144,10.1435,9.58016,9.02441,8.47615,7.9353,7.40178,6.8015,6.21155,5.63192,5.06264,4.50362,3.95482,3.41613,2.88742,2.3686,1.85941,1.27413,0.693891,0.118837,1.05554e-05,4.88235e-06,3.27948e-06,2.52674e-06,2.0923e-06,1.8114e-06,1.61636e-06,1.45208e-06,1.33115e-06,1.23939e-06,1.16824e-06,1.11223e-06,1.06772e-06,1.03218e-06,1.0038e-06,9.81294e-07,9.63652e-07,9.44585e-07,9.29837e-07,9.18805e-07,9.11007e-07,9.06073e-07,9.03715e-07,9.03715e-07,9.0589e-07,9.10105e-07,9.16262e-07,9.21183e-07,9.28081e-07,9.36889e-07,9.47575e-07,9.60131e-07,9.74562e-07,9.909e-07,1.00919e-06,1.02949e-06,-5.50105e-20,-4.59299e-17,-2.22904e-15,-5.1186e-20,-4.98023e-20,-4.97286e-16,-1.7191e-17,-4.54127e-20,-4.38681e-20,-2.43104e-16,-1.73865e-16,-3.90441e-20,-3.7262e-20,-6.61015e-16,-5.41386e-18,-3.20369e-20,-3.02294e-20,2.11781e-16,-2.7048e-16,-2.50473e-20,-2.33213e-20,1.90659e-15,-5.28808e-14,-1.79308e-20,-1.61825e-20,-6.44148e-16,1.42658e-13,-1.10283e-20,-9.38677e-21,4.15002e-17,-1.26647e-15,-4.47065e-21,-2.86244e-21,-1.49859e-13,-2.30697e-13,1.7724e-21,3.25802e-21,1.23003e-15,1.409e-18,7.41056e-21,8.72332e-21,1.84332e-13,5.58795e-15,1.25517e-20,1.37343e-20,2.27792e-12,1.84152e-12,6.66277e-13,-5.50457e-13,1.90036e-20,3.5997e-12
adad5fdbd,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35352,1.36933,1.38397,1.39809,1.41168,1.42478,1.43739,1.44951,1.46116,1.47234,1.48307,1.49329,1.50304,1.5123,1.52108,1.5294,1.53725,1.54465,1.55161,1.55811,1.56418,1.56976,1.57485,1.57947,1.58362,1.58731,1.59056,1.59336,1.59573,1.59767,1.59919,1.60024,1.60081,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009
adad5fdbd,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0176121,0.0158081,0.0146399,0.0141128,0.0135994,0.0130977,0.0126061,0.0121235,0.0116492,0.0111823,0.0107224,0.0102285,0.00974115,0.0092603,0.00878584,0.00831767,0.00785573,0.00740002,0.00695044,0.00650694,0.00606946,0.00557723,0.00509347,0.00461817,0.00415137,0.00369297,0.00324296,0.00280123,0.00236769,0.00194225,0.00152472,0.00104479,0.000568991,9.7446e-05,8.65542e-09,4.00353e-09,2.68917e-09,2.07193e-09,1.71569e-09,1.48535e-09,1.32542e-09,1.1907e-09,1.09154e-09,1.0163e-09,9.57955e-10,9.12026e-10,8.75528e-10,8.46385e-10,8.2312e-10,8.04661e-10,7.90194e-10,7.7456e-10,7.62466e-10,7.5342e-10,7.47025e-10,7.4298e-10,7.41046e-10,7.41047e-10,7.4283e-10,7.46286e-10,7.51335e-10,7.5537e-10,7.61026e-10,7.68249e-10,7.77011e-10,7.87308e-10,7.99141e-10,8.12538e-10,8.27533e-10,8.44183e-10,-4.50937e-23,-8.92065e-19,-1.82781e-18,-4.19617e-23,-4.08343e-23,-2.07497e-18,-1.40966e-20,-3.72305e-23,-3.59623e-23,-2.09741e-18,-1.42569e-19,-3.19887e-23,-3.05457e-23,-2.0612e-18,-4.43936e-21,-2.62562e-23,-2.47805e-23,-4.41776e-19,-2.21793e-19,-2.05379e-23,-1.91123e-23,2.69749e-17,-4.33623e-17,-1.46839e-23,-1.3264e-23,7.38996e-18,1.16979e-16,-1.02289e-23,-7.68902e-24,1.14965e-18,-1.03851e-18,-3.65152e-24,-2.34422e-24,-5.88014e-17,-2.90694e-15,2.49573e-15,2.68091e-24,2.33942e-16,-2.95171e-15,2.95172e-15,7.16449e-24,1.17649e-15,3.57515e-17,-3.11694e-17,1.12661e-23,9.3716e-15,6.07919e-14,-5.27214e-14,-1.5575e-15,1.10612e-15,-4.07251e-15
adad5fdbd,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adad5fdbd,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,1,0.82 delta_degC/(TtCO2),-5.00087e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.913,368.123,384.708,400.681,416.054,430.839,445.045,458.682,471.758,484.232,496.111,507.404,518.119,528.262,537.842,546.867,555.343,563.278,570.68,577.482,583.693,589.325,594.388,598.891,602.846,606.262,609.15,611.518,613.378,614.652,615.346,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465,615.465
adad5fdbd,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.589406,0.569041,0.551022,0.534899,0.520342,0.507094,0.494958,0.483776,0.473421,0.463782,0.454779,0.44634,0.438407,0.430927,0.423855,0.417156,0.410794,0.404742,0.398974,0.393468,0.38821,0.383182,0.378368,0.373752,0.369321,0.365062,0.360964,0.357018,0.353213,0.349531,0.345961,0.342496,0.339158,0.335943,0.332845,0.329854,0.326966,0.324173,0.32147,0.318852,0.316311,0.313845,0.31145,0.309122,0.306857,0.304653,0.302506,0.300414,0.298374,0.296385,0.294443,0.292548,0.290697,0.288888,0.28712,0.285391,0.283699,0.282043,0.280421,0.278831,0.277272,0.275739,0.274234,0.272756,0.271303,0.269876,0.268472,0.267092,0.265734,0.264398,0.263084,0.26179,0.260517,0.259263,0.258029,0.256813,0.255615,0.254434,0.253271,0.252125,0.250997,0.249886,0.248791,0.247713,0.24665,0.245603,0.24457,0.243552,0.242548,0.241559,0.240584,0.239624,0.238677,0.237744,0.236823,0.235916,0.235021,0.234137,0.233266,0.232407,0.23156,0.230725,0.229901,0.229089,0.228288,0.227497,0.226717,0.225947,0.225187,0.224437,0.223698,0.222968,0.222248,0.221538,0.220838,0.220146,0.219463,0.218789,0.218123
adad5fdbd,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,44.0692,44.6286,45.143,45.6061,46.0164,46.3751,46.6852,46.9502,47.1742,47.3612,47.3003,47.3573,47.5482,47.74,47.9333,48.1283,48.3256,48.5252,48.7275,48.9325,49.1061,49.2825,49.4619,49.6443,49.8299,50.0188,50.2111,50.4067,50.6057,50.8082,50.887,50.9693,51.0553,51.1449,51.2383,51.3353,51.436,51.5404,51.6485,51.7602,52.0106,52.2632,52.5182,52.8381,53.1751,53.5126,53.8505,54.1888,54.5274,54.8662,55.2403,55.614,55.9871,56.3599,56.7322,57.1042,57.4757,57.8468,58.2175,58.5879,58.9477,59.3065,59.6644,60.0213,60.3775,60.7329,61.0876,61.4416,61.7949,62.1475,62.6167,63.0849,63.5522,64.0188,64.4846,64.9497,65.4142,65.8782,66.3416,66.8046,67.267,67.7291,68.1907,68.6519,69.1128,69.5733,70.0335,70.4933,70.9529,71.4121,71.7771,72.1428,72.5091,72.8758,73.2428,73.6101,73.9777,74.3453,74.713,75.0808,75.355,75.6301,75.9059,76.1822,76.4591,76.7362,77.0136,77.2913,77.569,77.8469,78.0315,78.217,78.4031,78.5898,78.777,78.9644,79.1522,79.3401,79.5281,79.7163,79.8114,79.9073,80.0038,80.1008,80.1983,80.2961,80.3941,80.4924,80.5907,80.6891
adad5fdbd,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
adad5fdbd,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.8535,17.2107,16.5846,15.9728,15.3733,14.7848,14.2063,13.6369,13.0761,12.4738,11.8795,11.2931,10.7144,10.1435,9.58016,9.02441,8.47615,7.9353,7.40178,6.8015,6.21155,5.63192,5.06264,4.50362,3.95482,3.41613,2.88742,2.3686,1.85941,1.27413,0.693891,0.118837,1.05554e-05,4.88235e-06,3.27948e-06,2.52674e-06,2.0923e-06,1.8114e-06,1.61636e-06,1.45208e-06,1.33115e-06,1.23939e-06,1.16824e-06,1.11223e-06,1.06772e-06,1.03218e-06,1.0038e-06,9.81294e-07,9.63652e-07,9.44585e-07,9.29837e-07,9.18805e-07,9.11007e-07,9.06073e-07,9.03715e-07,9.03715e-07,9.0589e-07,9.10105e-07,9.16262e-07,9.21183e-07,9.28081e-07,9.36889e-07,9.47575e-07,9.60131e-07,9.74562e-07,9.909e-07,1.00919e-06,1.02949e-06,-5.50105e-20,-4.59299e-17,-2.22904e-15,-5.1186e-20,-4.98023e-20,-4.97286e-16,-1.7191e-17,-4.54127e-20,-4.38681e-20,-2.43104e-16,-1.73865e-16,-3.90441e-20,-3.7262e-20,-6.61015e-16,-5.41386e-18,-3.20369e-20,-3.02294e-20,2.11781e-16,-2.7048e-16,-2.50473e-20,-2.33213e-20,1.90659e-15,-5.28808e-14,-1.79308e-20,-1.61825e-20,-6.44148e-16,1.42658e-13,-1.10283e-20,-9.38676e-21,4.15002e-17,-1.26647e-15,-4.47065e-21,-2.86243e-21,-1.49859e-13,-2.30697e-13,1.7724e-21,3.25802e-21,1.23003e-15,1.409e-18,7.41056e-21,8.72332e-21,1.84332e-13,5.58795e-15,1.25517e-20,1.37343e-20,2.27792e-12,1.84152e-12,6.66277e-13,-5.50457e-13,1.90036e-20,3.5997e-12
adad5fdbd,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,1,0.82 delta_degC/(TtCO2),4.02543e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.562403,0.597189,0.604,0.611098,0.61838,0.625771,0.633211,0.640654,0.648061,0.655404,0.663985,0.672442,0.680756,0.688909,0.696888,0.70468,0.712278,0.719673,0.726861,0.733838,0.742298,0.750533,0.758538,0.766308,0.773839,0.78113,0.78818,0.79499,0.801562,0.8079,0.816555,0.82496,0.833112,0.828349,0.820497,0.81293,0.805626,0.798573,0.791752,0.78515,0.778754,0.772549,0.766527,0.760677,0.75499,0.749459,0.744075,0.738831,0.733722,0.728741,0.723881,0.719139,0.714511,0.70999,0.705573,0.701253,0.697031,0.692898,0.688853,0.684893,0.68101,0.6772,0.673458,0.669782,0.666172,0.662623,0.659137,0.655708,0.652337,0.649021,0.645759,0.642548,0.639389,0.63628,0.633217,0.630203,0.627232,0.624307,0.621423,0.618582,0.615783,0.613028,0.610313,0.607641,0.605007,0.602411,0.599853,0.597331,0.594844,0.592393,0.589977,0.587597,0.58525,0.582938,0.580659,0.57841,0.576194,0.574008,0.57185,0.569722,0.567624,0.565556,0.563517,0.561505,0.559521,0.557564,0.555633,0.553727,0.551847,0.549991,0.548159,0.546353,0.544571,0.542813,0.541078,0.539368,0.537678,0.536011,0.534363,0.532738
