ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
afc577694,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.8101,21.3257,20.8596,20.4082,19.9685,19.5385,19.1168,18.7019,18.2929,17.8891,17.4897,17.0466,16.6075,16.1719,15.7397,15.3105,14.8842,14.4605,14.0391,13.6198,13.2024,12.7073,12.2166,11.7303,11.2482,10.7703,10.2963,9.8261,9.3595,8.89635,8.43635,7.91913,7.40038,6.88013,6.35857,5.83555,5.31127,4.78552,4.25838,3.72969,3.19932,2.60304,2.00319,1.39993,0.793183,0.182962,-0.430744,-1.04807,-1.66915,-2.29406,-2.92308,-3.62006,-4.32204,-5.0289,-5.74086,-6.45802,-7.1806,-7.90863,-8.64253,-9.3826,-10.1291,-10.9785,-11.8399,-12.714,-13.6009,-14.5011,-15.4153,-16.344,-17.288,-18.248,-19.2251,-1.29542e-06,-7.49387e-07,-6.01055e-07,-5.26319e-07,-4.79654e-07,-4.47007e-07,-4.22477e-07,-4.03093e-07,-3.87197e-07,-3.73771e-07,-3.59422e-07,-3.46887e-07,-3.35779e-07,-3.25811e-07,-3.16781e-07,-3.08535e-07,-3.0095e-07,-2.93936e-07,-2.87417e-07,-2.81336e-07,-2.74337e-07,-2.67839e-07,-2.61794e-07,-2.56162e-07,-2.5091e-07,-2.46009e-07,-2.41433e-07,-2.37164e-07,-2.33185e-07,-2.29478e-07,-2.25269e-07,-2.21375e-07,-2.17784e-07,-2.14483e-07,-2.11462e-07,-2.08715e-07,-2.06236e-07,-2.04023e-07,-2.02073e-07,-2.00388e-07,-1.98434e-07,-1.96777e-07,-1.95423e-07,-1.94379e-07,-1.93657e-07,-1.9327e-07,-1.9324e-07,-1.9359e-07,-1.94351e-07,-1.9556e-07
afc577694,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21899,1.22815,1.23711,1.24587,1.25444,1.26283,1.27103,1.27906,1.28692,1.2946,1.30211,1.30946,1.31662,1.32359,1.33039,1.337,1.34343,1.34968,1.35575,1.36165,1.36737,1.37291,1.37825,1.38338,1.38831,1.39303,1.39756,1.40188,1.40601,1.40994,1.41368,1.41722,1.42054,1.42365,1.42654,1.42921,1.43166,1.43389,1.4359,1.43769,1.43926,1.4406,1.4417,1.44254,1.44313,1.44346,1.44354,1.44336,1.44291,1.44221,1.44125,1.44002,1.4385,1.43669,1.43457,1.43216,1.42945,1.42644,1.42311,1.41948,1.41554,1.41129,1.40668,1.40171,1.39637,1.39065,1.38456,1.37809,1.37122,1.36396,1.3563,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
afc577694,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.00994481,0.00916024,0.00895679,0.00876105,0.00857142,0.00838676,0.00820618,0.00802904,0.0078548,0.00768304,0.00751343,0.00734568,0.00715959,0.00697514,0.0067922,0.00661067,0.00643042,0.00625136,0.0060734,0.00589642,0.00572033,0.00554502,0.00533706,0.00513097,0.00492671,0.00472425,0.00452351,0.00432444,0.00412696,0.00393099,0.00373647,0.00354327,0.00332603,0.00310816,0.00288966,0.0026706,0.00245093,0.00223073,0.00200992,0.00178852,0.00156647,0.00134372,0.00109328,0.000841341,0.000587969,0.000333137,7.6844e-05,-0.000180913,-0.000440189,-0.000701043,-0.000963503,-0.00122769,-0.00152043,-0.00181526,-0.00211214,-0.00241116,-0.00271237,-0.00301585,-0.00332162,-0.00362986,-0.00394069,-0.00425423,-0.00461098,-0.00497278,-0.00533986,-0.00571237,-0.00609047,-0.00647444,-0.00686448,-0.00726095,-0.00766416,-0.00807456,-5.44076e-10,-3.14743e-10,-2.52443e-10,-2.21054e-10,-2.01455e-10,-1.87743e-10,-1.7744e-10,-1.69299e-10,-1.62623e-10,-1.56984e-10,-1.50957e-10,-1.45693e-10,-1.41027e-10,-1.3684e-10,-1.33048e-10,-1.29585e-10,-1.26399e-10,-1.23453e-10,-1.20715e-10,-1.18161e-10,-1.15222e-10,-1.12492e-10,-1.09954e-10,-1.07588e-10,-1.05382e-10,-1.03324e-10,-1.01402e-10,-9.96092e-11,-9.79374e-11,-9.63807e-11,-9.46132e-11,-9.29774e-11,-9.14693e-11,-9.00826e-11,-8.88139e-11,-8.76603e-11,-8.66194e-11,-8.56894e-11,-8.48708e-11,-8.41631e-11,-8.33422e-11,-8.26463e-11,-8.20775e-11,-8.16391e-11,-8.13358e-11,-8.11735e-11,-8.11606e-11,-8.13079e-11,-8.16276e-11,-8.21352e-11
afc577694,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
afc577694,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),-5.00034e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,314.113,335.438,356.298,376.706,396.675,416.213,435.33,454.032,472.325,490.214,507.704,524.75,541.358,557.53,573.269,588.58,603.464,617.925,631.964,645.583,658.786,671.493,683.71,695.44,706.688,717.459,727.755,737.581,746.94,755.837,764.273,772.192,779.593,786.473,792.831,798.667,803.978,808.764,813.022,816.752,819.951,822.554,824.557,825.957,826.75,826.933,826.503,825.455,823.785,821.491,818.568,814.948,810.626,805.597,799.856,793.398,786.218,778.309,769.667,760.284,750.155,739.176,727.336,714.622,701.022,686.52,671.105,654.761,637.473,619.225,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
afc577694,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639492,0.614631,0.593041,0.574016,0.557054,0.54178,0.527913,0.515234,0.50357,0.492784,0.482761,0.473402,0.464636,0.456398,0.448634,0.441296,0.434344,0.427743,0.421463,0.415476,0.409758,0.404289,0.399058,0.394046,0.38924,0.384623,0.380183,0.375909,0.371789,0.367815,0.363977,0.360257,0.356643,0.353131,0.349715,0.34639,0.343154,0.34,0.336927,0.333931,0.331009,0.328153,0.32536,0.322628,0.319955,0.317339,0.314778,0.31227,0.309812,0.307405,0.305045,0.302729,0.300456,0.298227,0.296037,0.293887,0.291775,0.289701,0.287663,0.28566,0.283691,0.281751,0.279839,0.277953,0.276093,0.274259,0.272448,0.270663,0.268902,0.267163,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
afc577694,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,44.0968,44.6552,45.1197,45.4739,45.7139,45.843,45.869,45.8016,45.6515,45.5487,45.7317,45.9149,46.0991,46.2848,46.4725,46.6624,46.8546,47.0494,47.2467,47.4466,47.6138,47.7833,47.955,48.129,48.3052,48.4837,48.6643,48.847,49.0318,49.2185,49.2856,49.3548,49.4259,49.4991,49.5744,49.6516,49.7308,49.8119,49.8948,49.9796,50.1861,50.3921,50.5979,50.8036,51.0094,51.2153,51.4215,51.628,51.8349,52.0423,52.2692,52.4954,52.7212,52.9467,53.1721,53.3973,53.6226,53.8479,54.0733,54.2988,54.5049,54.7103,54.9153,55.12,55.3243,55.5284,55.7323,55.9359,56.1394,56.3426,56.6299,56.9148,57.1975,57.4779,57.756,58.0318,58.3052,58.5761,58.8444,59.1098,63.7222,64.2859,64.8432,65.3946,65.9404,66.4812,67.0171,67.5487,68.0761,68.5996,69.0263,69.4502,69.8716,70.2906,70.7072,71.1217,71.5341,71.9445,72.353,72.7598,73.0717,73.3827,73.6927,74.0018,74.31,74.6172,74.9235,75.2289,75.5334,75.837,76.0467,76.2563,76.4656,76.6746,76.8833,77.0915,77.2994,77.5068,77.7138,77.9202,78.0332,78.1464,78.2597,78.373,78.4862,78.5993,78.7122,78.8249,78.9373,79.0494
afc577694,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
afc577694,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.8101,21.3257,20.8596,20.4082,19.9685,19.5385,19.1168,18.7019,18.2929,17.8891,17.4897,17.0466,16.6075,16.1719,15.7397,15.3105,14.8842,14.4605,14.0391,13.6198,13.2024,12.7073,12.2166,11.7303,11.2482,10.7703,10.2963,9.8261,9.3595,8.89635,8.43635,7.91913,7.40038,6.88013,6.35857,5.83555,5.31127,4.78552,4.25838,3.72969,3.19932,2.60304,2.00319,1.39993,0.793183,0.182962,-0.430744,-1.04807,-1.66915,-2.29406,-2.92308,-3.62006,-4.32204,-5.0289,-5.74086,-6.45802,-7.1806,-7.90863,-8.64253,-9.3826,-10.1291,-10.9785,-11.8399,-12.714,-13.6009,-14.5011,-15.4153,-16.344,-17.288,-18.248,-19.2251,-1.29542e-06,-7.49387e-07,-6.01055e-07,-5.26319e-07,-4.79654e-07,-4.47007e-07,-4.22477e-07,-4.03093e-07,-3.87197e-07,-3.73771e-07,-3.59422e-07,-3.46887e-07,-3.35779e-07,-3.25811e-07,-3.16781e-07,-3.08535e-07,-3.0095e-07,-2.93936e-07,-2.87417e-07,-2.81336e-07,-2.74337e-07,-2.67839e-07,-2.61794e-07,-2.56162e-07,-2.5091e-07,-2.46009e-07,-2.41433e-07,-2.37164e-07,-2.33185e-07,-2.29478e-07,-2.25269e-07,-2.21375e-07,-2.17784e-07,-2.14483e-07,-2.11462e-07,-2.08715e-07,-2.06236e-07,-2.04023e-07,-2.02073e-07,-2.00388e-07,-1.98434e-07,-1.96777e-07,-1.95423e-07,-1.94379e-07,-1.93657e-07,-1.9327e-07,-1.9324e-07,-1.9359e-07,-1.94351e-07,-1.9556e-07
afc577694,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.42 delta_degC/(TtCO2),1.95219e-34,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.19897,1.20558,1.2135,1.22238,1.232,1.24216,1.25274,1.26363,1.27475,1.28604,1.29744,1.31149,1.32553,1.33954,1.35348,1.36733,1.38109,1.39474,1.40827,1.42168,1.43497,1.45124,1.46736,1.48332,1.49911,1.51472,1.53016,1.54543,1.56054,1.57548,1.59026,1.61015,1.62989,1.64945,1.66885,1.68807,1.70713,1.72601,1.74473,1.76329,1.7817,1.80399,1.82614,1.84816,1.87005,1.89181,1.91345,1.93496,1.95637,1.97767,1.99889,2.02385,2.04876,2.07362,2.09844,2.12323,2.14799,2.17274,2.1975,2.22227,2.24708,2.27628,2.30561,2.3351,2.36475,2.3946,2.42468,2.45502,2.48565,2.51661,2.54796,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
