ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
b02fff954,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.8781,34.6781,32.4781,31.6566,31.4918,31.3193,31.1368,30.9428,30.5654,30.1805,29.7872,29.3847,28.9723,28.5494,28.1155,27.6699,27.2123,26.7421,26.2133,25.6711,25.1149,24.5444,23.959,23.3582,22.7415,22.1083,21.458,20.7899,20.0083,19.211,18.3975,17.5671,16.7191,15.853,14.9677,14.0627,13.1369,12.1894,11.1776,10.133,9.05429,7.94028,6.78942,5.60042,4.37147,3.10095,1.78688,0.427189,-1.05109,-2.58449,-4.17552,-5.82711,-7.54235,-9.32459,-11.1776,-13.1056,-15.113,-17.2347,-19.434,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.59145e-05,-1.64363e-05,-1.43487e-05,-1.35782e-05,-1.33114e-05,-1.33016e-05,-1.34466e-05,-1.36947e-05,-1.40165e-05,-1.43935e-05,-1.46778e-05,-1.49948e-05,-1.53361e-05,-1.56948e-05,-1.60657e-05,-1.64443e-05,-1.68265e-05,-1.7209e-05,-1.75885e-05,-1.79624e-05,-1.82038e-05,-1.84385e-05,-1.86652e-05,-1.88827e-05,-1.90905e-05,-1.92882e-05,-1.94753e-05,-1.96522e-05,-1.98189e-05,-1.99759e-05,-2.00286e-05,-2.0079e-05,-2.01284e-05,-2.01777e-05,-2.0228e-05,-2.02807e-05,-2.0337e-05,-2.03985e-05,-2.04667e-05,-2.05431e-05,-2.05631e-05,-2.05995e-05,-2.06541e-05,-2.07292e-05,-2.0827e-05,-2.09502e-05,-2.11021e-05,-2.12861e-05,-2.15066e-05,-2.17682e-05
b02fff954,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27338,1.29921,1.32489,1.35042,1.37579,1.40086,1.4256,1.45003,1.47413,1.49788,1.52129,1.54435,1.56704,1.58935,1.61128,1.63277,1.65383,1.67442,1.69455,1.71419,1.73335,1.75199,1.77012,1.78772,1.80477,1.82117,1.83693,1.85201,1.86642,1.88013,1.89313,1.9054,1.91693,1.9277,1.9377,1.94686,1.95517,1.9626,1.96911,1.97468,1.97927,1.98285,1.9854,1.98686,1.98721,1.98635,1.98423,1.98081,1.97603,1.96984,1.9622,1.95303,1.94228,1.92989,1.91576,1.89982,1.88342,1.86702,1.85062,1.83422,1.81782,1.80142,1.78502,1.76862,1.75222,1.73582,1.71942,1.70302,1.68662,1.67022,1.65382,1.63742,1.62102,1.60462,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822
b02fff954,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.0259584,0.0258233,0.0256818,0.0255322,0.0253731,0.0250636,0.024748,0.0244255,0.0240955,0.0237573,0.0234105,0.0230547,0.0226893,0.0223141,0.0219285,0.0214949,0.0210503,0.0205943,0.0201264,0.0196464,0.0191537,0.018648,0.0181288,0.0175956,0.0170477,0.0164068,0.0157531,0.0150859,0.014405,0.0137097,0.0129994,0.0122735,0.0115314,0.0107723,0.00999533,0.00916567,0.00830908,0.00742451,0.00651103,0.00556732,0.00459235,0.0035846,0.00254278,0.00146524,0.000350295,-0.000861892,-0.00211928,-0.00342392,-0.00477823,-0.00618473,-0.00764617,-0.00916566,-0.0107466,-0.0123927,-0.0141324,-0.0159359,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-2.12499e-08,-1.34778e-08,-1.17659e-08,-1.11341e-08,-1.09153e-08,-1.09073e-08,-1.10263e-08,-1.12296e-08,-1.14935e-08,-1.18027e-08,-1.20358e-08,-1.22957e-08,-1.25756e-08,-1.28697e-08,-1.31738e-08,-1.34843e-08,-1.37977e-08,-1.41114e-08,-1.44226e-08,-1.47291e-08,-1.49271e-08,-1.51196e-08,-1.53055e-08,-1.54838e-08,-1.56542e-08,-1.58164e-08,-1.59698e-08,-1.61148e-08,-1.62515e-08,-1.63802e-08,-1.64234e-08,-1.64648e-08,-1.65053e-08,-1.65457e-08,-1.6587e-08,-1.66301e-08,-1.66763e-08,-1.67268e-08,-1.67827e-08,-1.68454e-08,-1.68618e-08,-1.68916e-08,-1.69364e-08,-1.69979e-08,-1.70781e-08,-1.71792e-08,-1.73037e-08,-1.74546e-08,-1.76354e-08,-1.785e-08
b02fff954,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b02fff954,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),-4.99997e-09,41.278,80.3561,117.234,151.912,184.39,216.047,247.539,278.858,309.995,340.938,371.503,401.683,431.471,460.855,489.828,518.377,546.493,574.162,601.375,628.117,654.33,680.001,705.116,729.661,753.62,776.978,799.719,821.828,843.286,864.076,884.084,903.295,921.692,939.26,955.979,971.832,986.799,1000.86,1014,1026.19,1037.37,1047.5,1056.55,1064.49,1071.28,1076.88,1081.25,1084.36,1086.14,1086.57,1085.52,1082.93,1078.76,1072.93,1065.39,1056.06,1044.89,1031.78,1016.67,999.434,980,960,940,920,900,880,860,840,820,800,780,760,740,720,700,680,660,640,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999
b02fff954,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.779191,0.745649,0.716512,0.690813,0.667868,0.64713,0.628355,0.611225,0.595489,0.580951,0.567453,0.554862,0.543072,0.531993,0.52155,0.511666,0.502296,0.493391,0.484912,0.47682,0.469084,0.461677,0.454572,0.447748,0.441184,0.434859,0.428769,0.422898,0.417231,0.411756,0.406461,0.401334,0.396365,0.391547,0.386869,0.382312,0.377863,0.373517,0.369271,0.365118,0.361056,0.35708,0.353188,0.349375,0.345638,0.341969,0.338364,0.334823,0.331341,0.327917,0.324549,0.321235,0.317972,0.314759,0.311593,0.308472,0.305455,0.302556,0.299766,0.297077,0.294482,0.291978,0.289557,0.287214,0.284946,0.282746,0.28061,0.278533,0.276513,0.274548,0.272634,0.270769,0.268951,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
b02fff954,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,44.1131,44.7177,45.2783,45.7882,46.2453,46.7626,47.3179,47.8651,48.405,48.9382,49.2153,49.4877,49.7561,50.021,50.2828,50.5417,50.7982,51.0524,51.3045,51.5546,51.7686,51.9804,52.1902,52.3982,52.6042,52.8084,53.0109,53.2115,53.4103,53.6072,53.6672,53.7252,53.7815,53.836,53.8887,53.9395,53.9885,54.0356,54.0806,54.1234,54.3105,54.4926,54.6696,54.8416,55.0082,55.1694,55.3248,55.4742,55.6173,55.7536,55.9089,56.055,56.1912,56.317,56.4317,56.5345,56.6244,56.7003,56.7612,56.8007,56.8175,57.1053,57.4903,57.8791,58.2713,58.6667,59.0649,59.4657,59.8686,60.2736,60.7979,61.3236,61.8506,62.3785,62.9075,63.4373,63.9678,64.4989,65.0305,65.5626,68.1071,68.6487,69.1848,69.7158,70.2422,70.7643,71.2823,71.7966,72.3075,72.8152,73.224,73.6309,74.0359,74.4392,74.8408,75.2409,75.6394,76.0364,76.4321,76.8265,77.1239,77.421,77.7177,78.0139,78.3096,78.6049,78.8996,79.1938,79.4875,79.7806,79.9776,80.1749,80.3723,80.5699,80.7675,80.965,81.1624,81.3596,81.5567,81.7535,81.8547,81.9564,82.0585,82.161,82.2636,82.3664,82.4693,82.5722,82.675,82.7778
b02fff954,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
b02fff954,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.8781,34.6781,32.4781,31.6566,31.4918,31.3193,31.1368,30.9428,30.5654,30.1805,29.7872,29.3847,28.9723,28.5494,28.1155,27.6699,27.2123,26.7421,26.2133,25.6711,25.1149,24.5444,23.959,23.3582,22.7415,22.1083,21.458,20.7899,20.0083,19.211,18.3975,17.5671,16.7191,15.853,14.9677,14.0627,13.1369,12.1894,11.1776,10.133,9.05429,7.94028,6.78942,5.60042,4.37147,3.10095,1.78688,0.427189,-1.05109,-2.58449,-4.17552,-5.82711,-7.54235,-9.32459,-11.1776,-13.1056,-15.113,-17.2347,-19.434,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.59145e-05,-1.64363e-05,-1.43487e-05,-1.35782e-05,-1.33114e-05,-1.33016e-05,-1.34466e-05,-1.36947e-05,-1.40165e-05,-1.43935e-05,-1.46778e-05,-1.49948e-05,-1.53361e-05,-1.56948e-05,-1.60657e-05,-1.64443e-05,-1.68265e-05,-1.7209e-05,-1.75885e-05,-1.79624e-05,-1.82038e-05,-1.84385e-05,-1.86652e-05,-1.88827e-05,-1.90905e-05,-1.92882e-05,-1.94753e-05,-1.96522e-05,-1.98189e-05,-1.99759e-05,-2.00286e-05,-2.0079e-05,-2.01284e-05,-2.01777e-05,-2.0228e-05,-2.02807e-05,-2.0337e-05,-2.03985e-05,-2.04667e-05,-2.05431e-05,-2.05631e-05,-2.05995e-05,-2.06541e-05,-2.07292e-05,-2.0827e-05,-2.09502e-05,-2.11021e-05,-2.12861e-05,-2.15066e-05,-2.17682e-05
b02fff954,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.82 delta_degC/(TtCO2),3.1635e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.204168,0.209851,0.215887,0.222233,0.22886,0.236059,0.243518,0.251224,0.259168,0.267344,0.275748,0.284377,0.293232,0.302314,0.311626,0.321821,0.332271,0.342982,0.35396,0.365211,0.376744,0.388568,0.400693,0.413133,0.425901,0.440061,0.454616,0.469581,0.484972,0.500806,0.517105,0.533888,0.55118,0.569007,0.587397,0.608257,0.629819,0.652118,0.67519,0.699074,0.723815,0.74946,0.776061,0.803676,0.832368,0.864139,0.897233,0.931733,0.967729,1.00532,1.04463,1.08576,1.12887,1.1741,1.22252,1.27323,1.27464,1.25947,1.24484,1.23073,1.21709,1.2039,1.19114,1.17878,1.1668,1.1542,1.14197,1.13008,1.11853,1.1073,1.09637,1.08572,1.07536,1.06525,1.0554,0.645075,0.641879,0.638735,0.63564,0.632591,0.62959,0.626632,0.623719,0.620847,0.618018,0.615231,0.612487,0.609782,0.60712,0.604496,0.60191,0.599362,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577993,0.575784,0.573604,0.571454,0.569332,0.567241,0.565179,0.563146,0.561139,0.559161,0.55721,0.555285,0.553384,0.551509,0.549659,0.547832,0.54603,0.544253,0.542499,0.540769,0.539063,0.537378,0.535715,0.534071,0.53245
