ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
b292c1a72,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.8781,34.6781,33.8922,33.8644,33.8291,33.7847,33.7298,33.6633,33.401,33.1311,32.8527,32.5655,32.2688,31.9623,31.6454,31.3179,30.9792,30.629,30.2228,29.8044,29.3734,28.9294,28.472,28.0007,27.5152,27.015,26.4994,25.9681,25.3179,24.6538,23.9753,23.2819,22.573,21.8482,21.1068,20.3481,19.5716,18.7763,17.951,17.0977,16.2156,15.3039,14.3612,13.3867,12.3791,11.3372,10.2595,9.14463,7.93662,6.6842,5.38571,4.03913,2.64241,1.19338,6.03849e-05,1.05488e-05,5.94991e-06,4.22428e-06,3.29229e-06,2.72907e-06,2.35253e-06,2.08346e-06,1.88194e-06,1.72562e-06,1.60105e-06,1.4996e-06,1.41552e-06,1.34482e-06,1.28244e-06,1.22907e-06,1.18298e-06,1.14284e-06,1.10765e-06,1.07659e-06,1.04904e-06,1.02447e-06,1.00247e-06,-1.29557e-20,-1.29205e-20,-1.28017e-20,-1.26776e-20,-1.25401e-20,-1.23025e-20,-1.22078e-20,-1.20083e-20,-1.17889e-20,-1.16002e-20,-1.14315e-20,-1.11926e-20,-1.10097e-20,-1.07499e-20,-1.05295e-20,-1.02132e-20,-9.96028e-21,-9.68519e-21,-9.42713e-21,-9.1534e-21,-8.88092e-21,-8.62032e-21,-8.33513e-21,-8.05367e-21,-7.7403e-21,-7.46979e-21,-7.17874e-21,-6.92683e-21,-6.61573e-21,-6.30366e-21,-6.04893e-21,-5.70065e-21,-5.41524e-21,-5.04638e-21,-4.73229e-21,-4.4261e-21,-4.14237e-21,-3.82979e-21,-3.50661e-21,-3.18837e-21,-2.84104e-21,-2.55706e-21,-2.22659e-21,-1.96033e-21,-1.65084e-21,-1.34226e-21,-9.75398e-22,-7.00033e-22,-2.8876e-22,-6.05723e-23,-2.04725e-13
b292c1a72,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21142,1.23242,1.25339,1.27434,1.29525,1.31612,1.33683,1.35737,1.37774,1.39793,1.41794,1.43776,1.45738,1.47679,1.496,1.51499,1.53373,1.55221,1.57042,1.58835,1.60601,1.62337,1.64043,1.65718,1.67361,1.68971,1.7054,1.72069,1.73555,1.74999,1.76398,1.77753,1.79062,1.80323,1.81537,1.82701,1.83814,1.84874,1.85879,1.86828,1.87718,1.88548,1.89316,1.90019,1.90655,1.91222,1.91714,1.92128,1.92462,1.92713,1.92876,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295
b292c1a72,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0210132,0.0209959,0.0209741,0.0209465,0.0209125,0.0208712,0.0207086,0.0205413,0.0203687,0.0201906,0.0200067,0.0198166,0.0196202,0.0194171,0.0192071,0.01899,0.0187382,0.0184787,0.0182115,0.0179362,0.0176526,0.0173604,0.0170594,0.0167493,0.0164297,0.0161002,0.0156971,0.0152854,0.0148647,0.0144347,0.0139953,0.0135459,0.0130862,0.0126158,0.0121344,0.0116413,0.0111296,0.0106006,0.0100537,0.00948839,0.00890393,0.00829977,0.00767504,0.00702905,0.0063609,0.00566967,0.0049207,0.00414421,0.00333914,0.00250426,0.00163829,0.000739894,3.74386e-08,6.54023e-09,3.68895e-09,2.61905e-09,2.04122e-09,1.69202e-09,1.45857e-09,1.29175e-09,1.1668e-09,1.06989e-09,9.92649e-10,9.2975e-10,8.77621e-10,8.33789e-10,7.95114e-10,7.62026e-10,7.33447e-10,7.08562e-10,6.86741e-10,6.67486e-10,6.50403e-10,6.35172e-10,6.21534e-10,-8.03178e-24,-8.01104e-24,-7.93705e-24,-7.85997e-24,-7.77505e-24,-7.62675e-24,-7.56979e-24,-7.44498e-24,-7.30942e-24,-7.19202e-24,-7.08707e-24,-6.93988e-24,-6.82578e-24,-6.66584e-24,-6.52763e-24,-6.33244e-24,-6.17559e-24,-6.00508e-24,-5.84497e-24,-5.67456e-24,-5.50626e-24,-5.345e-24,-5.16767e-24,-4.99327e-24,-4.79901e-24,-4.6314e-24,-4.45072e-24,-4.29482e-24,-4.10182e-24,-3.90826e-24,-3.75025e-24,-3.5347e-24,-3.35737e-24,-3.12867e-24,-2.93402e-24,-2.74415e-24,-2.56831e-24,-2.3745e-24,-2.17426e-24,-1.97696e-24,-1.76141e-24,-1.58517e-24,-1.38068e-24,-1.21536e-24,-1.0237e-24,-8.32244e-25,-6.04762e-25,-4.34077e-25,-1.79237e-25,-3.74516e-26,1.78023e-23
b292c1a72,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b292c1a72,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.62 delta_degC/(TtCO2),-5.00001e-09,41.278,80.3561,117.234,151.912,185.804,219.669,253.498,287.283,321.012,354.676,388.077,421.208,454.061,486.626,518.895,550.857,582.503,613.82,644.8,675.429,705.651,735.456,764.829,793.759,822.231,850.231,877.746,904.761,931.261,957.229,982.547,1007.2,1031.18,1054.46,1077.03,1098.88,1119.99,1140.33,1159.91,1178.68,1196.63,1213.73,1229.95,1245.25,1259.61,1273,1285.38,1296.71,1306.97,1316.12,1324.06,1330.74,1336.12,1340.16,1342.81,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
b292c1a72,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.822716,0.787853,0.757468,0.730598,0.706553,0.684827,0.66497,0.646841,0.63018,0.61478,0.600473,0.587125,0.574621,0.562866,0.551782,0.541301,0.531352,0.521894,0.512886,0.504288,0.496067,0.488192,0.480639,0.473383,0.466402,0.459679,0.453189,0.446932,0.440894,0.43506,0.429417,0.423955,0.418661,0.413527,0.408545,0.403704,0.398987,0.394379,0.389875,0.385473,0.381164,0.376949,0.372821,0.368779,0.364818,0.360936,0.357124,0.353378,0.349697,0.346078,0.34252,0.339021,0.335594,0.332299,0.329128,0.326072,0.323123,0.320275,0.317524,0.314862,0.312284,0.309785,0.307363,0.305011,0.302727,0.300506,0.298344,0.296237,0.294181,0.292175,0.290215,0.288301,0.28643,0.284601,0.282812,0.281061,0.279347,0.277667,0.276023,0.274412,0.272831,0.271282,0.269762,0.268271,0.266807,0.26537,0.263959,0.262575,0.261216,0.259883,0.258573,0.257286,0.256022,0.254779,0.253558,0.252357,0.251176,0.250016,0.248876,0.247755,0.246653,0.245568,0.244501,0.243451,0.242417,0.2414,0.240399,0.239415,0.238445,0.237491,0.236552,0.235628,0.234717,0.23382,0.232936,0.232066,0.231208,0.230364,0.229532,0.228712,0.227905,0.22711,0.226326,0.225554,0.224791,0.224041
b292c1a72,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.62 delta_degC/(TtCO2),43.478,44.119,44.7298,45.2968,45.8132,46.3643,46.946,47.5196,48.0859,48.6456,49.1993,49.4954,49.7873,50.0756,50.3608,50.6432,50.9233,51.2012,51.4772,51.7514,52.0241,52.2611,52.4963,52.7299,52.9619,53.1924,53.4215,53.6491,53.8753,54.1001,54.3234,54.4081,54.4912,54.5727,54.6527,54.7313,54.8083,54.8838,54.9578,55.0301,55.1007,55.322,55.5394,55.7528,55.9622,56.1675,56.3686,56.5655,56.7579,56.9457,57.1286,57.3358,57.5363,57.7298,57.916,58.0945,58.2649,58.465,58.8114,59.1599,59.5105,59.8529,60.1963,60.5406,60.8857,61.2316,61.5781,61.9253,62.2729,62.621,62.9696,63.4369,63.9042,64.3713,64.8384,65.3053,65.7722,66.239,66.7058,67.1725,67.6391,68.1056,68.572,69.0383,69.5045,69.9706,70.4366,70.9025,71.3682,71.8338,72.2993,72.6694,73.0403,73.4119,73.7841,74.1567,74.5297,74.9029,75.2763,75.6499,76.0235,76.3025,76.5823,76.8629,77.144,77.4256,77.7076,77.9899,78.2724,78.5551,78.8378,79.0261,79.2152,79.405,79.5954,79.7861,79.9773,80.1686,80.3602,80.5519,80.7436,80.8411,80.9393,81.0382,81.1376,81.2374,81.3375,81.4378,81.5383,81.6389,81.7396
b292c1a72,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
b292c1a72,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.8781,34.6781,33.8922,33.8644,33.8291,33.7847,33.7298,33.6633,33.401,33.1311,32.8527,32.5655,32.2688,31.9623,31.6454,31.3179,30.9792,30.629,30.2228,29.8044,29.3734,28.9294,28.472,28.0007,27.5152,27.015,26.4994,25.9681,25.3179,24.6538,23.9753,23.2819,22.573,21.8482,21.1068,20.3481,19.5716,18.7763,17.951,17.0977,16.2156,15.3039,14.3612,13.3867,12.3791,11.3372,10.2595,9.14463,7.93662,6.6842,5.38571,4.03913,2.64241,1.19338,6.03849e-05,1.05488e-05,5.94991e-06,4.22428e-06,3.29229e-06,2.72907e-06,2.35253e-06,2.08346e-06,1.88194e-06,1.72562e-06,1.60105e-06,1.4996e-06,1.41552e-06,1.34482e-06,1.28244e-06,1.22907e-06,1.18298e-06,1.14284e-06,1.10765e-06,1.07659e-06,1.04904e-06,1.02447e-06,1.00247e-06,-1.29557e-20,-1.29205e-20,-1.28017e-20,-1.26776e-20,-1.25401e-20,-1.23025e-20,-1.22078e-20,-1.20083e-20,-1.17889e-20,-1.16002e-20,-1.14315e-20,-1.11926e-20,-1.10097e-20,-1.07499e-20,-1.05295e-20,-1.02132e-20,-9.96028e-21,-9.68519e-21,-9.42713e-21,-9.1534e-21,-8.88092e-21,-8.62032e-21,-8.33513e-21,-8.05367e-21,-7.7403e-21,-7.46979e-21,-7.17874e-21,-6.92683e-21,-6.61573e-21,-6.30366e-21,-6.04893e-21,-5.70065e-21,-5.41524e-21,-5.04638e-21,-4.73229e-21,-4.4261e-21,-4.14237e-21,-3.82979e-21,-3.50661e-21,-3.18837e-21,-2.84104e-21,-2.55706e-21,-2.22659e-21,-1.96033e-21,-1.65084e-21,-1.34226e-21,-9.75398e-22,-7.00033e-22,-2.8876e-22,-6.05723e-23,-2.04725e-13
b292c1a72,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.00694972,1,0.62 delta_degC/(TtCO2),2.91001e-33,0.00968364,0.0364545,0.0763643,0.125658,0.147312,0.151553,0.156048,0.160771,0.165702,0.170828,0.176376,0.182115,0.188039,0.194143,0.200424,0.206882,0.213517,0.220328,0.227319,0.234493,0.24234,0.25039,0.258649,0.26712,0.275811,0.284726,0.293874,0.303263,0.312902,0.322802,0.333772,0.345053,0.356658,0.368598,0.380887,0.393538,0.406568,0.419993,0.433832,0.448105,0.464233,0.480894,0.498111,0.515908,0.534313,0.553354,0.573063,0.593473,0.614623,0.636552,0.660748,0.685888,0.712019,0.739199,0.767487,0.796948,0.819643,0.811597,0.803853,0.796388,0.789186,0.782231,0.775511,0.76901,0.762714,0.756611,0.750695,0.744951,0.739371,0.733948,0.728668,0.723522,0.7185,0.713599,0.708814,0.704138,0.699569,0.695102,0.690732,0.686454,0.682268,0.678167,0.67415,0.670215,0.666356,0.662572,0.65886,0.655218,0.651642,0.648131,0.644686,0.641306,0.637988,0.634731,0.631532,0.628389,0.625301,0.622266,0.619282,0.616349,0.613466,0.610633,0.607848,0.60511,0.602417,0.599768,0.597163,0.594598,0.592074,0.589589,0.587144,0.584739,0.582373,0.580042,0.577749,0.575491,0.573267,0.571076,0.568917,0.566792,0.564696,0.562633,0.560602,0.558601,0.556629,0.554688,0.552773,0.550886,0.549024,0.54719
