ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
b2ed7d1f2,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.702,19.1963,18.7101,18.2402,17.7839,17.3395,16.9054,16.4806,16.0641,15.6551,15.2046,14.7611,14.3243,13.8941,13.47,13.052,12.6398,12.2333,11.8321,11.4361,10.9686,10.509,10.057,9.61273,9.176,8.7467,8.32467,7.90976,7.50185,7.10066,6.63898,6.18015,5.72426,5.27158,4.82208,4.37603,3.9333,3.49407,3.05826,2.62583,2.13168,1.63965,1.14998,0.662722,0.177996,-0.304096,-0.783568,-1.26044,-1.73467,-2.20641,-2.7385,-3.26844,-3.796,-4.32124,-4.84412,-5.3647,-5.88283,-6.3988,-6.91269,-7.42459,-8.01992,-8.6166,-9.21486,-9.81472,-10.4162,-11.0195,-11.6248,-12.2325,-12.8427,-13.456,-2.2552e-06,-1.28716e-06,-1.02322e-06,-8.87532e-07,-8.00491e-07,-7.37651e-07,-6.88829e-07,-6.48914e-07,-6.15092e-07,-5.85643e-07,-5.53086e-07,-5.24489e-07,-4.99057e-07,-4.76198e-07,-4.55495e-07,-4.3662e-07,-4.19315e-07,-4.03384e-07,-3.88658e-07,-3.75005e-07,-3.60096e-07,-3.46427e-07,-3.33863e-07,-3.22285e-07,-3.11599e-07,-3.01721e-07,-2.92573e-07,-2.84099e-07,-2.76242e-07,-2.68953e-07,-2.61178e-07,-2.5402e-07,-2.47433e-07,-2.41377e-07,-2.35817e-07,-2.30723e-07,-2.26071e-07,-2.2184e-07,-2.18011e-07,-2.14572e-07,-2.10911e-07,-2.07666e-07,-2.04828e-07,-2.02394e-07,-2.00363e-07,-1.98739e-07,-1.97532e-07,-1.96756e-07,-1.96433e-07,-1.9659e-07
b2ed7d1f2,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30298,1.31489,1.32649,1.33779,1.34882,1.35957,1.37005,1.38027,1.39023,1.39994,1.40936,1.41851,1.4274,1.43601,1.44436,1.45245,1.46029,1.46788,1.47521,1.4823,1.4891,1.49562,1.50185,1.50781,1.5135,1.51892,1.52409,1.52899,1.53364,1.53804,1.54216,1.54599,1.54954,1.55281,1.5558,1.55851,1.56095,1.56312,1.56501,1.56664,1.56796,1.56898,1.56969,1.5701,1.57021,1.57002,1.56954,1.56876,1.56768,1.56631,1.56462,1.56259,1.56024,1.55756,1.55455,1.55123,1.54758,1.54361,1.53933,1.53472,1.52975,1.52441,1.5187,1.51261,1.50615,1.49932,1.49211,1.48453,1.47657,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822
b2ed7d1f2,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0122152,0.0119017,0.0116003,0.0113089,0.011026,0.0107505,0.0104814,0.010218,0.00995971,0.00970616,0.00942684,0.00915188,0.0088811,0.00861433,0.00835142,0.00809224,0.00783669,0.00758462,0.0073359,0.0070904,0.00680056,0.00651555,0.00623534,0.00595989,0.00568912,0.00542295,0.0051613,0.00490405,0.00465115,0.00440241,0.00411617,0.00383169,0.00354904,0.00326838,0.00298969,0.00271314,0.00243865,0.00216632,0.00189612,0.00162801,0.00132164,0.00101658,0.000712986,0.000410888,0.000110357,-0.000188539,-0.000485812,-0.000781474,-0.00107549,-0.00136797,-0.00169787,-0.00202643,-0.00235352,-0.00267917,-0.00300335,-0.00332611,-0.00364736,-0.00396726,-0.00428587,-0.00460325,-0.00497235,-0.00534229,-0.00571321,-0.00608513,-0.00645803,-0.00683211,-0.00720739,-0.00758413,-0.00796247,-0.00834273,-1.39823e-09,-7.98042e-10,-6.34394e-10,-5.5027e-10,-4.96305e-10,-4.57344e-10,-4.27074e-10,-4.02327e-10,-3.81357e-10,-3.63098e-10,-3.42913e-10,-3.25183e-10,-3.09415e-10,-2.95243e-10,-2.82407e-10,-2.70704e-10,-2.59976e-10,-2.50098e-10,-2.40968e-10,-2.32503e-10,-2.2326e-10,-2.14785e-10,-2.06995e-10,-1.99817e-10,-1.93192e-10,-1.87067e-10,-1.81396e-10,-1.76142e-10,-1.7127e-10,-1.66751e-10,-1.6193e-10,-1.57492e-10,-1.53408e-10,-1.49654e-10,-1.46206e-10,-1.43048e-10,-1.40164e-10,-1.3754e-10,-1.35167e-10,-1.33035e-10,-1.30765e-10,-1.28753e-10,-1.26993e-10,-1.25484e-10,-1.24225e-10,-1.23219e-10,-1.2247e-10,-1.21989e-10,-1.21788e-10,-1.21886e-10
b2ed7d1f2,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b2ed7d1f2,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),-5.00071e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.483,352.679,371.389,389.629,407.413,424.753,441.658,458.139,474.203,489.858,505.063,519.824,534.148,548.042,561.512,574.564,587.204,599.437,611.269,622.705,633.674,644.183,654.24,663.853,673.029,681.775,690.1,698.01,705.512,712.612,719.251,725.431,731.156,736.427,741.249,745.625,749.559,753.053,756.111,758.737,760.869,762.508,763.658,764.321,764.499,764.195,763.411,762.151,760.416,758.21,755.471,752.203,748.407,744.086,739.241,733.877,727.994,721.595,714.682,707.258,699.238,690.621,681.406,671.592,661.176,650.156,638.531,626.299,613.456,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
b2ed7d1f2,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.613068,0.590587,0.570912,0.553467,0.537833,0.523698,0.510819,0.499008,0.488116,0.478022,0.468617,0.459826,0.451581,0.443824,0.436505,0.429582,0.423019,0.416783,0.410847,0.405185,0.399776,0.394609,0.389665,0.384928,0.380384,0.376019,0.37182,0.367778,0.363884,0.360126,0.356488,0.352957,0.349528,0.346198,0.342959,0.339809,0.336744,0.333759,0.330853,0.32802,0.325255,0.322553,0.319914,0.317333,0.314811,0.312344,0.30993,0.307568,0.305256,0.302992,0.300774,0.298598,0.296466,0.294376,0.292325,0.290312,0.288338,0.286401,0.284499,0.282631,0.280794,0.278985,0.277203,0.275447,0.273718,0.272015,0.270337,0.268683,0.267054,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
b2ed7d1f2,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,44.0803,44.6215,45.0684,45.4049,45.6273,45.7392,45.7486,45.6655,45.5006,45.2651,44.9616,45.118,45.2767,45.4384,45.6034,45.7721,45.9446,46.1211,46.3015,46.486,46.6392,46.796,46.9566,47.1208,47.2887,47.4602,47.6353,47.8138,47.9958,48.181,48.2509,48.3242,48.4008,48.4808,48.5641,48.6506,48.7403,48.8332,48.9292,49.0281,49.246,49.465,49.6852,49.907,50.1303,50.3554,50.5823,50.8112,51.0421,51.2751,51.5287,51.7837,52.0401,52.2981,52.5578,52.8195,53.0831,53.3488,53.6166,53.8865,54.1396,54.3943,54.6508,54.9093,55.1697,55.4322,55.6969,55.9637,56.2328,56.5042,56.8654,57.2276,57.591,57.9558,58.322,58.6896,59.0588,59.4295,59.8017,60.1755,63.3931,63.9302,64.4626,64.9906,65.5146,66.0347,66.5512,67.0644,67.5745,68.0817,68.4936,68.9037,69.3119,69.7185,70.1234,70.5267,70.9285,71.3288,71.7277,72.1252,72.4292,72.7326,73.0355,73.3377,73.6393,73.9402,74.2404,74.54,74.8389,75.1371,75.3424,75.5478,75.7531,75.9582,76.1632,76.3678,76.5722,76.7763,76.9799,77.1832,77.2941,77.4051,77.5164,77.6277,77.739,77.8502,77.9613,78.0722,78.183,78.2935
b2ed7d1f2,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
b2ed7d1f2,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.702,19.1963,18.7101,18.2402,17.7839,17.3395,16.9054,16.4806,16.0641,15.6551,15.2046,14.7611,14.3243,13.8941,13.47,13.052,12.6398,12.2333,11.8321,11.4361,10.9686,10.509,10.057,9.61273,9.176,8.7467,8.32467,7.90976,7.50185,7.10066,6.63898,6.18015,5.72426,5.27158,4.82208,4.37603,3.9333,3.49407,3.05826,2.62583,2.13168,1.63965,1.14998,0.662722,0.177996,-0.304096,-0.783568,-1.26044,-1.73467,-2.20641,-2.7385,-3.26844,-3.796,-4.32124,-4.84412,-5.3647,-5.88283,-6.3988,-6.91269,-7.42459,-8.01992,-8.6166,-9.21486,-9.81472,-10.4162,-11.0195,-11.6248,-12.2325,-12.8427,-13.456,-2.2552e-06,-1.28716e-06,-1.02322e-06,-8.87532e-07,-8.00491e-07,-7.37651e-07,-6.88829e-07,-6.48914e-07,-6.15092e-07,-5.85643e-07,-5.53086e-07,-5.24489e-07,-4.99057e-07,-4.76198e-07,-4.55495e-07,-4.3662e-07,-4.19315e-07,-4.03384e-07,-3.88658e-07,-3.75005e-07,-3.60096e-07,-3.46427e-07,-3.33863e-07,-3.22285e-07,-3.11599e-07,-3.01721e-07,-2.92573e-07,-2.84099e-07,-2.76242e-07,-2.68953e-07,-2.61178e-07,-2.5402e-07,-2.47433e-07,-2.41377e-07,-2.35817e-07,-2.30723e-07,-2.26071e-07,-2.2184e-07,-2.18011e-07,-2.14572e-07,-2.10911e-07,-2.07666e-07,-2.04828e-07,-2.02394e-07,-2.00363e-07,-1.98739e-07,-1.97532e-07,-1.96756e-07,-1.96433e-07,-1.9659e-07
b2ed7d1f2,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),4.07278e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.22731,1.34348,1.34957,1.35682,1.36491,1.3736,1.38272,1.39214,1.40175,1.41146,1.42121,1.43381,1.44629,1.45862,1.47075,1.48267,1.49435,1.50579,1.51697,1.52788,1.53852,1.5522,1.56555,1.57857,1.59125,1.60358,1.61556,1.6272,1.63849,1.64944,1.66005,1.67589,1.69135,1.70643,1.7211,1.73539,1.74927,1.76276,1.77586,1.78857,1.80091,1.81693,1.83255,1.84778,1.86261,1.87704,1.89108,1.90473,1.918,1.93089,1.94343,1.95928,1.97478,1.98991,2.00467,2.01908,2.03314,2.04686,2.06025,2.07331,2.08607,2.10239,2.11842,2.13416,2.14963,2.16484,2.1798,2.19452,2.20903,2.22335,2.2375,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
