ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
b4e64af13,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.5745,21.8317,21.087,20.337,19.5795,18.8124,18.034,17.243,16.438,15.6176,14.7808,13.8758,12.9521,12.0084,11.0439,10.0572,9.04714,8.0125,6.9518,5.86351,4.74597,3.52565,2.27762,1.00019,1.7383e-05,3.41707e-06,1.95842e-06,1.40296e-06,1.11065e-06,9.30662e-07,8.08916e-07,7.1493e-07,6.45507e-07,5.92269e-07,5.50262e-07,5.1636e-07,4.88503e-07,4.65267e-07,4.45648e-07,4.28908e-07,4.14496e-07,4.01187e-07,3.89643e-07,3.79569e-07,3.7073e-07,3.6294e-07,3.56047e-07,3.49925e-07,3.44472e-07,3.39602e-07,3.35242e-07,3.31049e-07,3.27297e-07,3.23935e-07,3.2092e-07,3.18214e-07,3.15783e-07,3.136e-07,3.11638e-07,3.09875e-07,3.08293e-07,3.06749e-07,3.05368e-07,3.04135e-07,3.03036e-07,3.02058e-07,3.0119e-07,3.00423e-07,2.99747e-07,2.99155e-07,-2.34526e-19,-2.30316e-19,-2.25602e-19,-2.20801e-19,-2.15928e-19,-2.11032e-19,-2.06197e-19,-2.01458e-19,-1.96724e-19,-1.91974e-19,-1.8731e-19,-1.82676e-19,-1.779e-19,-1.73186e-19,-1.68584e-19,-1.64112e-19,-1.59369e-19,-1.54705e-19,-1.50164e-19,-1.45735e-19,-1.41035e-19,-1.36398e-19,-1.31822e-19,-1.27316e-19,-1.22624e-19,-1.17989e-19,-1.1347e-19,-1.08887e-19,-1.04162e-19,-9.95266e-20,-9.49705e-20,-9.02646e-20,-8.56091e-20,-8.0962e-20,-7.63298e-20,-7.16349e-20,-6.69625e-20,-6.23048e-20,-5.76345e-20,-5.2988e-20,-4.83026e-20,-4.36244e-20,-3.89719e-20,-3.42855e-20,-2.96109e-20,-2.48971e-20,-2.02203e-20,-1.55428e-20,-1.08467e-20,-6.1434e-21,2.69795e-11
b4e64af13,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0240686,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29145,1.30498,1.31806,1.33067,1.34281,1.35447,1.36565,1.37634,1.38653,1.39622,1.40538,1.41398,1.42201,1.42946,1.43631,1.44254,1.44815,1.45312,1.45743,1.46106,1.46401,1.46619,1.4676,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822
b4e64af13,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0240686,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0139962,0.0135357,0.0130739,0.0126089,0.0121393,0.0116637,0.0111811,0.0106907,0.0101915,0.00968294,0.00916412,0.00860303,0.00803028,0.00744523,0.00684719,0.00623544,0.00560922,0.00496775,0.00431011,0.00363538,0.0029425,0.0021859,0.00141213,0.000620119,1.07774e-08,2.11858e-09,1.21422e-09,8.69834e-10,6.88606e-10,5.7701e-10,5.01527e-10,4.43257e-10,4.00215e-10,3.67207e-10,3.41163e-10,3.20143e-10,3.02872e-10,2.88466e-10,2.76302e-10,2.65923e-10,2.56987e-10,2.48736e-10,2.41579e-10,2.35333e-10,2.29853e-10,2.25023e-10,2.20749e-10,2.16954e-10,2.13573e-10,2.10553e-10,2.0785e-10,2.0525e-10,2.02924e-10,2.0084e-10,1.98971e-10,1.97293e-10,1.95786e-10,1.94432e-10,1.93215e-10,1.92123e-10,1.91141e-10,1.90185e-10,1.89328e-10,1.88564e-10,1.87882e-10,1.87276e-10,1.86738e-10,1.86262e-10,1.85843e-10,1.85476e-10,-1.45408e-22,-1.42798e-22,-1.39876e-22,-1.36899e-22,-1.33877e-22,-1.30844e-22,-1.27841e-22,-1.24906e-22,-1.21972e-22,-1.19025e-22,-1.16134e-22,-1.1326e-22,-1.103e-22,-1.07377e-22,-1.04524e-22,-1.01751e-22,-9.8809e-23,-9.59193e-23,-9.31017e-23,-9.03576e-23,-8.74444e-23,-8.45667e-23,-8.17306e-23,-7.8937e-23,-7.60279e-23,-7.31544e-23,-7.0352e-23,-6.75099e-23,-6.45808e-23,-6.17088e-23,-5.88822e-23,-5.59652e-23,-5.30774e-23,-5.01982e-23,-4.73245e-23,-4.44151e-23,-4.15174e-23,-3.86293e-23,-3.57344e-23,-3.28529e-23,-2.99489e-23,-2.70478e-23,-2.41629e-23,-2.12579e-23,-1.83595e-23,-1.54368e-23,-1.25374e-23,-9.63712e-24,-6.72615e-24,-3.80891e-24,-5.25452e-25
b4e64af13,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0240686,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b4e64af13,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0240686,1,0.62 delta_degC/(TtCO2),-5.00098e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,314.877,336.709,357.796,378.133,397.712,416.525,434.559,451.802,468.24,483.857,498.638,512.514,525.466,537.475,548.518,558.576,567.623,575.635,582.587,588.451,593.196,596.722,599,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
b4e64af13,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0240686,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.640228,0.615656,0.59407,0.574862,0.557591,0.541922,0.527601,0.514426,0.502238,0.490907,0.480327,0.470402,0.461065,0.452252,0.443913,0.435999,0.428473,0.421299,0.414448,0.407893,0.401609,0.395577,0.389785,0.384215,0.37888,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
b4e64af13,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,44.0749,44.6405,45.1617,45.632,46.0497,46.4162,46.734,47.0067,47.2382,47.6016,47.7905,47.9748,48.1553,48.3324,48.5065,48.6779,48.847,49.014,49.1789,49.3419,49.4684,49.5927,49.7147,49.8347,49.9524,50.0678,50.1808,50.2913,50.399,50.5036,50.4786,50.4507,50.4196,50.4391,50.6346,50.8316,51.0299,51.2292,51.4295,51.6304,51.9796,52.3286,52.6774,53.026,53.3745,53.7227,54.0708,54.4185,54.766,55.1132,55.4953,55.8765,56.2569,56.6364,57.0152,57.3932,57.7706,58.1472,58.5232,58.8985,59.263,59.6264,59.9886,60.3497,60.7099,61.0691,61.4275,61.785,62.1417,62.4977,62.9708,63.4428,63.9138,64.3839,64.8533,65.3219,65.7899,66.2572,66.7239,67.1901,67.6558,68.121,68.5858,69.0501,69.514,69.9775,70.4407,70.9035,71.366,71.8282,72.1956,72.5636,72.9322,73.3012,73.6706,74.0402,74.4099,74.7798,75.1498,75.5198,75.7957,76.0725,76.35,76.628,76.9065,77.1853,77.4644,77.7437,78.0231,78.3026,78.4884,78.675,78.8622,79.05,79.2383,79.4269,79.6157,79.8047,79.9939,80.1831,80.2788,80.3752,80.4723,80.57,80.668,80.7663,80.865,80.9637,81.0627,81.1616
b4e64af13,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0240686,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
b4e64af13,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.5745,21.8317,21.087,20.337,19.5795,18.8124,18.034,17.243,16.438,15.6176,14.7808,13.8758,12.9521,12.0084,11.0439,10.0572,9.04714,8.0125,6.9518,5.86351,4.74597,3.52565,2.27762,1.00019,1.7383e-05,3.41707e-06,1.95842e-06,1.40296e-06,1.11065e-06,9.30662e-07,8.08916e-07,7.1493e-07,6.45507e-07,5.92269e-07,5.50262e-07,5.1636e-07,4.88503e-07,4.65267e-07,4.45648e-07,4.28908e-07,4.14496e-07,4.01187e-07,3.89643e-07,3.79569e-07,3.7073e-07,3.6294e-07,3.56047e-07,3.49925e-07,3.44472e-07,3.39602e-07,3.35242e-07,3.31049e-07,3.27297e-07,3.23935e-07,3.2092e-07,3.18214e-07,3.15783e-07,3.136e-07,3.11638e-07,3.09875e-07,3.08293e-07,3.06749e-07,3.05368e-07,3.04135e-07,3.03036e-07,3.02058e-07,3.0119e-07,3.00423e-07,2.99747e-07,2.99155e-07,-2.34526e-19,-2.30316e-19,-2.25602e-19,-2.20801e-19,-2.15928e-19,-2.11032e-19,-2.06197e-19,-2.01458e-19,-1.96724e-19,-1.91974e-19,-1.8731e-19,-1.82676e-19,-1.779e-19,-1.73186e-19,-1.68584e-19,-1.64112e-19,-1.59369e-19,-1.54705e-19,-1.50164e-19,-1.45735e-19,-1.41035e-19,-1.36398e-19,-1.31822e-19,-1.27316e-19,-1.22624e-19,-1.17989e-19,-1.1347e-19,-1.08887e-19,-1.04162e-19,-9.95266e-20,-9.49705e-20,-9.02646e-20,-8.56091e-20,-8.0962e-20,-7.63298e-20,-7.16349e-20,-6.69625e-20,-6.23048e-20,-5.76345e-20,-5.2988e-20,-4.83026e-20,-4.36244e-20,-3.89719e-20,-3.42855e-20,-2.96109e-20,-2.48971e-20,-2.02203e-20,-1.55428e-20,-1.08467e-20,-6.1434e-21,2.69795e-11
b4e64af13,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0240686,1,0.62 delta_degC/(TtCO2),7.7881e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.462262,0.474539,0.487466,0.500973,0.515012,0.529552,0.544571,0.560055,0.575999,0.592404,0.609273,0.627914,0.647076,0.666771,0.687019,0.707842,0.729265,0.751319,0.77404,0.797465,0.821642,0.848636,0.876555,0.905455,0.925365,0.913075,0.901454,0.890437,0.879972,0.870011,0.86051,0.85142,0.8427,0.834321,0.826261,0.818496,0.811011,0.803783,0.7968,0.790046,0.783508,0.77717,0.771021,0.765052,0.759251,0.753612,0.748125,0.742784,0.73758,0.732509,0.727564,0.72274,0.71803,0.713434,0.708944,0.704555,0.700263,0.696067,0.69196,0.687939,0.684003,0.680142,0.676353,0.672632,0.668976,0.665385,0.661855,0.658387,0.654975,0.651621,0.648321,0.645075,0.641879,0.638735,0.63564,0.632591,0.629589,0.626632,0.623719,0.620847,0.618017,0.61523,0.612486,0.609782,0.60712,0.604496,0.60191,0.599361,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577992,0.575784,0.573604,0.571453,0.569332,0.56724,0.565179,0.563145,0.561139,0.559161,0.55721,0.555284,0.553384,0.551509,0.549658,0.547831,0.54603,0.544253,0.542499,0.540769,0.539063,0.537377,0.535714,0.534071,0.53245
