ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
b59026373,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.9275,24.583,24.1033,23.633,23.1698,22.712,22.2583,21.8078,21.3597,20.9134,20.4683,20.024,19.5335,19.0435,18.5538,18.0643,17.5748,17.0853,16.5955,16.1053,15.6146,15.1232,14.5455,13.9697,13.3958,12.8237,12.2534,11.6846,11.1173,10.5512,9.98629,9.42221,8.80891,8.19106,7.56863,6.94174,6.31019,5.67413,5.03327,4.38762,3.73695,3.08104,2.35776,1.62681,0.888179,0.141667,-0.61288,-1.37563,-2.14688,-2.92696,-3.71612,-4.51486,-5.38792,-6.27209,-7.16755,-8.07478,-8.9942,-9.92634,-10.8715,-11.8306,-12.8041,-13.7928,-14.895,-16.0197,-17.1678,-18.3403,-19.538,-20,-20,-20,-20,-20,-2.76041e-05,-1.78993e-05,-1.57688e-05,-1.49398e-05,-1.45566e-05,-1.435e-05,-1.42043e-05,-1.40578e-05,-1.38782e-05,-1.36476e-05,-1.29399e-05,-1.22677e-05,-1.16277e-05,-1.10184e-05,-1.04405e-05,-9.89454e-06,-9.38036e-06,-8.89807e-06,-8.44685e-06,-8.02582e-06,-7.53634e-06,-7.10012e-06,-6.70983e-06,-6.35931e-06,-6.04356e-06,-5.75834e-06,-5.49989e-06,-5.26531e-06,-5.05194e-06,-4.85749e-06,-4.65284e-06,-4.46891e-06,-4.30328e-06,-4.15394e-06,-4.01911e-06,-3.89738e-06,-3.78754e-06,-3.68857e-06,-3.59959e-06,-3.5199e-06,-3.43742e-06,-3.36457e-06,-3.30077e-06,-3.24556e-06,-3.19859e-06,-3.15964e-06,-3.12861e-06,-3.10549e-06,-3.09044e-06,-3.08369e-06
b59026373,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21952,1.22984,1.23996,1.24989,1.25962,1.26916,1.27851,1.28767,1.29664,1.30542,1.31402,1.32243,1.33063,1.33863,1.34642,1.35401,1.36139,1.36857,1.37554,1.3823,1.38886,1.39521,1.40132,1.40719,1.41282,1.4182,1.42335,1.42826,1.43292,1.43736,1.44155,1.44551,1.44921,1.45265,1.45583,1.45874,1.46139,1.46378,1.46589,1.46773,1.4693,1.4706,1.47159,1.47227,1.47264,1.4727,1.47244,1.47187,1.47097,1.46974,1.46817,1.46628,1.46402,1.46138,1.45837,1.45498,1.4512,1.44703,1.44247,1.4375,1.43212,1.42633,1.42007,1.41334,1.40613,1.39843,1.39022,1.38182,1.37342,1.36502,1.35662,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
b59026373,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.0104696,0.0103248,0.0101234,0.00992586,0.00973131,0.00953904,0.0093485,0.00915929,0.00897109,0.00878362,0.00859668,0.00841009,0.00820407,0.00799825,0.00779259,0.007587,0.00738142,0.00717581,0.00697011,0.00676424,0.00655814,0.00635173,0.00610909,0.00586726,0.00562622,0.00538596,0.00514641,0.00490753,0.00466925,0.00443151,0.00419424,0.00395733,0.00369974,0.00344024,0.00317882,0.00291553,0.00265028,0.00238313,0.00211397,0.0018428,0.00156952,0.00129404,0.000990261,0.000683261,0.000373035,5.95001e-05,-0.00025741,-0.000577764,-0.000901691,-0.00122932,-0.00156077,-0.00189624,-0.00226292,-0.00263428,-0.00301037,-0.00339141,-0.00377757,-0.00416906,-0.00456604,-0.00496884,-0.00537771,-0.00579296,-0.0062559,-0.00672827,-0.00721048,-0.00770293,-0.00820597,-0.00839999,-0.0084,-0.0084,-0.0084,-0.0084,-1.15937e-08,-7.51771e-09,-6.62288e-09,-6.27471e-09,-6.11378e-09,-6.02702e-09,-5.96583e-09,-5.90428e-09,-5.82885e-09,-5.73198e-09,-5.43476e-09,-5.15243e-09,-4.88364e-09,-4.62772e-09,-4.38502e-09,-4.15571e-09,-3.93975e-09,-3.73719e-09,-3.54768e-09,-3.37085e-09,-3.16526e-09,-2.98205e-09,-2.81813e-09,-2.67091e-09,-2.53829e-09,-2.4185e-09,-2.30995e-09,-2.21143e-09,-2.12181e-09,-2.04015e-09,-1.95419e-09,-1.87694e-09,-1.80738e-09,-1.74465e-09,-1.68803e-09,-1.6369e-09,-1.59077e-09,-1.5492e-09,-1.51183e-09,-1.47836e-09,-1.44371e-09,-1.41312e-09,-1.38632e-09,-1.36313e-09,-1.34341e-09,-1.32705e-09,-1.31401e-09,-1.30431e-09,-1.29798e-09,-1.29515e-09
b59026373,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b59026373,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),-5.00067e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,293.552,318.135,342.238,365.871,389.041,411.753,434.011,455.819,477.179,498.092,518.561,538.585,558.118,577.162,595.715,613.78,631.355,648.44,665.035,681.141,696.755,711.878,726.424,740.394,753.789,766.613,778.866,790.551,801.668,812.219,822.206,831.628,840.437,848.628,856.197,863.138,869.448,875.123,880.156,884.543,888.28,891.361,893.719,895.346,896.234,896.376,895.763,894.387,892.241,889.314,885.597,881.083,875.695,869.423,862.255,854.18,845.186,835.26,824.388,812.558,799.754,785.961,771.066,755.046,737.878,719.538,700,680,660,640,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
b59026373,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.669971,0.643409,0.620207,0.59976,0.581523,0.565097,0.550179,0.536535,0.523979,0.512362,0.501566,0.49149,0.482043,0.473162,0.46479,0.456876,0.449376,0.442253,0.435475,0.429012,0.422839,0.416934,0.411274,0.405853,0.400651,0.395655,0.39085,0.386223,0.381763,0.37746,0.373305,0.369289,0.365392,0.361604,0.357919,0.354334,0.350841,0.347439,0.344123,0.340889,0.337735,0.334656,0.331646,0.3287,0.325819,0.322998,0.320235,0.31753,0.314879,0.312281,0.309735,0.307238,0.304787,0.30238,0.300018,0.297697,0.295417,0.293177,0.290976,0.288811,0.286683,0.28459,0.282527,0.280492,0.278484,0.276503,0.274548,0.272634,0.270769,0.268951,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
b59026373,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,44.095,44.6816,45.2243,45.7164,46.1562,46.5445,46.8839,47.1776,47.6015,48.0967,48.3439,48.5885,48.831,49.0721,49.3121,49.5514,49.7903,50.0292,50.2681,50.5073,50.7126,50.9181,51.124,51.3303,51.5372,51.7448,51.9531,52.1622,52.3721,52.5829,52.6625,52.7429,52.8244,52.907,52.9908,53.0758,53.1621,53.2497,53.3386,53.4288,53.6644,53.8996,54.1346,54.3697,54.6048,54.8403,55.0761,55.3124,55.5492,55.7865,56.0525,56.3183,56.5841,56.85,57.1161,57.3825,57.6493,57.9165,58.1843,58.4525,58.7042,58.9558,59.2074,59.4591,59.711,59.9631,60.2154,60.4678,60.7205,60.9733,61.331,61.6874,62.0425,62.3962,62.7485,63.199,63.7124,64.2286,64.7476,65.269,67.782,68.3023,68.8184,69.3308,69.8396,70.3451,70.8475,71.3471,71.8441,72.3386,72.7356,73.1314,73.5259,73.9192,74.3114,74.7024,75.0924,75.4813,75.8693,76.2563,76.5473,76.8383,77.1292,77.4199,77.7103,78.0005,78.2903,78.5798,78.869,79.1577,79.3513,79.5452,79.7395,79.934,80.1285,80.3232,80.5178,80.7124,80.9068,81.1011,81.2006,81.3006,81.4012,81.5021,81.6032,81.7046,81.806,81.9076,82.0091,82.1106
b59026373,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
b59026373,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.9275,24.583,24.1033,23.633,23.1698,22.712,22.2583,21.8078,21.3597,20.9134,20.4683,20.024,19.5335,19.0435,18.5538,18.0643,17.5748,17.0853,16.5955,16.1053,15.6146,15.1232,14.5455,13.9697,13.3958,12.8237,12.2534,11.6846,11.1173,10.5512,9.98629,9.42221,8.80891,8.19106,7.56863,6.94174,6.31019,5.67413,5.03327,4.38762,3.73695,3.08104,2.35776,1.62681,0.888179,0.141667,-0.61288,-1.37563,-2.14688,-2.92696,-3.71612,-4.51486,-5.38792,-6.27209,-7.16755,-8.07478,-8.9942,-9.92634,-10.8715,-11.8306,-12.8041,-13.7928,-14.895,-16.0197,-17.1678,-18.3403,-19.538,-20,-20,-20,-20,-20,-2.76041e-05,-1.78993e-05,-1.57688e-05,-1.49398e-05,-1.45566e-05,-1.435e-05,-1.42043e-05,-1.40578e-05,-1.38782e-05,-1.36476e-05,-1.29399e-05,-1.22677e-05,-1.16277e-05,-1.10184e-05,-1.04405e-05,-9.89454e-06,-9.38036e-06,-8.89807e-06,-8.44685e-06,-8.02582e-06,-7.53634e-06,-7.10012e-06,-6.70983e-06,-6.35931e-06,-6.04356e-06,-5.75834e-06,-5.49989e-06,-5.26531e-06,-5.05194e-06,-4.85749e-06,-4.65284e-06,-4.46891e-06,-4.30328e-06,-4.15394e-06,-4.01911e-06,-3.89738e-06,-3.78754e-06,-3.68857e-06,-3.59959e-06,-3.5199e-06,-3.43742e-06,-3.36457e-06,-3.30077e-06,-3.24556e-06,-3.19859e-06,-3.15964e-06,-3.12861e-06,-3.10549e-06,-3.09044e-06,-3.08369e-06
b59026373,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),3.05707e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.392835,0.397776,0.403595,0.409719,0.416076,0.422612,0.429285,0.436063,0.44292,0.449835,0.456792,0.463778,0.471708,0.479645,0.487577,0.495497,0.503399,0.511278,0.51913,0.526953,0.534746,0.542507,0.551503,0.560472,0.569411,0.578319,0.587194,0.596035,0.604843,0.613619,0.622367,0.631088,0.641716,0.65233,0.662927,0.673506,0.684069,0.694616,0.705149,0.715671,0.726186,0.7367,0.748816,0.760953,0.773112,0.785296,0.79751,0.809757,0.822043,0.834377,0.846765,0.859217,0.873375,0.887634,0.902002,0.916486,0.931096,0.945843,0.960737,0.975794,0.991028,1.00646,1.02381,1.04142,1.0593,1.07748,1.09598,1.09637,1.08572,1.07536,1.06525,1.0554,0.645075,0.641879,0.638735,0.63564,0.632591,0.62959,0.626632,0.623719,0.620847,0.618018,0.615231,0.612486,0.609782,0.60712,0.604496,0.60191,0.599361,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577992,0.575784,0.573604,0.571453,0.569332,0.56724,0.565179,0.563146,0.561139,0.559161,0.55721,0.555285,0.553384,0.551509,0.549658,0.547831,0.54603,0.544253,0.542499,0.540769,0.539063,0.537377,0.535714,0.534071,0.53245
