ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
b6c4be5d8,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0283483,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.1449,23.7535,23.2347,22.7269,22.2279,21.7357,21.2491,20.7673,20.2894,19.815,19.3436,18.875,18.3603,17.8482,17.3387,16.8318,16.3274,15.8255,15.3263,14.8298,14.3357,13.8443,13.2726,12.7065,12.1461,11.5915,11.0427,10.4998,9.96267,9.43133,8.90577,8.38583,7.80736,7.22934,6.6519,6.07538,5.49975,4.92533,4.35202,3.78001,3.20922,2.63959,2.00278,1.365,0.726431,0.0870198,-0.553233,-1.19435,-1.83651,-2.47991,-3.12469,-3.77127,-4.48749,-5.20689,-5.9296,-6.65605,-7.38665,-8.12191,-8.8622,-9.60835,-10.3611,-11.1212,-11.9916,-12.8764,-13.7767,-14.6937,-15.6287,-16.5833,-17.5591,-18.5582,-19.5825,-20,-3.76548e-05,-3.03584e-05,-3.2139e-05,-3.59547e-05,-4.02406e-05,-4.35027e-05,-4.43129e-05,-4.20511e-05,-3.74651e-05,-3.19321e-05,-2.31378e-05,-1.77537e-05,-1.41741e-05,-1.16524e-05,-9.8009e-06,-8.39617e-06,-7.30183e-06,-6.43109e-06,-5.72544e-06,-5.14485e-06,-4.57669e-06,-4.11896e-06,-3.7433e-06,-3.43017e-06,-3.1658e-06,-2.94017e-06,-2.74571e-06,-2.57684e-06,-2.42915e-06,-2.29919e-06,-2.17033e-06,-2.05768e-06,-1.95869e-06,-1.87132e-06,-1.79394e-06,-1.72522e-06,-1.66411e-06,-1.60973e-06,-1.56135e-06,-1.51838e-06,-1.47534e-06,-1.43754e-06,-1.40454e-06,-1.376e-06,-1.35165e-06,-1.33128e-06,-1.31479e-06,-1.3021e-06,-1.29321e-06,-1.28819e-06
b6c4be5d8,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0283483,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33629,1.35577,1.37483,1.39346,1.41169,1.42951,1.44694,1.46396,1.4806,1.49685,1.51271,1.52819,1.54325,1.55788,1.5721,1.5859,1.59929,1.61227,1.62483,1.63699,1.64875,1.6601,1.67099,1.6814,1.69136,1.70087,1.70992,1.71853,1.7267,1.73444,1.74174,1.74862,1.75502,1.76095,1.7664,1.77138,1.77589,1.77993,1.7835,1.7866,1.78923,1.7914,1.79304,1.79416,1.79475,1.79482,1.79437,1.79339,1.79189,1.78985,1.78729,1.7842,1.78052,1.77625,1.77139,1.76593,1.75987,1.75321,1.74594,1.73806,1.72957,1.72045,1.71062,1.70006,1.68876,1.67671,1.6639,1.6503,1.6359,1.62068,1.60462,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822
b6c4be5d8,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0283483,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0197988,0.0194778,0.0190524,0.0186361,0.0182268,0.0178233,0.0174243,0.0170292,0.0166373,0.0162483,0.0158618,0.0154775,0.0150555,0.0146355,0.0142177,0.013802,0.0133884,0.0129769,0.0125676,0.0121604,0.0117553,0.0113523,0.0108835,0.0104193,0.00995982,0.00950506,0.00905505,0.00860984,0.00816939,0.00773369,0.00730273,0.00687638,0.00640204,0.00592806,0.00545456,0.00498181,0.00450979,0.00403877,0.00356866,0.00309961,0.00263156,0.00216446,0.00164228,0.0011193,0.000595673,7.13562e-05,-0.000453651,-0.000979369,-0.00150594,-0.00203352,-0.00256224,-0.00309244,-0.00367974,-0.00426965,-0.00486227,-0.00545796,-0.00605705,-0.00665997,-0.007267,-0.00787885,-0.00849609,-0.00911935,-0.00983313,-0.0105586,-0.0112969,-0.0120488,-0.0128155,-0.0135983,-0.0143985,-0.0152177,-0.0160577,-0.0164,-3.08769e-08,-2.48939e-08,-2.6354e-08,-2.94829e-08,-3.29973e-08,-3.56722e-08,-3.63366e-08,-3.44819e-08,-3.07213e-08,-2.61843e-08,-1.8973e-08,-1.45581e-08,-1.16227e-08,-9.55498e-09,-8.03674e-09,-6.88486e-09,-5.9875e-09,-5.27349e-09,-4.69486e-09,-4.21878e-09,-3.75289e-09,-3.37755e-09,-3.06951e-09,-2.81274e-09,-2.59596e-09,-2.41094e-09,-2.25148e-09,-2.11301e-09,-1.9919e-09,-1.88534e-09,-1.77967e-09,-1.6873e-09,-1.60613e-09,-1.53449e-09,-1.47103e-09,-1.41468e-09,-1.36457e-09,-1.31997e-09,-1.28031e-09,-1.24507e-09,-1.20978e-09,-1.17879e-09,-1.15173e-09,-1.12832e-09,-1.10835e-09,-1.09165e-09,-1.07813e-09,-1.06772e-09,-1.06043e-09,-1.05632e-09
b6c4be5d8,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0283483,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b6c4be5d8,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0283483,1,0.82 delta_degC/(TtCO2),-5.00211e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.769,316.523,339.758,362.485,384.712,406.448,427.697,448.464,468.754,488.569,507.913,526.787,545.148,562.996,580.335,597.166,613.494,629.319,644.646,659.475,673.811,687.656,700.928,713.635,725.781,737.372,748.415,758.915,768.878,778.309,787.215,795.6,803.408,810.637,817.289,823.364,828.864,833.79,838.142,841.922,845.131,847.77,849.773,851.138,851.865,851.952,851.398,850.204,848.367,845.888,842.763,838.992,834.504,829.297,823.368,816.712,809.325,801.203,792.341,782.732,772.371,761.25,749.259,736.382,722.606,707.912,692.283,675.7,658.141,639.583,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999,599.999
b6c4be5d8,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0283483,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.669047,0.641826,0.618147,0.597344,0.578838,0.562208,0.547132,0.533367,0.520719,0.509033,0.498185,0.488072,0.4786,0.469705,0.461327,0.453414,0.445922,0.438812,0.432052,0.425612,0.419465,0.41359,0.407965,0.402581,0.397419,0.392466,0.387706,0.383127,0.378717,0.374466,0.370365,0.366404,0.362565,0.358836,0.355211,0.351687,0.348258,0.34492,0.34167,0.338503,0.335417,0.332408,0.329469,0.326596,0.323788,0.321042,0.318355,0.315727,0.313154,0.310635,0.308169,0.305754,0.303385,0.301061,0.298783,0.296548,0.294354,0.2922,0.290087,0.288011,0.285972,0.283968,0.281995,0.280052,0.278135,0.276245,0.274382,0.272544,0.270732,0.268943,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
b6c4be5d8,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0283483,1,0.82 delta_degC/(TtCO2),43.478,44.0343,44.5279,44.9261,45.2135,45.3872,45.4515,45.415,45.2882,45.2316,45.5689,45.6773,45.7835,45.8885,45.9928,46.0971,46.2018,46.3073,46.4139,46.5218,46.6314,46.7083,46.7869,46.8676,46.9504,47.0357,47.1234,47.2138,47.3069,47.4028,47.5015,47.4857,47.4737,47.4655,47.4614,47.4615,47.4657,47.4742,47.487,47.504,47.5254,47.6641,47.8048,47.9478,48.0934,48.2418,48.3932,48.5477,48.7056,48.867,49.0319,49.2175,49.4058,49.5971,49.7916,49.9895,50.1909,50.3959,50.6046,50.817,51.0332,51.234,51.438,51.6453,51.8561,52.0702,52.2878,52.5088,52.7332,52.9607,53.1913,53.5033,53.8165,54.1309,54.4461,54.7622,55.0787,55.3953,55.7116,56.0271,56.4939,61.1245,61.6887,62.2452,62.7945,63.3371,63.8735,64.4042,64.9295,65.4498,65.9656,66.3872,66.8055,67.2205,67.6325,68.0417,68.4482,68.8521,69.2537,69.653,70.0501,70.3556,70.6598,70.9628,71.2645,71.565,71.8644,72.1627,72.4598,72.7559,73.0509,73.2552,73.4593,73.663,73.8662,74.069,74.2713,74.473,74.6742,74.8749,75.0751,75.1851,75.2952,75.4053,75.5153,75.6252,75.7349,75.8444,75.9536,76.0626,76.1712
b6c4be5d8,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0283483,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
b6c4be5d8,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0283483,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.1449,23.7535,23.2347,22.7269,22.2279,21.7357,21.2491,20.7673,20.2894,19.815,19.3436,18.875,18.3603,17.8482,17.3387,16.8318,16.3274,15.8255,15.3263,14.8298,14.3357,13.8443,13.2726,12.7065,12.1461,11.5915,11.0427,10.4998,9.96267,9.43133,8.90577,8.38583,7.80736,7.22934,6.6519,6.07538,5.49975,4.92533,4.35202,3.78001,3.20922,2.63959,2.00278,1.365,0.726431,0.0870198,-0.553233,-1.19435,-1.83651,-2.47991,-3.12469,-3.77127,-4.48749,-5.20689,-5.9296,-6.65605,-7.38665,-8.12191,-8.8622,-9.60835,-10.3611,-11.1212,-11.9916,-12.8764,-13.7767,-14.6937,-15.6287,-16.5833,-17.5591,-18.5582,-19.5825,-20,-3.76548e-05,-3.03584e-05,-3.2139e-05,-3.59547e-05,-4.02406e-05,-4.35027e-05,-4.43129e-05,-4.20511e-05,-3.74651e-05,-3.19321e-05,-2.31378e-05,-1.77537e-05,-1.41741e-05,-1.16524e-05,-9.8009e-06,-8.39617e-06,-7.30183e-06,-6.43109e-06,-5.72544e-06,-5.14485e-06,-4.57669e-06,-4.11896e-06,-3.7433e-06,-3.43017e-06,-3.1658e-06,-2.94017e-06,-2.74571e-06,-2.57684e-06,-2.42915e-06,-2.29919e-06,-2.17033e-06,-2.05768e-06,-1.95869e-06,-1.87132e-06,-1.79394e-06,-1.72522e-06,-1.66411e-06,-1.60973e-06,-1.56135e-06,-1.51838e-06,-1.47534e-06,-1.43754e-06,-1.40454e-06,-1.376e-06,-1.35165e-06,-1.33128e-06,-1.31479e-06,-1.3021e-06,-1.29321e-06,-1.28819e-06
b6c4be5d8,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0283483,1,0.82 delta_degC/(TtCO2),1.94361e-32,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.02713,1.04022,1.05545,1.07148,1.08811,1.10516,1.12252,1.1401,1.1578,1.17558,1.19337,1.21113,1.23134,1.25145,1.27141,1.29121,1.31081,1.3302,1.34935,1.36825,1.38689,1.40526,1.42658,1.44761,1.46834,1.48875,1.50884,1.52859,1.548,1.56707,1.58578,1.60416,1.62772,1.65096,1.67385,1.6964,1.71859,1.74041,1.76188,1.78299,1.80374,1.82414,1.84851,1.87256,1.89631,1.91974,1.94286,1.96569,1.98823,2.0105,2.03252,2.05431,2.08,2.10553,2.13092,2.15619,2.18135,2.20645,2.23151,2.25657,2.28168,2.30688,2.33685,2.36708,2.39762,2.42854,2.45992,2.49183,2.52436,2.55762,2.59171,2.59119,1.58378,1.57593,1.56821,1.56061,1.55313,1.54576,1.53849,1.53134,1.52429,1.51735,1.5105,1.50376,1.49713,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41908,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
