ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
b792b41d7,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,25.1174,24.8019,24.3519,23.9136,23.4849,23.0643,22.6505,22.2428,21.8406,21.4432,21.0505,20.662,20.2315,19.8052,19.3832,18.9654,18.5518,18.1424,17.7373,17.3365,16.9399,16.5477,16.0719,15.603,15.1411,14.6863,14.2386,13.7981,13.3649,12.9389,12.5202,12.1088,11.6706,11.2363,10.8062,10.3806,9.95964,9.54388,9.13338,8.72851,8.32944,7.93637,7.49821,7.0654,6.6384,6.21754,5.80322,5.39584,4.99568,4.60309,4.21844,3.84197,3.41713,3.00093,2.59397,2.19662,1.80933,1.43253,1.06683,0.712515,0.370067,0.0406526,0.000106389,5.32546e-05,3.69841e-05,2.91942e-05,2.46987e-05,2.18296e-05,1.98905e-05,1.85373e-05,1.75836e-05,-2.95351e-12,-3.03278e-12,-3.08208e-12,-3.10336e-12,-3.09859e-12,-3.06972e-12,-3.01832e-12,-2.94615e-12,-2.85459e-12,-2.74519e-12,-2.61919e-12,-2.42791e-12,-2.22644e-12,-2.01592e-12,-1.79718e-12,-1.57124e-12,-1.33894e-12,-1.101e-12,-8.58244e-13,-6.11311e-13,-3.60899e-13,-7.30675e-14,2.1466e-13,5.017e-13,7.87531e-13,1.07159e-12,1.35335e-12,1.6324e-12,1.90816e-12,2.18017e-12,2.44799e-12,2.73648e-12,3.01837e-12,3.29313e-12,3.56022e-12,3.81918e-12,4.06943e-12,4.31043e-12,4.54161e-12,4.76236e-12,4.97209e-12,5.18965e-12,5.3939e-12,5.5841e-12,5.75941e-12,5.91901e-12,6.06202e-12,6.18742e-12,6.29425e-12,6.38138e-12,6.44772e-12
b792b41d7,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27834,1.29372,1.30882,1.32365,1.33821,1.35251,1.36655,1.38034,1.39388,1.40718,1.42023,1.43304,1.44558,1.45786,1.46988,1.48164,1.49314,1.50439,1.51538,1.52613,1.53664,1.5469,1.55686,1.56653,1.57592,1.58503,1.59385,1.60241,1.6107,1.61872,1.62648,1.63399,1.64122,1.64819,1.65489,1.66133,1.6675,1.67342,1.67908,1.68449,1.68966,1.69458,1.69923,1.70361,1.70772,1.71158,1.71518,1.71852,1.72162,1.72447,1.72709,1.72947,1.73159,1.73345,1.73506,1.73642,1.73754,1.73843,1.73909,1.73953,1.73976,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979,1.73979
b792b41d7,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0155728,0.0153772,0.0150982,0.0148264,0.0145606,0.0142998,0.0140433,0.0137906,0.0135412,0.0132948,0.0130513,0.0128104,0.0125435,0.0122792,0.0120176,0.0117585,0.0115021,0.0112483,0.0109971,0.0107486,0.0105028,0.0102595,0.00996456,0.00967385,0.00938746,0.00910548,0.00882793,0.00855484,0.00828622,0.00802211,0.00776253,0.00750743,0.00723579,0.00696653,0.00669983,0.00643595,0.00617498,0.00591721,0.00566269,0.00541167,0.00516425,0.00492055,0.00464889,0.00438055,0.00411581,0.00385488,0.003598,0.00334542,0.00309732,0.00285391,0.00261543,0.00238202,0.00211862,0.00186058,0.00160826,0.0013619,0.00112178,0.000888167,0.000661434,0.000441759,0.000229442,2.52046e-05,6.59614e-08,3.30179e-08,2.29301e-08,1.81004e-08,1.53132e-08,1.35343e-08,1.23321e-08,1.14931e-08,1.09018e-08,-1.7749e-15,-1.82405e-15,-1.93568e-15,-1.86781e-15,-1.94593e-15,-1.92802e-15,-1.81508e-15,-1.77034e-15,-1.85454e-15,-1.78671e-15,-1.70859e-15,-1.50893e-15,-1.22187e-15,-1.31339e-15,-1.0967e-15,-8.75548e-16,-8.7249e-16,-6.43896e-16,-6.34358e-16,-3.19114e-16,-3.85903e-16,1.76743e-16,-7.88231e-18,4.732e-16,2.87399e-16,6.25662e-16,8.81424e-16,1.13551e-15,1.24658e-15,1.19318e-15,1.52138e-15,1.55927e-15,2.03716e-15,2.14761e-15,2.09116e-15,2.41386e-15,2.42805e-15,2.65854e-15,2.88294e-15,2.87884e-15,3.08994e-15,3.3059e-15,3.2105e-15,3.49056e-15,3.59926e-15,3.77928e-15,3.72697e-15,3.80472e-15,3.95203e-15,3.784e-15,4.04718e-15
b792b41d7,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b792b41d7,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),-2.03171e-13,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,293.742,318.544,342.896,366.809,390.294,413.358,436.009,458.252,480.092,501.536,522.586,543.248,563.48,583.285,602.668,621.633,640.185,658.328,676.065,693.401,710.341,726.889,742.961,758.564,773.705,788.391,802.63,816.428,829.793,842.732,855.252,867.36,879.031,890.267,901.074,911.454,921.414,930.958,940.091,948.82,957.149,965.085,972.584,979.649,986.287,992.505,998.308,1003.7,1008.7,1013.3,1017.52,1021.36,1024.78,1027.78,1030.38,1032.57,1034.38,1035.81,1036.88,1037.59,1037.96,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038
b792b41d7,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.670196,0.643813,0.620759,0.600437,0.582311,0.565985,0.551159,0.537601,0.525127,0.513591,0.502871,0.492871,0.483499,0.474693,0.466395,0.458555,0.451129,0.444081,0.437378,0.430991,0.424895,0.419067,0.413487,0.408144,0.403022,0.398107,0.393384,0.388841,0.384466,0.380249,0.376181,0.372253,0.368447,0.364752,0.361161,0.357673,0.354279,0.350978,0.347764,0.344636,0.341588,0.338618,0.33572,0.332888,0.330123,0.327421,0.324781,0.3222,0.319676,0.317207,0.314793,0.312431,0.310117,0.307851,0.305632,0.303459,0.301329,0.299242,0.297197,0.295192,0.293227,0.291301,0.289418,0.287577,0.285775,0.28401,0.282283,0.28059,0.278932,0.277306,0.275712,0.274148,0.272614,0.271107,0.269629,0.268177,0.26675,0.265349,0.263971,0.262618,0.261286,0.259976,0.258689,0.257424,0.25618,0.254957,0.253755,0.252571,0.251407,0.250261,0.249133,0.248023,0.24693,0.245855,0.244797,0.243755,0.24273,0.24172,0.240726,0.239747,0.238781,0.23783,0.236893,0.235971,0.235063,0.234168,0.233286,0.232417,0.231561,0.230716,0.229884,0.229063,0.228254,0.227456,0.22667,0.225895,0.225132,0.224379,0.223636,0.222904,0.222181,0.221468
b792b41d7,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),43.478,44.1213,44.7471,45.3503,45.9285,46.4813,47.0092,47.5135,47.9957,48.537,49.0961,49.4001,49.7014,50.0005,50.298,50.5944,50.8899,51.1849,51.4797,51.7744,52.0693,52.3301,52.591,52.852,53.1134,53.3751,53.6374,53.9002,54.1636,54.4276,54.6924,54.8197,54.9474,55.0756,55.2044,55.3339,55.4641,55.5951,55.7269,55.8595,55.9929,56.2852,56.5772,56.869,57.1609,57.453,57.7453,58.038,58.3311,58.6247,58.9189,59.2472,59.5756,59.9041,60.2329,60.5622,60.8919,61.2222,61.5531,61.8848,62.2172,62.5349,62.8529,63.1713,63.4902,63.8098,64.1302,64.4513,64.7732,65.0961,65.42,65.8793,66.3399,66.8004,67.2607,67.7209,68.1811,68.6412,69.1013,69.5614,70.0215,70.4816,70.9417,71.4018,71.862,72.3221,72.7823,73.2425,73.7028,74.163,74.6233,74.9867,75.3513,75.7167,76.0829,76.4497,76.8172,77.185,77.5533,77.9218,78.2907,78.5634,78.8372,79.1119,79.3875,79.6638,79.9406,80.2179,80.4955,80.7735,81.0517,81.234,81.4174,81.6017,81.7867,81.9723,82.1584,82.3449,82.5317,82.7188,82.9061,82.9976,83.0902,83.1835,83.2775,83.3721,83.4671,83.5625,83.6581,83.754,83.8501
b792b41d7,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
b792b41d7,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,25.1174,24.8019,24.3519,23.9136,23.4849,23.0643,22.6505,22.2428,21.8406,21.4432,21.0505,20.662,20.2315,19.8052,19.3832,18.9654,18.5518,18.1424,17.7373,17.3365,16.9399,16.5477,16.0719,15.603,15.1411,14.6863,14.2386,13.7981,13.3649,12.9389,12.5202,12.1088,11.6706,11.2363,10.8062,10.3806,9.95964,9.54388,9.13338,8.72851,8.32944,7.93637,7.49821,7.0654,6.6384,6.21754,5.80322,5.39584,4.99568,4.60309,4.21844,3.84197,3.41713,3.00093,2.59397,2.19662,1.80933,1.43253,1.06683,0.712515,0.370067,0.0406526,0.000106389,5.32546e-05,3.69841e-05,2.91942e-05,2.46987e-05,2.18296e-05,1.98905e-05,1.85373e-05,1.75836e-05,-2.95351e-12,-3.03278e-12,-3.08208e-12,-3.10336e-12,-3.09859e-12,-3.06972e-12,-3.01832e-12,-2.94615e-12,-2.85459e-12,-2.74519e-12,-2.61919e-12,-2.42791e-12,-2.22644e-12,-2.01592e-12,-1.79718e-12,-1.57124e-12,-1.33894e-12,-1.101e-12,-8.58244e-13,-6.11311e-13,-3.60899e-13,-7.30675e-14,2.1466e-13,5.017e-13,7.87531e-13,1.07159e-12,1.35335e-12,1.6324e-12,1.90816e-12,2.18017e-12,2.44799e-12,2.73648e-12,3.01837e-12,3.29313e-12,3.56022e-12,3.81918e-12,4.06943e-12,4.31043e-12,4.54161e-12,4.76236e-12,4.97209e-12,5.18965e-12,5.3939e-12,5.5841e-12,5.75941e-12,5.91901e-12,6.06202e-12,6.18742e-12,6.29425e-12,6.38138e-12,6.44772e-12
b792b41d7,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.00694972,1,0.62 delta_degC/(TtCO2),2.07479e-33,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.151222,0.152901,0.154906,0.157005,0.159171,0.161382,0.163621,0.165876,0.168135,0.17039,0.172633,0.174859,0.177407,0.179926,0.182411,0.184858,0.187265,0.189628,0.191944,0.194213,0.196432,0.198601,0.201182,0.203708,0.206179,0.208592,0.210946,0.213238,0.215468,0.217635,0.219739,0.221779,0.224395,0.226941,0.229413,0.231811,0.234132,0.236374,0.238537,0.240619,0.242619,0.244537,0.246879,0.249135,0.251301,0.253376,0.25536,0.257249,0.259043,0.260741,0.262341,0.263845,0.265731,0.267515,0.269194,0.270766,0.272229,0.273581,0.274821,0.275947,0.276958,0.277848,0.276382,0.274624,0.272903,0.271219,0.269569,0.267952,0.266369,0.264816,0.263294,0.261801,0.260335,0.258897,0.257485,0.256098,0.254736,0.253398,0.252082,0.25079,0.249518,0.248267,0.247038,0.24583,0.244642,0.243474,0.242326,0.241196,0.240084,0.238989,0.237912,0.236852,0.235809,0.234782,0.233771,0.232777,0.231798,0.230833,0.229884,0.228949,0.228027,0.227118,0.226224,0.225343,0.224476,0.223621,0.222779,0.221949,0.221131,0.220325,0.21953,0.218746,0.217973,0.217212,0.216461,0.215721,0.214992,0.214273,0.213564,0.212865,0.212174,0.211493
