ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
c4f3003c3,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00267,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.3476,16.7457,16.1591,15.5846,15.0197,14.4627,13.9119,13.3662,12.8245,12.238,11.6547,11.0738,10.495,9.9178,9.34179,8.76661,8.19183,7.61706,7.04189,6.39527,5.75112,5.10923,4.46939,3.83127,3.19463,2.55912,1.9244,1.29018,0.655997,1.22168e-05,1.05184e-06,5.57573e-07,3.83035e-07,2.93826e-07,2.39695e-07,2.03358e-07,1.77292e-07,1.57686e-07,1.42408e-07,1.29052e-07,1.183e-07,1.09464e-07,1.02077e-07,9.58138e-08,9.04388e-08,8.57775e-08,8.16984e-08,7.81007e-08,7.49049e-08,7.17864e-08,6.90065e-08,6.65152e-08,6.4271e-08,6.22401e-08,6.03948e-08,5.87121e-08,5.71719e-08,5.57578e-08,5.44557e-08,5.31474e-08,5.19423e-08,5.08294e-08,4.97996e-08,4.88446e-08,4.79573e-08,4.71316e-08,4.63617e-08,4.56429e-08,-1.59229e-20,-4.2743e-13,-1.54284e-20,4.18979e-14,-1.48314e-20,-6.24735e-14,-1.41532e-20,1.26804e-13,-1.35674e-20,-3.97749e-13,-1.30407e-20,2.67633e-13,-1.25079e-20,-7.65407e-14,-1.20287e-20,-1.10983e-14,-1.15891e-20,1.43514e-13,-1.1105e-20,2.64316e-13,-1.05128e-20,-1.15391e-13,-9.88812e-21,2.67098e-13,-9.3948e-21,4.72657e-13,-8.83849e-21,2.32208e-13,-8.27353e-21,7.84202e-14,-7.73856e-21,-1.94064e-13,-7.15548e-21,-5.27486e-13,-6.5563e-21,8.20478e-14,-5.92874e-21,-3.12225e-13,-5.32621e-21,4.42041e-13,-4.62696e-21,-7.86343e-14,-4.00568e-21,1.82533e-14,-3.36242e-21,1.38647e-13,-2.87754e-21,-1.73124e-13,-2.63132e-21,2.22048e-16,2.60374e-13
c4f3003c3,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00267,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35352,1.36933,1.38356,1.39729,1.41054,1.42332,1.43563,1.44749,1.4589,1.46986,1.48038,1.49041,1.49997,1.50905,1.51766,1.52579,1.53345,1.54064,1.54736,1.5536,1.55938,1.56462,1.56934,1.57353,1.57719,1.58033,1.58295,1.58505,1.58663,1.58769,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822
c4f3003c3,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00267,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0176121,0.0158081,0.014225,0.0137315,0.0132505,0.0127794,0.0123162,0.0118594,0.0114078,0.0109603,0.0105161,0.0100352,0.00955682,0.00908052,0.0086059,0.00813259,0.00766026,0.00718862,0.0067173,0.00624599,0.00577435,0.00524412,0.00471592,0.00418957,0.0036649,0.00314165,0.00261959,0.00209848,0.00157801,0.00105795,0.000537918,1.00177e-08,8.62507e-10,4.5721e-10,3.14089e-10,2.40937e-10,1.9655e-10,1.66753e-10,1.4538e-10,1.29303e-10,1.16774e-10,1.05823e-10,9.70059e-11,8.97605e-11,8.37033e-11,7.85673e-11,7.41598e-11,7.03376e-11,6.69926e-11,6.40426e-11,6.1422e-11,5.88649e-11,5.65852e-11,5.45426e-11,5.27021e-11,5.1037e-11,4.95237e-11,4.81439e-11,4.6881e-11,4.57214e-11,4.46537e-11,4.35808e-11,4.25928e-11,4.168e-11,4.08357e-11,4.00526e-11,3.9325e-11,3.8648e-11,3.80165e-11,3.74272e-11,-1.30546e-23,-1.16997e-23,-9.60491e-24,-8.79511e-24,-6.06301e-24,-6.02439e-24,-2.47951e-24,-3.13831e-24,1.00951e-24,-1.16482e-17,7.52324e-24,6.92879e-24,1.7123e-23,1.43287e-23,2.6687e-23,2.19462e-23,3.62207e-23,2.99442e-23,4.57775e-23,3.67384e-23,5.53959e-23,4.5411e-23,6.50409e-23,5.2056e-23,7.45821e-23,5.87899e-23,8.41742e-23,6.64612e-23,9.37711e-23,7.62396e-23,1.03345e-22,8.07381e-23,1.12956e-22,8.8649e-23,1.22548e-22,9.6666e-23,1.32129e-22,7.70123e-18,1.39298e-22,1.07688e-22,1.44153e-22,1.08856e-22,1.48901e-22,1.15939e-22,1.53627e-22,-1.66361e-17,1.62043e-22,1.26018e-22,1.74093e-22,3.72743e-16,-7.70104e-18
c4f3003c3,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00267,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c4f3003c3,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00267,1,0.82 delta_degC/(TtCO2),-4.99963e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.407,367.152,383.311,398.896,413.916,428.378,442.29,455.656,468.481,480.719,492.374,503.447,513.942,523.86,533.202,541.969,550.16,557.777,564.819,571.215,576.966,582.075,586.544,590.376,593.57,596.129,598.054,599.344,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
c4f3003c3,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00267,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.589069,0.568491,0.550337,0.534133,0.519531,0.506264,0.494124,0.48295,0.472609,0.462988,0.454006,0.445588,0.437674,0.430212,0.423156,0.416468,0.410116,0.404068,0.398301,0.392791,0.387527,0.382488,0.377659,0.373023,0.368569,0.364282,0.360152,0.35617,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
c4f3003c3,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00267,1,0.82 delta_degC/(TtCO2),43.478,44.1277,44.7474,45.3235,45.8489,46.3216,46.7423,47.1131,47.4372,47.7178,47.9587,47.9456,47.956,48.2029,48.45,48.6978,48.9466,49.1966,49.4478,49.7004,49.9544,50.175,50.3966,50.6193,50.8432,51.0683,51.2944,51.5217,51.7501,51.9794,52.2097,52.3106,52.4122,52.5145,52.6176,52.7215,52.8261,52.9314,53.0375,53.1441,53.2513,53.5077,53.8632,54.2189,54.5746,54.9303,55.286,55.6417,55.9973,56.3528,56.708,57.0994,57.49,57.8798,58.2689,58.6572,59.0449,59.432,59.8184,60.2042,60.5894,60.9636,61.3366,61.7085,62.0794,62.4492,62.8182,63.1863,63.5536,63.9201,64.2859,64.7721,65.2572,65.7414,66.2247,66.7072,67.189,67.6701,68.1505,68.6304,69.1097,69.5885,70.0669,70.5447,71.0222,71.4992,71.9759,72.4522,72.9281,73.4037,73.879,74.2568,74.6353,75.0143,75.3938,75.7736,76.1537,76.534,76.9144,77.2949,77.6754,77.9592,78.2438,78.5292,78.8151,79.1015,79.3883,79.6753,79.9625,80.2499,80.5374,80.7284,80.9203,81.1129,81.306,81.4996,81.6936,81.8878,82.0822,82.2768,82.4714,82.5698,82.669,82.7688,82.8693,82.9701,83.0712,83.1727,83.2743,83.376,83.4778
c4f3003c3,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00267,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
c4f3003c3,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00267,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.3476,16.7457,16.1591,15.5846,15.0197,14.4627,13.9119,13.3662,12.8245,12.238,11.6547,11.0738,10.495,9.9178,9.34179,8.76661,8.19183,7.61706,7.04189,6.39527,5.75112,5.10923,4.46939,3.83127,3.19463,2.55912,1.9244,1.29018,0.655997,1.22168e-05,1.05184e-06,5.57573e-07,3.83035e-07,2.93826e-07,2.39695e-07,2.03358e-07,1.77292e-07,1.57686e-07,1.42408e-07,1.29052e-07,1.183e-07,1.09464e-07,1.02077e-07,9.58138e-08,9.04388e-08,8.57775e-08,8.16984e-08,7.81007e-08,7.49049e-08,7.17864e-08,6.90065e-08,6.65152e-08,6.4271e-08,6.22401e-08,6.03948e-08,5.87121e-08,5.71719e-08,5.57578e-08,5.44557e-08,5.31474e-08,5.19423e-08,5.08294e-08,4.97996e-08,4.88446e-08,4.79573e-08,4.71316e-08,4.63617e-08,4.56429e-08,-1.59229e-20,-1.56087e-14,-1.54284e-20,-1.63053e-20,-1.48314e-20,-1.35257e-14,-1.41532e-20,-1.67892e-20,-1.35674e-20,-2.00523e-14,-1.30407e-20,-1.9353e-20,-1.25079e-20,8.31337e-15,-1.20287e-20,-2.34043e-20,-1.15891e-20,-5.2092e-15,-1.1105e-20,-2.76961e-20,-1.05128e-20,-1.20593e-16,-9.88812e-21,-3.12965e-20,-9.3948e-21,2.25043e-14,-8.83849e-21,-3.60066e-20,-8.27353e-21,-9.64519e-15,-7.73856e-21,-4.08775e-20,-7.15548e-21,-3.25759e-15,-6.5563e-21,-4.36499e-20,-5.92874e-21,1.3508e-14,-5.32621e-21,-4.6487e-20,-4.62696e-21,5.90276e-15,-4.00568e-21,-4.67666e-20,-3.36242e-21,-2.99975e-14,-2.87754e-21,-5.21942e-15,-2.63132e-21,3.35955e-20,4.45891e-16
c4f3003c3,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00267,1,0.82 delta_degC/(TtCO2),5.5294e-34,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.562403,0.615688,0.620388,0.625591,0.63118,0.637072,0.643201,0.649518,0.655985,0.662572,0.67054,0.678565,0.686631,0.694726,0.702838,0.710961,0.719089,0.727221,0.735355,0.743492,0.753271,0.763044,0.77281,0.782566,0.792314,0.802054,0.811792,0.821529,0.831272,0.841028,0.85142,0.8427,0.834321,0.826261,0.818496,0.811011,0.803783,0.7968,0.790046,0.783508,0.77717,0.771021,0.765052,0.759251,0.753612,0.748125,0.742784,0.73758,0.732509,0.727564,0.72274,0.71803,0.713434,0.708944,0.704555,0.700263,0.696067,0.69196,0.687939,0.684003,0.680142,0.676353,0.672632,0.668976,0.665385,0.661855,0.658387,0.654975,0.651621,0.648321,0.645075,0.641879,0.638735,0.63564,0.632591,0.629589,0.626632,0.623719,0.620847,0.618017,0.61523,0.612486,0.609782,0.60712,0.604496,0.60191,0.599361,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577992,0.575784,0.573604,0.571453,0.569332,0.56724,0.565179,0.563145,0.561139,0.559161,0.55721,0.555284,0.553384,0.551509,0.549658,0.547831,0.54603,0.544253,0.542499,0.540769,0.539063,0.537377,0.535714,0.534071,0.53245
