ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
c66104308,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.749,17.147,16.5571,15.9761,15.4018,14.8323,14.2662,13.7021,13.1392,12.5264,11.9135,11.3,10.6855,10.0694,9.45125,8.83061,8.20698,7.57987,6.94876,6.24443,5.53916,4.83264,4.12456,3.41451,2.70208,1.98679,1.26814,0.545641,6.31775e-06,1.13976e-06,6.3347e-07,4.42017e-07,3.4143e-07,2.79436e-07,2.3742e-07,2.07068e-07,1.84122e-07,1.6617e-07,1.51742e-07,1.38865e-07,1.28266e-07,1.19394e-07,1.11862e-07,1.05389e-07,9.97697e-08,9.48458e-08,9.04971e-08,8.66294e-08,8.31673e-08,7.98012e-08,7.67784e-08,7.40506e-08,7.15773e-08,6.93255e-08,6.72672e-08,6.53797e-08,6.36427e-08,6.20394e-08,6.05554e-08,5.90675e-08,5.76903e-08,5.64123e-08,5.52238e-08,5.41163e-08,5.30822e-08,5.21149e-08,5.12084e-08,5.03575e-08,-1.96598e-18,-1.94026e-18,-1.90418e-18,-1.86608e-18,-1.82778e-18,-1.78834e-18,-1.74709e-18,-1.70541e-18,-1.66417e-18,-1.62209e-18,-1.57832e-18,-1.53169e-18,-1.48543e-18,-1.43837e-18,-1.38999e-18,-1.34149e-18,-1.29323e-18,-1.24407e-18,-1.194e-18,-1.14396e-18,-1.09395e-18,-1.04102e-18,-9.87528e-19,-9.34281e-19,-8.80849e-19,-8.2666e-19,-7.72281e-19,-7.17996e-19,-6.63415e-19,-6.08365e-19,-5.53401e-19,-4.96752e-19,-4.39806e-19,-3.82766e-19,-3.25871e-19,-2.68991e-19,-2.12031e-19,-1.55258e-19,-9.87285e-20,-4.23413e-20,1.37263e-20,7.08753e-20,1.27508e-19,1.83334e-19,2.38393e-19,2.92513e-19,3.45112e-19,3.96201e-19,4.45653e-19,4.92259e-19,7.29423e-16
c66104308,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21899,1.22801,1.23611,1.24356,1.25077,1.25772,1.26443,1.2709,1.27713,1.28312,1.28887,1.29439,1.29965,1.30466,1.3094,1.31389,1.31812,1.32209,1.3258,1.32925,1.33243,1.33535,1.33797,1.3403,1.34233,1.34406,1.34549,1.34663,1.34746,1.34799,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
c66104308,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.00994481,0.00902082,0.00809682,0.00745457,0.00720175,0.00695397,0.00670997,0.00646875,0.00622957,0.00599178,0.0057549,0.00551847,0.00526108,0.00500367,0.00474602,0.00448792,0.00422915,0.00396952,0.00370886,0.00344693,0.00318355,0.00291848,0.00262266,0.00232645,0.00202971,0.00173232,0.00143409,0.00113487,0.000834452,0.00053262,0.000229169,2.65345e-09,4.78701e-10,2.66057e-10,1.85647e-10,1.43401e-10,1.17363e-10,9.97164e-11,8.69684e-11,7.73315e-11,6.97912e-11,6.37315e-11,5.83233e-11,5.38718e-11,5.01456e-11,4.6982e-11,4.42635e-11,4.19034e-11,3.98352e-11,3.80087e-11,3.63842e-11,3.49303e-11,3.35165e-11,3.22471e-11,3.11012e-11,3.00624e-11,2.91167e-11,2.82523e-11,2.74596e-11,2.67299e-11,2.60565e-11,2.54332e-11,2.48084e-11,2.42299e-11,2.36933e-11,2.31939e-11,2.27289e-11,2.22944e-11,2.18883e-11,2.15074e-11,2.11504e-11,-8.25718e-22,-8.14905e-22,-7.99753e-22,-7.83753e-22,-7.67666e-22,-7.51106e-22,-7.33779e-22,-7.16271e-22,-6.98955e-22,-6.81271e-22,-6.629e-22,-6.43308e-22,-6.23881e-22,-6.04115e-22,-5.83796e-22,-5.63426e-22,-5.43161e-22,-5.22505e-22,-5.01484e-22,-4.80462e-22,-4.59453e-22,-4.37232e-22,-4.14765e-22,-3.92394e-22,-3.6996e-22,-3.47195e-22,-3.24355e-22,-3.01563e-22,-2.78632e-22,-2.55517e-22,-2.32432e-22,-2.08633e-22,-1.84714e-22,-1.60766e-22,-1.3687e-22,-1.12975e-22,-8.90538e-23,-6.52098e-23,-4.147e-23,-1.77813e-23,5.75931e-24,2.97694e-23,5.35537e-23,7.69975e-23,1.00128e-22,1.22848e-22,1.44951e-22,1.66396e-22,1.87173e-22,2.06751e-22,2.25764e-22
c66104308,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c66104308,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),-4.9993e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.808,367.955,384.512,400.488,415.89,430.722,444.988,458.691,471.83,484.356,496.27,507.57,518.255,528.325,537.776,546.606,554.813,562.393,569.342,575.586,581.126,585.958,590.083,593.497,596.199,598.186,599.454,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
c66104308,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.589336,0.568946,0.550925,0.534816,0.520279,0.507055,0.494941,0.483778,0.473439,0.46381,0.454812,0.446372,0.438431,0.430937,0.423845,0.417119,0.410725,0.404634,0.39882,0.393263,0.387949,0.382859,0.377978,0.37329,0.368781,0.36444,0.360254,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
c66104308,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),43.478,44.1192,44.7002,45.1874,45.5642,45.8263,45.9768,46.0232,45.9749,45.8426,45.6368,45.1973,44.9856,45.1309,45.2777,45.4265,45.5775,45.7307,45.8861,46.0438,46.2036,46.3291,46.4561,46.5845,46.7142,46.8451,46.9771,47.11,47.2435,47.3776,47.512,47.5309,47.5502,47.5699,47.59,47.6103,47.6306,47.6509,47.6709,47.6905,47.7677,48.1542,48.5419,48.9305,49.32,49.7101,50.1007,50.4916,50.8827,51.2738,51.6648,52.0917,52.5178,52.943,53.3672,53.7906,54.213,54.6344,55.0548,55.4742,55.8926,56.305,56.7156,57.1247,57.5321,57.9379,58.3423,58.7451,59.1465,59.5465,59.9451,60.4538,60.961,61.4668,61.9712,62.4744,62.9764,63.4772,63.9769,64.4755,64.9732,65.4699,65.9656,66.4605,66.9544,67.4476,67.9399,68.4315,68.9223,69.4124,69.9018,70.2956,70.6895,71.0835,71.4775,71.8713,72.265,72.6585,73.0518,73.4447,73.8374,74.1352,74.4335,74.732,75.0307,75.3295,75.6283,75.927,76.2256,76.524,76.8222,77.026,77.2303,77.4348,77.6396,77.8446,78.0495,78.2545,78.4594,78.6642,78.8688,78.9792,79.09,79.2012,79.3126,79.4242,79.5358,79.6475,79.7591,79.8707,79.9821
c66104308,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
c66104308,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.749,17.147,16.5571,15.9761,15.4018,14.8323,14.2662,13.7021,13.1392,12.5264,11.9135,11.3,10.6855,10.0694,9.45125,8.83061,8.20698,7.57987,6.94876,6.24443,5.53916,4.83264,4.12456,3.41451,2.70208,1.98679,1.26814,0.545641,6.31775e-06,1.13976e-06,6.3347e-07,4.42017e-07,3.4143e-07,2.79436e-07,2.3742e-07,2.07068e-07,1.84122e-07,1.6617e-07,1.51742e-07,1.38865e-07,1.28266e-07,1.19394e-07,1.11862e-07,1.05389e-07,9.97697e-08,9.48458e-08,9.04971e-08,8.66294e-08,8.31673e-08,7.98012e-08,7.67784e-08,7.40506e-08,7.15773e-08,6.93255e-08,6.72672e-08,6.53797e-08,6.36427e-08,6.20394e-08,6.05554e-08,5.90675e-08,5.76903e-08,5.64123e-08,5.52238e-08,5.41163e-08,5.30822e-08,5.21149e-08,5.12084e-08,5.03575e-08,-1.96598e-18,-1.94026e-18,-1.90418e-18,-1.86608e-18,-1.82778e-18,-1.78834e-18,-1.74709e-18,-1.70541e-18,-1.66417e-18,-1.62209e-18,-1.57832e-18,-1.53169e-18,-1.48543e-18,-1.43837e-18,-1.38999e-18,-1.34149e-18,-1.29323e-18,-1.24407e-18,-1.194e-18,-1.14396e-18,-1.09395e-18,-1.04102e-18,-9.87528e-19,-9.34281e-19,-8.80849e-19,-8.2666e-19,-7.72281e-19,-7.17996e-19,-6.63415e-19,-6.08365e-19,-5.53401e-19,-4.96752e-19,-4.39806e-19,-3.82766e-19,-3.25871e-19,-2.68991e-19,-2.12031e-19,-1.55258e-19,-9.87285e-20,-4.23413e-20,1.37263e-20,7.08753e-20,1.27508e-19,1.83334e-19,2.38393e-19,2.92513e-19,3.45112e-19,3.96201e-19,4.45653e-19,4.92259e-19,7.29423e-16
c66104308,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,1,0.42 delta_degC/(TtCO2),2.84013e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.22731,1.3808,1.47554,1.48836,1.50251,1.51771,1.53378,1.55055,1.56792,1.58579,1.6041,1.62609,1.64839,1.67095,1.69374,1.71675,1.73996,1.76337,1.78696,1.81075,1.83475,1.86288,1.89121,1.91973,1.94847,1.97741,2.00658,2.036,2.06568,2.09566,2.11271,2.09039,2.06898,2.04841,2.02862,2.00956,1.99118,1.97343,1.95629,1.93971,1.92365,1.90809,1.893,1.87834,1.8641,1.85025,1.83678,1.82367,1.81089,1.79844,1.7863,1.77446,1.76289,1.75161,1.74058,1.72981,1.71927,1.70897,1.69889,1.68901,1.67935,1.66987,1.66057,1.65143,1.64246,1.63364,1.62497,1.61646,1.60808,1.59985,1.59174,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
