ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
c9b986a95,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.7464,21.0179,20.2943,19.5722,18.849,18.1226,17.3915,16.6542,15.9095,15.1564,14.394,13.5714,12.7379,11.8925,11.0347,10.1636,9.27842,8.37849,7.46287,6.53064,5.58083,4.53892,3.4818,2.40861,1.31844,0.210285,1.48732e-05,6.95406e-06,4.67116e-06,3.58914e-06,2.9593e-06,2.51727e-06,2.21432e-06,1.99448e-06,1.82827e-06,1.69866e-06,1.59515e-06,1.5109e-06,1.44127e-06,1.38298e-06,1.33368e-06,1.28833e-06,1.24963e-06,1.2164e-06,1.1877e-06,1.1628e-06,1.14111e-06,1.12216e-06,1.10557e-06,1.09102e-06,1.07823e-06,1.06584e-06,1.05498e-06,1.04548e-06,1.03717e-06,1.02992e-06,1.0236e-06,1.01813e-06,1.0134e-06,1.00934e-06,1.00588e-06,1.00246e-06,9.99589e-07,9.9721e-07,9.95274e-07,9.93741e-07,9.9257e-07,9.91728e-07,9.91182e-07,9.90905e-07,-1.56656e-19,-1.55259e-19,-1.54616e-19,-1.5179e-19,-1.48462e-19,-1.21797e-19,-1.4149e-19,-1.38514e-19,-1.35579e-19,1.51124e-17,-1.28794e-19,-1.25416e-19,-1.22441e-19,-1.21434e-19,-1.16134e-19,-1.12633e-19,-1.0947e-19,-2.87066e-14,-1.03352e-19,-9.9942e-20,-9.66489e-20,-5.32224e-15,-9.05931e-20,-8.71813e-20,-8.38991e-20,-9.96287e-20,-7.78189e-20,-7.44842e-20,-7.12546e-20,-3.21936e-14,-6.51864e-20,-6.18983e-20,-5.87332e-20,-8.6844e-15,-5.26325e-20,-4.93561e-20,-4.62258e-20,-3.72811e-20,-4.00535e-20,-3.68353e-20,-3.37509e-20,-1.39351e-13,-2.74988e-20,-2.4282e-20,-2.11807e-20,-3.56692e-12,-1.46651e-20,-1.1321e-20,-7.84824e-21,-4.21684e-21,3.10649e-14
c9b986a95,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21899,1.22812,1.23695,1.24548,1.2537,1.26161,1.26922,1.27653,1.28352,1.29021,1.29657,1.30262,1.30832,1.31367,1.31866,1.3233,1.32756,1.33146,1.33498,1.33811,1.34086,1.3432,1.34511,1.34657,1.34758,1.34814,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
c9b986a95,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.00994481,0.00913347,0.0088275,0.0085236,0.00822032,0.00791657,0.0076115,0.00730442,0.00699475,0.006682,0.00636571,0.00604546,0.0057,0.0053499,0.00499485,0.00463456,0.00426869,0.00389694,0.00351897,0.0031344,0.00274287,0.00234395,0.00190635,0.00146236,0.00101162,0.000553747,8.83196e-05,6.24673e-09,2.9207e-09,1.96189e-09,1.50744e-09,1.24291e-09,1.05725e-09,9.30016e-10,8.37682e-10,7.67875e-10,7.13437e-10,6.69965e-10,6.34578e-10,6.05331e-10,5.80851e-10,5.60144e-10,5.41097e-10,5.24846e-10,5.1089e-10,4.98835e-10,4.88376e-10,4.79267e-10,4.71309e-10,4.6434e-10,4.58226e-10,4.52857e-10,4.47652e-10,4.43093e-10,4.39102e-10,4.35612e-10,4.32566e-10,4.29914e-10,4.27614e-10,4.25627e-10,4.23922e-10,4.22469e-10,4.21033e-10,4.19827e-10,4.18828e-10,4.18015e-10,4.17371e-10,4.16879e-10,4.16526e-10,4.16296e-10,4.1618e-10,-6.57952e-23,-6.58839e-23,-6.50054e-23,-6.38527e-23,-6.24847e-23,-6.1014e-23,-5.96259e-23,-5.84049e-23,-5.72082e-23,1.01321e-20,-5.44223e-23,-5.30352e-23,-5.18207e-23,-1.0985e-16,-4.92036e-23,-4.7721e-23,-4.63853e-23,-4.48953e-23,-4.38058e-23,-4.23638e-23,-4.09755e-23,-3.97758e-23,-3.842e-23,-3.69795e-23,-3.55966e-23,-2.40556e-23,-3.30304e-23,-3.16227e-23,-3.02605e-23,-2.86229e-23,-2.7704e-23,-2.6314e-23,-2.49788e-23,-2.36332e-23,-2.24069e-23,-2.10232e-23,-1.97026e-23,-8.1089e-24,-1.70981e-23,-1.57418e-23,-1.44412e-23,-1.48726e-16,-1.18256e-23,-1.04848e-23,-9.19442e-24,1.12195e-16,-6.59571e-24,-1.57598e-16,-3.12247e-24,2.22045e-16,-1.23546e-17
c9b986a95,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c9b986a95,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),-5.00018e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,314.049,335.067,355.361,374.933,393.782,411.905,429.296,445.951,461.86,477.017,491.411,504.982,517.72,529.612,540.647,550.811,560.089,568.467,575.93,582.461,588.042,592.581,596.063,598.471,599.79,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
c9b986a95,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639431,0.614333,0.592401,0.572973,0.555569,0.539832,0.52549,0.512331,0.500187,0.488922,0.478426,0.468598,0.459368,0.450673,0.442457,0.434674,0.427283,0.42025,0.413542,0.407133,0.400999,0.395119,0.389481,0.384067,0.378861,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
c9b986a95,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,44.1048,44.7139,45.3004,45.8618,46.398,46.9095,47.3977,47.8643,48.3108,48.7566,49.0297,49.2998,49.5675,49.8333,50.0975,50.3606,50.6229,50.8847,51.146,51.4071,51.6339,51.8603,52.0864,52.3125,52.5385,52.7646,52.9907,53.2169,53.4432,53.6696,53.7606,53.8516,53.9425,54.0334,54.1243,54.2818,54.4553,54.6294,54.8041,54.9793,55.3129,55.646,55.9788,56.3112,56.6434,56.9753,57.3071,57.6387,57.9701,58.3014,58.6683,59.0345,59.4001,59.7651,60.1296,60.4936,60.8572,61.2205,61.5835,61.9461,62.2954,62.6439,62.9915,63.3386,63.685,64.0309,64.3763,64.7212,65.0658,65.41,65.8779,66.3449,66.8113,67.2771,67.7423,68.2071,68.6715,69.1355,69.5992,70.0627,70.5258,70.9888,71.4515,71.9141,72.3765,72.8387,73.3008,73.7628,74.2246,74.6863,75.0511,75.4168,75.7833,76.1505,76.5183,76.8865,77.2552,77.6241,77.9934,78.3628,78.636,78.9102,79.1854,79.4613,79.7379,80.015,80.2926,80.5705,80.8487,81.1271,81.3095,81.493,81.6773,81.8624,82.048,82.2342,82.4207,82.6076,82.7947,82.982,83.0735,83.1659,83.2592,83.3531,83.4476,83.5426,83.6379,83.7334,83.8293,83.9252
c9b986a95,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
c9b986a95,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.7464,21.0179,20.2943,19.5722,18.849,18.1226,17.3915,16.6542,15.9095,15.1564,14.394,13.5714,12.7379,11.8925,11.0347,10.1636,9.27842,8.37849,7.46287,6.53064,5.58083,4.53892,3.4818,2.40861,1.31844,0.210285,1.48732e-05,6.95406e-06,4.67116e-06,3.58914e-06,2.9593e-06,2.51727e-06,2.21432e-06,1.99448e-06,1.82827e-06,1.69866e-06,1.59515e-06,1.5109e-06,1.44127e-06,1.38298e-06,1.33368e-06,1.28833e-06,1.24963e-06,1.2164e-06,1.1877e-06,1.1628e-06,1.14111e-06,1.12216e-06,1.10557e-06,1.09102e-06,1.07823e-06,1.06584e-06,1.05498e-06,1.04548e-06,1.03717e-06,1.02992e-06,1.0236e-06,1.01813e-06,1.0134e-06,1.00934e-06,1.00588e-06,1.00246e-06,9.99589e-07,9.9721e-07,9.95274e-07,9.93741e-07,9.9257e-07,9.91728e-07,9.91182e-07,9.90905e-07,-1.56656e-19,-1.55259e-19,-1.54616e-19,-1.5179e-19,-1.48462e-19,-1.21797e-19,-1.4149e-19,-1.38514e-19,-1.35579e-19,1.51124e-17,-1.28794e-19,-1.25416e-19,-1.22441e-19,-1.21434e-19,-1.16134e-19,-1.12633e-19,-1.0947e-19,-2.87066e-14,-1.03352e-19,-9.9942e-20,-9.66489e-20,-5.32224e-15,-9.05931e-20,-8.71813e-20,-8.38991e-20,-9.96287e-20,-7.78189e-20,-7.44842e-20,-7.12546e-20,-3.21936e-14,-6.51864e-20,-6.18983e-20,-5.87332e-20,-8.6844e-15,-5.26325e-20,-4.93561e-20,-4.62258e-20,-3.72811e-20,-4.00535e-20,-3.68353e-20,-3.37509e-20,-1.39351e-13,-2.74988e-20,-2.4282e-20,-2.11807e-20,-3.56692e-12,-1.46651e-20,-1.1321e-20,-7.84824e-21,-4.21684e-21,3.10649e-14
c9b986a95,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),2.69974e-33,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.191804,0.19607,0.200567,0.205259,0.210122,0.215135,0.220287,0.225566,0.230968,0.236486,0.24212,0.24837,0.254742,0.261237,0.267856,0.274602,0.281479,0.288491,0.295645,0.302947,0.310405,0.318791,0.32737,0.336154,0.345151,0.354372,0.352466,0.348159,0.344067,0.340172,0.336457,0.332903,0.329493,0.326217,0.323066,0.32003,0.317103,0.314277,0.311547,0.308906,0.306349,0.303872,0.301467,0.299133,0.296865,0.29466,0.292515,0.290426,0.288392,0.286409,0.284476,0.282589,0.280748,0.278951,0.277195,0.275479,0.273801,0.27216,0.270555,0.268982,0.267443,0.265934,0.264452,0.262997,0.261568,0.260164,0.258784,0.257427,0.256094,0.254782,0.253492,0.252223,0.250973,0.249743,0.248533,0.247341,0.246168,0.245011,0.243872,0.24275,0.241643,0.240553,0.239481,0.238423,0.237382,0.236356,0.235345,0.234349,0.233366,0.232397,0.231442,0.230501,0.229574,0.228659,0.227758,0.22687,0.225993,0.22513,0.224278,0.223437,0.222607,0.221789,0.220983,0.220188,0.219404,0.218631,0.217868,0.217115,0.216372,0.215638,0.214915,0.214201,0.213496,0.212801,0.212116,0.211439,0.210772,0.210113,0.209463,0.20882,0.208186
