ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
d21494116,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.7971,10.0482,9.31731,8.60236,7.90175,7.21417,6.48781,5.77304,5.06933,4.37619,3.69321,3.01998,2.35621,1.70151,1.05552,0.417892,2.28516e-05,6.85663e-06,4.19985e-06,3.11168e-06,2.52264e-06,2.15562e-06,1.90667e-06,1.72803e-06,1.59474e-06,1.49239e-06,1.39487e-06,1.31859e-06,1.25803e-06,1.20949e-06,1.17032e-06,1.1387e-06,1.1132e-06,1.09282e-06,1.07674e-06,1.06435e-06,1.05053e-06,1.0401e-06,1.03262e-06,1.02779e-06,1.02531e-06,1.025e-06,1.02666e-06,1.03016e-06,1.03538e-06,1.04225e-06,1.04793e-06,1.05527e-06,1.06423e-06,1.07474e-06,1.08678e-06,1.10033e-06,1.11538e-06,1.13193e-06,1.15e-06,1.16962e-06,1.1888e-06,1.20962e-06,1.23213e-06,1.25637e-06,1.28241e-06,1.31033e-06,1.34023e-06,1.37219e-06,1.40634e-06,-1.68491e-19,-1.67118e-19,-1.61578e-19,-1.58437e-19,-1.53723e-19,-1.48608e-19,-1.44426e-19,-1.38636e-19,-1.34166e-19,-1.2966e-19,-3.24093e-18,-1.19621e-19,-1.14768e-19,-1.10192e-19,-1.17169e-19,-1.00564e-19,-9.57046e-20,-9.54313e-20,3.31304e-19,-8.20962e-20,-7.7394e-20,-9.03497e-20,-2.40739e-19,-6.38721e-20,-5.92752e-20,7.15213e-18,-1.83351e-19,-4.63976e-20,-4.209e-20,-4.05727e-20,-3.72967e-19,-2.98381e-20,-2.57252e-20,3.53458e-19,-4.56741e-19,-1.4073e-20,-1.0297e-20,9.88227e-19,-7.53306e-20,5.50086e-22,4.03679e-21,3.58688e-19,8.19577e-20,1.45254e-20,1.79895e-20,-3.91471e-13,3.10523e-19,-1.10561e-15,-9.89604e-19,3.78085e-20,-4.50633e-14
d21494116,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35352,1.36933,1.38334,1.39554,1.40593,1.41479,1.42303,1.43067,1.43772,1.4442,1.45012,1.45544,1.46017,1.46433,1.46791,1.47094,1.47342,1.47535,1.47675,1.47761,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795,1.47795
d21494116,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0176121,0.0158081,0.0140041,0.0122001,0.0103961,0.00885364,0.00823952,0.0076402,0.00705394,0.00647944,0.00591562,0.00532,0.00473389,0.00415685,0.00358848,0.00302843,0.00247638,0.00193209,0.00139524,0.000865527,0.000342672,1.87383e-08,5.62243e-09,3.44388e-09,2.55157e-09,2.06857e-09,1.76761e-09,1.56347e-09,1.41699e-09,1.30768e-09,1.22376e-09,1.1438e-09,1.08125e-09,1.03159e-09,9.91778e-10,9.59665e-10,9.3373e-10,9.12826e-10,8.96111e-10,8.82927e-10,8.72767e-10,8.61438e-10,8.52878e-10,8.46752e-10,8.42785e-10,8.40757e-10,8.40497e-10,8.41859e-10,8.44728e-10,8.49015e-10,8.54645e-10,8.59301e-10,8.65324e-10,8.72667e-10,8.81287e-10,8.9116e-10,9.02269e-10,9.14611e-10,9.28186e-10,9.43004e-10,9.59086e-10,9.74815e-10,9.91891e-10,1.01034e-09,1.03022e-09,1.05158e-09,1.07447e-09,1.09899e-09,1.12519e-09,1.1532e-09,-1.38171e-22,-1.3705e-22,-1.32498e-22,-1.29925e-22,-1.26061e-22,-1.21865e-22,-1.18438e-22,-1.13688e-22,-1.10026e-22,-1.06323e-22,-2.65757e-21,-9.80946e-23,-9.41165e-23,-9.03638e-23,-9.60843e-23,-8.2469e-23,-7.84867e-23,-9.16247e-23,2.71663e-22,-6.73263e-23,-6.34686e-23,-1.86987e-22,2.82846e-22,-5.32636e-22,-4.86124e-23,4.00619e-20,-3.3281e-22,1.44407e-22,-3.45173e-23,1.56132e-21,-3.18569e-21,2.85538e-21,-2.11023e-23,1.08029e-21,-2.57261e-21,2.18653e-21,-8.44813e-24,2.59999e-21,-1.58579e-21,1.52446e-21,3.30479e-24,2.70299e-21,1.06157e-21,-9.82472e-22,1.47477e-23,-1.50305e-15,1.01079e-21,3.46597e-17,-2.78342e-22,-5.02149e-22,1.46408e-17
d21494116,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d21494116,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),-4.99992e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.015,377.693,388.491,398.539,407.856,416.458,424.36,431.574,438.062,443.835,448.905,453.281,456.974,459.994,462.35,464.052,465.107,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525,465.525
d21494116,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567287,0.547619,0.529764,0.513866,0.499568,0.486601,0.474758,0.463875,0.453813,0.444471,0.435762,0.427613,0.419963,0.412759,0.405959,0.399523,0.393417,0.387614,0.382115,0.376935,0.372043,0.367411,0.363015,0.358834,0.354849,0.351046,0.347409,0.343926,0.34058,0.337359,0.334252,0.331255,0.328358,0.325558,0.322847,0.32022,0.317674,0.315203,0.312803,0.310469,0.308199,0.305989,0.303837,0.301739,0.299693,0.297697,0.295749,0.293846,0.291987,0.29017,0.288394,0.286657,0.284958,0.283294,0.281665,0.280069,0.278505,0.276972,0.275468,0.27399,0.272537,0.271108,0.269703,0.268321,0.266962,0.265625,0.264309,0.263013,0.261737,0.26048,0.259243,0.258024,0.256823,0.255639,0.254472,0.253323,0.252188,0.25107,0.249968,0.248882,0.247812,0.246758,0.245718,0.244693,0.243682,0.242685,0.241701,0.240731,0.239775,0.238832,0.237902,0.236985,0.236081,0.235189,0.234309,0.233441,0.232584,0.231738,0.230904,0.230081,0.22927,0.228469,0.227679,0.2269,0.22613,0.225371,0.224621,0.223881,0.22315,0.222429,0.221718,0.221016,0.220323,0.21964,0.218965,0.218298,0.21764,0.21699
d21494116,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,44.1008,44.7053,45.2866,45.8426,46.3728,46.8781,47.3599,47.82,48.2601,48.6821,48.8489,49.0038,49.1481,49.2831,49.4396,49.6977,49.9578,50.22,50.4847,50.7518,50.9872,51.2248,51.4649,51.7076,51.9528,52.2007,52.4512,52.7044,52.9603,53.2188,53.3681,53.5512,53.7343,53.9172,54.1001,54.2829,54.4656,54.6482,54.8307,55.013,55.3533,55.6925,56.031,56.3687,56.7057,57.0422,57.3781,57.7135,58.0484,58.383,58.753,59.122,59.4902,59.8577,60.2245,60.5906,60.9563,61.3214,61.6861,62.0503,62.4011,62.7509,63.0999,63.4482,63.7957,64.1427,64.4891,64.8351,65.1806,65.5257,65.9946,66.4626,66.93,67.3967,67.8629,68.3286,68.7939,69.2588,69.7234,70.1876,70.6516,71.1153,71.5789,72.0422,72.5053,72.9683,73.4311,73.8938,74.3564,74.8189,75.1842,75.5505,75.9175,76.2853,76.6536,77.0224,77.3915,77.761,78.1308,78.5008,78.7743,79.0489,79.3245,79.6008,79.8778,80.1553,80.4332,80.7115,80.9901,81.2688,81.4515,81.6352,81.8198,82.0051,82.1909,82.3773,82.5641,82.7512,82.9385,83.1261,83.2177,83.3102,83.4036,83.4976,83.5922,83.6872,83.7826,83.8782,83.9742,84.0702
d21494116,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
d21494116,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.7971,10.0482,9.31731,8.60236,7.90175,7.21417,6.48781,5.77304,5.06933,4.37619,3.69321,3.01998,2.35621,1.70151,1.05552,0.417892,2.28516e-05,6.85663e-06,4.19985e-06,3.11168e-06,2.52264e-06,2.15562e-06,1.90667e-06,1.72803e-06,1.59474e-06,1.49239e-06,1.39487e-06,1.31859e-06,1.25803e-06,1.20949e-06,1.17032e-06,1.1387e-06,1.1132e-06,1.09282e-06,1.07674e-06,1.06435e-06,1.05053e-06,1.0401e-06,1.03262e-06,1.02779e-06,1.02531e-06,1.025e-06,1.02666e-06,1.03016e-06,1.03538e-06,1.04225e-06,1.04793e-06,1.05527e-06,1.06423e-06,1.07474e-06,1.08678e-06,1.10033e-06,1.11538e-06,1.13193e-06,1.15e-06,1.16962e-06,1.1888e-06,1.20962e-06,1.23213e-06,1.25637e-06,1.28241e-06,1.31033e-06,1.34023e-06,1.37219e-06,1.40634e-06,-1.68491e-19,-1.67118e-19,-1.61578e-19,-1.58437e-19,-1.53723e-19,-1.48608e-19,-1.44426e-19,-1.38636e-19,-1.34166e-19,-1.2966e-19,-3.24093e-18,-1.19621e-19,-1.14768e-19,-1.10192e-19,-1.17169e-19,-1.00564e-19,-9.57046e-20,-9.54313e-20,3.31304e-19,-8.20962e-20,-7.7394e-20,-9.03497e-20,-2.40739e-19,-6.38721e-20,-5.92752e-20,7.15213e-18,-1.83351e-19,-4.63976e-20,-4.209e-20,-4.05727e-20,-3.72967e-19,-2.98381e-20,-2.57252e-20,3.53458e-19,-4.56741e-19,-1.4073e-20,-1.0297e-20,9.88227e-19,-7.53306e-20,5.50086e-22,4.03679e-21,3.58688e-19,8.19577e-20,1.45254e-20,1.79895e-20,-3.91471e-13,3.10523e-19,-1.10561e-15,-9.89604e-19,3.78085e-20,-4.50633e-14
d21494116,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),2.28362e-33,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.195454,0.219898,0.244627,0.269577,0.294692,0.315011,0.318026,0.321104,0.324212,0.327325,0.330426,0.334155,0.337836,0.341458,0.345012,0.348491,0.351892,0.355209,0.358443,0.36159,0.364652,0.364905,0.359958,0.355286,0.350863,0.346665,0.342672,0.338867,0.335235,0.331762,0.328436,0.325241,0.322164,0.319198,0.316336,0.313569,0.310895,0.308306,0.305798,0.303366,0.301007,0.298715,0.296486,0.294318,0.292208,0.290152,0.288149,0.286195,0.284289,0.282428,0.280611,0.278836,0.277101,0.275405,0.273747,0.272123,0.270534,0.268979,0.267455,0.265962,0.264498,0.263061,0.261649,0.260262,0.258897,0.257556,0.256236,0.254938,0.253661,0.252404,0.251167,0.249948,0.248748,0.247567,0.246403,0.245256,0.244126,0.243011,0.241913,0.24083,0.239762,0.23871,0.237673,0.236651,0.235644,0.234651,0.233672,0.232707,0.231754,0.230815,0.229889,0.228975,0.228075,0.227187,0.226312,0.225448,0.224596,0.223756,0.222927,0.222108,0.221301,0.220504,0.219719,0.218944,0.218179,0.217424,0.21668,0.215945,0.21522,0.214504,0.213797,0.2131,0.212411,0.211732,0.211062,0.2104,0.209747,0.209103,0.208466,0.207837,0.207217
