ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
d45b16539,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.0142,23.4049,22.6456,21.8767,21.0952,20.2988,19.4854,18.6533,17.8009,16.9265,16.0287,15.1061,14.1067,13.0795,12.0231,10.9361,9.81673,8.66345,7.4745,6.24789,4.98152,3.67311,2.25023,0.786234,7.0027e-06,2.33449e-06,1.43966e-06,1.06043e-06,8.51117e-07,7.18613e-07,6.27328e-07,5.60712e-07,5.06823e-07,4.65134e-07,4.31988e-07,4.05056e-07,3.82783e-07,3.64093e-07,3.48216e-07,3.34587e-07,3.22783e-07,3.12479e-07,3.02957e-07,2.94586e-07,2.87187e-07,2.80614e-07,2.74749e-07,2.69494e-07,2.6477e-07,2.60508e-07,2.56653e-07,2.53155e-07,2.49811e-07,2.46776e-07,2.44015e-07,2.415e-07,2.39204e-07,2.37105e-07,2.35185e-07,2.33424e-07,2.31809e-07,2.30325e-07,2.28891e-07,2.27575e-07,2.26367e-07,2.25258e-07,2.24238e-07,2.233e-07,2.22438e-07,2.21644e-07,2.20914e-07,-7.40865e-19,-7.39893e-19,-7.27745e-19,-7.14606e-19,-7.00424e-19,-6.84638e-19,-6.68405e-19,-6.53413e-19,-6.39975e-19,-6.26305e-19,-6.1109e-19,-5.95136e-19,-5.80497e-19,-5.67075e-19,-5.52964e-19,-5.3732e-19,-5.21847e-19,-5.0796e-19,-4.94233e-19,-4.79076e-19,-4.63512e-19,-4.49263e-19,-4.35553e-19,-4.20555e-19,-4.0497e-19,-3.9058e-19,-3.76769e-19,-3.61689e-19,-3.46191e-19,-3.31824e-19,-3.17734e-19,-3.02476e-19,-2.87163e-19,-2.7282e-19,-2.58374e-19,-2.43004e-19,-2.27956e-19,-2.13614e-19,-1.98717e-19,-1.83249e-19,-1.683e-19,-1.5351e-19,-1.38164e-19,-1.22594e-19,-1.07349e-19,-9.18109e-20,-7.57942e-20,-5.96111e-20,-4.32031e-20,-2.62201e-20,-3.96902e-12
d45b16539,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27766,1.29217,1.30621,1.31977,1.33285,1.34544,1.35752,1.36909,1.38012,1.39062,1.40055,1.40992,1.41867,1.42678,1.43423,1.44101,1.4471,1.45247,1.4571,1.46098,1.46406,1.46634,1.46774,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822
d45b16539,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0148888,0.014511,0.0140403,0.0135636,0.013079,0.0125853,0.012081,0.0115651,0.0110365,0.0104944,0.00993781,0.00936577,0.00874616,0.00810931,0.00745434,0.00678036,0.00608637,0.00537134,0.00463419,0.00387369,0.00308854,0.00227733,0.00139514,0.000487465,4.34167e-09,1.44738e-09,8.9259e-10,6.57466e-10,5.27693e-10,4.4554e-10,3.88944e-10,3.47642e-10,3.1423e-10,2.88383e-10,2.67832e-10,2.51135e-10,2.37325e-10,2.25738e-10,2.15894e-10,2.07444e-10,2.00125e-10,1.93737e-10,1.87833e-10,1.82643e-10,1.78056e-10,1.73981e-10,1.70344e-10,1.67086e-10,1.64157e-10,1.61515e-10,1.59125e-10,1.56956e-10,1.54883e-10,1.53001e-10,1.51289e-10,1.4973e-10,1.48306e-10,1.47005e-10,1.45814e-10,1.44723e-10,1.43722e-10,1.42802e-10,1.41913e-10,1.41097e-10,1.40348e-10,1.3966e-10,1.39027e-10,1.38446e-10,1.37911e-10,1.37419e-10,1.36967e-10,-4.59338e-22,-4.58579e-22,-4.50888e-22,-4.42585e-22,-4.33634e-22,-4.23688e-22,-4.13468e-22,-4.04014e-22,-3.95525e-22,-3.8689e-22,-3.77301e-22,-3.67251e-22,-3.58016e-22,-3.49536e-22,-3.4063e-22,-3.30772e-22,-3.21022e-22,-3.12254e-22,-3.03585e-22,-2.94029e-22,-2.84222e-22,-2.75231e-22,-2.66571e-22,-2.57115e-22,-2.47295e-22,-2.38215e-22,-2.29494e-22,-2.19987e-22,-2.1022e-22,-2.01155e-22,-1.92261e-22,-1.82644e-22,-1.72991e-22,-1.63941e-22,-1.54827e-22,-1.45138e-22,-1.35652e-22,-1.26601e-22,-1.17208e-22,-1.0746e-22,-9.80333e-23,-8.87057e-23,-7.90338e-23,-6.92226e-23,-5.96122e-23,-4.98214e-23,-3.9733e-23,-2.95416e-23,-1.92107e-23,-8.52354e-24,-2.88269e-15
d45b16539,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d45b16539,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.62 delta_degC/(TtCO2),-5.00011e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.639,316.044,338.689,360.566,381.661,401.96,421.445,440.099,457.9,474.826,490.855,505.961,520.068,533.147,545.17,556.106,565.923,574.586,582.061,588.309,593.29,596.964,599.214,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
d45b16539,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668893,0.641359,0.617269,0.595994,0.576979,0.559814,0.544189,0.529864,0.51665,0.504394,0.492975,0.482289,0.472244,0.462775,0.453823,0.445336,0.43727,0.429586,0.422251,0.415235,0.408511,0.402058,0.395854,0.389889,0.384215,0.37888,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
d45b16539,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.62 delta_degC/(TtCO2),43.478,44.0969,44.6851,45.2292,45.7226,46.1633,46.5525,46.8925,47.1867,47.4867,47.945,48.1533,48.3559,48.5532,48.7458,48.9338,49.1175,49.297,49.4725,49.6438,49.8109,49.9389,50.0621,50.1803,50.2933,50.401,50.5031,50.5992,50.6888,50.7716,50.847,50.7873,50.7199,50.7771,50.9787,51.1815,51.3854,51.5902,51.7958,52.0021,52.2087,52.565,52.9209,53.2764,53.6315,53.9863,54.3408,54.6948,55.0484,55.4017,55.7544,56.1425,56.5295,56.9156,57.3007,57.685,58.0685,58.4511,58.8331,59.2142,59.5947,59.9642,60.3325,60.6995,61.0655,61.4304,61.7944,62.1574,62.5196,62.8809,63.2415,63.7204,64.1983,64.6752,65.1512,65.6264,66.1008,66.5745,67.0476,67.5201,67.992,68.4634,68.9342,69.4047,69.8746,70.3442,70.8134,71.2822,71.7506,72.2187,72.6865,73.0583,73.4308,73.8038,74.1773,74.5511,74.9252,75.2994,75.6738,76.0482,76.4227,76.7019,76.982,77.2629,77.5442,77.8261,78.1083,78.3907,78.6733,78.9561,79.239,79.427,79.6158,79.8053,79.9954,80.1859,80.3767,80.5678,80.7591,80.9506,81.1421,81.2389,81.3365,81.4348,81.5335,81.6328,81.7323,81.8321,81.9321,82.0322,82.1323
d45b16539,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
d45b16539,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,24.0142,23.4049,22.6456,21.8767,21.0952,20.2988,19.4854,18.6533,17.8009,16.9265,16.0287,15.1061,14.1067,13.0795,12.0231,10.9361,9.81673,8.66345,7.4745,6.24789,4.98152,3.67311,2.25023,0.786234,7.0027e-06,2.33449e-06,1.43966e-06,1.06043e-06,8.51117e-07,7.18613e-07,6.27328e-07,5.60712e-07,5.06823e-07,4.65134e-07,4.31988e-07,4.05056e-07,3.82783e-07,3.64093e-07,3.48216e-07,3.34587e-07,3.22783e-07,3.12479e-07,3.02957e-07,2.94586e-07,2.87187e-07,2.80614e-07,2.74749e-07,2.69494e-07,2.6477e-07,2.60508e-07,2.56653e-07,2.53155e-07,2.49811e-07,2.46776e-07,2.44015e-07,2.415e-07,2.39204e-07,2.37105e-07,2.35185e-07,2.33424e-07,2.31809e-07,2.30325e-07,2.28891e-07,2.27575e-07,2.26367e-07,2.25258e-07,2.24238e-07,2.233e-07,2.22438e-07,2.21644e-07,2.20914e-07,-7.40865e-19,-7.39893e-19,-7.27745e-19,-7.14606e-19,-7.00424e-19,-6.84638e-19,-6.68405e-19,-6.53413e-19,-6.39975e-19,-6.26305e-19,-6.1109e-19,-5.95136e-19,-5.80497e-19,-5.67075e-19,-5.52964e-19,-5.3732e-19,-5.21847e-19,-5.0796e-19,-4.94233e-19,-4.79076e-19,-4.63512e-19,-4.49263e-19,-4.35553e-19,-4.20555e-19,-4.0497e-19,-3.9058e-19,-3.76769e-19,-3.61689e-19,-3.46191e-19,-3.31824e-19,-3.17734e-19,-3.02476e-19,-2.87163e-19,-2.7282e-19,-2.58374e-19,-2.43004e-19,-2.27956e-19,-2.13614e-19,-1.98717e-19,-1.83249e-19,-1.683e-19,-1.5351e-19,-1.38164e-19,-1.22594e-19,-1.07349e-19,-9.18109e-20,-7.57942e-20,-5.96111e-20,-4.32031e-20,-2.62201e-20,-3.96902e-12
d45b16539,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0155092,1,0.62 delta_degC/(TtCO2),4.60688e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.42269,0.43493,0.448513,0.462839,0.477861,0.493551,0.509891,0.526876,0.544506,0.562788,0.581737,0.60137,0.622997,0.645402,0.668616,0.692674,0.717615,0.743484,0.770333,0.798218,0.827204,0.857363,0.89089,0.925852,0.938396,0.925365,0.913075,0.901454,0.890437,0.879972,0.870011,0.86051,0.85142,0.8427,0.834321,0.826261,0.818496,0.811011,0.803783,0.7968,0.790046,0.783508,0.77717,0.771021,0.765052,0.759251,0.753612,0.748125,0.742784,0.73758,0.732509,0.727564,0.72274,0.71803,0.713434,0.708944,0.704555,0.700263,0.696067,0.69196,0.687939,0.684003,0.680142,0.676353,0.672632,0.668976,0.665385,0.661855,0.658387,0.654975,0.651621,0.648321,0.645075,0.641879,0.638735,0.63564,0.632591,0.629589,0.626632,0.623719,0.620847,0.618017,0.61523,0.612486,0.609782,0.60712,0.604496,0.60191,0.599361,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577992,0.575784,0.573604,0.571453,0.569332,0.56724,0.565179,0.563145,0.561139,0.559161,0.55721,0.555284,0.553384,0.551509,0.549658,0.547831,0.54603,0.544253,0.542499,0.540769,0.539063,0.537377,0.535714,0.534071,0.53245
