ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
d46bf7980,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,31.296,31.2094,31.1243,31.0381,30.9492,30.6863,30.4239,30.1612,29.8973,29.6318,29.3643,29.0943,28.8216,28.5458,28.2668,27.9402,27.6101,27.2764,26.939,26.5979,26.2528,25.9037,25.5504,25.1926,24.8303,24.3638,23.8949,23.4235,22.9496,22.473,21.9937,21.5114,21.026,20.5373,20.045,19.5442,19.0346,18.5161,17.9886,17.4519,16.906,16.3504,15.7853,15.2102,14.6248,13.9846,13.3315,12.6653,11.9856,11.2922,10.5848,9.8629,9.12619,8.37426,7.60649,6.76492,5.90555,5.02805,4.13176,3.21612,2.28044,1.32421,0.346445,-0.653673,-1.67701,-2.7953,-3.94585,-5.13015,-6.34957,-7.60552,-8.89986,-10.2343,-11.611,-13.0323,-14.5008,-3.37117e-06,-2.14317e-06,-1.81883e-06,-1.6697e-06,-1.58784e-06,-1.53943e-06,-1.51018e-06,-1.49278e-06,-1.48311e-06,-1.4786e-06,-1.46473e-06,-1.45418e-06,-1.446e-06,-1.43943e-06,-1.43398e-06,-1.42928e-06,-1.42502e-06,-1.42101e-06,-1.41709e-06,-1.41315e-06,-1.40094e-06,-1.38927e-06,-1.37807e-06,-1.36729e-06,-1.35693e-06,-1.34698e-06,-1.33741e-06,-1.32825e-06,-1.31951e-06,-1.31121e-06,-1.2982e-06,-1.28611e-06,-1.27495e-06,-1.26474e-06,-1.25548e-06,-1.24721e-06,-1.23995e-06,-1.23373e-06,-1.22862e-06,-1.22464e-06,-1.21834e-06,-1.21353e-06,-1.21025e-06,-1.20861e-06,-1.20869e-06,-1.21061e-06,-1.21453e-06,-1.22062e-06,-1.22909e-06,-1.2402e-06
d46bf7980,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18681,1.19992,1.21299,1.22603,1.23903,1.25192,1.26469,1.27736,1.28992,1.30236,1.3147,1.32692,1.33902,1.35101,1.36288,1.37462,1.38621,1.39767,1.40898,1.42015,1.43118,1.44206,1.45279,1.46337,1.4738,1.48403,1.49407,1.50391,1.51355,1.52299,1.53222,1.54126,1.55009,1.55871,1.56713,1.57534,1.58334,1.59111,1.59867,1.606,1.6131,1.61997,1.6266,1.63298,1.63913,1.645,1.6506,1.65592,1.66095,1.6657,1.67014,1.67428,1.67812,1.68163,1.68483,1.68767,1.69015,1.69226,1.694,1.69535,1.69631,1.69686,1.69701,1.69673,1.69603,1.69485,1.6932,1.69104,1.68838,1.68518,1.68144,1.67714,1.67227,1.66679,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607,1.6607
d46bf7980,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0131443,0.013108,0.0130722,0.013036,0.0129986,0.0128882,0.0127781,0.0126677,0.0125569,0.0124454,0.012333,0.0122196,0.0121051,0.0119893,0.0118721,0.0117349,0.0115962,0.0114561,0.0113144,0.0111711,0.0110262,0.0108796,0.0107311,0.0105809,0.0104287,0.0102328,0.0100358,0.00983787,0.00963884,0.00943868,0.00923735,0.00903479,0.0088309,0.00862565,0.0084189,0.00820858,0.00799455,0.00777676,0.00755522,0.00732979,0.0071005,0.00686719,0.00662982,0.00638826,0.0061424,0.00587355,0.00559924,0.00531942,0.00503395,0.00474271,0.0044456,0.00414242,0.003833,0.00351719,0.00319473,0.00284127,0.00248033,0.00211178,0.00173534,0.00135077,0.000957784,0.000556167,0.000145507,-0.000274543,-0.000704344,-0.00117403,-0.00165726,-0.00215466,-0.00266682,-0.00319432,-0.00373794,-0.0042984,-0.00487664,-0.00547358,-0.00609035,-1.41589e-09,-9.00129e-10,-7.6391e-10,-7.01273e-10,-6.66891e-10,-6.46562e-10,-6.34276e-10,-6.26966e-10,-6.22906e-10,-6.2101e-10,-6.15185e-10,-6.10757e-10,-6.07319e-10,-6.04559e-10,-6.02271e-10,-6.00296e-10,-5.98508e-10,-5.96826e-10,-5.95179e-10,-5.93522e-10,-5.88396e-10,-5.83493e-10,-5.78788e-10,-5.74264e-10,-5.69912e-10,-5.65731e-10,-5.61711e-10,-5.57865e-10,-5.54195e-10,-5.50708e-10,-5.45245e-10,-5.40168e-10,-5.35481e-10,-5.31191e-10,-5.27303e-10,-5.23827e-10,-5.20777e-10,-5.18168e-10,-5.16018e-10,-5.14348e-10,-5.11704e-10,-5.09681e-10,-5.08307e-10,-5.07616e-10,-5.07651e-10,-5.08458e-10,-5.10104e-10,-5.1266e-10,-5.16217e-10,-5.20883e-10
d46bf7980,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d46bf7980,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),-5.00071e-09,41.278,80.3561,117.234,151.912,184.39,215.686,246.896,278.02,309.058,340.007,370.694,401.118,431.279,461.176,490.808,520.172,549.266,578.088,606.634,634.901,662.841,690.451,717.727,744.666,771.264,797.517,823.421,848.971,874.164,898.994,923.358,947.253,970.676,993.626,1016.1,1038.09,1059.6,1080.63,1101.17,1121.21,1140.76,1159.79,1178.31,1196.3,1213.75,1230.65,1247,1262.79,1278,1292.62,1306.61,1319.94,1332.61,1344.59,1355.88,1366.47,1376.33,1385.46,1393.83,1401.44,1408.2,1414.11,1419.14,1423.27,1426.48,1428.76,1430.09,1430.44,1429.78,1428.1,1425.31,1421.36,1416.23,1409.88,1402.28,1393.38,1383.14,1371.53,1358.5,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
d46bf7980,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.778352,0.744423,0.715176,0.689546,0.666786,0.646312,0.627854,0.611074,0.595713,0.581564,0.568464,0.556278,0.544895,0.534224,0.524186,0.514707,0.505739,0.497234,0.48915,0.481451,0.474104,0.467082,0.460359,0.453912,0.447723,0.441768,0.436044,0.430535,0.425229,0.420112,0.415171,0.410396,0.405778,0.401308,0.396976,0.392767,0.388665,0.384667,0.380768,0.376962,0.373249,0.369621,0.366077,0.362614,0.359227,0.35591,0.352659,0.349473,0.346348,0.343284,0.340278,0.337328,0.334432,0.331589,0.328797,0.326052,0.323353,0.3207,0.31809,0.315522,0.312995,0.310509,0.308061,0.305651,0.303277,0.300935,0.298621,0.296335,0.294076,0.291844,0.289637,0.287457,0.285301,0.283169,0.281061,0.279347,0.277667,0.276023,0.274412,0.272831,0.271282,0.269762,0.268271,0.266807,0.26537,0.263959,0.262575,0.261216,0.259883,0.258573,0.257286,0.256022,0.254779,0.253558,0.252357,0.251176,0.250016,0.248876,0.247755,0.246653,0.245568,0.244501,0.243451,0.242417,0.2414,0.240399,0.239415,0.238445,0.237491,0.236552,0.235628,0.234717,0.23382,0.232936,0.232066,0.231208,0.230364,0.229532,0.228712,0.227905,0.22711,0.226326,0.225554,0.224791,0.224041
d46bf7980,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,44.0894,44.6402,45.0971,45.4438,45.6764,46.0001,46.5047,47.0007,47.489,47.9704,48.2031,48.4318,48.6569,48.8792,49.0989,49.3165,49.5323,49.7464,49.9591,50.1705,50.3467,50.5214,50.695,50.8675,51.0391,51.2097,51.3796,51.5486,51.7169,51.8844,51.9211,51.9574,51.9933,52.0291,52.0646,52.1001,52.1355,52.1709,52.2062,52.2415,52.4149,52.5858,52.7546,52.9212,53.0859,53.2488,53.41,53.5694,53.7272,53.8834,54.0629,54.2397,54.4138,54.5854,54.7545,54.9212,55.0855,55.2475,55.407,55.5641,55.7009,55.8344,55.9647,56.0917,56.2156,56.3361,56.4534,56.5671,56.6773,56.7836,56.9762,57.1619,57.3406,57.512,57.6757,57.8315,57.9787,58.117,58.2457,58.364,61.8464,62.3375,62.8267,63.3142,63.7999,64.2841,64.7668,65.2481,65.7279,66.2065,66.5936,66.9803,67.3665,67.752,68.137,68.5214,68.9052,69.2883,69.6707,70.0525,70.3438,70.6351,70.9264,71.2176,71.5085,71.7992,72.0895,72.3796,72.6692,72.9584,73.1576,73.357,73.5566,73.7562,73.9557,74.1551,74.3544,74.5534,74.7523,74.9508,75.0595,75.1685,75.2777,75.3871,75.4965,75.6058,75.7151,75.8243,75.9332,76.042
d46bf7980,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
d46bf7980,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,31.296,31.2094,31.1243,31.0381,30.9492,30.6863,30.4239,30.1612,29.8973,29.6318,29.3643,29.0943,28.8216,28.5458,28.2668,27.9402,27.6101,27.2764,26.939,26.5979,26.2528,25.9037,25.5504,25.1926,24.8303,24.3638,23.8949,23.4235,22.9496,22.473,21.9937,21.5114,21.026,20.5373,20.045,19.5442,19.0346,18.5161,17.9886,17.4519,16.906,16.3504,15.7853,15.2102,14.6248,13.9846,13.3315,12.6653,11.9856,11.2922,10.5848,9.8629,9.12619,8.37426,7.60649,6.76492,5.90555,5.02805,4.13176,3.21612,2.28044,1.32421,0.346445,-0.653673,-1.67701,-2.7953,-3.94585,-5.13015,-6.34957,-7.60552,-8.89986,-10.2343,-11.611,-13.0323,-14.5008,-3.37117e-06,-2.14317e-06,-1.81883e-06,-1.6697e-06,-1.58784e-06,-1.53943e-06,-1.51018e-06,-1.49278e-06,-1.48311e-06,-1.4786e-06,-1.46473e-06,-1.45418e-06,-1.446e-06,-1.43943e-06,-1.43398e-06,-1.42928e-06,-1.42502e-06,-1.42101e-06,-1.41709e-06,-1.41315e-06,-1.40094e-06,-1.38927e-06,-1.37807e-06,-1.36729e-06,-1.35693e-06,-1.34698e-06,-1.33741e-06,-1.32825e-06,-1.31951e-06,-1.31121e-06,-1.2982e-06,-1.28611e-06,-1.27495e-06,-1.26474e-06,-1.25548e-06,-1.24721e-06,-1.23995e-06,-1.23373e-06,-1.22862e-06,-1.22464e-06,-1.21834e-06,-1.21353e-06,-1.21025e-06,-1.20861e-06,-1.20869e-06,-1.21061e-06,-1.21453e-06,-1.22062e-06,-1.22909e-06,-1.2402e-06
d46bf7980,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),7.84868e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.524421,0.532481,0.541294,0.550702,0.560595,0.571587,0.582936,0.594589,0.606504,0.618646,0.630988,0.643507,0.656187,0.669013,0.681975,0.696435,0.71102,0.725721,0.740531,0.755447,0.770464,0.785581,0.800798,0.816117,0.831542,0.849019,0.866627,0.884365,0.902232,0.920232,0.938365,0.956635,0.975049,0.993612,1.01233,1.03439,1.05667,1.07917,1.1019,1.12485,1.14803,1.17146,1.19514,1.21908,1.2433,1.27058,1.29821,1.32621,1.35459,1.38336,1.41253,1.44212,1.47216,1.50266,1.53365,1.56814,1.60325,1.63899,1.67539,1.71249,1.75031,1.78889,1.82827,1.86849,1.90962,1.95527,2.00206,2.05006,2.09934,2.14998,2.20207,2.2557,2.311,2.36807,2.42706,1.67509,1.66502,1.65516,1.6455,1.63602,1.62673,1.61762,1.60868,1.5999,1.59128,1.58282,1.57452,1.56637,1.55838,1.55052,1.54281,1.53523,1.52777,1.52045,1.51325,1.50617,1.49921,1.49238,1.48565,1.47904,1.47254,1.46614,1.45985,1.45365,1.44755,1.44154,1.43564,1.42983,1.42411,1.41848,1.41293,1.40747,1.40209,1.39679,1.39158,1.38643,1.38137,1.37638,1.37147,1.36662,1.36186,1.35716,1.35252,1.34795,1.34345
