ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
dd0f31c47,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.5483,28.3033,28.0586,27.8111,27.4043,26.9979,26.5901,26.18,25.7666,25.3492,24.9272,24.5,24.0671,23.6281,23.1365,22.6382,22.1331,21.6208,21.101,20.5735,20.038,19.4942,18.9416,18.38,17.7194,17.0524,16.3786,15.6981,15.0103,14.315,13.6119,12.9005,12.1806,11.4515,10.6639,9.85871,9.03553,8.19397,7.33328,6.45308,5.55247,4.63087,3.68737,2.72102,1.66154,0.57334,-0.544596,-1.69358,-2.87495,-4.09019,-5.34101,-6.62932,-7.95708,-9.32671,-10.8157,-12.3543,-13.9456,-15.5932,-17.301,-19.0736,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-3.37597e-06,-2.05002e-06,-1.72206e-06,-1.57268e-06,-1.49045e-06,-1.44135e-06,-1.41119e-06,-1.39281e-06,-1.38221e-06,-1.37688e-06,-1.36457e-06,-1.35564e-06,-1.34919e-06,-1.34451e-06,-1.34115e-06,-1.33872e-06,-1.33695e-06,-1.33563e-06,-1.33459e-06,-1.33372e-06,-1.32588e-06,-1.31856e-06,-1.3117e-06,-1.30525e-06,-1.29918e-06,-1.29348e-06,-1.28813e-06,-1.28313e-06,-1.2785e-06,-1.27424e-06,-1.26562e-06,-1.25776e-06,-1.25067e-06,-1.24438e-06,-1.23891e-06,-1.23429e-06,-1.23056e-06,-1.22777e-06,-1.22597e-06,-1.22522e-06,-1.22215e-06,-1.22045e-06,-1.22019e-06,-1.22149e-06,-1.22446e-06,-1.22922e-06,-1.23596e-06,-1.24487e-06,-1.25618e-06,-1.27019e-06
dd0f31c47,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24702,1.26457,1.28196,1.29921,1.3162,1.33293,1.34942,1.36565,1.38163,1.39734,1.4128,1.42799,1.44291,1.45756,1.4719,1.48594,1.49966,1.51307,1.52615,1.53891,1.55133,1.56342,1.57516,1.58656,1.59754,1.60811,1.61827,1.628,1.63731,1.64618,1.65462,1.66262,1.67017,1.67727,1.68388,1.69,1.6956,1.70068,1.70523,1.70923,1.71267,1.71554,1.71783,1.71951,1.72054,1.7209,1.72056,1.71951,1.71773,1.71519,1.71188,1.70777,1.70284,1.69706,1.69035,1.68269,1.67404,1.66438,1.65365,1.64182,1.62942,1.61702,1.60462,1.59222,1.57982,1.56742,1.55502,1.54262,1.53022,1.51782,1.50542,1.49302,1.48062,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822
dd0f31c47,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0177,0.0175481,0.0173963,0.0172429,0.0169907,0.0167387,0.0164859,0.0162316,0.0159753,0.0157165,0.0154549,0.01519,0.0149216,0.0146494,0.0143446,0.0140357,0.0137225,0.0134049,0.0130826,0.0127556,0.0124236,0.0120864,0.0117438,0.0113956,0.010986,0.0105725,0.0101548,0.00973281,0.00930638,0.00887531,0.00843937,0.00799833,0.00755196,0.00709993,0.0066116,0.0061124,0.00560203,0.00508026,0.00454663,0.00400091,0.00344253,0.00287114,0.00228617,0.00168703,0.00103016,0.000355471,-0.000337649,-0.00105002,-0.00178247,-0.00253591,-0.00331143,-0.00411018,-0.00493339,-0.00578256,-0.00670572,-0.00765968,-0.00864627,-0.00966776,-0.0107266,-0.0118256,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-2.0931e-09,-1.27101e-09,-1.06768e-09,-9.75064e-10,-9.24078e-10,-8.93636e-10,-8.74938e-10,-8.63542e-10,-8.56967e-10,-8.53668e-10,-8.46031e-10,-8.40497e-10,-8.36496e-10,-8.33599e-10,-8.31512e-10,-8.30007e-10,-8.28908e-10,-8.2809e-10,-8.27448e-10,-8.26908e-10,-8.22046e-10,-8.17509e-10,-8.13256e-10,-8.09256e-10,-8.05494e-10,-8.0196e-10,-7.98638e-10,-7.95541e-10,-7.92669e-10,-7.90028e-10,-7.84685e-10,-7.7981e-10,-7.75416e-10,-7.71516e-10,-7.68124e-10,-7.6526e-10,-7.62949e-10,-7.6122e-10,-7.60104e-10,-7.59639e-10,-7.57734e-10,-7.56678e-10,-7.5652e-10,-7.57325e-10,-7.59162e-10,-7.62117e-10,-7.66296e-10,-7.71817e-10,-7.78835e-10,-7.87519e-10
dd0f31c47,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dd0f31c47,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.62 delta_degC/(TtCO2),-5.00057e-09,41.278,80.3561,117.234,151.912,184.39,214.668,243.217,271.52,299.579,327.39,354.794,381.792,408.382,434.562,460.329,485.678,510.605,535.105,559.172,582.8,605.937,628.575,650.708,672.329,693.43,714.004,734.042,753.536,772.477,790.857,808.577,825.629,842.008,857.706,872.716,887.031,900.643,913.544,925.724,937.176,947.84,957.698,966.734,974.928,982.261,988.714,994.267,998.897,1002.58,1005.31,1006.97,1007.54,1007,1005.3,1002.43,998.337,992.996,986.367,978.41,969.083,958.268,945.913,931.968,916.375,899.074,880,860,840,820,800,780,760,740,720,700,680,660,640,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
dd0f31c47,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.737574,0.70518,0.67728,0.652846,0.631134,0.611739,0.594244,0.578331,0.563756,0.550326,0.537885,0.526305,0.515485,0.505336,0.495777,0.486752,0.47821,0.470105,0.462397,0.455052,0.44804,0.441335,0.434911,0.428748,0.422826,0.417137,0.411665,0.406396,0.401317,0.396414,0.391678,0.387097,0.382663,0.378368,0.374192,0.370122,0.366153,0.362283,0.358504,0.354815,0.35121,0.347687,0.344242,0.340871,0.337568,0.334328,0.33115,0.328031,0.324969,0.321963,0.31901,0.316107,0.313255,0.31045,0.307688,0.304968,0.302289,0.29965,0.297048,0.294482,0.291978,0.289557,0.287214,0.284946,0.282746,0.28061,0.278533,0.276513,0.274548,0.272634,0.270769,0.268951,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
dd0f31c47,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.62 delta_degC/(TtCO2),43.478,44.0913,44.6437,45.102,45.4499,45.6835,45.8063,45.9425,46.4018,46.8525,47.2955,47.4952,47.6907,47.8825,48.0711,48.257,48.4405,48.6218,48.8012,48.9788,49.1547,49.2942,49.432,49.5679,49.7022,49.8349,49.9661,50.0957,50.2237,50.3501,50.4749,50.4723,50.4686,50.4638,50.458,50.4512,50.4434,50.4346,50.4247,50.4137,50.4016,50.5115,50.6166,50.7169,50.8126,50.9035,50.9898,51.0711,51.1476,51.2189,51.285,51.3624,51.4321,51.4939,51.5476,51.5928,51.6291,51.656,51.6731,51.6797,51.6751,51.6361,51.5827,51.5141,51.4292,51.3267,51.2051,51.3316,51.7326,52.1405,52.5548,53.0805,53.6114,54.1473,54.6876,55.232,55.78,56.3315,56.886,57.4432,58.0028,62.7933,63.4062,64.0088,64.6018,65.1859,65.7619,66.3303,66.8917,67.4465,67.9953,68.4459,68.8918,69.3333,69.7708,70.2044,70.6344,71.0611,71.4846,71.9052,72.323,72.6456,72.9663,73.2853,73.6026,73.9182,74.2323,74.5449,74.856,75.1657,75.474,75.6885,75.9024,76.1157,76.3283,76.5402,76.7515,76.9621,77.172,77.3812,77.5897,77.7049,77.8201,77.9352,78.0502,78.1649,78.2794,78.3935,78.5073,78.6208,78.7339
dd0f31c47,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
dd0f31c47,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.5483,28.3033,28.0586,27.8111,27.4043,26.9979,26.5901,26.18,25.7666,25.3492,24.9272,24.5,24.0671,23.6281,23.1365,22.6382,22.1331,21.6208,21.101,20.5735,20.038,19.4942,18.9416,18.38,17.7194,17.0524,16.3786,15.6981,15.0103,14.315,13.6119,12.9005,12.1806,11.4515,10.6639,9.85871,9.03553,8.19397,7.33328,6.45308,5.55247,4.63087,3.68737,2.72102,1.66154,0.57334,-0.544596,-1.69358,-2.87495,-4.09019,-5.34101,-6.62932,-7.95708,-9.32671,-10.8157,-12.3543,-13.9456,-15.5932,-17.301,-19.0736,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-3.37597e-06,-2.05002e-06,-1.72206e-06,-1.57268e-06,-1.49045e-06,-1.44135e-06,-1.41119e-06,-1.39281e-06,-1.38221e-06,-1.37688e-06,-1.36457e-06,-1.35564e-06,-1.34919e-06,-1.34451e-06,-1.34115e-06,-1.33872e-06,-1.33695e-06,-1.33563e-06,-1.33459e-06,-1.33372e-06,-1.32588e-06,-1.31856e-06,-1.3117e-06,-1.30525e-06,-1.29918e-06,-1.29348e-06,-1.28813e-06,-1.28313e-06,-1.2785e-06,-1.27424e-06,-1.26562e-06,-1.25776e-06,-1.25067e-06,-1.24438e-06,-1.23891e-06,-1.23429e-06,-1.23056e-06,-1.22777e-06,-1.22597e-06,-1.22522e-06,-1.22215e-06,-1.22045e-06,-1.22019e-06,-1.22149e-06,-1.22446e-06,-1.22922e-06,-1.23596e-06,-1.24487e-06,-1.25618e-06,-1.27019e-06
dd0f31c47,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.62 delta_degC/(TtCO2),1.62811e-32,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.711889,0.72374,0.736708,0.75058,0.766087,0.782259,0.799007,0.816263,0.833974,0.852099,0.870606,0.889472,0.908678,0.928211,0.949962,0.97204,0.994436,1.01715,1.04017,1.0635,1.08716,1.11113,1.13544,1.16009,1.18779,1.2159,1.24443,1.27337,1.30274,1.33256,1.36285,1.39361,1.42487,1.45667,1.49395,1.53195,1.57069,1.61019,1.6505,1.69163,1.73363,1.77655,1.82044,1.86535,1.91584,1.96763,2.0208,2.07543,2.1316,2.18941,2.24897,2.3104,2.37384,2.43944,2.51254,2.5884,2.66726,2.74936,2.83499,2.92449,2.9558,2.92447,2.89412,2.8647,2.83376,2.80374,2.77456,2.7462,2.71862,2.69178,2.66565,2.64019,2.61538,2.59119,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49713,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
