ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
dec1b7e24,netnegs,global_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.9217,21.2175,20.5144,19.8088,19.098,18.3798,17.6524,16.9142,16.1638,15.4,14.6214,13.7758,12.9133,12.0328,11.1334,10.2139,9.27314,8.30987,7.3227,6.31013,5.27052,4.13334,2.97096,1.78167,0.563648,2.55802e-06,9.19838e-07,5.68875e-07,4.15972e-07,3.30412e-07,2.75759e-07,2.34753e-07,2.05413e-07,1.834e-07,1.66291e-07,1.52622e-07,1.4146e-07,1.32181e-07,1.24353e-07,1.17664e-07,1.11886e-07,1.06541e-07,1.01879e-07,9.77818e-08,9.41565e-08,9.09288e-08,8.80395e-08,8.54403e-08,8.30916e-08,8.09607e-08,7.90202e-08,7.71464e-08,7.54368e-08,7.38727e-08,7.24377e-08,7.11177e-08,6.99008e-08,6.87765e-08,6.77357e-08,6.67702e-08,6.5873e-08,6.49899e-08,6.41696e-08,6.34064e-08,6.26954e-08,6.20323e-08,6.14132e-08,6.08345e-08,6.02929e-08,5.97857e-08,-2.49303e-18,-2.49033e-18,-2.45031e-18,-2.40748e-18,-2.36139e-18,-2.31005e-18,-2.25678e-18,-2.20737e-18,-2.16275e-18,-2.11736e-18,-2.06678e-18,-2.01297e-18,-1.96317e-18,-1.91724e-18,-1.8687e-18,-1.81512e-18,-1.76218e-18,-1.71409e-18,-1.66616e-18,-1.6133e-18,-1.55931e-18,-1.50906e-18,-1.46005e-18,-1.4065e-18,-1.35153e-18,-1.3006e-18,-1.25066e-18,-1.19656e-18,-1.14169e-18,-1.09053e-18,-1.0393e-18,-9.83937e-19,-9.29129e-19,-8.77225e-19,-8.23945e-19,-7.6819e-19,-7.13924e-19,-6.61213e-19,-6.06312e-19,-5.50197e-19,-4.95735e-19,-4.40814e-19,-3.83963e-19,-3.26912e-19,-2.70248e-19,-2.12042e-19,-1.52223e-19,-9.13275e-20,-2.79188e-20,4.07628e-20,1.44812e-13
dec1b7e24,netnegs,temperature,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20905,1.21899,1.2282,1.23711,1.24573,1.25405,1.26207,1.26979,1.2772,1.2843,1.29109,1.29756,1.3037,1.30949,1.31491,1.31997,1.32464,1.32893,1.33283,1.33632,1.33939,1.34204,1.34426,1.34599,1.34724,1.34799,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822,1.34822
dec1b7e24,netnegs,temperaturedot,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0108688,0.00994481,0.00920713,0.00891136,0.00861605,0.0083197,0.00802117,0.00771952,0.00741401,0.00710396,0.0067888,0.00646799,0.00614101,0.00578584,0.00542357,0.00505378,0.00467603,0.00428984,0.00389472,0.00349015,0.00307554,0.00265026,0.00221362,0.001736,0.0012478,0.000748302,0.000236732,1.07437e-09,3.86332e-10,2.38928e-10,1.74708e-10,1.38773e-10,1.15819e-10,9.85962e-11,8.62737e-11,7.70282e-11,6.98424e-11,6.41011e-11,5.94134e-11,5.55162e-11,5.22282e-11,4.94187e-11,4.69922e-11,4.47469e-11,4.27891e-11,4.10685e-11,3.95457e-11,3.81899e-11,3.69766e-11,3.58851e-11,3.48985e-11,3.40035e-11,3.31883e-11,3.24016e-11,3.16833e-11,3.10265e-11,3.04239e-11,2.98694e-11,2.93583e-11,2.88863e-11,2.8449e-11,2.80434e-11,2.76665e-11,2.7296e-11,2.69511e-11,2.66307e-11,2.6332e-11,2.60536e-11,2.57936e-11,2.55504e-11,2.53231e-11,2.51099e-11,-1.04708e-21,-1.04575e-21,-1.02871e-21,-1.01052e-21,-9.90965e-22,-9.69172e-22,-9.46608e-22,-9.25644e-22,-9.06698e-22,-8.87419e-22,-8.6597e-22,-8.43153e-22,-8.22038e-22,-8.02532e-22,-7.81935e-22,-7.59224e-22,-7.36788e-22,-7.16373e-22,-6.96032e-22,-6.73625e-22,-6.50741e-22,-6.29429e-22,-6.08636e-22,-5.85935e-22,-5.62639e-22,-5.41036e-22,-5.19854e-22,-4.96917e-22,-4.73672e-22,-4.5198e-22,-4.30246e-22,-4.06789e-22,-3.83556e-22,-3.61548e-22,-3.38964e-22,-3.1534e-22,-2.92339e-22,-2.69987e-22,-2.46725e-22,-2.22949e-22,-1.99861e-22,-1.76589e-22,-1.52501e-22,-1.28341e-22,-1.04319e-22,-7.96687e-23,-5.43392e-23,-2.85484e-23,-1.71273e-24,2.73446e-23,1.57598e-16
dec1b7e24,netnegs,smoothed_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dec1b7e24,netnegs,cumulative_emissions,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),-5.00042e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,314.224,335.442,355.956,375.765,394.863,413.243,430.895,447.81,463.973,479.373,493.995,507.771,520.684,532.717,543.85,554.064,563.337,571.647,578.97,585.28,590.55,594.684,597.655,599.436,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
dec1b7e24,netnegs,learning_factor,Global,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.6396,0.614634,0.592807,0.573461,0.556121,0.540433,0.526127,0.512993,0.500862,0.489602,0.479102,0.469262,0.460014,0.451293,0.443047,0.435227,0.427794,0.420714,0.413955,0.40749,0.401296,0.395351,0.389646,0.38416,0.37888,0.373848,0.369089,0.364579,0.360294,0.356216,0.352326,0.348604,0.345034,0.341603,0.338303,0.335124,0.332059,0.329099,0.32624,0.323475,0.320798,0.318203,0.315685,0.313241,0.310866,0.308557,0.306311,0.304124,0.301993,0.299917,0.297893,0.295917,0.293989,0.292107,0.290268,0.288472,0.286714,0.284996,0.283315,0.281669,0.280057,0.278476,0.276925,0.275401,0.273904,0.272434,0.270989,0.269569,0.268172,0.266799,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
dec1b7e24,netnegs,baseline,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,44.0894,44.6402,45.0971,45.4438,45.6764,45.7984,45.8176,45.7438,45.5878,45.5189,45.619,45.7139,45.8044,45.8906,45.973,46.0516,46.1265,46.1977,46.2649,46.3281,46.3507,46.3684,46.3808,46.3878,46.3891,46.3843,46.373,46.3548,46.329,46.295,46.1395,45.9761,45.8044,45.6236,45.6736,45.9213,46.1713,46.4234,46.6772,46.9324,47.3214,47.711,48.101,48.4913,48.8818,49.2722,49.6626,50.0528,50.4426,50.832,51.2563,51.6796,52.1017,52.5227,52.9426,53.3613,53.7788,54.1952,54.6104,55.0244,55.4323,55.8385,56.2429,56.6456,57.0467,57.4462,57.8441,58.2405,58.6354,59.0289,59.5307,60.031,60.5299,61.0274,61.5236,62.0185,62.5123,63.0049,63.4965,63.9871,64.4766,64.9653,65.453,65.9398,66.4258,66.911,67.3954,67.879,68.3619,68.8441,69.2321,69.6203,70.0085,70.3966,70.7847,71.1726,71.5602,71.9477,72.3348,72.7216,73.015,73.3088,73.6029,73.8972,74.1915,74.4859,74.7801,75.0743,75.3683,75.662,75.8628,76.064,76.2655,76.4672,76.6691,76.871,77.0729,77.2747,77.4765,77.678,77.7867,77.8959,78.0054,78.1152,78.2251,78.335,78.445,78.555,78.6649,78.7746
dec1b7e24,netnegs,population,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
dec1b7e24,netnegs,regional_emissions,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.9217,21.2175,20.5144,19.8088,19.098,18.3798,17.6524,16.9142,16.1638,15.4,14.6214,13.7758,12.9133,12.0328,11.1334,10.2139,9.27314,8.30987,7.3227,6.31013,5.27052,4.13334,2.97096,1.78167,0.563648,2.55802e-06,9.19838e-07,5.68875e-07,4.15972e-07,3.30412e-07,2.75759e-07,2.34753e-07,2.05413e-07,1.834e-07,1.66291e-07,1.52622e-07,1.4146e-07,1.32181e-07,1.24353e-07,1.17664e-07,1.11886e-07,1.06541e-07,1.01879e-07,9.77818e-08,9.41565e-08,9.09288e-08,8.80395e-08,8.54403e-08,8.30916e-08,8.09607e-08,7.90202e-08,7.71464e-08,7.54368e-08,7.38727e-08,7.24377e-08,7.11177e-08,6.99008e-08,6.87765e-08,6.77357e-08,6.67702e-08,6.5873e-08,6.49899e-08,6.41696e-08,6.34064e-08,6.26954e-08,6.20323e-08,6.14132e-08,6.08345e-08,6.02929e-08,5.97857e-08,-2.49303e-18,-2.49033e-18,-2.45031e-18,-2.40748e-18,-2.36139e-18,-2.31005e-18,-2.25678e-18,-2.20737e-18,-2.16275e-18,-2.11736e-18,-2.06678e-18,-2.01297e-18,-1.96317e-18,-1.91724e-18,-1.8687e-18,-1.81512e-18,-1.76218e-18,-1.71409e-18,-1.66616e-18,-1.6133e-18,-1.55931e-18,-1.50906e-18,-1.46005e-18,-1.4065e-18,-1.35153e-18,-1.3006e-18,-1.25066e-18,-1.19656e-18,-1.14169e-18,-1.09053e-18,-1.0393e-18,-9.83937e-19,-9.29129e-19,-8.77225e-19,-8.23945e-19,-7.6819e-19,-7.13924e-19,-6.61213e-19,-6.06312e-19,-5.50197e-19,-4.95735e-19,-4.40814e-19,-3.83963e-19,-3.26912e-19,-2.70248e-19,-2.12042e-19,-1.52223e-19,-9.13275e-20,-2.79188e-20,4.07628e-20,1.44812e-13
dec1b7e24,netnegs,carbonprice,WorldOrig,600 GtCO2,0 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.42 delta_degC/(TtCO2),1.17435e-32,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.18952,1.21476,1.24177,1.27032,1.30025,1.33144,1.36383,1.39736,1.432,1.46773,1.50456,1.54574,1.5881,1.63167,1.67648,1.72257,1.77001,1.81885,1.86918,1.92107,1.97465,2.03455,2.09648,2.16056,2.22695,2.24176,2.21323,2.18618,2.16049,2.13603,2.11271,2.09039,2.06898,2.04841,2.02862,2.00956,1.99118,1.97343,1.95629,1.93971,1.92365,1.90809,1.893,1.87834,1.8641,1.85025,1.83678,1.82367,1.81089,1.79844,1.7863,1.77446,1.76289,1.75161,1.74058,1.72981,1.71927,1.70897,1.69889,1.68901,1.67935,1.66987,1.66057,1.65143,1.64246,1.63364,1.62497,1.61646,1.60808,1.59985,1.59174,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
