ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
e0f609c63,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,27.3086,27.0252,26.7421,26.3081,25.877,25.4474,25.0179,24.5876,24.1557,23.7218,23.2851,22.8453,22.4021,21.9083,21.4106,20.9089,20.403,19.8927,19.3777,18.858,18.3333,17.8033,17.2677,16.6385,16.0066,15.3717,14.7339,14.0928,13.4482,12.8001,12.1479,11.4916,10.8307,10.113,9.38328,8.64133,7.88697,7.11968,6.3393,5.54521,4.73706,3.91423,3.07608,2.1538,1.21158,0.248834,-0.735301,-1.74168,-2.77123,-3.82509,-4.9045,-6.0107,-7.14531,-8.38188,-9.65205,-10.9575,-12.3005,-13.6833,-15.1087,-16.5793,-18.0986,-19.6704,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-4.47119e-06,-2.74078e-06,-2.31681e-06,-2.12568e-06,-2.02139e-06,-1.95935e-06,-1.92093e-06,-1.89669e-06,-1.88133e-06,-1.87155e-06,-1.84572e-06,-1.82371e-06,-1.8043e-06,-1.78656e-06,-1.76991e-06,-1.75394e-06,-1.73832e-06,-1.72286e-06,-1.70741e-06,-1.69189e-06,-1.66518e-06,-1.63956e-06,-1.61496e-06,-1.59134e-06,-1.56866e-06,-1.54691e-06,-1.52605e-06,-1.50611e-06,-1.48708e-06,-1.46896e-06,-1.44557e-06,-1.42376e-06,-1.40351e-06,-1.38478e-06,-1.36754e-06,-1.3518e-06,-1.33753e-06,-1.32475e-06,-1.31347e-06,-1.30371e-06,-1.29166e-06,-1.28149e-06,-1.27323e-06,-1.26693e-06,-1.26267e-06,-1.26052e-06,-1.26063e-06,-1.26314e-06,-1.26824e-06,-1.27617e-06
e0f609c63,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.31767,1.33983,1.36176,1.38333,1.40455,1.42542,1.44593,1.46609,1.4859,1.50535,1.52445,1.54318,1.56155,1.57951,1.59707,1.61422,1.63095,1.64726,1.66315,1.67861,1.69365,1.70824,1.7224,1.73605,1.74917,1.76178,1.77386,1.78542,1.79644,1.80694,1.8169,1.82632,1.8352,1.8435,1.85119,1.85828,1.86474,1.87058,1.87578,1.88033,1.88421,1.88742,1.88994,1.89171,1.8927,1.89291,1.89231,1.89088,1.8886,1.88547,1.88145,1.87652,1.87066,1.86379,1.85587,1.84689,1.8368,1.82558,1.81319,1.79959,1.78475,1.76862,1.75222,1.73582,1.71942,1.70302,1.68662,1.67022,1.65382,1.63742,1.62102,1.60462,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822
e0f609c63,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.022393,0.0221607,0.0219286,0.0215726,0.0212192,0.0208668,0.0205147,0.0201618,0.0198077,0.0194518,0.0190938,0.0187332,0.0183697,0.0179648,0.0175567,0.0171453,0.0167305,0.016312,0.0158897,0.0154636,0.0150333,0.0145987,0.0141595,0.0136436,0.0131254,0.0126048,0.0120818,0.0115561,0.0110276,0.010496,0.00996129,0.00942311,0.00888115,0.00829263,0.00769429,0.00708589,0.00646731,0.00583814,0.00519823,0.00454707,0.00388439,0.00320967,0.00252239,0.00176611,0.000993497,0.000204044,-0.000602947,-0.00142818,-0.00227241,-0.00313657,-0.00402169,-0.00492877,-0.00585915,-0.00687314,-0.00791468,-0.00898516,-0.0100864,-0.0112203,-0.0123891,-0.013595,-0.0148409,-0.0161297,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-3.66638e-09,-2.24744e-09,-1.89979e-09,-1.74306e-09,-1.65754e-09,-1.60667e-09,-1.57516e-09,-1.55528e-09,-1.54269e-09,-1.53467e-09,-1.51349e-09,-1.49545e-09,-1.47952e-09,-1.46498e-09,-1.45133e-09,-1.43823e-09,-1.42542e-09,-1.41274e-09,-1.40007e-09,-1.38735e-09,-1.36544e-09,-1.34444e-09,-1.32427e-09,-1.3049e-09,-1.2863e-09,-1.26847e-09,-1.25136e-09,-1.23501e-09,-1.21941e-09,-1.20455e-09,-1.18537e-09,-1.16749e-09,-1.15088e-09,-1.13552e-09,-1.12139e-09,-1.10847e-09,-1.09677e-09,-1.0863e-09,-1.07705e-09,-1.06904e-09,-1.05916e-09,-1.05082e-09,-1.04405e-09,-1.03889e-09,-1.03539e-09,-1.03363e-09,-1.03372e-09,-1.03577e-09,-1.03996e-09,-1.04646e-09
e0f609c63,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
e0f609c63,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.82 delta_degC/(TtCO2),-5.00069e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,270.055,297.08,323.822,350.13,376.007,401.455,426.473,451.06,475.216,498.938,522.223,545.068,567.47,589.379,610.789,631.698,652.101,671.994,691.372,710.23,728.563,746.366,763.634,780.272,796.279,811.651,826.385,840.477,853.926,866.726,878.873,890.365,901.196,911.309,920.692,929.333,937.22,944.34,950.679,956.225,960.962,964.876,967.952,970.106,971.317,971.566,970.831,969.089,966.318,962.493,957.588,951.578,944.432,936.05,926.398,915.441,903.14,889.457,874.348,857.769,839.67,820,800,780,760,740,720,700,680,660,640,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
e0f609c63,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.703012,0.674207,0.649135,0.626975,0.607263,0.589544,0.573479,0.558803,0.545313,0.532843,0.52126,0.510455,0.500338,0.490823,0.481853,0.473375,0.46534,0.45771,0.450446,0.443521,0.436905,0.430574,0.424506,0.418682,0.413092,0.407722,0.402556,0.397579,0.392781,0.38815,0.383675,0.379349,0.375161,0.371092,0.367131,0.363272,0.359512,0.355844,0.352267,0.348774,0.345364,0.342033,0.338777,0.335588,0.332464,0.329402,0.3264,0.323456,0.320568,0.317733,0.314951,0.312219,0.309535,0.306895,0.304298,0.301744,0.29923,0.296754,0.294316,0.291914,0.289548,0.287214,0.284946,0.282746,0.28061,0.278533,0.276513,0.274548,0.272634,0.270769,0.268951,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
e0f609c63,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.82 delta_degC/(TtCO2),43.478,44.0782,44.6169,45.061,45.3945,45.6136,45.7221,45.7281,46.0372,46.4607,46.8762,47.0516,47.2231,47.3912,47.5565,47.7195,47.8806,48.0401,48.1982,48.3552,48.5111,48.6316,48.7509,48.8694,48.9872,49.1043,49.2208,49.3369,49.4525,49.5677,49.6824,49.6733,49.6644,49.6559,49.6479,49.6405,49.6337,49.6276,49.6221,49.6173,49.6131,49.7303,49.8451,49.9574,50.0676,50.1757,50.2817,50.3858,50.488,50.5882,50.6863,50.7996,50.9091,51.0148,51.1167,51.2147,51.3086,51.3982,51.4833,51.5637,51.6388,51.6872,51.7284,51.762,51.7876,51.8044,51.8116,51.8085,51.7939,51.7666,52.088,52.6117,53.1419,53.678,54.2198,54.7666,55.3182,55.8741,56.4339,56.9972,57.5638,62.3144,62.9194,63.5144,64.1,64.6771,65.2463,65.808,66.363,66.9116,67.4544,67.8998,68.3408,68.7774,69.2102,69.6392,70.0647,70.487,70.9062,71.3226,71.7362,72.0555,72.373,72.6888,73.0029,73.3155,73.6265,73.9361,74.2443,74.5511,74.8566,75.069,75.2808,75.492,75.7027,75.9127,76.122,76.3306,76.5386,76.7459,76.9526,77.0667,77.1808,77.2949,77.4087,77.5224,77.6358,77.749,77.8617,77.9742,78.0863
e0f609c63,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
e0f609c63,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,27.3086,27.0252,26.7421,26.3081,25.877,25.4474,25.0179,24.5876,24.1557,23.7218,23.2851,22.8453,22.4021,21.9083,21.4106,20.9089,20.403,19.8927,19.3777,18.858,18.3333,17.8033,17.2677,16.6385,16.0066,15.3717,14.7339,14.0928,13.4482,12.8001,12.1479,11.4916,10.8307,10.113,9.38328,8.64133,7.88697,7.11968,6.3393,5.54521,4.73706,3.91423,3.07608,2.1538,1.21158,0.248834,-0.735301,-1.74168,-2.77123,-3.82509,-4.9045,-6.0107,-7.14531,-8.38188,-9.65205,-10.9575,-12.3005,-13.6833,-15.1087,-16.5793,-18.0986,-19.6704,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-4.47119e-06,-2.74078e-06,-2.31681e-06,-2.12568e-06,-2.02139e-06,-1.95935e-06,-1.92093e-06,-1.89669e-06,-1.88133e-06,-1.87155e-06,-1.84572e-06,-1.82371e-06,-1.8043e-06,-1.78656e-06,-1.76991e-06,-1.75394e-06,-1.73832e-06,-1.72286e-06,-1.70741e-06,-1.69189e-06,-1.66518e-06,-1.63956e-06,-1.61496e-06,-1.59134e-06,-1.56866e-06,-1.54691e-06,-1.52605e-06,-1.50611e-06,-1.48708e-06,-1.46896e-06,-1.44557e-06,-1.42376e-06,-1.40351e-06,-1.38478e-06,-1.36754e-06,-1.3518e-06,-1.33753e-06,-1.32475e-06,-1.31347e-06,-1.30371e-06,-1.29166e-06,-1.28149e-06,-1.27323e-06,-1.26693e-06,-1.26267e-06,-1.26052e-06,-1.26063e-06,-1.26314e-06,-1.26824e-06,-1.27617e-06
e0f609c63,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0155092,1,0.82 delta_degC/(TtCO2),3.53345e-34,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.795182,0.807987,0.821779,0.837304,0.8535,0.870251,0.88747,0.905087,0.923048,0.94131,0.959838,0.978606,0.997591,1.01883,1.04026,1.06187,1.08365,1.10558,1.12768,1.14992,1.17231,1.19485,1.21755,1.24323,1.26911,1.29518,1.32144,1.3479,1.37456,1.40143,1.42852,1.45585,1.48342,1.5163,1.54956,1.58322,1.61728,1.65176,1.68668,1.72207,1.75795,1.79435,1.83132,1.87325,1.91593,1.95941,2.00372,2.04892,2.09507,2.14223,2.19047,2.23987,2.29054,2.3473,2.4057,2.46584,2.52787,2.59193,2.6582,2.72688,2.79818,2.87235,2.8647,2.83376,2.80374,2.77456,2.7462,2.71862,2.69178,2.66565,2.64019,2.61538,2.59119,1.58377,1.57593,1.56821,1.56061,1.55312,1.54576,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49713,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
