ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
e8dd77653,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,3.87824,1.67825,-0.521736,-2.72172,-4.92171,-7.1217,-9.1912,-9.63595,-10.038,-10.3988,-10.7195,-11.0013,-11.2451,-11.4956,-11.7073,-11.8807,-12.0162,-12.1146,-12.1759,-12.2008,-12.1893,-12.1418,-12.0584,-12.0749,-12.0533,-11.9931,-11.8933,-11.7532,-11.5718,-11.3483,-11.0815,-10.7704,-10.4137,-10.0872,-9.71034,-9.28106,-8.79718,-8.25627,-7.6556,-6.99221,-6.26278,-5.46351,-4.59023,-3.69683,-2.71783,-1.64672,-0.476258,-5.61736e-06,-1.171e-07,-1.05828e-07,-9.649e-08,-8.81203e-08,1.76464e-07,-9.17604e-08,-8.34923e-08,-7.66828e-08,-7.06133e-08,-6.43532e-08,-5.93648e-08,-5.39009e-08,-4.93161e-08,4.33371e-05,-9.38749e-06,-4.77209e-06,-3.2226e-06,-2.44352e-06,-1.97405e-06,-1.66005e-06,-1.43522e-06,-1.26634e-06,-1.13487e-06,-1.02969e-06,-9.43695e-07,-8.69522e-07,-8.07326e-07,-7.54492e-07,-7.09112e-07,-6.69776e-07,-6.35414e-07,-6.05197e-07,-5.7848e-07,-5.54747e-07,-5.33589e-07,-5.1393e-07,-4.96368e-07,-4.80657e-07,-4.66592e-07,-4.54007e-07,-4.42766e-07,-4.32755e-07,-4.23886e-07,-4.16087e-07,-4.09302e-07,-4.03101e-07,-3.97884e-07,-3.93635e-07,-3.90356e-07,-3.88067e-07,-3.86807e-07,-3.8664e-07,-3.87662e-07,-3.90004e-07,-3.93852e-07,-3.99122e-07,-4.06496e-07,-4.16478e-07,-4.29813e-07,-4.47644e-07,-4.71825e-07,-5.056e-07,-5.55265e-07,-6.35202e-07,-7.88807e-07
e8dd77653,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35352,1.36933,1.38334,1.39554,1.40593,1.41452,1.42131,1.4263,1.42948,1.43085,1.43043,1.42819,1.42416,1.41832,1.41078,1.40288,1.39465,1.38612,1.37733,1.36831,1.35909,1.34966,1.34006,1.33032,1.32047,1.31053,1.30055,1.29055,1.28055,1.27059,1.26071,1.2508,1.24092,1.23109,1.22133,1.2117,1.20221,1.1929,1.18381,1.17498,1.16644,1.15817,1.15021,1.1426,1.13539,1.12862,1.12234,1.1166,1.11147,1.10699,1.10322,1.10019,1.09796,1.09661,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622
e8dd77653,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0176121,0.0158081,0.0140041,0.0122001,0.0103961,0.00859212,0.00678813,0.00498415,0.00318016,0.00137617,-0.000427823,-0.00223181,-0.0040358,-0.00583979,-0.00753678,-0.00790148,-0.00823116,-0.00852699,-0.00879002,-0.0090211,-0.00922095,-0.00942639,-0.00959995,-0.00974214,-0.00985332,-0.00993393,-0.00998427,-0.0100046,-0.00999525,-0.00995626,-0.00988787,-0.00990138,-0.00988372,-0.00983433,-0.00975248,-0.00963762,-0.00948887,-0.00930559,-0.00908683,-0.00883171,-0.00853923,-0.00827149,-0.00796248,-0.00761047,-0.00721369,-0.00677014,-0.00627759,-0.00573361,-0.00513548,-0.00448008,-0.00376399,-0.0030314,-0.00222862,-0.00135031,-0.000390532,-4.60624e-09,-9.60216e-11,-8.67788e-11,-7.91218e-11,-7.22586e-11,1.447e-10,-7.52434e-11,-6.84637e-11,-6.28799e-11,-5.79028e-11,-5.27696e-11,-4.86793e-11,-4.41986e-11,-4.04392e-11,3.55364e-08,-7.69774e-09,-3.91312e-09,-2.64253e-09,-2.00369e-09,-1.61872e-09,-1.36124e-09,-1.17688e-09,-1.0384e-09,-9.30596e-10,-8.4435e-10,-7.7383e-10,-7.13008e-10,-6.62008e-10,-6.18683e-10,-5.81472e-10,-5.49217e-10,-5.21039e-10,-4.96261e-10,-4.74353e-10,-4.54893e-10,-4.37543e-10,-4.21423e-10,-4.07022e-10,-3.94138e-10,-3.82606e-10,-3.72286e-10,-3.63068e-10,-3.54859e-10,-3.47587e-10,-3.41191e-10,-3.35628e-10,-3.30543e-10,-3.26265e-10,-3.2278e-10,-3.20092e-10,-3.18215e-10,-3.17182e-10,-3.17045e-10,-3.17883e-10,-3.19804e-10,-3.22959e-10,-3.2728e-10,-3.33326e-10,-3.41512e-10,-3.52446e-10,-3.67068e-10,-3.86897e-10,-4.14591e-10,-4.55317e-10,-5.20866e-10,-6.46821e-10
e8dd77653,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
e8dd77653,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),-5.00078e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.015,377.693,388.172,396.45,402.528,406.406,408.085,407.563,404.841,399.919,392.798,383.607,373.971,363.933,353.534,342.814,331.813,320.568,309.072,297.365,285.484,273.468,261.354,249.178,236.977,224.788,212.646,200.587,188.513,176.459,164.466,152.573,140.82,129.248,117.9,106.818,96.0477,85.634,75.5468,65.8365,56.5554,47.7582,39.502,31.8464,24.8542,18.5914,13.1279,8.53766,4.84083,2.12299,0.476273,1.43763e-05,8.75894e-06,8.64184e-06,8.53601e-06,8.43952e-06,8.3514e-06,8.52787e-06,8.43611e-06,8.35261e-06,8.27593e-06,8.20532e-06,8.14097e-06,8.0816e-06,8.0277e-06,7.97838e-06,5.13155e-05,4.1928e-05,3.71559e-05,3.39333e-05,3.14898e-05,2.95158e-05,2.78557e-05,2.64205e-05,2.51541e-05,2.40193e-05,2.29896e-05,2.20459e-05,2.11764e-05,2.0369e-05,1.96145e-05,1.89054e-05,1.82357e-05,1.76002e-05,1.6995e-05,1.64166e-05,1.58618e-05,1.53282e-05,1.48143e-05,1.43179e-05,1.38373e-05,1.33707e-05,1.29167e-05,1.24739e-05,1.20412e-05,1.16173e-05,1.12012e-05,1.07919e-05,1.03888e-05,9.99089e-06,9.59726e-06,9.2069e-06,8.81883e-06,8.43203e-06,8.04539e-06,7.65773e-06,7.26772e-06,6.87387e-06,6.47475e-06,6.06825e-06,5.65177e-06,5.22196e-06,4.77432e-06,4.30249e-06,3.79689e-06,3.24163e-06,2.60643e-06,1.81762e-06
e8dd77653,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567287,0.547619,0.529633,0.513118,0.497894,0.483809,0.470736,0.458565,0.447202,0.43657,0.426596,0.417234,0.408634,0.400692,0.393329,0.386473,0.380069,0.374068,0.368432,0.36313,0.35813,0.353405,0.348932,0.344689,0.340658,0.336822,0.333167,0.329679,0.326338,0.32313,0.320048,0.317084,0.314232,0.311488,0.308843,0.306295,0.303838,0.301468,0.299179,0.296966,0.294827,0.292759,0.29076,0.288827,0.286959,0.285153,0.283409,0.281724,0.280095,0.278523,0.277006,0.275544,0.274118,0.272718,0.271343,0.269991,0.268663,0.267357,0.266071,0.264805,0.263557,0.262326,0.261113,0.259916,0.258737,0.257574,0.256426,0.255294,0.254177,0.253074,0.251986,0.250912,0.249851,0.248805,0.247771,0.24675,0.245741,0.244745,0.243761,0.242791,0.241832,0.240887,0.239953,0.239031,0.23812,0.237221,0.236332,0.235455,0.234588,0.233733,0.232889,0.232055,0.231232,0.230418,0.229616,0.228822,0.228038,0.227264,0.226499,0.225745,0.224999,0.224263,0.223536,0.222818,0.222108,0.221407,0.220715,0.220031,0.219354,0.218687,0.218027,0.217376,0.216733,0.216098,0.21547,0.21485,0.214236,0.213631
e8dd77653,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,44.0716,44.6459,45.1963,45.7208,46.2195,46.6933,47.1439,47.5733,47.9836,48.3769,48.5179,48.6487,48.7708,48.8858,48.9949,49.0994,49.2004,49.2989,49.3959,49.4921,49.5601,49.6288,49.6988,49.7869,50.0813,50.3846,50.6961,51.0156,51.3424,51.6763,51.8873,52.1037,52.3252,52.5513,52.7817,53.0161,53.2542,53.4956,53.7399,53.987,54.383,54.7814,55.182,55.5848,55.9897,56.3964,56.8049,57.215,57.6265,58.0392,58.4846,58.9308,59.3775,59.8247,60.2723,60.72,61.1677,61.6152,62.0622,62.5086,62.9383,63.3664,63.7925,64.2165,64.6081,64.9789,65.3476,65.7145,66.0797,66.4433,66.9316,67.418,67.903,68.3865,68.8687,69.3497,69.8297,70.3087,70.7869,71.2642,71.7408,72.2168,72.6922,73.1669,73.6412,74.115,74.5884,75.0614,75.534,76.0063,76.3797,76.7539,77.1287,77.504,77.8797,78.2558,78.6322,79.0088,79.3855,79.7623,80.0411,80.3209,80.6016,80.883,81.1649,81.4474,81.7302,82.0133,82.2967,82.5803,82.7661,82.953,83.1407,83.3291,83.5181,83.7076,83.8975,84.0876,84.278,84.4686,84.5616,84.6557,84.7505,84.846,84.9421,85.0386,85.1354,85.2326,85.33,85.4275
e8dd77653,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
e8dd77653,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,3.87824,1.67825,-0.521736,-2.72172,-4.92171,-7.1217,-9.1912,-9.63595,-10.038,-10.3988,-10.7195,-11.0013,-11.2451,-11.4956,-11.7073,-11.8807,-12.0162,-12.1146,-12.1759,-12.2008,-12.1893,-12.1418,-12.0584,-12.0749,-12.0533,-11.9931,-11.8933,-11.7532,-11.5718,-11.3483,-11.0815,-10.7704,-10.4137,-10.0872,-9.71034,-9.28106,-8.79718,-8.25627,-7.6556,-6.99221,-6.26278,-5.46351,-4.59023,-3.69683,-2.71783,-1.64672,-0.476258,-5.61736e-06,-1.171e-07,-1.05828e-07,-9.649e-08,-8.81203e-08,1.76464e-07,-9.17604e-08,-8.34923e-08,-7.66828e-08,-7.06133e-08,-6.43532e-08,-5.93648e-08,-5.39009e-08,-4.93161e-08,4.33371e-05,-9.38749e-06,-4.77209e-06,-3.2226e-06,-2.44352e-06,-1.97405e-06,-1.66005e-06,-1.43522e-06,-1.26634e-06,-1.13487e-06,-1.02969e-06,-9.43695e-07,-8.69522e-07,-8.07326e-07,-7.54492e-07,-7.09112e-07,-6.69776e-07,-6.35414e-07,-6.05197e-07,-5.7848e-07,-5.54747e-07,-5.33589e-07,-5.1393e-07,-4.96368e-07,-4.80657e-07,-4.66592e-07,-4.54007e-07,-4.42766e-07,-4.32755e-07,-4.23886e-07,-4.16087e-07,-4.09302e-07,-4.03101e-07,-3.97884e-07,-3.93635e-07,-3.90356e-07,-3.88067e-07,-3.86807e-07,-3.8664e-07,-3.87662e-07,-3.90004e-07,-3.93852e-07,-3.99122e-07,-4.06496e-07,-4.16478e-07,-4.29813e-07,-4.47644e-07,-4.71825e-07,-5.056e-07,-5.55265e-07,-6.35202e-07,-7.88807e-07
e8dd77653,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),1.19182e-33,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.195454,0.219898,0.244627,0.269577,0.294692,0.319925,0.345236,0.370588,0.395949,0.421291,0.44659,0.471857,0.497097,0.52229,0.545197,0.54056,0.535787,0.530866,0.525784,0.520535,0.515115,0.510636,0.505936,0.501012,0.495865,0.490495,0.484904,0.479094,0.473069,0.466832,0.460387,0.455051,0.449438,0.443549,0.437386,0.430953,0.424252,0.417286,0.410059,0.402572,0.394828,0.387603,0.380076,0.372244,0.364107,0.355663,0.34691,0.337844,0.328462,0.318758,0.308726,0.298879,0.288642,0.278006,0.266956,0.261772,0.260435,0.259122,0.257831,0.256562,0.255315,0.254087,0.252878,0.251686,0.250511,0.249352,0.24821,0.247084,0.245973,0.244877,0.243796,0.242729,0.241676,0.240637,0.239611,0.238598,0.237599,0.236611,0.235636,0.234673,0.233722,0.232782,0.231856,0.23094,0.230037,0.229146,0.228265,0.227396,0.226536,0.225688,0.22485,0.224023,0.223206,0.222399,0.221603,0.220817,0.220041,0.219274,0.218516,0.217768,0.217028,0.216298,0.215577,0.214866,0.214162,0.213468,0.212782,0.212105,0.211435,0.210774,0.210121,0.209475,0.208837,0.208208,0.207586,0.206971,0.206365,0.205765,0.205173,0.204587,0.204009
