ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
f205fd0f8,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.9882,25.68,25.3803,24.9422,24.5142,24.0945,23.6817,23.2748,22.8731,22.476,22.0831,21.6941,21.3088,20.8809,20.4566,20.0361,19.6195,19.2067,18.7979,18.393,17.9922,17.5955,17.2029,16.726,16.2559,15.7927,15.3368,14.888,14.4465,14.0124,13.5856,13.1664,12.7547,12.3168,11.8828,11.4532,11.0284,10.6086,10.1942,9.78538,9.38261,8.98604,8.59592,8.16082,7.73152,7.30854,6.89224,6.48305,6.0814,5.68763,5.3021,4.92524,4.55731,4.14141,3.73495,3.33858,2.95271,2.57783,2.2144,1.86309,1.52419,1.19823,0.885743,0.534738,0.196592,-0.128073,-0.438413,-0.733503,-1.01261,-1.27473,-1.51912,-1.74477,-1.95088,-2.13631,-2.30022,-2.44143,-2.55886,-2.65151,-2.71802,-2.75733,-2.76794,-2.74866,-2.69786,-2.52436,-2.31732,-2.07571,-1.79799,-1.48289,-1.12883,-0.73401,-0.296739,-0.000240504,-6.49323e-05,-3.50388e-05,-2.39813e-05,-1.8232e-05,-1.47141e-05,-1.23441e-05,-1.0642e-05,-9.36233e-06,-8.36732e-06,-7.57295e-06,-6.92534e-06,-6.33691e-06,-5.85119e-06,-5.44457e-06,-5.10022e-06,-4.80577e-06,-4.55206e-06,-4.33212e-06,-4.14056e-06,-3.97317e-06,-3.82659e-06,-3.68479e-06,-3.56134e-06,-3.45408e-06,-3.36133e-06,-3.28172e-06,-3.21421e-06,-3.15806e-06,-3.11269e-06,-3.07781e-06,-3.05327e-06
f205fd0f8,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.31659,1.33764,1.35846,1.37891,1.39901,1.41877,1.43819,1.45727,1.47603,1.49446,1.51257,1.53036,1.54783,1.56495,1.58173,1.59816,1.61424,1.62999,1.64541,1.66049,1.67524,1.68967,1.70378,1.71749,1.73082,1.74377,1.75635,1.76856,1.7804,1.79189,1.80303,1.81383,1.82429,1.83439,1.84413,1.85352,1.86257,1.87127,1.87963,1.88765,1.89534,1.90271,1.90976,1.91645,1.92279,1.92879,1.93444,1.93975,1.94474,1.9494,1.95375,1.95779,1.96153,1.96492,1.96799,1.97072,1.97314,1.97526,1.97707,1.9786,1.97985,1.98083,1.98156,1.982,1.98216,1.98206,1.9817,1.98109,1.98026,1.97922,1.97797,1.97654,1.97494,1.97319,1.9713,1.9693,1.9672,1.96503,1.9628,1.96054,1.95827,1.95602,1.9538,1.95173,1.94983,1.94813,1.94666,1.94544,1.94452,1.94391,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367,1.94367
f205fd0f8,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0213103,0.0210576,0.0208118,0.0204526,0.0201017,0.0197575,0.019419,0.0190854,0.0187559,0.0184303,0.0181081,0.0177892,0.0174733,0.0171223,0.0167744,0.0164296,0.016088,0.0157495,0.0154142,0.0150823,0.0147536,0.0144283,0.0141064,0.0137153,0.0133298,0.0129501,0.0125761,0.0122081,0.0118461,0.0114901,0.0111402,0.0107965,0.0104589,0.0100998,0.00974393,0.00939165,0.0090433,0.00869902,0.00835922,0.00802401,0.00769374,0.00736855,0.00704866,0.00669187,0.00633985,0.005993,0.00565164,0.0053161,0.00498675,0.00466386,0.00434772,0.0040387,0.003737,0.00339595,0.00306266,0.00273764,0.00242122,0.00211382,0.00181581,0.00152773,0.00124984,0.000982552,0.000726309,0.000438485,0.000161206,-0.00010502,-0.000359498,-0.000601473,-0.000830343,-0.00104528,-0.00124568,-0.00143071,-0.00159972,-0.00175177,-0.00188618,-0.00200197,-0.00209826,-0.00217424,-0.00222878,-0.00226101,-0.00226971,-0.0022539,-0.00221225,-0.00206997,-0.00190021,-0.00170208,-0.00147435,-0.00121597,-0.000925643,-0.000601888,-0.000243326,-1.97213e-07,-5.32445e-08,-2.87318e-08,-1.96647e-08,-1.49502e-08,-1.20656e-08,-1.01222e-08,-8.72648e-09,-7.67711e-09,-6.86121e-09,-6.20982e-09,-5.67878e-09,-5.19627e-09,-4.79797e-09,-4.46455e-09,-4.18218e-09,-3.94073e-09,-3.73269e-09,-3.55234e-09,-3.39526e-09,-3.258e-09,-3.13781e-09,-3.02153e-09,-2.9203e-09,-2.83235e-09,-2.75629e-09,-2.69101e-09,-2.63565e-09,-2.58961e-09,-2.55241e-09,-2.5238e-09,-2.50368e-09
f205fd0f8,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
f205fd0f8,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),-5.00035e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.735,294.415,319.795,344.737,369.251,393.346,417.028,440.302,463.175,485.651,507.735,529.429,550.738,571.618,592.075,612.111,631.731,650.937,669.735,688.128,706.12,723.716,740.919,757.645,773.901,789.693,805.03,819.918,834.365,848.377,861.963,875.129,887.884,900.201,912.083,923.537,934.565,945.174,955.368,965.153,974.536,983.522,992.118,1000.28,1008.01,1015.32,1022.21,1028.69,1034.78,1040.46,1045.77,1050.69,1055.25,1059.39,1063.12,1066.46,1069.42,1071.99,1074.21,1076.07,1077.59,1078.79,1079.68,1080.21,1080.41,1080.28,1079.84,1079.11,1078.1,1076.82,1075.3,1073.56,1071.61,1069.47,1067.17,1064.73,1062.17,1059.52,1056.8,1054.04,1051.28,1048.53,1045.83,1043.31,1040.99,1038.91,1037.11,1035.63,1034.5,1033.77,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47,1033.47
f205fd0f8,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.701084,0.670995,0.645056,0.622315,0.602215,0.584249,0.568037,0.553291,0.539789,0.527351,0.515835,0.505126,0.495126,0.485748,0.476929,0.468614,0.460754,0.453306,0.446233,0.439503,0.433089,0.426964,0.421107,0.415497,0.410124,0.404973,0.400028,0.395276,0.390704,0.3863,0.382055,0.377959,0.374004,0.370172,0.366451,0.362835,0.359321,0.355902,0.352577,0.349339,0.346187,0.343117,0.340125,0.337205,0.334352,0.331567,0.328845,0.326184,0.323584,0.321042,0.318556,0.316124,0.313746,0.311416,0.309135,0.306901,0.304713,0.302569,0.300469,0.298411,0.296395,0.294418,0.292481,0.290579,0.28871,0.286873,0.285067,0.283293,0.281548,0.279835,0.278151,0.276497,0.27487,0.273273,0.271703,0.270161,0.268647,0.267158,0.265697,0.264261,0.262852,0.261467,0.260108,0.258776,0.257472,0.256194,0.254944,0.253719,0.252519,0.251346,0.250197,0.24907,0.247961,0.24687,0.245796,0.244739,0.243698,0.242674,0.241665,0.240672,0.239694,0.238729,0.237779,0.236843,0.235922,0.235014,0.23412,0.233239,0.232371,0.231515,0.230672,0.22984,0.22902,0.228211,0.227414,0.226629,0.225855,0.225092,0.22434,0.223598,0.222866,0.222143,0.221431
f205fd0f8,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,44.0985,44.688,45.2332,45.7275,46.169,46.5587,46.8991,47.2074,47.7144,48.2158,48.4681,48.7176,48.9648,49.2105,49.4549,49.6985,49.9417,50.1847,50.4277,50.671,50.8804,51.0901,51.3002,51.5108,51.7221,51.9342,52.1472,52.3612,52.5761,52.7922,52.8765,52.9621,53.0489,53.1371,53.2268,53.318,53.4108,53.5052,53.6013,53.699,53.9452,54.1917,54.4386,54.6862,54.9347,55.1841,55.4347,55.6865,55.9396,56.1942,56.4798,56.7664,57.054,57.3428,57.6331,57.9248,58.2182,58.5134,58.8103,59.1092,59.3939,59.6802,59.9682,60.2581,60.5498,60.8437,61.1397,61.4379,61.7384,62.0413,62.4586,62.8777,63.2988,63.7221,64.1477,64.5757,65.0062,65.4394,65.8752,66.3137,66.755,67.1991,67.6461,68.096,68.5487,69.0044,69.4629,69.9243,70.3886,70.8557,71.2387,71.625,72.0144,72.4067,72.8017,73.199,73.5984,73.9998,74.3908,74.7615,75.0388,75.3167,75.5951,75.8738,76.1528,76.432,76.7113,76.9906,77.27,77.5492,77.7355,77.9225,78.1101,78.2981,78.4864,78.675,78.8637,79.0526,79.2415,79.4304,79.5266,79.6235,79.7209,79.8188,79.9171,80.0156,80.1144,80.2132,80.3122,80.4112
f205fd0f8,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
f205fd0f8,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.9882,25.68,25.3803,24.9422,24.5142,24.0945,23.6817,23.2748,22.8731,22.476,22.0831,21.6941,21.3088,20.8809,20.4566,20.0361,19.6195,19.2067,18.7979,18.393,17.9922,17.5955,17.2029,16.726,16.2559,15.7927,15.3368,14.888,14.4465,14.0124,13.5856,13.1664,12.7547,12.3168,11.8828,11.4532,11.0284,10.6086,10.1942,9.78538,9.38261,8.98604,8.59592,8.16082,7.73152,7.30854,6.89224,6.48305,6.0814,5.68763,5.3021,4.92524,4.55731,4.14141,3.73495,3.33858,2.95271,2.57783,2.2144,1.86309,1.52419,1.19823,0.885743,0.534738,0.196592,-0.128073,-0.438413,-0.733503,-1.01261,-1.27473,-1.51912,-1.74477,-1.95088,-2.13631,-2.30022,-2.44143,-2.55886,-2.65151,-2.71802,-2.75733,-2.76794,-2.74866,-2.69786,-2.52436,-2.31732,-2.07571,-1.79799,-1.48289,-1.12883,-0.73401,-0.296739,-0.000240504,-6.49323e-05,-3.50388e-05,-2.39813e-05,-1.8232e-05,-1.47141e-05,-1.23441e-05,-1.0642e-05,-9.36233e-06,-8.36732e-06,-7.57295e-06,-6.92534e-06,-6.33691e-06,-5.85119e-06,-5.44457e-06,-5.10022e-06,-4.80577e-06,-4.55206e-06,-4.33212e-06,-4.14056e-06,-3.97317e-06,-3.82659e-06,-3.68479e-06,-3.56134e-06,-3.45408e-06,-3.36133e-06,-3.28172e-06,-3.21421e-06,-3.15806e-06,-3.11269e-06,-3.07781e-06,-3.05327e-06
f205fd0f8,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,1,0.82 delta_degC/(TtCO2),4.33015e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.364952,0.369099,0.373656,0.378976,0.38452,0.390223,0.396034,0.401915,0.407832,0.413761,0.41968,0.42557,0.431419,0.438072,0.444652,0.451149,0.457553,0.463854,0.470044,0.476118,0.48207,0.487894,0.493589,0.500298,0.506869,0.513294,0.519568,0.525687,0.531645,0.53744,0.543069,0.54853,0.553821,0.560603,0.567199,0.573603,0.57981,0.585813,0.591609,0.597193,0.602562,0.607713,0.612645,0.618656,0.624436,0.629978,0.635277,0.640328,0.645127,0.64967,0.653954,0.657976,0.661735,0.666456,0.670899,0.675059,0.678929,0.682505,0.685781,0.688755,0.69142,0.693775,0.695815,0.698633,0.701111,0.703245,0.705026,0.706448,0.707505,0.70819,0.708497,0.708421,0.707955,0.707093,0.705829,0.704158,0.702072,0.699566,0.696633,0.693266,0.689458,0.685202,0.680489,0.673861,0.666816,0.659352,0.651466,0.643154,0.634411,0.625231,0.615608,0.608325,0.605614,0.602948,0.600325,0.597743,0.595202,0.592701,0.590236,0.587811,0.585421,0.583065,0.580745,0.578459,0.576209,0.573993,0.571808,0.569657,0.567536,0.565446,0.563386,0.561354,0.559352,0.557376,0.55543,0.553512,0.551621,0.549757,0.547921,0.546108,0.544321,0.542556,0.540817
