ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
f34d77463,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.8781,34.6781,32.4781,30.2781,28.0781,26.166,25.8169,25.4738,24.9887,24.512,24.0419,23.5771,23.1167,22.6602,22.2068,21.7564,21.3086,20.8632,20.373,19.8851,19.3996,18.9167,18.4362,17.9585,17.4835,17.0113,16.5421,16.0758,15.5239,14.9776,14.4373,13.9029,13.3748,12.8529,12.3374,11.8284,11.3259,10.83,10.2983,9.76906,9.24247,8.71905,8.199,7.68284,7.17072,6.66307,6.16011,5.66209,5.11202,4.5658,4.02397,3.48689,2.955,2.42875,1.9085,1.39461,0.887528,0.38751,-0.166407,-0.713042,-1.25175,-1.78211,-2.30364,-2.81586,-3.31811,-3.81005,-4.29119,-4.76098,-5.28635,-5.80177,-6.30665,-6.80011,-7.28124,-7.74928,-8.2032,-8.64224,-9.06536,-9.47171,-9.86011,-10.2297,-10.5791,-10.9074,-11.2133,-11.4954,-11.7526,-11.9832,-12.1859,-12.359,-12.3867,-12.3818,-12.343,-12.2686,-12.1572,-12.0069,-11.8157,-11.5818,-11.3027,-10.976,-10.4921,-9.95746,-9.36964,-8.72567,-8.0225,-7.25672,-6.42417,-5.52087,-4.54188,-3.48173,-2.24539,-0.92045,-0.00194314,-0.000509468,-0.000297706,-0.000212714,-0.000166997,-0.000138525,-0.000119156,-0.000105181,-9.41168e-05,-8.56384e-05,-7.89784e-05,-7.36509e-05,-6.93338e-05,-6.58063e-05,-6.29137e-05,-6.05442e-05,-5.86173e-05,-5.70727e-05
f34d77463,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),1.09622,1.11356,1.12997,1.14546,1.16003,1.17367,1.18638,1.19818,1.20917,1.22001,1.23071,1.2412,1.2515,1.2616,1.2715,1.28121,1.29073,1.30005,1.30919,1.31814,1.3269,1.33546,1.34381,1.35196,1.3599,1.36765,1.37519,1.38253,1.38968,1.39663,1.40338,1.4099,1.41619,1.42225,1.42809,1.43371,1.43911,1.44429,1.44926,1.45401,1.45856,1.46289,1.46699,1.47087,1.47453,1.47798,1.4812,1.48422,1.48701,1.4896,1.49198,1.49413,1.49604,1.49773,1.4992,1.50044,1.50146,1.50226,1.50285,1.50322,1.50338,1.50331,1.50301,1.50249,1.50174,1.50077,1.49959,1.4982,1.49659,1.49479,1.49279,1.49057,1.48814,1.48549,1.48263,1.47957,1.47632,1.47287,1.46924,1.46544,1.46146,1.45732,1.45302,1.44858,1.444,1.43929,1.43446,1.42952,1.42449,1.41937,1.41418,1.40898,1.40378,1.39859,1.39344,1.38833,1.38329,1.37833,1.37346,1.36872,1.36411,1.3597,1.35552,1.35158,1.34792,1.34455,1.3415,1.3388,1.33648,1.33458,1.33311,1.33217,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178,1.33178
f34d77463,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),0,0.0173368,0.0164128,0.0154888,0.0145648,0.0136408,0.0127168,0.0117928,0.0109897,0.0108431,0.010699,0.0104952,0.010295,0.0100976,0.00990238,0.00970903,0.00951727,0.00932687,0.00913769,0.00894962,0.00876256,0.00855666,0.00835175,0.00814785,0.007945,0.00774322,0.00754255,0.00734306,0.00714475,0.00694767,0.00675185,0.00652002,0.0062906,0.00606365,0.00583924,0.00561741,0.00539823,0.00518172,0.00496792,0.00475688,0.00454859,0.0043253,0.004103,0.00388184,0.003662,0.00344358,0.00322679,0.0030117,0.00279849,0.00258725,0.00237808,0.00214705,0.00191764,0.00169007,0.00146449,0.0012411,0.00102008,0.000801571,0.000585736,0.000372762,0.000162754,-6.9891e-05,-0.000299478,-0.000525733,-0.000748488,-0.00096753,-0.00118266,-0.0013936,-0.00160022,-0.0018023,-0.00199961,-0.00222027,-0.00243674,-0.00264879,-0.00285605,-0.00305812,-0.0032547,-0.00344534,-0.00362974,-0.00380745,-0.00397812,-0.00414125,-0.00429646,-0.00444324,-0.00458109,-0.00470958,-0.00482807,-0.00493609,-0.00503295,-0.0051181,-0.00519078,-0.00520243,-0.00520037,-0.00518407,-0.00515282,-0.00510601,-0.00504289,-0.00496261,-0.00486436,-0.00474712,-0.0046099,-0.00440666,-0.00418213,-0.00393525,-0.00366478,-0.00336945,-0.00304782,-0.00269815,-0.00231876,-0.00190759,-0.00146233,-0.000943064,-0.000386589,-8.1612e-07,-2.13976e-07,-1.25037e-07,-8.93397e-08,-7.01386e-08,-5.81805e-08,-5.00454e-08,-4.41761e-08,-3.9529e-08,-3.59681e-08,-3.31709e-08,-3.09334e-08,-2.91202e-08,-2.76387e-08,-2.64238e-08,-2.54285e-08,-2.46193e-08,-2.39705e-08
f34d77463,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
f34d77463,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),-5.00044e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.912,294.729,320.203,345.192,369.704,393.746,417.323,440.439,463.1,485.306,507.063,528.371,549.235,569.608,589.493,608.892,627.809,646.245,664.204,681.687,698.699,715.241,731.317,746.84,761.818,776.255,790.158,803.533,816.386,828.723,840.552,851.878,862.708,873.006,882.775,892.017,900.737,908.936,916.618,923.789,930.452,936.612,942.274,947.386,951.952,955.976,959.463,962.418,964.847,966.755,968.15,969.037,969.425,969.259,968.546,967.294,965.512,963.208,960.392,957.074,953.264,948.973,944.212,938.925,933.124,926.817,920.017,912.736,904.986,896.783,888.141,879.076,869.604,859.744,849.514,838.935,828.028,816.814,805.319,793.566,781.583,769.397,757.038,744.651,732.27,719.927,707.658,695.501,683.494,671.678,660.096,648.794,637.818,627.326,617.368,607.999,599.273,591.25,583.994,577.57,572.049,567.507,564.025,561.78,560.859,560.857,560.857,560.856,560.856,560.856,560.856,560.856,560.856,560.856,560.856,560.855,560.855,560.855,560.855,560.855,560.855,560.855,560.855
f34d77463,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.701342,0.671371,0.645464,0.622701,0.602548,0.584505,0.568204,0.55336,0.539755,0.527212,0.51559,0.504775,0.49467,0.485188,0.476267,0.467852,0.459894,0.45235,0.445184,0.438363,0.431859,0.425648,0.419706,0.414013,0.40856,0.403331,0.398309,0.393482,0.388837,0.384362,0.380047,0.375883,0.371861,0.367962,0.364176,0.360496,0.35692,0.353439,0.350054,0.346756,0.343546,0.340418,0.33737,0.334393,0.331486,0.328646,0.32587,0.323157,0.320504,0.31791,0.315373,0.312891,0.310462,0.308083,0.305753,0.303471,0.301234,0.299043,0.296895,0.29479,0.292727,0.290704,0.288721,0.286772,0.284857,0.282974,0.281123,0.279303,0.277513,0.275754,0.274024,0.272324,0.270652,0.269009,0.267394,0.265806,0.264246,0.262712,0.261205,0.259723,0.258267,0.256837,0.255431,0.254053,0.252702,0.251377,0.25008,0.248808,0.247562,0.24634,0.245144,0.243972,0.242824,0.241703,0.240607,0.239537,0.238492,0.237472,0.236476,0.235505,0.234558,0.233635,0.232737,0.231864,0.231017,0.23019,0.229375,0.228571,0.227778,0.226995,0.226223,0.22546,0.224708,0.223965,0.223232,0.222509,0.221796,0.221092,0.220398,0.219712,0.219036,0.218367,0.217707
f34d77463,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,44.1048,44.7139,45.3004,45.8618,46.398,46.9095,47.3977,47.8785,48.4246,48.9657,49.2516,49.5345,49.815,50.0936,50.3708,50.6469,50.9224,51.1974,51.4723,51.7472,51.9882,52.2292,52.4704,52.7119,52.9538,53.1963,53.4394,53.6833,53.9279,54.1733,54.2828,54.393,54.504,54.616,54.729,54.843,54.9582,55.0745,55.1921,55.3109,55.5866,55.8624,56.1384,56.4148,56.6917,56.9694,57.2478,57.5271,57.8073,58.0886,58.4038,58.7194,59.0358,59.353,59.6711,59.9903,60.3107,60.6323,60.9553,61.2796,61.5898,61.9009,62.2132,62.5267,62.8416,63.1579,63.4757,63.7951,64.1162,64.4389,64.8828,65.328,65.7746,66.2228,66.6725,67.124,67.5773,68.0325,68.4896,68.9488,69.41,69.8733,70.3387,70.8063,71.2761,71.7481,72.2222,72.6987,73.1773,73.6581,74.0489,74.4425,74.839,75.2379,75.6393,76.0429,76.4485,76.8561,77.2655,77.6765,77.9961,78.3177,78.641,78.9656,79.2914,79.618,79.9452,80.2727,80.6004,80.9278,81.161,81.3938,81.6143,81.8115,82.0084,82.205,82.4012,82.5971,82.7926,82.9877,83.0865,83.1856,83.2851,83.3848,83.4847,83.5846,83.6845,83.7844,83.8843,83.984
f34d77463,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
f34d77463,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),43.478,41.278,39.078,36.8781,34.6781,32.4781,30.2781,28.0781,26.166,25.8169,25.4738,24.9887,24.512,24.0419,23.5771,23.1167,22.6602,22.2068,21.7564,21.3086,20.8632,20.373,19.8851,19.3996,18.9167,18.4362,17.9585,17.4835,17.0113,16.5421,16.0758,15.5239,14.9776,14.4373,13.9029,13.3748,12.8529,12.3374,11.8284,11.3259,10.83,10.2983,9.76906,9.24247,8.71905,8.199,7.68284,7.17072,6.66307,6.16011,5.66209,5.11202,4.5658,4.02397,3.48689,2.955,2.42875,1.9085,1.39461,0.887528,0.38751,-0.166407,-0.713042,-1.25175,-1.78211,-2.30364,-2.81586,-3.31811,-3.81005,-4.29119,-4.76098,-5.28635,-5.80177,-6.30665,-6.80011,-7.28124,-7.74928,-8.2032,-8.64224,-9.06536,-9.47171,-9.86011,-10.2297,-10.5791,-10.9074,-11.2133,-11.4954,-11.7526,-11.9832,-12.1859,-12.359,-12.3867,-12.3818,-12.343,-12.2686,-12.1572,-12.0069,-11.8157,-11.5818,-11.3027,-10.976,-10.4921,-9.95746,-9.36964,-8.72567,-8.0225,-7.25672,-6.42417,-5.52087,-4.54188,-3.48173,-2.24539,-0.92045,-0.00194314,-0.000509468,-0.000297706,-0.000212714,-0.000166997,-0.000138525,-0.000119156,-0.000105181,-9.41168e-05,-8.56384e-05,-7.89784e-05,-7.36509e-05,-6.93338e-05,-6.58063e-05,-6.29137e-05,-6.05442e-05,-5.86173e-05,-5.70727e-05
f34d77463,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0197889,1,0.42 delta_degC/(TtCO2),8.81854e-34,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.140479,0.142698,0.145058,0.147716,0.150456,0.153252,0.156089,0.158952,0.161829,0.164711,0.16759,0.17046,0.173314,0.176503,0.179669,0.182807,0.185912,0.188982,0.192013,0.195002,0.197945,0.200842,0.203691,0.206984,0.210229,0.213423,0.216563,0.219648,0.222675,0.225642,0.228547,0.23139,0.23417,0.237589,0.24094,0.244222,0.247431,0.250564,0.253619,0.256594,0.259487,0.262297,0.265022,0.268233,0.271356,0.27439,0.277332,0.280179,0.28293,0.285581,0.288132,0.29058,0.292925,0.295721,0.298411,0.300992,0.30346,0.305814,0.30805,0.310166,0.312161,0.314032,0.315776,0.317887,0.319864,0.321703,0.3234,0.324953,0.326356,0.327608,0.328704,0.329641,0.330415,0.331022,0.33146,0.331724,0.331809,0.331713,0.33143,0.330956,0.330286,0.329416,0.32834,0.326336,0.324138,0.321743,0.319147,0.316346,0.313336,0.310112,0.306669,0.303001,0.299102,0.294359,0.289399,0.284216,0.278806,0.273161,0.267274,0.261138,0.254742,0.248079,0.241137,0.233438,0.225471,0.219833,0.219047,0.218278,0.21752,0.216772,0.216034,0.215306,0.214588,0.213878,0.213178,0.212488,0.211807,0.211135,0.210472,0.209817,0.209171,0.208532,0.207902
