ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
f5a47e8e4,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,29.1012,28.8728,28.6422,28.4067,28.0062,27.604,27.1986,26.7891,26.3746,25.9543,25.5277,25.0942,24.6533,24.2045,23.7023,23.1916,22.6724,22.1442,21.6068,21.0597,20.5029,19.9358,19.358,18.7693,18.0786,17.3795,16.6719,15.9554,15.2298,14.4947,13.7498,12.9946,12.2289,11.4521,10.6222,9.77327,8.90474,8.01637,7.10752,6.17788,5.2267,4.25353,3.25761,2.23821,1.13035,-0.00582045,-1.17095,-2.36593,-3.59164,-4.84899,-6.13908,-7.46308,-8.82214,-10.2177,-11.7207,-13.2648,-14.8512,-16.4817,-18.1581,-19.8825,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.35369e-06,-1.41852e-06,-1.18647e-06,-1.08032e-06,-1.0217e-06,-9.86719e-07,-9.65399e-07,-9.52727e-07,-9.45901e-07,-9.43186e-07,-9.37422e-07,-9.34294e-07,-9.33171e-07,-9.33577e-07,-9.35181e-07,-9.37721e-07,-9.40991e-07,-9.44841e-07,-9.4914e-07,-9.53792e-07,-9.54367e-07,-9.55368e-07,-9.56739e-07,-9.58436e-07,-9.6043e-07,-9.62704e-07,-9.65232e-07,-9.6802e-07,-9.71064e-07,-9.74367e-07,-9.74601e-07,-9.75272e-07,-9.76402e-07,-9.78016e-07,-9.8014e-07,-9.8281e-07,-9.8607e-07,-9.89967e-07,-9.94556e-07,-9.99899e-07,-1.00334e-06,-1.00775e-06,-1.01325e-06,-1.01992e-06,-1.02789e-06,-1.0373e-06,-1.04832e-06,-1.06115e-06,-1.07602e-06,-1.09322e-06
f5a47e8e4,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29612,1.31979,1.34328,1.36657,1.38954,1.41217,1.43447,1.45644,1.47807,1.49935,1.52028,1.54086,1.56108,1.58092,1.60036,1.61938,1.63797,1.65613,1.67384,1.69111,1.70793,1.72427,1.74015,1.75554,1.77036,1.78461,1.79828,1.81137,1.82386,1.83574,1.84702,1.85767,1.8677,1.87709,1.8858,1.89381,1.90112,1.90769,1.91352,1.91858,1.92287,1.92636,1.92903,1.93086,1.93179,1.93179,1.93083,1.92889,1.92594,1.92196,1.91693,1.91081,1.90358,1.8952,1.88559,1.87471,1.86253,1.84902,1.83413,1.81782,1.80142,1.78502,1.76862,1.75222,1.73582,1.71942,1.70302,1.68662,1.67022,1.65382,1.63742,1.62102,1.60462,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822,1.58822
f5a47e8e4,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023863,0.0236757,0.0234866,0.0232935,0.0229651,0.0226352,0.0223029,0.0219671,0.0216271,0.0212825,0.0209327,0.0205772,0.0202157,0.0198477,0.0194358,0.0190171,0.0185914,0.0181582,0.0177175,0.017269,0.0168124,0.0163473,0.0158736,0.0153908,0.0148244,0.0142512,0.013671,0.0130835,0.0124884,0.0118857,0.0112748,0.0106556,0.0100277,0.00939075,0.00871024,0.00801408,0.00730188,0.00657342,0.00582817,0.00506586,0.0042859,0.00348789,0.00267124,0.00183533,0.000926886,-4.77277e-06,-0.000960178,-0.00194006,-0.00294514,-0.00397617,-0.00503405,-0.00611973,-0.00723415,-0.00837851,-0.00961101,-0.0108771,-0.012178,-0.013515,-0.0148897,-0.0163037,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-1.93002e-09,-1.16319e-09,-9.72906e-10,-8.85863e-10,-8.37796e-10,-8.0911e-10,-7.91627e-10,-7.81236e-10,-7.75639e-10,-7.73413e-10,-7.68686e-10,-7.66121e-10,-7.652e-10,-7.65533e-10,-7.66848e-10,-7.68931e-10,-7.71613e-10,-7.7477e-10,-7.78295e-10,-7.8211e-10,-7.82581e-10,-7.83402e-10,-7.84526e-10,-7.85917e-10,-7.87553e-10,-7.89417e-10,-7.9149e-10,-7.93776e-10,-7.96273e-10,-7.98981e-10,-7.99173e-10,-7.99723e-10,-8.00649e-10,-8.01973e-10,-8.03715e-10,-8.05904e-10,-8.08578e-10,-8.11773e-10,-8.15536e-10,-8.19917e-10,-8.22735e-10,-8.26358e-10,-8.30861e-10,-8.36331e-10,-8.42867e-10,-8.50583e-10,-8.59622e-10,-8.70142e-10,-8.82338e-10,-8.96437e-10
f5a47e8e4,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
f5a47e8e4,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.82 delta_degC/(TtCO2),-5.00097e-09,41.278,80.3561,117.234,151.912,184.39,214.668,243.77,272.642,301.285,329.691,357.697,385.301,412.5,439.289,465.664,491.618,517.146,542.24,566.893,591.098,614.8,637.992,660.664,682.808,704.415,725.475,745.978,765.913,785.271,804.041,822.119,839.499,856.171,872.126,887.356,901.85,915.6,928.595,940.824,952.276,962.898,972.671,981.576,989.593,996.7,1002.88,1008.1,1012.36,1015.62,1017.85,1018.98,1018.98,1017.81,1015.44,1011.85,1007,1000.86,993.399,984.577,974.359,962.638,949.374,934.522,918.041,899.883,880,860,840,820,800,780,760,740,720,700,680,660,640,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
f5a47e8e4,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.738586,0.706861,0.679416,0.655292,0.633787,0.614529,0.597118,0.581254,0.566698,0.553266,0.540807,0.529197,0.518335,0.508137,0.498523,0.489438,0.480832,0.472661,0.464885,0.457469,0.450386,0.443607,0.437109,0.430872,0.424875,0.419111,0.413564,0.408221,0.403067,0.39809,0.39328,0.388626,0.384119,0.379751,0.375504,0.371364,0.367326,0.363387,0.35954,0.355785,0.352115,0.348528,0.34502,0.341588,0.338225,0.334926,0.331692,0.328518,0.325403,0.322345,0.319342,0.316393,0.313495,0.310647,0.307845,0.305087,0.302374,0.299703,0.297073,0.294482,0.291978,0.289557,0.287214,0.284946,0.282746,0.28061,0.278533,0.276513,0.274548,0.272634,0.270769,0.268951,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
f5a47e8e4,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.82 delta_degC/(TtCO2),43.478,44.1277,44.7474,45.3235,45.8489,46.3216,46.7423,47.2188,47.7759,48.3268,48.8723,49.1637,49.4516,49.7365,50.0189,50.2991,50.5775,50.8543,51.1298,51.404,51.6772,51.9148,52.1511,52.3862,52.6202,52.8531,53.085,53.3159,53.5457,53.7745,54.0022,54.0929,54.1824,54.2706,54.3578,54.4439,54.5289,54.6128,54.6956,54.7772,54.8576,55.0855,55.3099,55.5309,55.7486,55.9629,56.1739,56.3816,56.5858,56.7865,56.9837,57.205,57.4213,57.6324,57.8382,58.0387,58.2337,58.4229,58.6062,58.7834,58.9541,59.0995,59.2369,59.366,59.4864,59.5978,59.6996,60.051,60.4237,60.7994,61.1777,61.6777,62.1794,62.6828,63.1876,63.6938,64.201,64.7093,65.2185,65.7284,66.239,68.7978,69.3339,69.8651,70.392,70.9148,71.4339,71.9494,72.4618,72.9711,73.4776,73.8847,74.2903,74.6943,75.097,75.4982,75.8981,76.2968,76.6942,77.0904,77.4856,77.7831,78.0804,78.3775,78.6743,78.9708,79.2668,79.5625,79.8577,80.1525,80.4469,80.6444,80.8423,81.0404,81.2387,81.4371,81.6354,81.8338,82.032,82.2301,82.428,82.5294,82.6315,82.734,82.8369,82.94,83.0432,83.1466,83.25,83.3535,83.4568
f5a47e8e4,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
f5a47e8e4,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,29.1012,28.8728,28.6422,28.4067,28.0062,27.604,27.1986,26.7891,26.3746,25.9543,25.5277,25.0942,24.6533,24.2045,23.7023,23.1916,22.6724,22.1442,21.6068,21.0597,20.5029,19.9358,19.358,18.7693,18.0786,17.3795,16.6719,15.9554,15.2298,14.4947,13.7498,12.9946,12.2289,11.4521,10.6222,9.77327,8.90474,8.01637,7.10752,6.17788,5.2267,4.25353,3.25761,2.23821,1.13035,-0.00582045,-1.17095,-2.36593,-3.59164,-4.84899,-6.13908,-7.46308,-8.82214,-10.2177,-11.7207,-13.2648,-14.8512,-16.4817,-18.1581,-19.8825,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.35369e-06,-1.41852e-06,-1.18647e-06,-1.08032e-06,-1.0217e-06,-9.86719e-07,-9.65399e-07,-9.52727e-07,-9.45901e-07,-9.43186e-07,-9.37422e-07,-9.34294e-07,-9.33171e-07,-9.33577e-07,-9.35181e-07,-9.37721e-07,-9.40991e-07,-9.44841e-07,-9.4914e-07,-9.53792e-07,-9.54367e-07,-9.55368e-07,-9.56739e-07,-9.58436e-07,-9.6043e-07,-9.62704e-07,-9.65232e-07,-9.6802e-07,-9.71064e-07,-9.74367e-07,-9.74601e-07,-9.75272e-07,-9.76402e-07,-9.78016e-07,-9.8014e-07,-9.8281e-07,-9.8607e-07,-9.89967e-07,-9.94556e-07,-9.99899e-07,-1.00334e-06,-1.00775e-06,-1.01325e-06,-1.01992e-06,-1.02789e-06,-1.0373e-06,-1.04832e-06,-1.06115e-06,-1.07602e-06,-1.09322e-06
f5a47e8e4,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.82 delta_degC/(TtCO2),3.26486e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.273809,0.278874,0.284367,0.290215,0.296738,0.303538,0.310583,0.31785,0.32532,0.33298,0.340818,0.348828,0.357004,0.365341,0.37457,0.383963,0.39352,0.40324,0.413122,0.42317,0.433384,0.443769,0.454329,0.46507,0.477092,0.489326,0.501776,0.514446,0.527341,0.540469,0.553835,0.567449,0.581319,0.595457,0.611699,0.628272,0.645186,0.662448,0.680071,0.698065,0.716446,0.735226,0.754423,0.774056,0.79585,0.81817,0.841034,0.864465,0.888484,0.913117,0.938391,0.964337,0.990989,1.01838,1.04855,1.07961,1.11161,1.14461,1.17864,1.21378,1.2039,1.19114,1.17878,1.1668,1.1542,1.14197,1.13008,1.11853,1.1073,1.09637,1.08572,1.07536,1.06525,1.0554,0.645075,0.641879,0.638735,0.63564,0.632591,0.629589,0.626632,0.623719,0.620847,0.618017,0.61523,0.612486,0.609782,0.60712,0.604496,0.60191,0.599361,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577992,0.575784,0.573604,0.571453,0.569332,0.56724,0.565179,0.563145,0.561139,0.559161,0.55721,0.555284,0.553384,0.551509,0.549658,0.547831,0.54603,0.544253,0.542499,0.540769,0.539063,0.537377,0.535714,0.534071,0.53245
