ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
fcbc2cdcc,netnegs,global_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,3.87824,1.67825,5.93007e-08,5.86768e-08,5.81965e-08,5.7838e-08,5.75844e-08,5.74223e-08,5.73411e-08,5.73324e-08,5.73892e-08,5.75059e-08,5.76777e-08,5.78296e-08,5.80343e-08,5.82888e-08,5.85903e-08,5.89365e-08,5.93256e-08,5.97559e-08,6.02262e-08,6.07356e-08,6.1283e-08,6.17895e-08,6.23357e-08,6.29211e-08,6.35454e-08,6.42086e-08,6.49105e-08,6.56514e-08,6.64314e-08,6.72509e-08,6.81103e-08,6.89586e-08,6.98488e-08,7.07817e-08,7.17582e-08,7.27792e-08,7.38459e-08,7.49595e-08,7.61213e-08,7.7333e-08,7.85959e-08,7.98658e-08,8.11906e-08,8.25724e-08,8.40133e-08,8.55157e-08,8.70824e-08,8.87161e-08,9.04198e-08,9.21969e-08,9.4051e-08,9.5944e-08,9.79212e-08,9.99869e-08,1.02146e-07,1.04404e-07,1.06767e-07,1.0924e-07,1.11832e-07,1.14548e-07,-4.86999e-16,1.23211e-16,1.27089e-15,-5.51253e-19,6.31423e-16,4.81569e-16,7.16579e-15,-4.96907e-19,-4.70459e-18,-2.44351e-16,-6.76893e-15,-4.42206e-19,1.00363e-15,-1.14119e-15,7.01817e-16,-3.8682e-19,-1.06882e-15,-2.46762e-16,1.18597e-15,-3.318e-19,-1.83602e-15,-1.32189e-14,-2.87287e-15,-2.7684e-19,-2.01137e-15,1.59435e-14,7.19558e-14,-2.22632e-19,1.0833e-15,1.16271e-15,-3.59429e-14,-1.69488e-19,8.66043e-16,-3.39807e-15,5.04664e-14,-1.17551e-19,-2.79512e-14,6.1407e-16,-6.33037e-17,-6.77873e-20,3.26833e-15,-1.58091e-15,-2.15754e-14,-2.02309e-20,-1.81847e-13,-6.41111e-16,-1.30613e-13,3.0923e-13,1.23909e-13,4.57755e-20,9.67349e-14
fcbc2cdcc,netnegs,temperature,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.3165,1.33591,1.35352,1.36933,1.38334,1.39554,1.40593,1.41452,1.42131,1.4263,1.42948,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085,1.43085
fcbc2cdcc,netnegs,temperaturedot,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0212201,0.0194161,0.0176121,0.0158081,0.0140041,0.0122001,0.0103961,0.00859212,0.00678813,0.00498415,0.00318016,0.00137617,4.86267e-11,4.81149e-11,4.77212e-11,4.74272e-11,4.72191e-11,4.70863e-11,4.70197e-11,4.70126e-11,4.7059e-11,4.71549e-11,4.72957e-11,4.74203e-11,4.75881e-11,4.77969e-11,4.8044e-11,4.83278e-11,4.86471e-11,4.89999e-11,4.93854e-11,4.98033e-11,5.02521e-11,5.06674e-11,5.11153e-11,5.15952e-11,5.21072e-11,5.2651e-11,5.32268e-11,5.3834e-11,5.44738e-11,5.51457e-11,5.58505e-11,5.65461e-11,5.7276e-11,5.80411e-11,5.88416e-11,5.96789e-11,6.05538e-11,6.14666e-11,6.24196e-11,6.3413e-11,6.44487e-11,6.549e-11,6.65763e-11,6.77092e-11,6.88909e-11,7.0123e-11,7.14075e-11,7.27471e-11,7.41442e-11,7.56015e-11,7.71218e-11,7.8674e-11,8.02953e-11,8.19893e-11,8.37599e-11,8.56113e-11,8.75489e-11,8.95772e-11,9.1702e-11,9.39295e-11,2.21645e-16,9.47029e-19,1.04213e-18,-4.52321e-22,-2.21527e-16,7.92068e-19,2.27921e-16,-4.0742e-22,-2.22048e-16,-3.23947e-20,2.16494e-16,-3.62555e-22,8.22981e-19,-2.57029e-18,5.7549e-19,-3.16883e-22,-2.22921e-16,5.23675e-19,2.23017e-16,-2.69271e-22,-2.2355e-16,-4.0821e-17,-2.35575e-18,-2.26374e-22,-1.64932e-18,2.12714e-16,5.90038e-17,-1.8727e-22,8.88303e-19,-1.70561e-16,6.12502e-18,-1.3957e-22,7.10155e-19,-1.64855e-16,1.23592e-16,-9.0211e-23,-6.95316e-17,6.0279e-17,-5.19092e-20,-5.59142e-23,2.68003e-18,6.84992e-17,-6.43034e-17,-1.14773e-23,-1.95726e-16,9.17686e-20,-1.81043e-16,1.69455e-15,5.08662e-17,1.43963e-16,-1.27633e-17
fcbc2cdcc,netnegs,smoothed_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fcbc2cdcc,netnegs,cumulative_emissions,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),-5.00085e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.015,377.693,388.172,396.45,402.528,406.406,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085,408.085
fcbc2cdcc,netnegs,learning_factor,Global,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567287,0.547619,0.529633,0.513118,0.497894,0.483809,0.470736,0.458677,0.447829,0.437992,0.429008,0.420751,0.413123,0.40604,0.399436,0.393256,0.387452,0.381985,0.376828,0.371955,0.367341,0.362961,0.358794,0.354823,0.351031,0.347405,0.343932,0.3406,0.337395,0.334304,0.331321,0.328438,0.325649,0.322949,0.320333,0.317796,0.315334,0.312942,0.310618,0.308355,0.306153,0.304008,0.301916,0.299876,0.297886,0.295943,0.294045,0.292191,0.290378,0.288605,0.286871,0.285175,0.283514,0.281887,0.280294,0.278733,0.277202,0.2757,0.274226,0.272778,0.271353,0.269952,0.268573,0.267217,0.265883,0.264569,0.263276,0.262003,0.260749,0.259513,0.258296,0.257097,0.255915,0.25475,0.253601,0.252468,0.251351,0.250249,0.249163,0.248093,0.247038,0.245998,0.244973,0.243961,0.242964,0.24198,0.241009,0.240051,0.239107,0.238175,0.237257,0.236351,0.235458,0.234576,0.233707,0.232848,0.232001,0.231164,0.230339,0.229526,0.228723,0.227931,0.227149,0.226378,0.225616,0.224864,0.224122,0.223389,0.222666,0.221952,0.221247,0.220552,0.219866,0.219189,0.21852,0.217859,0.217206,0.216562
fcbc2cdcc,netnegs,baseline,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,44.0716,44.6459,45.1963,45.7208,46.2195,46.6933,47.1439,47.5733,47.9836,48.3769,48.5179,48.6487,48.7708,48.8858,48.9949,49.0994,49.2004,49.2989,49.3959,49.5506,49.8641,50.1768,50.4894,50.802,51.1148,51.428,51.7416,52.0556,52.3701,52.6849,52.8725,53.0595,53.246,53.4319,53.6175,53.8025,53.9872,54.1715,54.3554,54.5388,54.8786,55.2172,55.5549,55.8916,56.2275,56.5627,56.8972,57.2311,57.5645,57.8973,58.2652,58.6321,58.998,59.3632,59.7276,60.0913,60.4544,60.817,61.1791,61.5408,61.889,62.2363,62.5827,62.9283,63.2732,63.6175,63.9613,64.3045,64.6473,64.9896,65.4548,65.9191,66.3827,66.8457,67.3081,67.77,68.2315,68.6926,69.1533,69.6138,70.0739,70.5339,70.9936,71.4531,71.9124,72.3716,72.8306,73.2895,73.7482,74.2069,74.5692,74.9324,75.2964,75.6611,76.0263,76.3921,76.7582,77.1246,77.4913,77.8582,78.1294,78.4018,78.675,78.949,79.2237,79.4988,79.7745,80.0504,80.3267,80.6031,80.7843,80.9664,81.1494,81.3332,81.5175,81.7023,81.8875,82.073,82.2588,82.4448,82.5356,82.6273,82.7199,82.8131,82.9069,83.0011,83.0957,83.1905,83.2856,83.3809
fcbc2cdcc,netnegs,population,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
fcbc2cdcc,netnegs,regional_emissions,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,3.87824,1.67825,5.93007e-08,5.86768e-08,5.81965e-08,5.7838e-08,5.75844e-08,5.74223e-08,5.73411e-08,5.73324e-08,5.73892e-08,5.75059e-08,5.76777e-08,5.78296e-08,5.80343e-08,5.82888e-08,5.85903e-08,5.89365e-08,5.93256e-08,5.97559e-08,6.02262e-08,6.07356e-08,6.1283e-08,6.17895e-08,6.23357e-08,6.29211e-08,6.35454e-08,6.42086e-08,6.49105e-08,6.56514e-08,6.64314e-08,6.72509e-08,6.81103e-08,6.89586e-08,6.98488e-08,7.07817e-08,7.17582e-08,7.27792e-08,7.38459e-08,7.49595e-08,7.61213e-08,7.7333e-08,7.85959e-08,7.98658e-08,8.11906e-08,8.25724e-08,8.40133e-08,8.55157e-08,8.70824e-08,8.87161e-08,9.04198e-08,9.21969e-08,9.4051e-08,9.5944e-08,9.79212e-08,9.99869e-08,1.02146e-07,1.04404e-07,1.06767e-07,1.0924e-07,1.11832e-07,1.14548e-07,-4.86999e-16,1.23211e-16,1.27089e-15,-5.51253e-19,6.31423e-16,4.81569e-16,7.16579e-15,-4.96907e-19,-4.70459e-18,-2.44351e-16,-6.76893e-15,-4.42206e-19,1.00363e-15,-1.14119e-15,7.01817e-16,-3.8682e-19,-1.06882e-15,-2.46762e-16,1.18597e-15,-3.318e-19,-1.83602e-15,-1.32189e-14,-2.87287e-15,-2.7684e-19,-2.01137e-15,1.59435e-14,7.19558e-14,-2.22632e-19,1.0833e-15,1.16271e-15,-3.59429e-14,-1.69488e-19,8.66043e-16,-3.39807e-15,5.04664e-14,-1.17551e-19,-2.79512e-14,6.1407e-16,-6.33037e-17,-6.77873e-20,3.26833e-15,-1.58091e-15,-2.15754e-14,-2.02309e-20,-1.81847e-13,-6.41111e-16,-1.30613e-13,3.0923e-13,1.23909e-13,4.57755e-20,9.67349e-14
fcbc2cdcc,netnegs,carbonprice,WorldOrig,1344 GtCO2,0 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0197889,1,0.82 delta_degC/(TtCO2),1.67683e-34,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.195454,0.219898,0.244627,0.269577,0.294692,0.319925,0.345236,0.370588,0.395949,0.421291,0.438019,0.427659,0.418265,0.409686,0.401801,0.394516,0.387752,0.381446,0.375544,0.370002,0.364781,0.359856,0.355203,0.350796,0.346613,0.342634,0.338842,0.335221,0.331758,0.328441,0.32526,0.322199,0.319248,0.316398,0.313645,0.310982,0.308404,0.305905,0.303483,0.301131,0.298848,0.296628,0.294467,0.292364,0.290315,0.288318,0.28637,0.28447,0.282614,0.280802,0.279031,0.277299,0.275606,0.273951,0.272331,0.270745,0.269191,0.26767,0.266179,0.264717,0.263283,0.261875,0.260492,0.259131,0.257793,0.256477,0.255182,0.253908,0.252653,0.251418,0.250202,0.249005,0.247825,0.246662,0.245517,0.244388,0.243276,0.242179,0.241097,0.240031,0.238978,0.237941,0.236919,0.235911,0.234918,0.233939,0.232973,0.232021,0.231081,0.230154,0.229239,0.228337,0.227448,0.226571,0.225706,0.224853,0.224011,0.223181,0.222361,0.221551,0.220753,0.219965,0.219188,0.218421,0.217665,0.216918,0.216182,0.215455,0.214737,0.214028,0.213328,0.212637,0.211955,0.211283,0.210618,0.209963,0.209317,0.208678,0.208047,0.207424,0.206808
