ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
fdeb958ee,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.7711,32.7418,32.7117,32.6786,32.6405,32.5962,32.3665,32.1341,31.8981,31.6581,31.4135,31.164,30.9092,30.6489,30.3826,30.1102,29.7881,29.4596,29.1245,28.7827,28.4339,28.078,27.7147,27.3438,26.9651,26.5783,26.081,25.5778,25.0684,24.5528,24.0308,23.5021,22.9665,22.4237,21.8737,21.3159,20.754,20.1787,19.5897,18.9868,18.3697,17.7382,17.0919,16.4306,15.7539,15.0612,14.3111,13.5419,12.7536,11.9455,11.1174,10.2689,9.3993,8.50816,7.595,6.65908,5.64349,4.60298,3.53715,2.44527,1.32669,0.180671,-0.993345,-2.19637,-3.42926,-4.69288,-6.0601,-7.46757,-8.91669,-10.4087,-11.9449,-13.5268,-15.1559,-16.834,-18.563,-20,-2.06227e-06,-1.28929e-06,-1.08652e-06,-9.92921e-07,-9.4134e-07,-9.1086e-07,-8.92668e-07,-8.82295e-07,-8.77238e-07,-8.75939e-07,-8.71916e-07,-8.70298e-07,-8.70519e-07,-8.72147e-07,-8.74882e-07,-8.78488e-07,-8.82776e-07,-8.87608e-07,-8.92864e-07,-8.98456e-07,-9.00282e-07,-9.02491e-07,-9.05035e-07,-9.07869e-07,-9.10971e-07,-9.14324e-07,-9.17904e-07,-9.21718e-07,-9.25763e-07,-9.30042e-07,-9.3141e-07,-9.33168e-07,-9.3534e-07,-9.37953e-07,-9.41031e-07,-9.44612e-07,-9.4874e-07,-9.53463e-07,-9.58835e-07,-9.64916e-07,-9.69154e-07,-9.74319e-07,-9.80501e-07,-9.87808e-07,-9.96359e-07,-1.00629e-06,-1.01778e-06,-1.03101e-06,-1.04622e-06,-1.06368e-06
fdeb958ee,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21073,1.23103,1.25131,1.27157,1.29181,1.31202,1.33208,1.35201,1.37178,1.39141,1.41089,1.43021,1.44937,1.46838,1.48721,1.50588,1.52435,1.54261,1.56067,1.57852,1.59615,1.61355,1.63074,1.64769,1.66441,1.68089,1.69706,1.71292,1.72846,1.74368,1.75858,1.77315,1.78739,1.80129,1.81486,1.82807,1.84094,1.85345,1.8656,1.87737,1.88876,1.89975,1.91035,1.92054,1.93031,1.93964,1.94852,1.95691,1.96482,1.97223,1.97912,1.98548,1.99131,1.99659,2.0013,2.00542,2.00892,2.01178,2.01397,2.01549,2.01631,2.01642,2.01581,2.01444,2.01232,2.00941,2.00565,2.00102,1.99549,1.98904,1.98163,1.97325,1.96385,1.95341,1.9419,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295,1.9295
fdeb958ee,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0203181,0.0202999,0.0202813,0.0202607,0.0202371,0.0202096,0.0200672,0.0199231,0.0197768,0.019628,0.0194764,0.0193217,0.0191637,0.0190023,0.0188372,0.0186683,0.0184686,0.0182649,0.0180572,0.0178453,0.017629,0.0174083,0.0171831,0.0169532,0.0167184,0.0164786,0.0161702,0.0158582,0.0155424,0.0152228,0.0148991,0.0145713,0.0142392,0.0139027,0.0135617,0.0132159,0.0128675,0.0125108,0.0121456,0.0117718,0.0113892,0.0109977,0.010597,0.010187,0.00976739,0.00933797,0.00887286,0.00839599,0.00790721,0.00740623,0.00689281,0.0063667,0.00582756,0.00527506,0.0047089,0.00412863,0.00349896,0.00285385,0.00219303,0.00151607,0.00082255,0.000112016,-0.000615874,-0.00136175,-0.00212614,-0.00290958,-0.00375726,-0.00462989,-0.00552835,-0.0064534,-0.00740582,-0.0083866,-0.00939663,-0.0104371,-0.011509,-0.0124,-1.27861e-09,-7.99358e-10,-6.7364e-10,-6.15611e-10,-5.8363e-10,-5.64733e-10,-5.53454e-10,-5.47023e-10,-5.43888e-10,-5.43082e-10,-5.40588e-10,-5.39585e-10,-5.39722e-10,-5.40731e-10,-5.42427e-10,-5.44663e-10,-5.47321e-10,-5.50317e-10,-5.53576e-10,-5.57043e-10,-5.58175e-10,-5.59545e-10,-5.61121e-10,-5.62879e-10,-5.64802e-10,-5.66881e-10,-5.691e-10,-5.71465e-10,-5.73973e-10,-5.76626e-10,-5.77474e-10,-5.78564e-10,-5.79911e-10,-5.81531e-10,-5.83439e-10,-5.8566e-10,-5.88219e-10,-5.91147e-10,-5.94478e-10,-5.98248e-10,-6.00876e-10,-6.04078e-10,-6.07911e-10,-6.12441e-10,-6.17742e-10,-6.239e-10,-6.31022e-10,-6.39225e-10,-6.48656e-10,-6.59483e-10
fdeb958ee,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fdeb958ee,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),-4.99967e-09,41.278,80.3561,117.234,151.912,184.683,217.425,250.137,282.815,315.456,348.052,380.418,412.553,444.451,476.109,507.522,538.686,569.595,600.244,630.627,660.737,690.525,719.985,749.109,777.892,806.326,834.404,862.119,889.462,916.428,943.006,969.087,994.665,1019.73,1044.29,1068.32,1091.82,1114.79,1137.21,1159.08,1180.4,1201.15,1221.33,1240.92,1259.91,1278.28,1296.02,1313.11,1329.54,1345.29,1360.35,1374.66,1388.21,1400.96,1412.91,1424.02,1434.29,1443.69,1452.2,1459.79,1466.45,1472.1,1476.7,1480.24,1482.68,1484.01,1484.19,1483.2,1481,1477.57,1472.88,1466.82,1459.35,1450.43,1440.02,1428.08,1414.55,1399.4,1382.56,1364,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
fdeb958ee,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.819407,0.782436,0.7507,0.722975,0.698416,0.676411,0.656455,0.638348,0.621797,0.606571,0.592487,0.579397,0.567177,0.555727,0.544961,0.534808,0.525196,0.51608,0.507417,0.499166,0.491292,0.483765,0.476558,0.469646,0.463009,0.456626,0.450475,0.444554,0.438848,0.433344,0.428029,0.422891,0.41792,0.413105,0.408439,0.403913,0.39951,0.395215,0.391024,0.386933,0.382936,0.379031,0.375213,0.371481,0.367829,0.364255,0.360752,0.357316,0.353945,0.350638,0.347391,0.344204,0.341074,0.337999,0.334979,0.33201,0.32909,0.326217,0.323391,0.32061,0.317872,0.315177,0.312524,0.30991,0.307336,0.3048,0.302297,0.299824,0.29738,0.294965,0.292578,0.290219,0.287888,0.285583,0.283305,0.281061,0.279347,0.277667,0.276023,0.274412,0.272831,0.271282,0.269762,0.268271,0.266807,0.26537,0.263959,0.262575,0.261216,0.259883,0.258573,0.257286,0.256022,0.254779,0.253558,0.252357,0.251176,0.250016,0.248876,0.247755,0.246653,0.245568,0.244501,0.243451,0.242417,0.2414,0.240399,0.239415,0.238445,0.237491,0.236552,0.235628,0.234717,0.23382,0.232936,0.232066,0.231208,0.230364,0.229532,0.228712,0.227905,0.22711,0.226326,0.225554,0.224791,0.224041
fdeb958ee,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),43.478,44.13,44.7521,45.3305,45.8585,46.3535,46.9469,47.5332,48.1132,48.6877,49.2572,49.57,49.8795,50.1862,50.4906,50.7931,51.094,51.3936,51.6922,51.9899,52.2868,52.5487,52.8097,53.0698,53.3293,53.5881,53.8463,54.104,54.3612,54.6178,54.8739,54.991,55.1072,55.2228,55.3377,55.4519,55.5656,55.6788,55.7914,55.9034,56.0149,56.2823,56.5476,56.8107,57.0719,57.3311,57.5885,57.844,58.0977,58.3497,58.5997,58.8798,59.1571,59.4316,59.7034,59.9725,60.2389,60.5026,60.7635,61.0215,61.2767,61.5122,61.7439,61.9718,62.1958,62.416,62.6323,62.8445,63.0525,63.2562,63.4554,63.7616,64.0611,64.3537,64.6391,64.9171,65.1873,65.4496,65.7034,65.9484,66.23,68.8611,69.3577,69.8525,70.3457,70.8373,71.3275,71.8164,72.3039,72.7903,73.2755,73.6632,74.0508,74.4382,74.8255,75.2125,75.5993,75.9857,76.3718,76.7576,77.143,77.4318,77.7211,78.0108,78.3007,78.5908,78.881,79.1712,79.4613,79.7514,80.0413,80.2352,80.4297,80.6247,80.8201,81.0158,81.2117,81.4077,81.6038,81.7999,81.996,82.0962,82.1972,82.2986,82.4006,82.5029,82.6054,82.7081,82.8109,82.9138,83.0166
fdeb958ee,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
fdeb958ee,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.7711,32.7418,32.7117,32.6786,32.6405,32.5962,32.3665,32.1341,31.8981,31.6581,31.4135,31.164,30.9092,30.6489,30.3826,30.1102,29.7881,29.4596,29.1245,28.7827,28.4339,28.078,27.7147,27.3438,26.9651,26.5783,26.081,25.5778,25.0684,24.5528,24.0308,23.5021,22.9665,22.4237,21.8737,21.3159,20.754,20.1787,19.5897,18.9868,18.3697,17.7382,17.0919,16.4306,15.7539,15.0612,14.3111,13.5419,12.7536,11.9455,11.1174,10.2689,9.3993,8.50816,7.595,6.65908,5.64349,4.60298,3.53715,2.44527,1.32669,0.180671,-0.993345,-2.19637,-3.42926,-4.69288,-6.0601,-7.46757,-8.91669,-10.4087,-11.9449,-13.5268,-15.1559,-16.834,-18.563,-20,-2.06227e-06,-1.28929e-06,-1.08652e-06,-9.92921e-07,-9.4134e-07,-9.1086e-07,-8.92668e-07,-8.82295e-07,-8.77238e-07,-8.75939e-07,-8.71916e-07,-8.70298e-07,-8.70519e-07,-8.72147e-07,-8.74882e-07,-8.78488e-07,-8.82776e-07,-8.87608e-07,-8.92864e-07,-8.98456e-07,-9.00282e-07,-9.02491e-07,-9.05035e-07,-9.07869e-07,-9.10971e-07,-9.14324e-07,-9.17904e-07,-9.21718e-07,-9.25763e-07,-9.30042e-07,-9.3141e-07,-9.33168e-07,-9.3534e-07,-9.37953e-07,-9.41031e-07,-9.44612e-07,-9.4874e-07,-9.53463e-07,-9.58835e-07,-9.64916e-07,-9.69154e-07,-9.74319e-07,-9.80501e-07,-9.87808e-07,-9.96359e-07,-1.00629e-06,-1.01778e-06,-1.03101e-06,-1.04622e-06,-1.06368e-06
fdeb958ee,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),7.71391e-33,0.00968364,0.0364545,0.0763643,0.125659,0.174028,0.177176,0.180622,0.184309,0.188202,0.192272,0.196753,0.201382,0.206146,0.211034,0.216038,0.221149,0.226364,0.231678,0.237088,0.242593,0.248673,0.254851,0.261124,0.267493,0.273957,0.280517,0.287175,0.293932,0.300792,0.307756,0.315555,0.323478,0.331527,0.339703,0.34801,0.356451,0.365029,0.373748,0.382614,0.391632,0.401968,0.412488,0.423197,0.434098,0.445196,0.456496,0.468003,0.479724,0.491667,0.50384,0.517326,0.531085,0.545124,0.55945,0.574071,0.588998,0.604239,0.619806,0.635711,0.651968,0.669822,0.688092,0.70679,0.725931,0.745529,0.7656,0.786163,0.807235,0.828839,0.850996,0.875147,0.899954,0.925446,0.95165,0.978597,1.00632,1.03486,1.06426,1.09455,1.11748,0.682268,0.678167,0.674151,0.670215,0.666356,0.662572,0.65886,0.655218,0.651642,0.648131,0.644686,0.641306,0.637988,0.634731,0.631532,0.628389,0.625301,0.622266,0.619282,0.616349,0.613466,0.610633,0.607848,0.60511,0.602418,0.599768,0.597163,0.594598,0.592074,0.589589,0.587144,0.584739,0.582373,0.580042,0.577749,0.575491,0.573267,0.571076,0.568917,0.566792,0.564696,0.562633,0.560602,0.558601,0.556629,0.554688,0.552773,0.550886,0.549024,0.54719
