ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
ffc947389,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,26.6888,26.4073,26.1317,25.7136,25.3038,24.9007,24.5032,24.1102,23.7212,23.3358,22.9535,22.5743,22.1979,21.7774,21.3598,20.9452,20.5336,20.1253,19.7202,19.3185,18.9203,18.5257,18.1347,17.658,17.1878,16.7242,16.2675,15.8178,15.3753,14.9399,14.512,14.0914,13.6784,13.2373,12.8001,12.3669,11.9384,11.5148,11.0966,10.684,10.2774,9.87717,9.48351,9.04313,8.60861,8.18054,7.75931,7.34542,6.93934,6.54146,6.15218,5.772,5.40119,4.98137,4.57147,4.1722,3.784,3.40742,3.04297,2.69135,2.35293,2.02823,1.71786,1.366,1.02781,0.703969,0.395386,0.103041,-0.172282,-0.429517,-0.667867,-0.886283,-1.0839,-1.25953,-1.41231,-1.54098,-1.64441,-1.72159,-1.77107,-1.79177,-1.78213,-1.74092,-1.66646,-1.46561,-1.2297,-0.957683,-0.647991,-0.299356,-0.000200362,-3.58856e-05,-1.94589e-05,-1.32484e-05,-9.9943e-06,-7.74697e-06,-6.32166e-06,-5.33909e-06,-4.62204e-06,-4.07682e-06,-3.64914e-06,-3.30523e-06,-3.02336e-06,-2.78859e-06,-2.59043e-06,-2.40388e-06,-2.24591e-06,-2.11081e-06,-1.99434e-06,-1.89322e-06,-1.80497e-06,-1.72764e-06,-1.65968e-06,-1.59985e-06,-1.54716e-06,-1.49556e-06,-1.45048e-06,-1.41125e-06,-1.37731e-06,-1.34827e-06,-1.32378e-06,-1.30364e-06,-1.28768e-06,-1.27584e-06,-1.26812e-06
ffc947389,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),1.09622,1.13007,1.16212,1.19236,1.22079,1.24742,1.27225,1.29528,1.31716,1.33881,1.36024,1.38133,1.40208,1.4225,1.44259,1.46236,1.48181,1.50095,1.51977,1.53828,1.55648,1.57434,1.59185,1.60903,1.62587,1.64237,1.65854,1.67438,1.68989,1.70509,1.71996,1.73444,1.74853,1.76224,1.77558,1.78855,1.80116,1.81341,1.82531,1.83687,1.84808,1.85894,1.86943,1.87957,1.88936,1.89881,1.90791,1.91667,1.92509,1.93319,1.94097,1.94838,1.95544,1.96215,1.96851,1.97454,1.98023,1.98559,1.99064,1.99537,1.9998,2.00388,2.00763,2.01105,2.01416,2.01695,2.01945,2.02165,2.02358,2.02525,2.02665,2.02777,2.02862,2.02919,2.02952,2.0296,2.02946,2.02911,2.02856,2.02783,2.02695,2.02591,2.02476,2.02349,2.02214,2.02073,2.01928,2.01781,2.01635,2.01492,2.01355,2.01235,2.01134,2.01056,2.01003,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978,2.00978
ffc947389,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),0,0.033848,0.032044,0.03024,0.028436,0.026632,0.024828,0.023024,0.0218848,0.021654,0.021428,0.0210851,0.0207491,0.0204186,0.0200926,0.0197703,0.0194514,0.0191353,0.0188219,0.0185109,0.0182023,0.0178574,0.017515,0.017175,0.0168376,0.0165027,0.0161706,0.0158412,0.0155146,0.015191,0.0148704,0.0144795,0.014094,0.0137139,0.0133394,0.0129706,0.0126077,0.0122508,0.0118998,0.011555,0.0112163,0.0108546,0.0104961,0.0101409,0.0097895,0.00944212,0.00909919,0.00876085,0.00842748,0.00809928,0.00777648,0.00741537,0.00705906,0.00670804,0.00636264,0.00602324,0.00569026,0.005364,0.00504479,0.00473304,0.00442897,0.00408472,0.00374861,0.00342121,0.00310288,0.00279409,0.00249524,0.00220691,0.0019294,0.00166315,0.00140865,0.00112012,0.000842802,0.000577255,0.000324217,8.44938e-05,-0.000141272,-0.000352204,-0.000547651,-0.000726752,-0.000888795,-0.00103282,-0.00115809,-0.0012636,-0.00134842,-0.0014117,-0.00145228,-0.00146925,-0.00146135,-0.00142755,-0.0013665,-0.0012018,-0.00100836,-0.0007853,-0.000531353,-0.000245472,-1.64297e-07,-2.94262e-08,-1.59563e-08,-1.08637e-08,-8.19533e-09,-6.35251e-09,-5.18376e-09,-4.37805e-09,-3.79008e-09,-3.34299e-09,-2.99229e-09,-2.71029e-09,-2.47916e-09,-2.28664e-09,-2.12415e-09,-1.97119e-09,-1.84165e-09,-1.73087e-09,-1.63536e-09,-1.55244e-09,-1.48008e-09,-1.41667e-09,-1.36094e-09,-1.31188e-09,-1.26867e-09,-1.22636e-09,-1.1894e-09,-1.15722e-09,-1.1294e-09,-1.10558e-09,-1.0855e-09,-1.06898e-09,-1.0559e-09,-1.04619e-09,-1.03986e-09
ffc947389,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ffc947389,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),-5.0015e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,269.435,295.843,321.974,347.688,372.992,397.892,422.396,446.506,470.227,493.563,516.516,539.091,561.288,583.066,604.426,625.371,645.904,666.03,685.75,705.068,723.989,742.514,760.649,778.307,795.495,812.219,828.487,844.304,859.68,874.62,889.132,903.223,916.901,930.139,942.939,955.306,967.244,978.759,989.855,1000.54,1010.82,1020.69,1030.18,1039.22,1047.83,1056.01,1063.77,1071.11,1078.05,1084.6,1090.75,1096.52,1101.92,1106.9,1111.47,1115.65,1119.43,1122.84,1125.88,1128.57,1130.92,1132.95,1134.67,1136.04,1137.06,1137.77,1138.16,1138.27,1138.09,1137.66,1137,1136.11,1135.03,1133.77,1132.36,1130.81,1129.17,1127.45,1125.68,1123.89,1122.1,1120.36,1118.7,1117.23,1116,1115.04,1114.39,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1,1114.1
ffc947389,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.702104,0.672707,0.647249,0.624845,0.604986,0.587191,0.571101,0.55644,0.542993,0.53059,0.519093,0.508388,0.498384,0.488991,0.480153,0.471813,0.463924,0.456443,0.449334,0.442568,0.436115,0.42995,0.424053,0.418401,0.412987,0.407794,0.402808,0.398015,0.393402,0.388958,0.384673,0.380539,0.376546,0.372675,0.368916,0.365262,0.36171,0.358254,0.354893,0.351619,0.348431,0.345325,0.342299,0.339344,0.336458,0.333639,0.330884,0.328191,0.325559,0.322985,0.320468,0.318007,0.315598,0.31324,0.31093,0.308668,0.306453,0.304283,0.302157,0.300074,0.298033,0.296032,0.294072,0.292147,0.290256,0.288397,0.28657,0.284775,0.28301,0.281277,0.279574,0.277901,0.276257,0.274643,0.273056,0.271498,0.269968,0.268465,0.26699,0.26554,0.264118,0.262721,0.261351,0.260008,0.258694,0.257407,0.256148,0.254915,0.253708,0.25252,0.251351,0.250201,0.249069,0.247956,0.246861,0.245783,0.244723,0.243679,0.242652,0.241641,0.240644,0.239663,0.238696,0.237744,0.236807,0.235884,0.234975,0.234079,0.233197,0.232328,0.231471,0.230626,0.229794,0.228972,0.228164,0.227367,0.226581,0.225807,0.225045,0.224292,0.22355,0.222817,0.222095
ffc947389,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),43.478,44.049,44.5576,44.9711,45.2738,45.4626,45.5417,45.5193,45.6337,46.026,46.4106,46.5587,46.7037,46.8462,46.987,47.1266,47.2654,47.4039,47.5422,47.6808,47.8197,47.9252,48.0313,48.1383,48.2462,48.3555,48.466,48.5781,48.6918,48.8072,48.9244,48.9217,48.9217,48.9244,48.9299,48.9386,48.9503,48.9652,48.9833,49.0047,49.0294,49.1811,49.3341,49.4887,49.6452,49.8038,49.9649,50.1284,50.2947,50.4639,50.6361,50.833,51.0324,51.2345,51.4397,51.648,51.8599,52.0753,52.2944,52.5175,52.7446,52.9587,53.1766,53.3987,53.6249,53.8556,54.0909,54.331,54.5758,54.8255,55.0803,55.4315,55.7872,56.1477,56.5131,56.8836,57.2595,57.6408,58.0278,58.4204,58.8189,59.2233,59.6336,60.05,60.4724,60.9009,61.3355,61.7762,62.2228,62.6755,63.1341,63.5263,63.9244,64.3279,64.7365,65.1497,65.5542,65.9146,66.2746,66.6344,66.9938,67.2671,67.5407,67.8146,68.0885,68.3625,68.6364,68.9102,69.1839,69.4574,69.7307,69.9181,70.1059,70.2939,70.4821,70.6704,70.8586,71.0469,71.235,71.423,71.6108,71.7128,71.8153,71.9181,72.021,72.1241,72.2271,72.3302,72.4332,72.5361,72.6388
ffc947389,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
ffc947389,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,26.6888,26.4073,26.1317,25.7136,25.3038,24.9007,24.5032,24.1102,23.7212,23.3358,22.9535,22.5743,22.1979,21.7774,21.3598,20.9452,20.5336,20.1253,19.7202,19.3185,18.9203,18.5257,18.1347,17.658,17.1878,16.7242,16.2675,15.8178,15.3753,14.9399,14.512,14.0914,13.6784,13.2373,12.8001,12.3669,11.9384,11.5148,11.0966,10.684,10.2774,9.87717,9.48351,9.04313,8.60861,8.18054,7.75931,7.34542,6.93934,6.54146,6.15218,5.772,5.40119,4.98137,4.57147,4.1722,3.784,3.40742,3.04297,2.69135,2.35293,2.02823,1.71786,1.366,1.02781,0.703969,0.395386,0.103041,-0.172282,-0.429517,-0.667867,-0.886283,-1.0839,-1.25953,-1.41231,-1.54098,-1.64441,-1.72159,-1.77107,-1.79177,-1.78213,-1.74092,-1.66646,-1.46561,-1.2297,-0.957683,-0.647991,-0.299356,-0.000200362,-3.58856e-05,-1.94589e-05,-1.32484e-05,-9.9943e-06,-7.74697e-06,-6.32166e-06,-5.33909e-06,-4.62204e-06,-4.07682e-06,-3.64914e-06,-3.30523e-06,-3.02336e-06,-2.78859e-06,-2.59043e-06,-2.40388e-06,-2.24591e-06,-2.11081e-06,-1.99434e-06,-1.89322e-06,-1.80497e-06,-1.72764e-06,-1.65968e-06,-1.59985e-06,-1.54716e-06,-1.49556e-06,-1.45048e-06,-1.41125e-06,-1.37731e-06,-1.34827e-06,-1.32378e-06,-1.30364e-06,-1.28768e-06,-1.27584e-06,-1.26812e-06
ffc947389,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.0240686,1,0.82 delta_degC/(TtCO2),1.24318e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.841796,0.852434,0.86399,0.877192,0.890911,0.905004,0.919361,0.933892,0.948526,0.963203,0.977874,0.992499,1.00704,1.02353,1.03987,1.05604,1.072,1.08773,1.10322,1.11845,1.13339,1.14805,1.1624,1.17912,1.19552,1.21157,1.22726,1.24258,1.25751,1.27205,1.28617,1.29989,1.31318,1.33034,1.34705,1.3633,1.37906,1.39433,1.40909,1.42333,1.43703,1.45019,1.46279,1.47814,1.49291,1.50709,1.52065,1.53359,1.5459,1.55756,1.56855,1.57888,1.58854,1.60057,1.6119,1.6225,1.63236,1.64146,1.6498,1.65735,1.66411,1.67007,1.67521,1.68248,1.68887,1.69437,1.69896,1.70263,1.70535,1.70711,1.70789,1.70769,1.70647,1.70424,1.70096,1.69664,1.69125,1.68478,1.6772,1.66852,1.65871,1.64774,1.63562,1.61864,1.60062,1.58154,1.5614,1.54019,1.52135,1.51423,1.50722,1.50032,1.49353,1.48686,1.48029,1.47383,1.46747,1.46121,1.45505,1.44899,1.44301,1.43713,1.43133,1.42562,1.42,1.41447,1.40902,1.40365,1.39836,1.39314,1.38801,1.38294,1.37795,1.37302,1.36817,1.3634,1.35869,1.35404,1.34947,1.34496,1.34051,1.33612,1.33179
