ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
1958dce8c,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.025,21.5443,21.0813,20.6321,20.1941,19.7653,19.3443,18.9297,18.5206,18.1163,17.7159,17.2717,16.8311,16.3937,15.9593,15.5277,15.0985,14.6717,14.2468,13.8238,13.4023,12.9025,12.4068,11.9152,11.4276,10.9438,10.4636,9.98701,9.51368,9.0435,8.57618,8.05204,7.52599,6.99804,6.46838,5.93684,5.40362,4.86849,4.33153,3.79256,3.25143,2.64397,2.0324,1.41683,0.797193,0.173459,-0.454403,-1.08655,-1.72315,-2.3643,-3.01033,-3.7252,-4.44593,-5.17244,-5.90498,-6.64372,-7.38891,-8.14063,-8.89937,-9.66548,-10.4393,-11.3186,-12.2116,-13.1189,-14.041,-14.9784,-15.9318,-16.9019,-17.8898,-18.8962,-19.9224,-6.30193e-06,-3.25589e-07,-3.41543e-07,-3.56347e-07,-3.76773e-07,-3.92561e-07,-4.15377e-07,-4.32953e-07,-4.57596e-07,-2.98879e-06,-6.42834e-07,-6.52244e-07,-6.74501e-07,-6.7883e-07,-6.8773e-07,-6.9879e-07,-6.93195e-07,-6.96554e-07,-6.84302e-07,-9.38813e-06,-9.05577e-07,-7.56522e-07,-6.0327e-07,-4.05953e-07,-1.99778e-07,-4.1074e-08,2.12424e-07,3.91435e-07,5.62896e-07,-1.85455e-05,3.11496e-06,3.2791e-06,3.27879e-06,3.14892e-06,3.01058e-06,2.8247e-06,2.61334e-06,2.39902e-06,2.18342e-06,-4.9113e-06,3.27259e-06,2.78933e-06,2.39302e-06,2.05577e-06,1.77525e-06,1.55023e-06,1.34935e-06,1.18701e-06,1.04281e-06,9.77116e-06
1958dce8c,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29111,1.30446,1.31754,1.33033,1.34285,1.3551,1.3671,1.37883,1.39031,1.40155,1.41253,1.42324,1.43367,1.44384,1.45373,1.46336,1.47272,1.48182,1.49065,1.49922,1.50753,1.51553,1.52322,1.53061,1.5377,1.54448,1.55097,1.55716,1.56306,1.56867,1.57398,1.57897,1.58364,1.58798,1.59199,1.59567,1.59902,1.60204,1.60473,1.60708,1.60909,1.61073,1.61199,1.61287,1.61336,1.61347,1.61319,1.61252,1.61145,1.60998,1.60812,1.60581,1.60305,1.59984,1.59618,1.59206,1.58748,1.58243,1.57692,1.57092,1.56445,1.55743,1.54986,1.54173,1.53302,1.52374,1.51386,1.50338,1.49229,1.48057,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822
1958dce8c,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0136555,0.0133575,0.0130704,0.0127919,0.0125203,0.0122545,0.0119935,0.0117364,0.0114828,0.0112321,0.0109839,0.0107085,0.0104353,0.0101641,0.00989477,0.00962715,0.00936107,0.00909642,0.00883304,0.00857076,0.00830944,0.00799954,0.00769223,0.00738743,0.00708511,0.00678514,0.00648746,0.00619195,0.00589848,0.00560697,0.00531723,0.00499226,0.00466611,0.00433879,0.00401039,0.00368084,0.00335025,0.00301847,0.00268555,0.00235139,0.00201588,0.00163926,0.00126009,0.000878435,0.00049426,0.000107544,-0.00028173,-0.000673661,-0.00106835,-0.00146587,-0.0018664,-0.00230963,-0.00275648,-0.00320691,-0.00366109,-0.00411911,-0.00458112,-0.00504719,-0.00551761,-0.0059926,-0.00647237,-0.00701755,-0.0075712,-0.00813374,-0.00870544,-0.0092866,-0.00987773,-0.0104792,-0.0110917,-0.0117156,-0.0123519,-3.9072e-09,-2.01865e-10,-2.11756e-10,-2.20935e-10,-2.33599e-10,-2.43388e-10,-2.57534e-10,-2.68431e-10,-2.8371e-10,-1.85305e-09,-3.98557e-10,-4.04391e-10,-4.18191e-10,-4.20874e-10,-4.26393e-10,-4.3325e-10,-4.29781e-10,-4.31863e-10,-4.24267e-10,-5.82064e-09,-5.61458e-10,-4.69044e-10,-3.74027e-10,-2.51691e-10,-1.23862e-10,-2.54658e-11,1.31703e-10,2.4269e-10,3.48995e-10,-1.14982e-08,1.93128e-09,2.03304e-09,2.03285e-09,1.95233e-09,1.86656e-09,1.75131e-09,1.62027e-09,1.48739e-09,1.35372e-09,-3.04501e-09,2.029e-09,1.72938e-09,1.48367e-09,1.27458e-09,1.10066e-09,9.6114e-10,8.36597e-10,7.35944e-10,6.46542e-10,6.05812e-09
1958dce8c,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1958dce8c,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,1,0.62 delta_degC/(TtCO2),-5.00016e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,314.328,335.872,356.953,377.585,397.779,417.545,436.889,455.819,474.339,492.456,510.172,527.443,544.274,560.668,576.627,592.155,607.254,621.925,636.172,649.996,663.398,676.301,688.707,700.623,712.05,722.994,733.458,743.445,752.958,762.002,770.578,778.63,786.156,793.154,799.622,805.559,810.963,815.831,820.163,823.956,827.207,829.851,831.883,833.3,834.097,834.271,833.816,832.73,831.007,828.642,825.632,821.907,817.461,812.289,806.384,799.74,792.351,784.21,775.311,765.645,755.206,743.887,731.676,718.557,704.516,689.538,673.606,656.704,638.814,619.918,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995,599.995
1958dce8c,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639699,0.61498,0.59349,0.574537,0.557626,0.542389,0.528548,0.515886,0.504234,0.493453,0.483433,0.474074,0.465305,0.457062,0.449292,0.441946,0.434986,0.428376,0.422086,0.416088,0.41036,0.404879,0.399636,0.394613,0.389795,0.385166,0.380714,0.376428,0.372296,0.36831,0.36446,0.360728,0.357102,0.353577,0.350149,0.346812,0.343564,0.340398,0.337314,0.334306,0.331371,0.328503,0.325698,0.322955,0.32027,0.317642,0.315069,0.312549,0.31008,0.307661,0.305289,0.302962,0.300677,0.298436,0.296234,0.294073,0.291949,0.289863,0.287813,0.285798,0.283817,0.281865,0.279941,0.278043,0.27617,0.274323,0.2725,0.270702,0.268928,0.267176,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226576,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
1958dce8c,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,1,0.62 delta_degC/(TtCO2),43.478,44.1023,44.666,45.1357,45.495,45.7397,45.8733,45.9035,45.8399,45.6932,45.6698,45.8573,46.0448,46.2331,46.4227,46.614,46.8072,47.0026,47.2003,47.4003,47.6027,47.7722,47.9437,48.1172,48.2929,48.4706,48.6503,48.832,49.0157,49.2012,49.3884,49.4555,49.5245,49.5953,49.668,49.7425,49.819,49.8972,49.9772,50.059,50.1424,50.348,50.553,50.7575,50.9618,51.166,51.3702,51.5745,51.779,51.9837,52.1886,52.4129,52.6364,52.8593,53.0816,53.3035,53.5251,53.7464,53.9676,54.1886,54.4094,54.6105,54.8106,55.0099,55.2086,55.4065,55.6039,55.8007,55.9969,56.1924,56.3873,56.6654,56.9406,57.2128,57.4821,57.7485,58.0117,58.2717,58.5283,58.7813,59.0305,63.8246,64.392,64.9528,65.5075,66.0565,66.6002,67.139,67.6732,68.2032,68.7292,69.158,69.5841,70.0074,70.4283,70.8467,71.2629,71.6769,72.0889,72.499,72.9072,73.2204,73.5326,73.8438,74.1541,74.4633,74.7716,75.0789,75.3853,75.6908,75.9953,76.2057,76.416,76.626,76.8356,77.045,77.2539,77.4623,77.6704,77.8779,78.085,78.1983,78.3119,78.4255,78.5392,78.6527,78.7661,78.8793,78.9923,79.1051,79.2175
1958dce8c,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
1958dce8c,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.025,21.5443,21.0813,20.6321,20.1941,19.7653,19.3443,18.9297,18.5206,18.1163,17.7159,17.2717,16.8311,16.3937,15.9593,15.5277,15.0985,14.6717,14.2468,13.8238,13.4023,12.9025,12.4068,11.9152,11.4276,10.9438,10.4636,9.98701,9.51368,9.0435,8.57618,8.05204,7.52599,6.99804,6.46838,5.93684,5.40362,4.86849,4.33153,3.79256,3.25143,2.64397,2.0324,1.41683,0.797193,0.173459,-0.454403,-1.08655,-1.72315,-2.3643,-3.01033,-3.7252,-4.44593,-5.17244,-5.90498,-6.64372,-7.38891,-8.14063,-8.89937,-9.66548,-10.4393,-11.3186,-12.2116,-13.1189,-14.041,-14.9784,-15.9318,-16.9019,-17.8898,-18.8962,-19.9224,-6.30193e-06,-3.25589e-07,-3.41543e-07,-3.56347e-07,-3.76773e-07,-3.92561e-07,-4.15377e-07,-4.32953e-07,-4.57596e-07,-2.98879e-06,-6.42834e-07,-6.52244e-07,-6.74501e-07,-6.7883e-07,-6.8773e-07,-6.9879e-07,-6.93195e-07,-6.96554e-07,-6.84302e-07,-9.38813e-06,-9.05577e-07,-7.56522e-07,-6.0327e-07,-4.05953e-07,-1.99778e-07,-4.1074e-08,2.12424e-07,3.91435e-07,5.62896e-07,-1.85455e-05,3.11496e-06,3.2791e-06,3.27879e-06,3.14892e-06,3.01058e-06,2.8247e-06,2.61334e-06,2.39902e-06,2.18342e-06,-4.9113e-06,3.27259e-06,2.78933e-06,2.39302e-06,2.05577e-06,1.77525e-06,1.55023e-06,1.34935e-06,1.18701e-06,1.04281e-06,9.77116e-06
1958dce8c,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,1,0.62 delta_degC/(TtCO2),8.66812e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.1808,1.18783,1.19612,1.20535,1.21531,1.2258,1.23671,1.24792,1.25936,1.27097,1.2827,1.29706,1.31141,1.32574,1.34,1.3542,1.3683,1.38231,1.39621,1.41,1.42368,1.44033,1.45684,1.4732,1.4894,1.50545,1.52133,1.53706,1.55263,1.56805,1.58333,1.6037,1.62393,1.64402,1.66395,1.68373,1.70335,1.72283,1.74217,1.76136,1.78043,1.80339,1.82625,1.849,1.87165,1.8942,1.91665,1.93901,1.96129,1.98351,2.00568,2.03164,2.05759,2.08354,2.10949,2.13545,2.16144,2.18748,2.21357,2.23974,2.26601,2.29678,2.32777,2.35899,2.39048,2.42225,2.45435,2.48681,2.51968,2.55301,2.58685,1.58377,1.57593,1.56821,1.56061,1.55312,1.54575,1.53849,1.53134,1.52429,1.51734,1.5105,1.50376,1.49712,1.49059,1.48415,1.4778,1.47154,1.46537,1.45929,1.45329,1.44738,1.44156,1.43581,1.43016,1.42458,1.41907,1.41365,1.4083,1.40302,1.39781,1.39268,1.38762,1.38262,1.3777,1.37284,1.36805,1.36332,1.35866,1.35405,1.34951,1.34502,1.3406,1.33624,1.33193,1.32768,1.3235,1.31936,1.31527,1.31124,1.30726
