ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
1d2fab4b4,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.7012,19.1955,18.7093,18.2393,17.783,17.3386,16.9045,16.4796,16.0631,15.6541,15.2035,14.76,14.3233,13.893,13.4689,13.0508,12.6386,12.232,11.8309,11.4349,10.9674,10.5077,10.0557,9.6114,9.17465,8.74533,8.32329,7.90837,7.50044,7.09924,6.63756,6.17871,5.7228,5.27012,4.82061,4.37456,3.93183,3.49261,3.05681,2.62438,2.13026,1.63825,1.14861,0.661394,0.176716,-0.305317,-0.78472,-1.26151,-1.73564,-2.20727,-2.73923,-3.26902,-3.79642,-4.32146,-4.84412,-5.36444,-5.8823,-6.39795,-6.91148,-7.42299,-8.01785,-8.61402,-9.21169,-9.8109,-10.4116,-11.0142,-11.6185,-12.2252,-12.8343,-13.4463,-1.68451e-05,-0.0596617,-0.300127,-0.529791,-0.748591,-0.956197,-1.15263,-1.33757,-1.51105,-1.67277,-1.73425,-1.7833,-1.8204,-1.84568,-1.8596,-1.86248,-1.85456,-1.83628,-1.80789,-1.76983,-1.63517,-1.49192,-1.34094,-1.18301,-1.01914,-0.850329,-0.677362,-0.501644,-0.324275,-0.146503,0.115202,0.374118,0.628193,0.875277,1.1132,1.33934,1.5508,1.74442,1.91664,2.06349,2.26686,2.43657,2.56686,2.6511,2.68179,2.65028,2.54607,2.35732,2.06955,1.66591
1d2fab4b4,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30298,1.31488,1.32648,1.33779,1.34882,1.35957,1.37005,1.38027,1.39022,1.39993,1.40936,1.41851,1.42739,1.436,1.44435,1.45244,1.46028,1.46786,1.4752,1.48229,1.48909,1.4956,1.50184,1.5078,1.51349,1.51891,1.52407,1.52897,1.53362,1.53802,1.54214,1.54597,1.54952,1.55278,1.55577,1.55849,1.56092,1.56309,1.56498,1.56661,1.56793,1.56895,1.56966,1.57007,1.57018,1.56999,1.5695,1.56872,1.56764,1.56628,1.56458,1.56255,1.5602,1.55752,1.55451,1.55119,1.54754,1.54358,1.53929,1.53469,1.52972,1.52438,1.51866,1.51258,1.50613,1.4993,1.49209,1.48451,1.47656,1.46822,1.46822,1.46818,1.468,1.46767,1.46721,1.46661,1.4659,1.46507,1.46413,1.46309,1.46202,1.46091,1.45979,1.45864,1.45749,1.45633,1.45518,1.45404,1.45292,1.45183,1.45081,1.44989,1.44906,1.44832,1.44769,1.44716,1.44674,1.44643,1.44623,1.44614,1.44621,1.44644,1.44683,1.44738,1.44807,1.4489,1.44986,1.45094,1.45213,1.45341,1.45481,1.45632,1.45792,1.45956,1.46122,1.46286,1.46444,1.46591,1.46719,1.46822
1d2fab4b4,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0122148,0.0119012,0.0115998,0.0113084,0.0110255,0.0107499,0.0104808,0.0102174,0.0099591,0.00970553,0.0094262,0.00915122,0.00888042,0.00861364,0.00835072,0.00809152,0.00783596,0.00758387,0.00733514,0.00708962,0.00679977,0.00651475,0.00623452,0.00595907,0.00568828,0.00542211,0.00516044,0.00490319,0.00465028,0.00440153,0.00411528,0.0038308,0.00354814,0.00326748,0.00298878,0.00271223,0.00243774,0.00216542,0.00189522,0.00162712,0.00132076,0.00101572,0.000712138,0.000410064,0.000109564,-0.000189296,-0.000486526,-0.000782137,-0.0010761,-0.00136851,-0.00169832,-0.00202679,-0.00235378,-0.0026793,-0.00300335,-0.00332596,-0.00364703,-0.00396673,-0.00428512,-0.00460225,-0.00497107,-0.00534069,-0.00571125,-0.00608276,-0.00645521,-0.00682878,-0.0072035,-0.00757961,-0.00795725,-0.00833671,-1.0444e-08,-3.69903e-05,-0.000186079,-0.00032847,-0.000464126,-0.000592842,-0.000714632,-0.000829296,-0.000936849,-0.00103712,-0.00107524,-0.00110565,-0.00112865,-0.00114432,-0.00115295,-0.00115474,-0.00114983,-0.00113849,-0.00112089,-0.00109729,-0.00101381,-0.000924992,-0.000831383,-0.000733469,-0.000631864,-0.000527204,-0.000419965,-0.000311019,-0.000201051,-9.0832e-05,7.14251e-05,0.000231953,0.000389479,0.000542672,0.000690185,0.00083039,0.000961497,0.00108154,0.00118831,0.00127936,0.00140546,0.00151067,0.00159145,0.00164368,0.00166271,0.00164317,0.00157856,0.00146154,0.00128312,0.00103286
1d2fab4b4,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1d2fab4b4,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),-5.00063e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.482,352.678,371.387,389.626,407.409,424.748,441.652,458.132,474.195,489.849,505.053,519.813,534.136,548.029,561.498,574.549,587.187,599.419,611.25,622.685,633.652,644.16,654.216,663.827,673.002,681.747,690.07,697.979,705.479,712.578,719.216,725.395,731.117,736.388,741.208,745.583,749.515,753.007,756.064,758.688,760.819,762.457,763.606,764.267,764.444,764.138,763.354,762.092,760.356,758.149,755.41,752.141,748.345,744.023,739.179,733.814,727.932,721.534,714.623,707.2,699.182,690.568,681.356,671.545,661.134,650.119,638.501,626.276,613.442,599.995,599.995,599.936,599.635,599.106,598.357,597.401,596.248,594.911,593.4,591.727,589.993,588.209,586.389,584.543,582.684,580.821,578.967,577.13,575.322,573.553,571.917,570.425,569.084,567.901,566.882,566.032,565.355,564.853,564.529,564.382,564.497,564.872,565.5,566.375,567.488,568.828,570.378,572.123,574.039,576.103,578.37,580.806,583.373,586.024,588.706,591.356,593.902,596.26,598.329,599.995
1d2fab4b4,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.613068,0.590586,0.57091,0.553465,0.537831,0.523696,0.510817,0.499006,0.488114,0.478019,0.468614,0.459824,0.451579,0.443821,0.436503,0.42958,0.423016,0.416781,0.410844,0.405182,0.399774,0.394606,0.389662,0.384926,0.380381,0.376016,0.371818,0.367776,0.363881,0.360124,0.356485,0.352955,0.349526,0.346195,0.342956,0.339807,0.336741,0.333757,0.33085,0.328018,0.325252,0.322551,0.319911,0.317331,0.314809,0.312341,0.309928,0.307566,0.305254,0.30299,0.300772,0.298596,0.296464,0.294374,0.292323,0.29031,0.288337,0.286399,0.284497,0.28263,0.280792,0.278984,0.277202,0.275446,0.273717,0.272014,0.270336,0.268683,0.267053,0.265447,0.264118,0.262809,0.261516,0.26024,0.25898,0.257736,0.256507,0.255295,0.254098,0.252917,0.251753,0.250607,0.249477,0.248366,0.24727,0.246191,0.245129,0.244082,0.24305,0.242034,0.241035,0.240052,0.239085,0.238135,0.237199,0.236279,0.235373,0.234482,0.233604,0.23274,0.231891,0.231056,0.230236,0.229428,0.228634,0.227852,0.227082,0.226324,0.225577,0.224841,0.224116,0.223402,0.222698,0.222004,0.221319,0.220643,0.219974,0.219313,0.218656,0.218005
1d2fab4b4,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,44.0803,44.6215,45.0684,45.4049,45.6273,45.7392,45.7486,45.6655,45.5006,45.2651,44.9613,45.1177,45.2764,45.4381,45.6031,45.7718,45.9443,46.1207,46.3012,46.4856,46.6388,46.7956,46.9562,47.1204,47.2883,47.4598,47.6349,47.8134,47.9954,48.1806,48.2505,48.3238,48.4004,48.4804,48.5637,48.6502,48.7399,48.8328,48.9288,49.0277,49.2456,49.4646,49.6849,49.9066,50.1299,50.355,50.5819,50.8108,51.0418,51.2747,51.5284,51.7834,52.0398,52.2978,52.5576,52.8192,53.0829,53.3486,53.6164,53.8864,54.1395,54.3943,54.6509,54.9093,55.1698,55.4324,55.6971,55.9641,56.2333,56.5047,56.866,57.2284,57.592,57.9569,58.3233,58.6911,59.0605,59.4315,59.804,60.178,63.3934,63.9202,64.411,64.8992,65.3853,65.8697,66.3527,66.8349,67.3163,67.7974,68.2003,68.6041,69.0086,69.414,69.8201,70.227,70.6345,71.0428,71.4516,71.8609,72.1916,72.5233,72.8557,73.1885,73.5215,73.8543,74.1869,74.5188,74.85,75.18,75.4284,75.6758,75.9217,76.1657,76.4074,76.6463,76.8821,77.1142,77.3423,77.5658,77.7032,77.8355,77.9622,78.0822,78.1947,78.2985,78.3926,78.4752,78.5448,78.599
1d2fab4b4,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
1d2fab4b4,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.7012,19.1955,18.7093,18.2393,17.783,17.3386,16.9045,16.4796,16.0631,15.6541,15.2035,14.76,14.3233,13.893,13.4689,13.0508,12.6386,12.232,11.8309,11.4349,10.9674,10.5077,10.0557,9.6114,9.17465,8.74533,8.32329,7.90837,7.50044,7.09924,6.63756,6.17871,5.7228,5.27012,4.82061,4.37456,3.93183,3.49261,3.05681,2.62438,2.13026,1.63825,1.14861,0.661394,0.176716,-0.305317,-0.78472,-1.26151,-1.73564,-2.20727,-2.73923,-3.26902,-3.79642,-4.32146,-4.84412,-5.36444,-5.8823,-6.39795,-6.91148,-7.42299,-8.01785,-8.61402,-9.21169,-9.8109,-10.4116,-11.0142,-11.6185,-12.2252,-12.8343,-13.4463,-1.68451e-05,-0.0596617,-0.300127,-0.529791,-0.748591,-0.956197,-1.15263,-1.33757,-1.51105,-1.67277,-1.73425,-1.7833,-1.8204,-1.84568,-1.8596,-1.86248,-1.85456,-1.83628,-1.80789,-1.76983,-1.63517,-1.49192,-1.34094,-1.18301,-1.01914,-0.850329,-0.677362,-0.501644,-0.324275,-0.146503,0.115202,0.374118,0.628193,0.875277,1.1132,1.33934,1.5508,1.74442,1.91664,2.06349,2.26686,2.43657,2.56686,2.6511,2.68179,2.65028,2.54607,2.35732,2.06955,1.66591
1d2fab4b4,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1.41456e-32,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.22731,1.34354,1.34964,1.35689,1.36497,1.37367,1.38279,1.39221,1.40182,1.41153,1.42129,1.43388,1.44636,1.45869,1.47082,1.48274,1.49443,1.50587,1.51704,1.52795,1.53859,1.55227,1.56563,1.57865,1.59133,1.60366,1.61564,1.62728,1.63857,1.64952,1.66014,1.67598,1.69144,1.70651,1.72119,1.73547,1.74935,1.76284,1.77594,1.78865,1.80099,1.817,1.83262,1.84785,1.86267,1.8771,1.89114,1.90478,1.91805,1.93094,1.94346,1.95931,1.9748,1.98992,2.00467,2.01907,2.03312,2.04682,2.06019,2.07323,2.08597,2.10227,2.11827,2.13398,2.14942,2.16459,2.1795,2.19418,2.20864,2.22291,2.237,1.58377,1.57848,1.58094,1.58284,1.58419,1.58501,1.5853,1.58507,1.58433,1.58309,1.57793,1.57235,1.56638,1.56005,1.55337,1.54636,1.53906,1.53148,1.52364,1.51557,1.50419,1.49269,1.48111,1.46947,1.45781,1.44618,1.43459,1.42309,1.41171,1.40051,1.38671,1.37321,1.36008,1.34737,1.33515,1.32348,1.31244,1.30211,1.29259,1.28398,1.27368,1.26454,1.2567,1.25034,1.24565,1.24287,1.24228,1.24421,1.24908,1.25737
1d2fab4b4,netnegs,capital_stock,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),223,221.869,221.639,222.178,223.355,225.045,227.135,229.522,232.116,234.839,237.626,240.555,243.864,247.515,251.472,255.706,260.189,264.896,269.806,274.899,280.157,285.596,291.199,296.949,302.833,308.839,314.955,321.171,327.477,333.868,340.334,346.928,353.639,360.457,367.373,374.378,381.466,388.629,395.862,403.16,410.519,418.021,425.652,433.399,441.251,449.2,457.235,465.35,473.537,481.792,490.108,498.553,507.115,515.784,524.549,533.404,542.339,551.35,560.43,569.574,578.779,588.123,597.595,607.184,616.88,626.675,636.562,646.534,656.586,666.712,676.907,687.239,697.696,708.265,718.939,729.708,740.564,751.503,762.516,773.6,784.749,799.993,815.15,830.181,845.095,859.901,874.609,889.227,903.765,918.229,932.628,946.734,960.577,974.183,987.578,1000.78,1013.82,1026.71,1039.46,1052.1,1064.62,1076.82,1088.72,1100.34,1111.73,1122.9,1133.88,1144.67,1155.31,1165.8,1176.16,1186.15,1195.82,1205.19,1214.28,1223.12,1231.73,1240.12,1248.32,1256.33,1264.16,1271.58,1278.63,1285.32,1291.68,1297.73,1303.48,1308.95,1314.15,1319.08,1323.73
1d2fab4b4,netnegs,GDP_gross,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),101.602,106.071,110.518,114.935,119.312,123.642,127.914,132.122,136.258,140.318,144.297,148.265,152.226,156.182,160.136,164.087,168.039,171.991,175.946,179.903,183.864,188.032,192.201,196.372,200.546,204.722,208.901,213.083,217.269,221.458,225.65,230.178,234.707,239.238,243.772,248.308,252.847,257.389,261.934,266.483,271.036,276.242,281.443,286.64,291.833,297.023,302.212,307.398,312.584,317.769,322.955,328.644,334.328,340.008,345.686,351.36,357.034,362.706,368.378,374.05,379.723,385.939,392.153,398.364,404.574,410.783,416.992,423.202,429.413,435.626,441.841,448.633,455.419,462.201,468.98,475.756,482.531,489.306,496.079,502.854,509.629,517.189,524.719,532.212,539.672,547.101,554.503,561.88,569.234,576.568,583.884,589.758,595.625,601.487,607.344,613.197,619.045,624.891,630.734,636.574,642.412,646.817,651.228,655.645,660.068,664.495,668.926,673.359,677.795,682.232,686.671,689.673,692.683,695.7,698.722,701.746,704.773,707.8,710.826,713.849,716.869,718.444,720.022,721.599,723.174,724.744,726.307,727.861,729.402,730.929,732.438
1d2fab4b4,netnegs,GDP_net,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),101.602,105.93,110.107,114.038,117.664,120.957,123.908,126.521,128.81,130.793,132.492,134.637,138.108,141.566,145.014,148.454,151.888,155.319,158.746,162.172,165.597,169.189,172.778,176.367,179.957,183.548,187.141,190.736,194.334,197.936,201.542,205.462,209.386,213.314,217.249,221.19,225.137,229.092,233.055,237.026,241.005,245.451,249.893,254.335,258.777,263.22,267.666,272.116,276.57,281.029,285.495,290.348,295.201,300.057,304.916,309.781,314.651,319.529,324.415,329.31,334.214,339.568,344.928,350.295,355.672,361.058,366.454,371.863,377.284,382.719,388.167,394,399.837,405.68,411.53,417.387,423.253,429.128,435.013,440.908,446.812,473.958,481.155,488.091,495.016,501.932,508.843,515.752,522.66,529.57,536.483,542.162,547.854,553.557,559.272,564.999,570.737,576.486,582.246,588.016,593.796,598.33,602.877,607.434,611.998,616.568,621.141,625.716,630.289,634.859,639.424,642.711,645.991,649.262,652.518,655.757,658.975,662.168,665.331,668.461,671.553,673.322,675.049,676.726,678.346,679.901,681.382,682.777,684.073,685.255,686.303
1d2fab4b4,netnegs,abatement_costs,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),-3.94616e-46,0.0221885,0.16684,0.522479,1.13979,2.03969,3.2232,4.67912,6.38901,8.33041,10.4789,12.1729,12.5303,12.8924,13.2584,13.6278,13.9999,14.3743,14.7506,15.1286,15.5078,15.9236,16.3402,16.7572,17.1742,17.591,18.0073,18.4229,18.8375,19.2512,19.6637,20.0899,20.5137,20.9346,21.3525,21.7672,22.1785,22.5863,22.9905,23.3912,23.7882,24.3601,24.9316,25.5022,26.0717,26.6399,27.2065,27.7714,28.3344,28.8954,29.4545,30.1232,30.7916,31.4595,32.1265,32.7926,33.4575,34.1211,34.7835,35.4446,36.1044,36.8538,37.6033,38.3525,39.1015,39.8501,40.5982,41.346,42.0935,42.8408,43.5882,44.5269,45.47,46.4175,47.3695,48.3264,49.2883,50.2557,51.229,52.2089,53.1959,33.467,33.6597,34.0811,34.4856,34.8731,35.2434,35.5965,35.9324,36.251,36.5521,36.6742,36.7797,36.8693,36.9435,37.0029,37.0481,37.0796,37.0979,37.1038,37.0978,36.926,36.7461,36.5593,36.3667,36.1695,35.9688,35.766,35.5623,35.3592,35.1582,34.8178,34.4854,34.1632,33.8531,33.5576,33.2791,33.0205,32.7848,32.5756,32.3967,32.1163,31.8761,31.6814,31.5386,31.4551,31.4396,31.5028,31.6573,31.9192,32.3079
1d2fab4b4,netnegs,damage_costs,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1.22428e-07,0.00112355,0.00221088,0.0032583,0.00426211,0.00521883,0.0061252,0.00697818,0.00777494,0.0085129,0.00918967,0.00981662,0.0104332,0.0110395,0.0116357,0.0122218,0.012798,0.0133641,0.0139202,0.0144662,0.0150021,0.0155261,0.0160382,0.0165383,0.0170264,0.0175024,0.0179662,0.0184179,0.0188573,0.0192845,0.0196995,0.0200993,0.0204841,0.0208539,0.0212088,0.0215489,0.0218742,0.022185,0.0224812,0.022763,0.0230306,0.0232814,0.0235155,0.0237329,0.0239335,0.0241173,0.0242845,0.0244349,0.0245688,0.0246861,0.024787,0.0248689,0.0249319,0.0249762,0.0250016,0.0250085,0.0249967,0.0249665,0.0249179,0.0248511,0.0247662,0.024661,0.0245356,0.0243901,0.0242248,0.0240399,0.0238355,0.0236118,0.0233692,0.0231078,0.0228278,0.0225264,0.0222036,0.0218597,0.0214948,0.0211092,0.020703,0.0202766,0.0198302,0.0193639,0.0188781,0.0188781,0.0188759,0.0188651,0.018846,0.0188191,0.0187847,0.0187432,0.0186951,0.0186408,0.0185807,0.0185185,0.0184545,0.0183893,0.0183232,0.0182567,0.0181901,0.0181238,0.0180583,0.0179938,0.0179307,0.0178725,0.0178194,0.0177717,0.0177297,0.0176935,0.0176633,0.0176392,0.0176214,0.0176099,0.0176047,0.0176088,0.0176221,0.0176444,0.0176754,0.017715,0.0177626,0.0178177,0.0178798,0.0179481,0.0180217,0.0181025,0.0181896,0.0182813,0.0183762,0.0184723,0.0185674,0.0186589,0.0187436,0.0188181,0.0188781
1d2fab4b4,netnegs,resid_damages,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0197889,1,0.62 delta_degC/(TtCO2),1.22428e-07,0.00112355,0.00221088,0.0032583,0.00426211,0.00521883,0.0061252,0.00697818,0.00777494,0.0085129,0.00918967,0.00981662,0.0104332,0.0110395,0.0116357,0.0122218,0.012798,0.0133641,0.0139202,0.0144662,0.0150021,0.0155261,0.0160382,0.0165383,0.0170264,0.0175024,0.0179662,0.0184179,0.0188573,0.0192845,0.0196995,0.0200993,0.0204841,0.0208539,0.0212088,0.0215489,0.0218742,0.022185,0.0224812,0.022763,0.0230306,0.0232814,0.0235155,0.0237329,0.0239335,0.0241173,0.0242845,0.0244349,0.0245688,0.0246861,0.024787,0.0248689,0.0249319,0.0249762,0.0250016,0.0250085,0.0249967,0.0249665,0.0249179,0.0248511,0.0247662,0.024661,0.0245356,0.0243901,0.0242248,0.0240399,0.0238355,0.0236118,0.0233692,0.0231078,0.0228278,0.0225264,0.0222036,0.0218597,0.0214948,0.0211092,0.020703,0.0202766,0.0198302,0.0193639,0.0188781,0.0188781,0.0188759,0.0188651,0.018846,0.0188191,0.0187847,0.0187432,0.0186951,0.0186408,0.0185807,0.0185185,0.0184545,0.0183893,0.0183232,0.0182567,0.0181901,0.0181238,0.0180583,0.0179938,0.0179307,0.0178725,0.0178194,0.0177717,0.0177297,0.0176935,0.0176633,0.0176392,0.0176214,0.0176099,0.0176047,0.0176088,0.0176221,0.0176444,0.0176754,0.017715,0.0177626,0.0178177,0.0178798,0.0179481,0.0180217,0.0181025,0.0181896,0.0182813,0.0183762,0.0184723,0.0185674,0.0186589,0.0187436,0.0188181,0.0188781
