ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
407199beb,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,0,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6831,23.0779,22.3281,21.5721,20.8068,20.03,19.2402,18.4344,17.6133,16.7741,15.9142,15.0221,14.024,13.1166,12.1217,11.1022,10.0569,8.98326,7.8761,6.71827,5.29739,3.09748,1.37555,1.13089,0.9641,0.835002,0.728634,0.637642,0.557815,0.486501,0.421918,0.362798,0.304763,0.251055,0.201036,0.154211,0.110174,0.0686075,0.029236,-0.00816159,-0.0437773,-0.077774,-0.111766,-0.144254,-0.175352,-0.205165,-0.233783,-0.261286,-0.287745,-0.313226,-0.337784,-0.361475,-0.385249,-0.408165,-0.430266,-0.45159,-0.472175,-0.492054,-0.511256,-0.529811,-0.547745,-0.565084,-0.582404,-0.599128,-0.615281,-0.630882,-0.645949,-0.660503,-0.674559,-0.688135,-0.701248,-0.713912,-0.000153225,-1.09969e-05,-1.08546e-05,-1.15255e-05,-1.2288e-05,-1.30492e-05,-1.39152e-05,-1.47833e-05,-1.59528e-05,-3.64355e-05,-1.83384e-05,-1.90606e-05,-2.01643e-05,-2.12284e-05,-2.23952e-05,-2.36538e-05,-2.48963e-05,-2.63024e-05,-2.86295e-05,-7.16932e-05,-3.23239e-05,-3.23357e-05,-3.35461e-05,-3.46775e-05,-3.57905e-05,-3.70675e-05,-3.78919e-05,-3.90492e-05,-4.34303e-05,-0.000121456,-4.48763e-05,-3.9773e-05,-3.85396e-05,-3.74e-05,-3.56657e-05,-3.35624e-05,-3.11311e-05,-2.86661e-05,-3.18608e-05,-0.000129739,-1.84265e-05,-5.02462e-06,1.17241e-06,6.6292e-06,1.19503e-05,1.74746e-05,2.23795e-05,2.9312e-05,7.98502e-05,0.00126937
407199beb,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,0,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29176,1.30561,1.31898,1.33188,1.3443,1.35623,1.36766,1.37858,1.38898,1.39885,1.40816,1.41685,1.42499,1.4325,1.43938,1.44562,1.45119,1.45607,1.46024,1.46352,1.46544,1.4663,1.467,1.46759,1.46811,1.46856,1.46896,1.46931,1.46961,1.46987,1.47009,1.47028,1.47044,1.47056,1.47066,1.47073,1.47077,1.47079,1.47078,1.47076,1.47071,1.47064,1.47055,1.47044,1.47031,1.47017,1.47001,1.46983,1.46963,1.46942,1.4692,1.46896,1.46871,1.46844,1.46816,1.46787,1.46756,1.46725,1.46692,1.46658,1.46623,1.46587,1.46549,1.46511,1.46472,1.46432,1.46391,1.46349,1.46307,1.46263,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219,1.46219
407199beb,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,0,0.62 delta_degC/(TtCO2),-1.77264e-19,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146835,0.0143083,0.0138434,0.0133747,0.0129002,0.0124186,0.0119289,0.0114293,0.0109202,0.0103999,0.00986681,0.00931371,0.00869491,0.00813228,0.00751544,0.00688339,0.00623526,0.00556962,0.00488318,0.00416533,0.00328438,0.00192044,0.000852842,0.000701153,0.000597742,0.000517701,0.000451753,0.000395338,0.000345845,0.000301631,0.000261589,0.000224934,0.000188953,0.000155654,0.000124642,9.56105e-05,6.83081e-05,4.25367e-05,1.81263e-05,-5.06019e-06,-2.71419e-05,-4.82199e-05,-6.92951e-05,-8.94374e-05,-0.000108718,-0.000127203,-0.000144946,-0.000161997,-0.000178402,-0.0001942,-0.000209426,-0.000224114,-0.000238854,-0.000253062,-0.000266765,-0.000279986,-0.000292749,-0.000305074,-0.000316978,-0.000328483,-0.000339602,-0.000350352,-0.00036109,-0.000371459,-0.000381474,-0.000391147,-0.000400489,-0.000409512,-0.000418227,-0.000426644,-0.000434774,-0.000442625,-9.49994e-08,-6.81809e-09,-6.72982e-09,-7.14583e-09,-7.61853e-09,-8.09049e-09,-8.6274e-09,-9.16563e-09,-9.89072e-09,-2.259e-08,-1.13698e-08,-1.18175e-08,-1.25019e-08,-1.31616e-08,-1.3885e-08,-1.46654e-08,-1.54357e-08,-1.63075e-08,-1.77503e-08,-4.44498e-08,-2.00408e-08,-2.00481e-08,-2.07986e-08,-2.15e-08,-2.21901e-08,-2.29819e-08,-2.3493e-08,-2.42105e-08,-2.69268e-08,-7.53025e-08,-2.78233e-08,-2.46593e-08,-2.38946e-08,-2.3188e-08,-2.21127e-08,-2.08087e-08,-1.93013e-08,-1.7773e-08,-1.97537e-08,-8.04383e-08,-1.14244e-08,-3.11526e-09,7.26892e-10,4.1101e-09,7.40918e-09,1.08343e-08,1.38753e-08,1.81734e-08,4.95071e-08,7.87011e-07
407199beb,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,0,0.62 delta_degC/(TtCO2),0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999996,0.999985,0.999943,0.999759,0.998598,0.978977,0.846276,0.80255,0.767721,0.737962,0.71167,0.687977,0.666343,0.646402,0.627891,0.610608,0.593368,0.577205,0.562,0.54766,0.534101,0.521256,0.509062,0.49747,0.486432,0.475909,0.465408,0.4554,0.445854,0.43674,0.42803,0.419703,0.411733,0.404103,0.396791,0.389782,0.382793,0.376102,0.369694,0.363554,0.357669,0.352026,0.346614,0.341422,0.336439,0.331656,0.326913,0.322366,0.318007,0.313826,0.309817,0.305971,0.302282,0.298744,0.295349,0.292091,0.499953,0.499997,0.499997,0.499996,0.499996,0.499996,0.499996,0.499995,0.499995,0.499989,0.499994,0.499994,0.499994,0.499993,0.499993,0.499993,0.499992,0.499992,0.499991,0.499978,0.49999,0.49999,0.49999,0.499989,0.499989,0.499989,0.499988,0.499988,0.499987,0.499962,0.499986,0.499988,0.499988,0.499988,0.499989,0.49999,0.49999,0.499991,0.49999,0.49996,0.499994,0.499998,0.5,0.500002,0.500004,0.500005,0.500007,0.500009,0.500025,0.500394
407199beb,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,0,0.62 delta_degC/(TtCO2),-4.99994e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.308,315.386,337.714,359.286,380.093,400.123,419.363,437.797,455.41,472.184,488.099,503.121,517.145,530.261,542.383,553.485,563.542,572.525,580.401,587.12,592.417,595.515,596.89,598.021,598.985,599.82,600.549,601.186,601.744,602.231,602.653,603.015,603.32,603.571,603.772,603.927,604.037,604.105,604.135,604.126,604.083,604.005,603.893,603.749,603.573,603.368,603.135,602.873,602.586,602.272,601.935,601.573,601.188,600.78,600.349,599.898,599.426,598.934,598.422,597.892,597.345,596.78,596.197,595.598,594.983,594.352,593.706,593.045,592.371,591.683,590.982,590.268,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.267,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.266,590.268
407199beb,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,0,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668505,0.64072,0.616472,0.595101,0.576034,0.558848,0.543224,0.528919,0.515737,0.503524,0.492156,0.481524,0.471528,0.462129,0.453251,0.444842,0.436856,0.429255,0.422004,0.415071,0.4084,0.401885,0.395596,0.389684,0.384116,0.378863,0.373895,0.369186,0.364713,0.360457,0.3564,0.352525,0.348813,0.345248,0.34182,0.338519,0.335337,0.332267,0.329301,0.326433,0.323659,0.320971,0.318366,0.315837,0.313381,0.310993,0.308671,0.306412,0.304212,0.302068,0.299979,0.297941,0.295953,0.294012,0.292117,0.290266,0.288456,0.286686,0.284956,0.283263,0.281605,0.279981,0.278389,0.276827,0.275292,0.273784,0.272303,0.270848,0.269418,0.268011,0.266628,0.265268,0.263943,0.262638,0.261354,0.260091,0.258846,0.25762,0.256413,0.255223,0.254051,0.252895,0.251757,0.250636,0.249532,0.248444,0.247373,0.246316,0.245275,0.244248,0.243237,0.242239,0.241255,0.240286,0.23933,0.238389,0.237461,0.236545,0.235642,0.234752,0.233873,0.233006,0.232151,0.231309,0.230478,0.229658,0.228849,0.228052,0.227265,0.226488,0.225722,0.224965,0.224219,0.223482,0.222756,0.222039,0.221332,0.220634,0.219945,0.219266,0.218594,0.217931
407199beb,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,0,0.62 delta_degC/(TtCO2),43.478,44.1211,44.7467,45.3497,45.9277,46.4803,47.0081,47.5123,47.9943,48.4562,48.9984,49.2852,49.5681,49.8477,50.1245,50.3989,50.6711,50.9414,51.21,51.477,51.7417,51.9682,52.2003,52.4265,52.6511,52.8739,53.095,53.3139,53.5293,53.7255,53.8607,53.8992,54.055,54.2179,54.3845,54.5534,54.7242,54.8962,55.0693,55.2433,55.4181,55.7523,56.0863,56.42,56.7535,57.0869,57.4202,57.7533,58.0863,58.4192,58.752,59.1207,59.4888,59.8563,60.2232,60.5897,60.9559,61.3216,61.687,62.0522,62.4171,62.7686,63.1192,63.4692,63.8185,64.1673,64.5155,64.8633,65.2108,65.5578,65.9045,66.3759,66.8465,67.3164,67.7858,68.2546,68.7231,69.1911,69.6589,70.1263,70.5935,71.0848,71.5521,72.0192,72.4861,72.9528,73.4192,73.8855,74.3516,74.8176,75.2834,75.6514,76.0204,76.3902,76.7606,77.1316,77.503,77.8749,78.247,78.6194,78.9919,79.2675,79.5441,79.8216,80.0999,80.3788,80.6582,80.9381,81.2183,81.4989,81.7796,81.9636,82.1486,82.3345,82.5211,82.7083,82.896,83.084,83.2724,83.4611,83.6499,83.7422,83.8355,83.9295,84.0242,84.1195,84.2152,84.3113,84.4076,84.5042,84.601
407199beb,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,0,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
407199beb,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,0,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6831,23.0779,22.3281,21.5721,20.8068,20.03,19.2402,18.4344,17.6133,16.7741,15.9142,15.0221,14.024,13.1166,12.1217,11.1022,10.0569,8.98326,7.8761,6.71827,5.29739,3.09748,1.37555,1.13089,0.9641,0.835002,0.728634,0.637642,0.557815,0.486501,0.421918,0.362798,0.304763,0.251055,0.201036,0.154211,0.110174,0.0686075,0.029236,-0.00816159,-0.0437773,-0.077774,-0.111766,-0.144254,-0.175352,-0.205165,-0.233783,-0.261286,-0.287745,-0.313226,-0.337784,-0.361475,-0.385249,-0.408165,-0.430266,-0.45159,-0.472175,-0.492054,-0.511256,-0.529811,-0.547745,-0.565084,-0.582404,-0.599128,-0.615281,-0.630882,-0.645949,-0.660503,-0.674559,-0.688135,-0.701248,-0.713912,-0.000153225,-1.09969e-05,-1.08546e-05,-1.15255e-05,-1.2288e-05,-1.30492e-05,-1.39152e-05,-1.47833e-05,-1.59528e-05,-3.64355e-05,-1.83384e-05,-1.90606e-05,-2.01643e-05,-2.12284e-05,-2.23952e-05,-2.36538e-05,-2.48963e-05,-2.63024e-05,-2.86295e-05,-7.16932e-05,-3.23239e-05,-3.23357e-05,-3.35461e-05,-3.46775e-05,-3.57905e-05,-3.70675e-05,-3.78919e-05,-3.90492e-05,-4.34303e-05,-0.000121456,-4.48763e-05,-3.9773e-05,-3.85396e-05,-3.74e-05,-3.56657e-05,-3.35624e-05,-3.11311e-05,-2.86661e-05,-3.18608e-05,-0.000129739,-1.84265e-05,-5.02462e-06,1.17241e-06,6.6292e-06,1.19503e-05,1.74746e-05,2.23795e-05,2.9312e-05,7.98502e-05,0.00126937
407199beb,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.00694972,0,0.62 delta_degC/(TtCO2),2.81654e-33,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169603,0.174176,0.179258,0.184611,0.190213,0.196048,0.202104,0.208387,0.21487,0.22157,0.228505,0.235805,0.24425,0.251537,0.259869,0.268456,0.277312,0.28646,0.295964,0.306032,0.31933,0.342496,0.359497,0.357337,0.3544,0.351212,0.347954,0.34471,0.341519,0.338401,0.335368,0.332421,0.329608,0.326864,0.324188,0.321582,0.319043,0.316571,0.314162,0.311816,0.309529,0.307299,0.305138,0.303026,0.300963,0.298946,0.296973,0.295043,0.293155,0.291306,0.289496,0.287723,0.285995,0.2843,0.282639,0.28101,0.279411,0.277842,0.276302,0.27479,0.273304,0.271844,0.270403,0.268985,0.267586,0.266208,0.264849,0.263509,0.262189,0.260886,0.259602,0.258334,0.252056,0.250809,0.249583,0.248376,0.247188,0.246017,0.244864,0.243728,0.242608,0.241505,0.240418,0.239348,0.238293,0.237255,0.236231,0.235222,0.234228,0.233248,0.232281,0.231329,0.230389,0.229464,0.228551,0.227652,0.226766,0.225891,0.225029,0.224179,0.22334,0.222512,0.221696,0.220891,0.220097,0.219314,0.218542,0.217781,0.217029,0.216288,0.215556,0.214834,0.21412,0.213417,0.212723,0.212039,0.211363,0.210697,0.210039,0.20939,0.208748,0.208109
