ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
42b4dc500,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,0.8,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.9395,19.3337,18.7442,18.168,17.6032,17.0479,16.5012,15.9621,15.4299,14.904,14.3355,13.7729,13.2161,12.6649,12.1191,11.5788,11.0438,10.5141,9.98938,9.46967,8.87838,8.29469,7.71827,7.14861,6.58463,6.02459,5.46542,4.90192,4.3252,3.72004,2.96439,2.18459,1.61846,1.26436,1.01676,0.825272,0.667132,0.530753,0.409439,0.298999,0.184158,0.0762682,-0.0266351,-0.126123,-0.223503,-0.319946,-0.416603,-0.514671,-0.615481,-0.720689,-0.847081,-0.986793,-1.14721,-1.34216,-1.60206,-2.01064,-2.74294,-3.55163,-4.21319,-4.79094,-5.39754,-5.97593,-6.53808,-7.09,-7.63483,-8.17443,-8.70965,-9.24117,-9.76924,-10.2942,-3.68318,-4.02965,-4.32918,-4.59219,-4.82473,-5.02992,-5.20982,-5.36517,-5.4965,-5.60361,-5.58494,-5.54163,-5.47308,-5.37809,-5.25552,-5.1036,-4.91971,-4.70033,-4.43953,-4.12751,-3.61139,-2.931,-2.17871,-1.72868,-1.45194,-1.24681,-1.0779,-0.929975,-0.794924,-0.667819,-0.531303,-0.398515,-0.266281,-0.13161,0.00877625,0.158946,0.324726,0.515646,0.75,1.07234,1.71583,3.54534,5.22304,6.7384,8.25908,9.82115,11.4346,13.1048,14.8357,16.6325
42b4dc500,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,0.8,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30313,1.31512,1.32674,1.338,1.34892,1.35949,1.36972,1.37961,1.38918,1.39842,1.40731,1.41585,1.42404,1.43189,1.43941,1.44659,1.45343,1.45995,1.46615,1.47202,1.47752,1.48266,1.48745,1.49188,1.49596,1.4997,1.50309,1.50613,1.50881,1.51112,1.51295,1.51431,1.51531,1.5161,1.51673,1.51724,1.51765,1.51798,1.51823,1.51842,1.51853,1.51858,1.51856,1.51849,1.51835,1.51815,1.51789,1.51757,1.51719,1.51674,1.51622,1.51561,1.5149,1.51406,1.51307,1.51182,1.51012,1.50792,1.50531,1.50234,1.49899,1.49529,1.49123,1.48684,1.4821,1.47704,1.47164,1.46591,1.45985,1.45347,1.45118,1.44868,1.446,1.44315,1.44016,1.43704,1.43381,1.43049,1.42708,1.4236,1.42014,1.41671,1.41331,1.40998,1.40672,1.40356,1.40051,1.39759,1.39484,1.39228,1.39004,1.38822,1.38687,1.3858,1.3849,1.38413,1.38346,1.38288,1.38239,1.38198,1.38165,1.3814,1.38123,1.38115,1.38116,1.38126,1.38146,1.38178,1.38224,1.38291,1.38397,1.38617,1.38941,1.39359,1.39871,1.4048,1.41189,1.42001,1.42921,1.43952
42b4dc500,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,0.8,0.62 delta_degC/(TtCO2),-0.649802,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0123625,0.0119869,0.0116214,0.0112642,0.010914,0.0105697,0.0102308,0.00989651,0.00956653,0.00924045,0.008888,0.0085392,0.00819397,0.00785221,0.00751386,0.00717886,0.00684717,0.00651871,0.00619342,0.0058712,0.0055046,0.00514271,0.00478533,0.00443214,0.00408247,0.00373524,0.00338856,0.00303919,0.00268163,0.00230643,0.00183792,0.00135445,0.00100345,0.000783904,0.000630391,0.000511668,0.000413622,0.000329067,0.000253852,0.000185379,0.000114178,4.72863e-05,-1.65138e-05,-7.81963e-05,-0.000138572,-0.000198367,-0.000258294,-0.000319096,-0.000381598,-0.000446827,-0.00052519,-0.000611811,-0.00071127,-0.000832137,-0.000993277,-0.0012466,-0.00170062,-0.00220201,-0.00261218,-0.00297039,-0.00334648,-0.00370507,-0.00405361,-0.0043958,-0.00473359,-0.00506815,-0.00539998,-0.00572953,-0.00605693,-0.00638239,-0.00228357,-0.00249838,-0.00268409,-0.00284716,-0.00299133,-0.00311855,-0.00323009,-0.0033264,-0.00340783,-0.00347424,-0.00346266,-0.00343581,-0.00339331,-0.00333442,-0.00325842,-0.00316423,-0.00305022,-0.0029142,-0.00275251,-0.00255906,-0.00223906,-0.00181722,-0.0013508,-0.00107178,-0.000900205,-0.000773021,-0.000668297,-0.000576585,-0.000492853,-0.000414048,-0.000329408,-0.00024708,-0.000165094,-8.1598e-05,5.44127e-06,9.85467e-05,0.00020133,0.000319701,0.000465,0.000664849,0.00106382,0.00219811,0.00323829,0.00417781,0.00512063,0.00608911,0.00708948,0.00812495,0.00919815,0.0103121
42b4dc500,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,0.8,0.62 delta_degC/(TtCO2),0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999998,0.999997,0.999993,0.999986,0.999972,0.999943,0.999886,0.999772,0.999543,0.999067,0.998035,0.99506,0.98751,0.976304,0.965494,0.955832,0.947124,0.939154,0.931768,0.924854,0.918328,0.911368,0.904725,0.898349,0.892196,0.886231,0.880419,0.87473,0.869131,0.863591,0.858071,0.85183,0.84546,0.838853,0.831838,0.824124,0.815267,0.806451,0.802416,0.801071,0.800525,0.800248,0.800121,0.80006,0.80003,0.800015,0.800008,0.800004,0.800002,0.800001,0.800001,0.802056,0.801343,0.800928,0.800671,0.800503,0.80039,0.800312,0.800258,0.800219,0.800192,0.800196,0.800207,0.800226,0.800254,0.800295,0.800356,0.800447,0.800587,0.80081,0.80119,0.802245,0.805144,0.812576,0.820987,0.82836,0.835132,0.841614,0.847982,0.854352,0.86081,0.868201,0.875783,0.883639,0.891858,0.900544,0.909823,0.919865,0.930924,0.943415,0.958158,0.978712,0.997565,0.999693,0.999953,0.999993,0.999999,1,1,1,1
42b4dc500,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,0.8,0.62 delta_degC/(TtCO2),-4.99991e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.72,353.054,371.798,389.966,407.569,424.617,441.118,457.081,472.51,487.414,501.75,515.523,528.739,541.404,553.523,565.102,576.146,586.66,596.649,606.119,614.997,623.292,631.01,638.159,644.743,650.768,656.233,661.135,665.46,669.18,672.145,674.329,675.948,677.212,678.229,679.054,679.721,680.252,680.662,680.961,681.145,681.221,681.194,681.068,680.845,680.525,680.108,679.594,678.978,678.257,677.41,676.423,675.276,673.934,672.332,670.321,667.578,664.027,659.814,655.023,649.625,643.649,637.111,630.021,622.386,614.212,605.502,596.261,586.492,576.198,572.514,568.485,564.156,559.563,554.739,549.709,544.499,539.134,533.637,528.034,522.449,516.907,511.434,506.056,500.8,495.697,490.777,486.077,481.637,477.51,473.898,470.967,468.789,467.06,465.608,464.361,463.283,462.353,461.558,460.891,460.359,459.961,459.695,459.563,459.572,459.731,460.055,460.571,461.321,462.393,464.109,467.655,472.878,479.616,487.875,497.696,509.131,522.236,537.071,553.704
42b4dc500,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,0.8,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.613257,0.590839,0.571148,0.553636,0.537902,0.523645,0.51063,0.498676,0.487635,0.477389,0.467833,0.458892,0.450499,0.442596,0.435135,0.428073,0.421375,0.415007,0.408943,0.403158,0.397629,0.392346,0.387289,0.382443,0.377792,0.373323,0.369023,0.364881,0.360886,0.357026,0.353278,0.349631,0.346092,0.34267,0.339362,0.336166,0.333076,0.330087,0.327194,0.324391,0.321673,0.319035,0.316473,0.313982,0.31156,0.309203,0.306909,0.304672,0.302493,0.300367,0.298291,0.296263,0.294282,0.292344,0.290444,0.288579,0.286739,0.284921,0.283129,0.281364,0.279624,0.277909,0.276216,0.274547,0.272901,0.271278,0.269678,0.2681,0.266544,0.265009,0.263624,0.262255,0.260906,0.259575,0.258262,0.256969,0.255693,0.254436,0.253198,0.251977,0.250777,0.249598,0.248439,0.2473,0.246181,0.245081,0.244001,0.242939,0.241897,0.240874,0.239873,0.238894,0.237939,0.237002,0.236082,0.235176,0.234286,0.233408,0.232543,0.231691,0.230853,0.230027,0.229214,0.228413,0.227624,0.226847,0.226081,0.225327,0.224584,0.223854,0.223138,0.222447,0.221779,0.22113,0.220502,0.219894,0.219305,0.218736,0.218185,0.217653
42b4dc500,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,0.8,0.62 delta_degC/(TtCO2),43.478,44.0742,44.6391,45.1597,45.6293,46.0465,46.4124,46.7298,47.0021,47.2332,47.4272,47.4853,47.6912,47.8967,48.1023,48.3085,48.5158,48.7243,48.9345,49.1464,49.3603,49.542,49.7257,49.9115,50.0994,50.2898,50.4825,50.6777,50.8755,51.0758,51.2787,51.3559,51.4357,51.5182,51.6035,51.6913,51.7816,51.8739,51.9675,52.0612,52.1531,52.3744,52.5934,52.8427,53.1223,53.4176,53.7217,54.0314,54.3449,54.6615,54.9802,55.3345,55.6899,56.046,56.4028,56.7602,57.1178,57.4757,57.8337,58.1916,58.5493,58.8951,59.2392,59.5809,59.9191,60.2507,60.5677,60.8526,61.1302,61.4232,61.7256,62.143,62.5642,62.988,63.414,63.8421,64.2721,64.7041,65.1382,65.5743,66.0126,67.1112,67.5693,68.0312,68.4959,68.9631,69.4327,69.9044,70.3782,70.8541,71.3322,71.7254,72.1215,72.5201,72.9213,73.3249,73.7307,74.1389,74.5495,74.9627,75.3789,75.714,76.0597,76.4086,76.7358,77.0506,77.36,77.6663,77.9704,78.2729,78.5741,78.7808,78.9871,79.1932,79.3992,79.6049,79.8108,80.0168,80.2235,80.4317,80.6436,80.7773,80.971,81.1482,81.3094,81.4629,81.61,81.7503,81.8832,82.008,82.1241
42b4dc500,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,0.8,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
42b4dc500,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,0.8,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.9395,19.3337,18.7442,18.168,17.6032,17.0479,16.5012,15.9621,15.4299,14.904,14.3355,13.7729,13.2161,12.6649,12.1191,11.5788,11.0438,10.5141,9.98938,9.46967,8.87838,8.29469,7.71827,7.14861,6.58463,6.02459,5.46542,4.90192,4.3252,3.72004,2.96439,2.18459,1.61846,1.26436,1.01676,0.825272,0.667132,0.530753,0.409439,0.298999,0.184158,0.0762682,-0.0266351,-0.126123,-0.223503,-0.319946,-0.416603,-0.514671,-0.615481,-0.720689,-0.847081,-0.986793,-1.14721,-1.34216,-1.60206,-2.01064,-2.74294,-3.55163,-4.21319,-4.79094,-5.39754,-5.97593,-6.53808,-7.09,-7.63483,-8.17443,-8.70965,-9.24117,-9.76924,-10.2942,-3.68318,-4.02965,-4.32918,-4.59219,-4.82473,-5.02992,-5.20982,-5.36517,-5.4965,-5.60361,-5.58494,-5.54163,-5.47308,-5.37809,-5.25552,-5.1036,-4.91971,-4.70033,-4.43953,-4.12751,-3.61139,-2.931,-2.17871,-1.72868,-1.45194,-1.24681,-1.0779,-0.929975,-0.794924,-0.667819,-0.531303,-0.398515,-0.266281,-0.13161,0.00877625,0.158946,0.324726,0.515646,0.75,1.07234,1.71583,3.54534,5.22304,6.7384,8.25908,9.82115,11.4346,13.1048,14.8357,16.6325
42b4dc500,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0240686,0.8,0.62 delta_degC/(TtCO2),3.47816e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.538771,0.545047,0.551681,0.558564,0.565613,0.572771,0.579988,0.587224,0.59445,0.601641,0.609979,0.618233,0.626387,0.634427,0.642341,0.650119,0.657754,0.665241,0.672577,0.679759,0.688341,0.696768,0.705043,0.713178,0.721196,0.729143,0.7371,0.745209,0.753714,0.763034,0.776814,0.791101,0.799235,0.801394,0.800643,0.798451,0.795473,0.792046,0.788356,0.784519,0.780926,0.777273,0.773609,0.76997,0.766384,0.762878,0.759473,0.756191,0.753059,0.750107,0.747714,0.74568,0.744159,0.743436,0.744155,0.748096,0.759,0.771432,0.780527,0.787689,0.795149,0.801849,0.808054,0.813903,0.81947,0.824799,0.829915,0.834835,0.839568,0.844125,0.710517,0.712761,0.714087,0.714707,0.714745,0.714277,0.713351,0.711996,0.710232,0.70807,0.703923,0.699437,0.694611,0.689439,0.683914,0.678019,0.671729,0.665002,0.657765,0.649888,0.639162,0.626227,0.612539,0.603514,0.597132,0.59187,0.587203,0.582898,0.578837,0.574946,0.570996,0.567153,0.563371,0.55961,0.555826,0.551968,0.547961,0.543687,0.538919,0.533111,0.523362,0.499283,0.477731,0.458674,0.440069,0.421513,0.402917,0.384261,0.365536,0.346735
