ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
676646ffe,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0283483,0.5,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.4978,28.1291,27.7491,27.3545,26.7915,26.2179,25.6317,25.0316,24.4162,23.7843,23.1347,22.4663,21.7781,21.0688,20.289,19.4859,18.6583,17.805,16.9244,16.015,15.0751,14.1058,13.1075,12.0699,10.9144,9.72399,8.49506,7.21838,5.85911,3.91833,1.71836,1.16127,0.9078,0.722205,0.561612,0.424997,0.304122,0.194221,0.0922065,-0.00404858,-0.0961556,-0.18538,-0.27281,-0.35944,-0.450319,-0.542523,-0.637416,-0.736738,-0.842901,-0.959608,-1.0933,-2.40228,-4.60227,-6.80225,-9.00223,-11.2022,-13.4022,-15.6022,-17.8022,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.57272e-05,-1.7315e-06,-1.83006e-06,-1.94013e-06,-2.06372e-06,-2.18744e-06,-2.32753e-06,-2.46795e-06,-2.62771e-06,-5.98807e-06,-3.00789e-06,-3.15904e-06,-3.33481e-06,-3.50382e-06,-3.68878e-06,-3.88795e-06,-4.08415e-06,-4.30288e-06,-4.52996e-06,-1.18051e-05,-5.06964e-06,-5.24196e-06,-5.43398e-06,-5.60721e-06,-5.77627e-06,-5.97319e-06,-6.09399e-06,-6.24709e-06,-6.41479e-06,-2.03111e-05,-6.48237e-06,-6.31258e-06,-6.15445e-06,-5.97709e-06,-5.70131e-06,-5.37029e-06,-4.98527e-06,-4.53556e-06,-4.11006e-06,-2.2478e-05,-1.79744e-06,-8.59282e-07,2.27645e-08,8.74595e-07,1.71381e-06,2.59607e-06,3.35998e-06,4.14131e-06,5.29454e-06,0.000214411
676646ffe,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0283483,0.5,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24699,1.26443,1.28163,1.29859,1.3152,1.33146,1.34735,1.36287,1.37801,1.39275,1.4071,1.42103,1.43453,1.44759,1.46017,1.47225,1.48382,1.49486,1.50535,1.51528,1.52463,1.53337,1.5415,1.54898,1.55575,1.56178,1.56705,1.57152,1.57515,1.57758,1.57865,1.57937,1.57993,1.58038,1.58073,1.58099,1.58118,1.5813,1.58136,1.58135,1.58129,1.58118,1.58101,1.58079,1.58051,1.58017,1.57978,1.57932,1.5788,1.5782,1.57752,1.57604,1.57318,1.56896,1.56338,1.55644,1.54813,1.53845,1.52742,1.51502,1.50262,1.49022,1.47782,1.46542,1.45302,1.44062,1.42822,1.41582,1.40342,1.39102,1.37862,1.36622,1.35382,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142,1.34142
676646ffe,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0283483,0.5,0.62 delta_degC/(TtCO2),-0.0131115,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0176686,0.0174401,0.0172045,0.0169598,0.0166107,0.0162551,0.0158917,0.0155196,0.015138,0.0147462,0.0143435,0.0139291,0.0135024,0.0130627,0.0125792,0.0120813,0.0115682,0.0110391,0.0104931,0.0099293,0.00934658,0.00874562,0.00812662,0.00748337,0.00676692,0.00602887,0.00526693,0.00447539,0.00363265,0.00242936,0.00106538,0.000719986,0.000562836,0.000447767,0.0003482,0.000263498,0.000188556,0.000120417,5.7168e-05,-2.51012e-06,-5.96165e-05,-0.000114935,-0.000169142,-0.000222853,-0.000279198,-0.000336364,-0.000395198,-0.000456777,-0.000522599,-0.000594957,-0.000677844,-0.00148941,-0.0028534,-0.00421739,-0.00558138,-0.00694537,-0.00830936,-0.00967335,-0.0110373,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-1.59509e-08,-1.07353e-09,-1.13464e-09,-1.20288e-09,-1.2795e-09,-1.35621e-09,-1.44307e-09,-1.53013e-09,-1.62918e-09,-3.7126e-09,-1.86489e-09,-1.95861e-09,-2.06758e-09,-2.17237e-09,-2.28704e-09,-2.41053e-09,-2.53217e-09,-2.66779e-09,-2.80857e-09,-7.31916e-09,-3.14318e-09,-3.25001e-09,-3.36907e-09,-3.47647e-09,-3.58129e-09,-3.70338e-09,-3.77827e-09,-3.8732e-09,-3.97717e-09,-1.25929e-08,-4.01907e-09,-3.9138e-09,-3.81576e-09,-3.70579e-09,-3.53481e-09,-3.32958e-09,-3.09087e-09,-2.81205e-09,-2.54824e-09,-1.39364e-08,-1.11441e-09,-5.32755e-10,1.41139e-11,5.42249e-10,1.06256e-09,1.60956e-09,2.08319e-09,2.56761e-09,3.28261e-09,1.32935e-07
676646ffe,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0283483,0.5,0.62 delta_degC/(TtCO2),0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999997,0.999987,0.999935,0.999651,0.99615,0.946929,0.904225,0.87752,0.855016,0.833694,0.814391,0.796588,0.77996,0.764276,0.749372,0.735114,0.721392,0.708113,0.695191,0.681959,0.668943,0.656042,0.643136,0.630074,0.616637,0.602471,0.524196,0.501656,0.500109,0.500007,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.749996,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.749999,0.75,0.75,0.749999,0.749999,0.749999,0.749999,0.749999,0.749999,0.749999,0.749998,0.749999,0.749999,0.749999,0.749999,0.749999,0.749999,0.749999,0.749999,0.749999,0.749997,0.749999,0.749999,0.749999,0.749999,0.749999,0.749999,0.749999,0.749999,0.749999,0.749997,0.75,0.75,0.75,0.75,0.75,0.75,0.750001,0.750001,0.750001,0.750033
676646ffe,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0283483,0.5,0.62 delta_degC/(TtCO2),-4.99993e-09,41.278,80.3561,117.234,151.912,184.39,214.668,243.166,271.295,299.044,326.399,353.19,379.408,405.04,430.072,454.488,478.272,501.407,523.873,545.651,566.72,587.009,606.495,625.153,642.958,659.883,675.898,690.973,705.079,718.186,730.256,741.17,750.894,759.389,766.608,772.467,776.385,778.104,779.265,780.173,780.895,781.456,781.881,782.186,782.38,782.472,782.468,782.372,782.186,781.914,781.554,781.104,780.561,779.924,779.187,778.344,777.385,776.291,773.889,769.287,762.485,753.482,742.28,728.878,713.276,695.474,675.474,655.474,635.474,615.474,595.474,575.474,555.474,535.474,515.474,495.474,475.474,455.474,435.474,415.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.474,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.473,395.474
676646ffe,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0283483,0.5,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.737482,0.704846,0.676618,0.651806,0.62969,0.609877,0.591955,0.575615,0.560612,0.546756,0.533892,0.521894,0.510659,0.500099,0.490132,0.480703,0.47176,0.463257,0.455153,0.447415,0.440011,0.432915,0.426103,0.419553,0.413245,0.40717,0.401311,0.395654,0.390179,0.384823,0.379563,0.374549,0.369786,0.365256,0.360935,0.356803,0.352845,0.349051,0.345406,0.341904,0.338531,0.335282,0.332147,0.32912,0.326193,0.323358,0.320612,0.317949,0.315364,0.312852,0.310409,0.30799,0.305564,0.303136,0.300709,0.298288,0.295876,0.293475,0.291089,0.288718,0.286423,0.2842,0.282043,0.27995,0.277916,0.275937,0.27401,0.272132,0.270301,0.268515,0.266772,0.26507,0.263408,0.261783,0.260534,0.259303,0.25809,0.256895,0.255717,0.254556,0.253411,0.252283,0.251169,0.250071,0.248988,0.247921,0.246869,0.245833,0.24481,0.243802,0.242807,0.241826,0.240858,0.239903,0.238961,0.238032,0.237116,0.236213,0.235322,0.234442,0.233575,0.232719,0.231873,0.231039,0.230216,0.229405,0.228604,0.227813,0.227033,0.226264,0.225504,0.224754,0.224013,0.223282,0.22256,0.221847,0.221145,0.220451,0.219766,0.21909,0.218422,0.217763,0.217112,0.216469
676646ffe,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0283483,0.5,0.62 delta_degC/(TtCO2),43.478,44.0574,44.5753,44.9986,45.3118,45.5112,45.6009,45.6924,46.0863,46.4673,46.836,46.9602,47.0764,47.1853,47.2873,47.3826,47.4715,47.5542,47.6307,47.7011,47.7652,47.7882,47.8043,47.8135,47.8155,47.81,47.7967,47.775,47.7454,47.708,47.6598,47.4835,47.2978,47.1015,46.8918,46.6578,46.2422,45.7358,45.7549,45.8769,46.0254,46.3157,46.6168,46.926,47.2415,47.562,47.8868,48.215,48.5461,48.8795,49.2147,49.5849,49.9556,50.3262,50.6963,51.0652,51.432,51.795,51.8736,51.7224,51.5521,51.3631,51.1599,50.9444,50.7185,50.4837,50.2422,50.6265,51.0177,51.4152,51.8186,52.3312,52.8486,53.3703,53.8959,54.4252,54.9578,55.4933,56.0314,56.5719,57.1145,61.7752,62.3753,62.9653,63.546,64.118,64.682,65.2387,65.7885,66.3319,66.8694,67.3105,67.747,68.1793,68.6076,69.0321,69.4532,69.8711,70.2859,70.6978,71.107,71.4227,71.7366,72.0488,72.3594,72.6684,72.976,73.282,73.5866,73.8899,74.1919,74.4017,74.6109,74.8195,75.0276,75.235,75.4417,75.6478,75.8532,76.058,76.2621,76.3745,76.487,76.5994,76.7117,76.8237,76.9355,77.047,77.1582,77.2691,77.3796
676646ffe,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0283483,0.5,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
676646ffe,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0283483,0.5,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.4978,28.1291,27.7491,27.3545,26.7915,26.2179,25.6317,25.0316,24.4162,23.7843,23.1347,22.4663,21.7781,21.0688,20.289,19.4859,18.6583,17.805,16.9244,16.015,15.0751,14.1058,13.1075,12.0699,10.9144,9.72399,8.49506,7.21838,5.85911,3.91833,1.71836,1.16127,0.9078,0.722205,0.561612,0.424997,0.304122,0.194221,0.0922065,-0.00404858,-0.0961556,-0.18538,-0.27281,-0.35944,-0.450319,-0.542523,-0.637416,-0.736738,-0.842901,-0.959608,-1.0933,-2.40228,-4.60227,-6.80225,-9.00223,-11.2022,-13.4022,-15.6022,-17.8022,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.57272e-05,-1.7315e-06,-1.83006e-06,-1.94013e-06,-2.06372e-06,-2.18744e-06,-2.32753e-06,-2.46795e-06,-2.62771e-06,-5.98807e-06,-3.00789e-06,-3.15904e-06,-3.33481e-06,-3.50382e-06,-3.68878e-06,-3.88795e-06,-4.08415e-06,-4.30288e-06,-4.52996e-06,-1.18051e-05,-5.06964e-06,-5.24196e-06,-5.43398e-06,-5.60721e-06,-5.77627e-06,-5.97319e-06,-6.09399e-06,-6.24709e-06,-6.41479e-06,-2.03111e-05,-6.48237e-06,-6.31258e-06,-6.15445e-06,-5.97709e-06,-5.70131e-06,-5.37029e-06,-4.98527e-06,-4.53556e-06,-4.11006e-06,-2.2478e-05,-1.79744e-06,-8.59282e-07,2.27645e-08,8.74595e-07,1.71381e-06,2.59607e-06,3.35998e-06,4.14131e-06,5.29454e-06,0.000214411
676646ffe,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0283483,0.5,0.62 delta_degC/(TtCO2),1.67372e-32,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.715568,0.736071,0.758035,0.781305,0.8067,0.833281,0.860999,0.889827,0.919752,0.950773,0.982901,1.01615,1.05056,1.08616,1.12533,1.16588,1.20785,1.25132,1.29637,1.34311,1.39163,1.44187,1.49378,1.54807,1.60834,1.67122,1.73699,1.80637,1.88194,2.00106,2.14118,2.15585,2.14789,2.13568,2.12258,2.10846,2.09392,2.07929,2.06477,2.05049,2.03651,2.0229,2.0097,1.99693,1.98488,1.97332,1.96231,1.95193,1.94229,1.93358,1.92614,1.98871,2.10492,2.22174,2.33916,2.45697,2.57506,2.6933,2.81159,2.92967,2.89957,2.87036,2.84201,2.81448,2.78536,2.75705,2.7295,2.70268,2.67656,2.65111,2.6263,2.60209,2.57848,2.55543,1.56228,1.5549,1.54763,1.54046,1.5334,1.52644,1.51957,1.5128,1.50613,1.49954,1.49305,1.48665,1.48034,1.47413,1.468,1.46195,1.45598,1.4501,1.4443,1.43857,1.43292,1.42735,1.42186,1.41644,1.4111,1.40582,1.40062,1.39549,1.39042,1.38542,1.38048,1.37562,1.37081,1.36607,1.3614,1.35678,1.35223,1.34773,1.34329,1.3389,1.33457,1.3303,1.32608,1.32192,1.31782,1.31377,1.30976,1.30581,1.3019,1.29804
