ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
86469990f,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,0.9,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8788,25.5338,25.1936,24.7121,24.2366,23.765,23.2956,22.8273,22.3592,21.8904,21.4204,20.9487,20.4747,19.9519,19.4263,18.8979,18.3665,17.8317,17.2934,16.7514,16.2055,15.6552,15.1005,14.4563,13.8104,13.1626,12.5127,11.8605,11.2057,10.5482,9.88752,9.22347,8.5555,7.82909,7.09135,6.34072,5.57417,4.78471,3.9582,3.07018,2.14269,1.40217,0.917178,0.540963,0.232626,-0.0481853,-0.32698,-0.629074,-0.995092,-1.52173,-2.42596,-3.56953,-4.6386,-5.72765,-6.80872,-7.90035,-9.01001,-10.1408,-11.2943,-12.4715,-13.6736,-14.9016,-16.1568,-17.544,-18.968,-20,-20,-20,-20,-20,-20,-20,-20,-1.28997e-05,-9.00204e-07,-9.68458e-07,-1.04069e-06,-1.12795e-06,-1.21425e-06,-1.32018e-06,-1.42585e-06,-1.55498e-06,-6.4028e-06,-2.16863e-06,-2.32622e-06,-2.52688e-06,-2.71405e-06,-2.93255e-06,-3.18181e-06,-3.42338e-06,-3.71644e-06,-4.02114e-06,-2.7806e-05,-6.74428e-06,-7.00815e-06,-7.28229e-06,-7.37217e-06,-7.32775e-06,-7.33295e-06,-6.73277e-06,-6.1908e-06,-5.8987e-06,-0.000158231,3.36521e-06,1.19236e-05,1.65387e-05,1.90583e-05,2.06704e-05,2.093e-05,2.02202e-05,1.89761e-05,1.71604e-05,-6.45889e-05,3.73408e-05,2.90518e-05,2.27922e-05,1.81634e-05,1.47247e-05,1.21879e-05,1.01282e-05,8.56246e-06,7.2797e-06,5.83988e-05
86469990f,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,0.9,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.2786,1.29422,1.30954,1.32457,1.33931,1.35375,1.3679,1.38176,1.39534,1.40862,1.4216,1.4343,1.44667,1.45871,1.47043,1.48182,1.49287,1.5036,1.51398,1.52403,1.53373,1.5431,1.55206,1.56062,1.56878,1.57654,1.58389,1.59084,1.59738,1.60351,1.60923,1.61454,1.61939,1.62379,1.62772,1.63117,1.63414,1.63659,1.6385,1.63983,1.6407,1.64126,1.6416,1.64174,1.64171,1.64151,1.64112,1.6405,1.63956,1.63806,1.63584,1.63297,1.62942,1.62519,1.6203,1.61471,1.60842,1.60142,1.59369,1.58521,1.57597,1.56595,1.55508,1.54332,1.53092,1.51852,1.50612,1.49372,1.48132,1.46892,1.45652,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412,1.44412
86469990f,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,0.9,0.62 delta_degC/(TtCO2),0.710468,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160449,0.015831,0.01562,0.0153215,0.0150267,0.0147343,0.0144433,0.0141529,0.0138627,0.0135721,0.0132807,0.0129882,0.0126943,0.0123702,0.0120443,0.0117167,0.0113872,0.0110557,0.0107219,0.0103859,0.0100474,0.00970624,0.00936229,0.00896293,0.00856248,0.00816081,0.00775787,0.00735349,0.00694755,0.00653987,0.00613026,0.00571855,0.00530441,0.00485404,0.00439663,0.00393124,0.00345599,0.00296652,0.00245408,0.00190351,0.00132847,0.000869343,0.000568651,0.000335397,0.000144228,-2.98749e-05,-0.000202727,-0.000390026,-0.000616957,-0.000943474,-0.00150409,-0.00221311,-0.00287593,-0.00355114,-0.0042214,-0.00489822,-0.00558621,-0.00628728,-0.00700245,-0.0077323,-0.00847761,-0.00923902,-0.0100172,-0.0108773,-0.0117601,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-7.99782e-09,-5.58127e-10,-6.00444e-10,-6.45231e-10,-6.9933e-10,-7.52834e-10,-8.18512e-10,-8.84028e-10,-9.64089e-10,-3.96974e-09,-1.34455e-09,-1.44225e-09,-1.56667e-09,-1.68271e-09,-1.81818e-09,-1.97272e-09,-2.1225e-09,-2.30419e-09,-2.49311e-09,-1.72397e-08,-4.18146e-09,-4.34505e-09,-4.51502e-09,-4.57075e-09,-4.54321e-09,-4.54643e-09,-4.17432e-09,-3.83829e-09,-3.65719e-09,-9.81035e-08,2.08643e-09,7.39266e-09,1.0254e-08,1.18161e-08,1.28157e-08,1.29766e-08,1.25365e-08,1.17652e-08,1.06394e-08,-4.00451e-08,2.31513e-08,1.80121e-08,1.41312e-08,1.12613e-08,9.1293e-09,7.5565e-09,6.27951e-09,5.30872e-09,4.51341e-09,3.62073e-08
86469990f,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,0.9,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999998,0.999994,0.999985,0.999962,0.999901,0.999736,0.999267,0.997827,0.993444,0.985052,0.975718,0.966168,0.957162,0.948507,0.94,0.931431,0.92255,0.913159,0.904706,0.901182,0.900317,0.900082,0.900022,0.900006,0.900001,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.949999,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.949995,0.95,0.95,0.950001,0.950001,0.950001,0.950001,0.950001,0.950001,0.950001,0.949998,0.950001,0.950001,0.950001,0.950001,0.95,0.95,0.95,0.95,0.95,0.950002
86469990f,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,0.9,0.62 delta_degC/(TtCO2),-4.99995e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,294.159,319.353,344.065,368.301,392.066,415.362,438.189,460.548,482.439,503.859,524.808,545.283,565.235,584.661,603.559,621.925,639.757,657.05,673.802,690.007,705.663,720.763,735.219,749.03,762.192,774.705,786.566,797.771,808.32,818.207,827.431,835.986,843.815,850.906,857.247,862.821,867.606,871.564,874.634,876.777,878.179,879.096,879.637,879.87,879.822,879.495,878.866,877.871,876.349,873.923,870.353,865.715,859.987,853.179,845.278,836.268,826.127,814.833,802.362,788.688,773.786,757.63,740.086,721.118,701.118,681.118,661.118,641.118,621.118,601.118,581.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.117,561.117,561.117,561.117,561.117,561.117,561.117,561.117,561.117,561.118,561.117,561.117,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118,561.118
86469990f,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,0.9,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700925,0.670691,0.644615,0.621744,0.601521,0.583433,0.567101,0.552237,0.538616,0.526061,0.514427,0.503599,0.493479,0.48398,0.47504,0.466602,0.458618,0.451044,0.443843,0.436985,0.430439,0.424182,0.418191,0.412444,0.406934,0.401644,0.396558,0.391663,0.386946,0.382395,0.378,0.373753,0.369644,0.365655,0.361773,0.357994,0.354312,0.350722,0.347219,0.343796,0.340449,0.337186,0.334017,0.330941,0.327957,0.325061,0.322248,0.319513,0.31685,0.314249,0.311693,0.309174,0.306692,0.304249,0.301843,0.299476,0.297145,0.29485,0.292589,0.290363,0.28817,0.286008,0.283878,0.281773,0.279694,0.277647,0.275656,0.273717,0.271829,0.269988,0.268194,0.266443,0.264733,0.26342,0.262127,0.260854,0.259601,0.258367,0.257151,0.255953,0.254773,0.25361,0.252463,0.251334,0.250221,0.249125,0.248045,0.246981,0.245932,0.244899,0.243879,0.242874,0.241883,0.240906,0.239943,0.238993,0.238058,0.237135,0.236225,0.235328,0.234442,0.233569,0.232707,0.231857,0.231019,0.230193,0.229377,0.228573,0.22778,0.226998,0.226225,0.225462,0.22471,0.223967,0.223234,0.222511,0.221798,0.221094,0.2204,0.219714,0.219038,0.218369,0.217709
86469990f,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,0.9,0.62 delta_degC/(TtCO2),43.478,44.1076,44.7068,45.262,45.7667,46.2187,46.6189,46.9698,47.2747,47.7881,48.296,48.5544,48.8097,49.0626,49.3135,49.5629,49.8111,50.0586,50.3054,50.5517,50.7979,51.0095,51.2207,51.4317,51.6425,51.8534,52.0643,52.2754,52.4866,52.698,52.9096,52.9885,53.0677,53.1472,53.2271,53.3075,53.3884,53.4698,53.5518,53.6343,53.7174,53.9452,54.1715,54.3963,54.6193,54.8398,55.0561,55.2652,55.4696,55.6984,55.9611,56.2751,56.5989,56.9272,57.257,57.5852,57.9069,58.2105,58.4697,58.6999,58.9385,59.1653,59.3927,59.6188,59.8428,60.0643,60.2833,60.4996,60.7132,60.924,61.1318,61.4405,61.7441,62.1015,62.6015,63.1042,63.6096,64.1172,64.6271,65.1388,65.6523,68.1762,68.7008,69.2212,69.7376,70.2503,70.7597,71.2659,71.7693,72.2699,72.7679,73.1679,73.5665,73.9638,74.3599,74.7548,75.1485,75.5412,75.9327,76.3232,76.7128,77.0057,77.2987,77.5915,77.8841,78.1764,78.4684,78.7601,79.0515,79.3424,79.633,79.8277,80.0229,80.2184,80.4141,80.6099,80.8057,81.0015,81.1973,81.3929,81.5884,81.6884,81.7891,81.8902,81.9917,82.0935,82.1954,82.2975,82.3996,82.5018,82.6039
86469990f,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,0.9,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
86469990f,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,0.9,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8788,25.5338,25.1936,24.7121,24.2366,23.765,23.2956,22.8273,22.3592,21.8904,21.4204,20.9487,20.4747,19.9519,19.4263,18.8979,18.3665,17.8317,17.2934,16.7514,16.2055,15.6552,15.1005,14.4563,13.8104,13.1626,12.5127,11.8605,11.2057,10.5482,9.88752,9.22347,8.5555,7.82909,7.09135,6.34072,5.57417,4.78471,3.9582,3.07018,2.14269,1.40217,0.917178,0.540963,0.232626,-0.0481853,-0.32698,-0.629074,-0.995092,-1.52173,-2.42596,-3.56953,-4.6386,-5.72765,-6.80872,-7.90035,-9.01001,-10.1408,-11.2943,-12.4715,-13.6736,-14.9016,-16.1568,-17.544,-18.968,-20,-20,-20,-20,-20,-20,-20,-20,-1.28997e-05,-9.00204e-07,-9.68458e-07,-1.04069e-06,-1.12795e-06,-1.21425e-06,-1.32018e-06,-1.42585e-06,-1.55498e-06,-6.4028e-06,-2.16863e-06,-2.32622e-06,-2.52688e-06,-2.71405e-06,-2.93255e-06,-3.18181e-06,-3.42338e-06,-3.71644e-06,-4.02114e-06,-2.7806e-05,-6.74428e-06,-7.00815e-06,-7.28229e-06,-7.37217e-06,-7.32775e-06,-7.33295e-06,-6.73277e-06,-6.1908e-06,-5.8987e-06,-0.000158231,3.36521e-06,1.19236e-05,1.65387e-05,1.90583e-05,2.06704e-05,2.093e-05,2.02202e-05,1.89761e-05,1.71604e-05,-6.45889e-05,3.73408e-05,2.90518e-05,2.27922e-05,1.81634e-05,1.47247e-05,1.21879e-05,1.01282e-05,8.56246e-06,7.2797e-06,5.83988e-05
86469990f,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0112294,0.9,0.62 delta_degC/(TtCO2),1.601e-34,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.36846,0.373596,0.37921,0.385663,0.392435,0.399463,0.406701,0.414113,0.42167,0.429351,0.437138,0.445018,0.452979,0.461914,0.470915,0.479975,0.489089,0.498252,0.507461,0.516716,0.526014,0.535358,0.544748,0.555443,0.5662,0.577018,0.587897,0.598839,0.609846,0.620921,0.632071,0.6433,0.654619,0.668044,0.681612,0.695361,0.70937,0.723819,0.739082,0.755798,0.773382,0.785829,0.791392,0.794061,0.794952,0.795155,0.795333,0.796119,0.798501,0.804818,0.820334,0.841579,0.860772,0.880295,0.899428,0.918634,0.938095,0.957888,0.97805,0.99861,1.01959,1.04102,1.06293,1.08713,1.11193,1.12649,1.11506,1.10395,1.09313,1.08259,1.07233,1.06232,1.05256,0.643369,0.64021,0.637102,0.634042,0.631027,0.628059,0.625133,0.622251,0.619409,0.616609,0.61385,0.611133,0.608456,0.605819,0.60322,0.600658,0.598133,0.595643,0.593188,0.590767,0.588381,0.586029,0.58371,0.581425,0.579172,0.576949,0.574758,0.572596,0.570462,0.568359,0.566281,0.564235,0.562216,0.560225,0.558261,0.556324,0.554412,0.552525,0.550662,0.548826,0.54701,0.54522,0.543455,0.541713,0.539994,0.538299,0.536624,0.534972,0.533338,0.531726
