ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
971206cbf,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,0.8,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.3741,30.1322,29.8837,29.6257,29.3559,28.9103,28.457,27.9947,27.5223,27.0391,26.5442,26.0369,25.5166,24.9824,24.4339,23.8244,23.1992,22.558,21.9002,21.225,20.5319,19.8203,19.0892,18.3381,17.566,16.6825,15.7802,14.8584,13.9164,12.9533,11.9682,10.9601,9.92782,8.87008,7.78448,6.60267,5.35792,3.97586,2.25085,1.22138,0.756527,0.435951,0.171568,-0.0696753,-0.307445,-0.573567,-0.891531,-1.36522,-2.91543,-5.10421,-6.87234,-8.63524,-10.4537,-12.3411,-14.303,-16.4211,-18.618,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.33182e-05,-1.60488e-06,-1.70817e-06,-1.8181e-06,-1.94236e-06,-2.06707e-06,-2.20928e-06,-2.35229e-06,-2.51494e-06,-5.98242e-06,-2.91989e-06,-3.08095e-06,-3.2677e-06,-3.44764e-06,-3.64569e-06,-3.86017e-06,-4.07211e-06,-4.30999e-06,-4.5517e-06,-1.26013e-05,-5.18321e-06,-5.38402e-06,-5.59917e-06,-5.79193e-06,-5.97917e-06,-6.1991e-06,-6.32714e-06,-6.49258e-06,-6.64824e-06,-2.3216e-05,-6.71157e-06,-6.50524e-06,-6.27659e-06,-6.02289e-06,-5.64582e-06,-5.20176e-06,-4.69439e-06,-4.1127e-06,-3.51849e-06,-2.56354e-05,-4.89539e-07,5.54187e-07,1.55939e-06,2.49332e-06,3.37824e-06,4.28036e-06,5.01199e-06,5.73502e-06,6.46991e-06,0.00020591
971206cbf,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,0.8,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22938,1.24806,1.26659,1.28496,1.30316,1.32108,1.33872,1.35608,1.37314,1.38991,1.40637,1.42251,1.43833,1.45382,1.46897,1.48374,1.49812,1.51211,1.52569,1.53885,1.55158,1.56386,1.5757,1.58707,1.59796,1.6083,1.61809,1.6273,1.63593,1.64396,1.65138,1.65817,1.66433,1.66983,1.67465,1.67875,1.68207,1.68454,1.68593,1.68669,1.68716,1.68743,1.68753,1.68749,1.6873,1.68694,1.68639,1.68555,1.68374,1.68057,1.67631,1.67096,1.66448,1.65683,1.64796,1.63778,1.62623,1.61383,1.60143,1.58903,1.57663,1.56423,1.55183,1.53943,1.52703,1.51463,1.50223,1.48983,1.47743,1.46503,1.45263,1.44023,1.42783,1.41543,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303,1.40303
971206cbf,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,0.8,0.62 delta_degC/(TtCO2),-0.0219453,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.018832,0.0186819,0.0185279,0.0183679,0.0182006,0.0179244,0.0176433,0.0173567,0.0170639,0.0167643,0.0164574,0.0161429,0.0158203,0.0154891,0.015149,0.0147711,0.0143835,0.013986,0.0135781,0.0131595,0.0127298,0.0122886,0.0118353,0.0113696,0.0108909,0.0103432,0.00978374,0.00921223,0.00862818,0.00803104,0.00742026,0.00679523,0.00615525,0.00549945,0.00482638,0.00409365,0.00332191,0.00246503,0.00139553,0.000757258,0.000469047,0.000270289,0.000106372,-4.31987e-05,-0.000190616,-0.000355611,-0.000552749,-0.000846433,-0.00180757,-0.00316461,-0.00426085,-0.00535385,-0.00648132,-0.0076515,-0.00886786,-0.0101811,-0.0115431,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-1.44573e-08,-9.95023e-10,-1.05906e-09,-1.12722e-09,-1.20426e-09,-1.28158e-09,-1.36975e-09,-1.45842e-09,-1.55926e-09,-3.7091e-09,-1.81033e-09,-1.91019e-09,-2.02597e-09,-2.13754e-09,-2.26033e-09,-2.39331e-09,-2.52471e-09,-2.67219e-09,-2.82205e-09,-7.81278e-09,-3.21359e-09,-3.33809e-09,-3.47149e-09,-3.591e-09,-3.70709e-09,-3.84344e-09,-3.92283e-09,-4.0254e-09,-4.12191e-09,-1.43939e-08,-4.16117e-09,-4.03325e-09,-3.89149e-09,-3.73419e-09,-3.50041e-09,-3.22509e-09,-2.91052e-09,-2.54987e-09,-2.18146e-09,-1.5894e-08,-3.03514e-10,3.43596e-10,9.66823e-10,1.54586e-09,2.09451e-09,2.65382e-09,3.10743e-09,3.55571e-09,4.01135e-09,1.27664e-07
971206cbf,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,0.8,0.62 delta_degC/(TtCO2),0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999997,0.999987,0.999944,0.99974,0.998565,0.988438,0.963946,0.943743,0.926389,0.910597,0.895683,0.881166,0.865866,0.849742,0.83108,0.805242,0.800356,0.80004,0.800004,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.899999,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.899999,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.899999,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.899998,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.900013
971206cbf,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,0.8,0.62 delta_degC/(TtCO2),-4.99997e-09,41.278,80.3561,117.234,151.912,184.39,214.764,244.897,274.78,304.406,333.762,362.672,391.129,419.124,446.646,473.685,500.229,526.266,551.783,576.765,601.199,625.024,648.223,670.781,692.681,713.906,734.438,754.258,773.348,791.686,809.252,825.934,841.714,856.573,870.489,883.443,895.411,906.371,916.299,925.169,932.953,939.556,944.914,948.89,951.14,952.362,953.118,953.554,953.726,953.656,953.349,952.775,951.884,950.518,947.603,942.499,935.626,926.991,916.538,904.196,889.893,873.472,854.854,834.854,814.854,794.854,774.854,754.854,734.854,714.854,694.854,674.854,654.854,634.854,614.854,594.854,574.854,554.854,534.854,514.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854,494.854
971206cbf,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,0.8,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776224,0.740666,0.710115,0.683403,0.659721,0.638452,0.619291,0.601877,0.585938,0.571255,0.557658,0.545004,0.533178,0.522085,0.511644,0.501777,0.492434,0.483565,0.475128,0.467083,0.459398,0.452045,0.444997,0.43823,0.431725,0.425461,0.41943,0.413619,0.408012,0.402596,0.397358,0.392288,0.387375,0.38261,0.377985,0.373478,0.369076,0.364766,0.360524,0.356399,0.352428,0.348606,0.344929,0.341388,0.337973,0.334675,0.331483,0.328383,0.325321,0.322271,0.319256,0.316277,0.313333,0.310426,0.307553,0.30471,0.301898,0.299145,0.296491,0.29393,0.291455,0.289062,0.286747,0.284503,0.282328,0.280216,0.278164,0.276166,0.274221,0.272327,0.270481,0.268681,0.266924,0.26521,0.263535,0.262248,0.26098,0.259732,0.258503,0.257292,0.256099,0.254923,0.253764,0.252621,0.251494,0.250383,0.24929,0.248212,0.24715,0.246103,0.24507,0.244052,0.243048,0.242058,0.241082,0.240119,0.23917,0.238234,0.237312,0.236402,0.235504,0.23462,0.233746,0.232884,0.232033,0.231194,0.230367,0.229551,0.228746,0.227952,0.227168,0.226395,0.225631,0.224877,0.224134,0.223399,0.222675,0.22196,0.221255,0.220558,0.219872,0.219193,0.218524,0.217862,0.217209
971206cbf,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,0.8,0.62 delta_degC/(TtCO2),43.478,44.1076,44.7068,45.262,45.7667,46.2187,46.6273,47.1698,47.704,48.2305,48.7501,49.0148,49.2748,49.5307,49.7829,50.0319,50.2781,50.5216,50.7627,51.0015,51.2382,51.4386,51.6366,51.8324,52.026,52.2175,52.4068,52.594,52.7791,52.9619,53.1424,53.1868,53.229,53.2688,53.3064,53.3416,53.3743,53.4044,53.4319,53.4564,53.4776,53.6367,53.7862,53.9157,53.9955,54.1698,54.4248,54.7024,54.9902,55.2834,55.5792,55.909,56.2334,56.539,56.7056,56.7819,56.9081,57.0309,57.1419,57.2392,57.3213,57.368,57.3972,57.5538,57.9335,58.3168,58.7034,59.0929,59.485,59.8795,60.2762,60.7923,61.3098,61.8286,62.3486,62.8696,63.3915,63.9142,64.4376,64.9616,65.486,68.0101,68.5477,69.08,69.6075,70.1305,70.6493,71.1642,71.6756,72.1836,72.6886,73.0949,73.4995,73.9023,74.3034,74.703,75.101,75.4976,75.8928,76.2868,76.6794,76.9753,77.271,77.5662,77.8611,78.1556,78.4496,78.7431,79.0361,79.3286,79.6206,79.8166,80.0131,80.2097,80.4064,80.6031,80.7998,80.9965,81.1929,81.3893,81.5854,81.686,81.7872,81.8889,81.9908,82.093,82.1953,82.2978,82.4002,82.5027,82.605
971206cbf,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,0.8,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
971206cbf,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,0.8,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.3741,30.1322,29.8837,29.6257,29.3559,28.9103,28.457,27.9947,27.5223,27.0391,26.5442,26.0369,25.5166,24.9824,24.4339,23.8244,23.1992,22.558,21.9002,21.225,20.5319,19.8203,19.0892,18.3381,17.566,16.6825,15.7802,14.8584,13.9164,12.9533,11.9682,10.9601,9.92782,8.87008,7.78448,6.60267,5.35792,3.97586,2.25085,1.22138,0.756527,0.435951,0.171568,-0.0696753,-0.307445,-0.573567,-0.891531,-1.36522,-2.91543,-5.10421,-6.87234,-8.63524,-10.4537,-12.3411,-14.303,-16.4211,-18.618,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.33182e-05,-1.60488e-06,-1.70817e-06,-1.8181e-06,-1.94236e-06,-2.06707e-06,-2.20928e-06,-2.35229e-06,-2.51494e-06,-5.98242e-06,-2.91989e-06,-3.08095e-06,-3.2677e-06,-3.44764e-06,-3.64569e-06,-3.86017e-06,-4.07211e-06,-4.30999e-06,-4.5517e-06,-1.26013e-05,-5.18321e-06,-5.38402e-06,-5.59917e-06,-5.79193e-06,-5.97917e-06,-6.1991e-06,-6.32714e-06,-6.49258e-06,-6.64824e-06,-2.3216e-05,-6.71157e-06,-6.50524e-06,-6.27659e-06,-6.02289e-06,-5.64582e-06,-5.20176e-06,-4.69439e-06,-4.1127e-06,-3.51849e-06,-2.56354e-05,-4.89539e-07,5.54187e-07,1.55939e-06,2.49332e-06,3.37824e-06,4.28036e-06,5.01199e-06,5.73502e-06,6.46991e-06,0.00020591
971206cbf,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.03,0.0112294,0.8,0.62 delta_degC/(TtCO2),5.46558e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.23863,0.244945,0.251724,0.258905,0.266443,0.274656,0.283194,0.292039,0.30118,0.31061,0.320323,0.330318,0.340595,0.351156,0.362007,0.373902,0.38612,0.398666,0.411549,0.42478,0.43837,0.452331,0.466679,0.481431,0.496604,0.513426,0.530753,0.548607,0.567009,0.585986,0.605563,0.625771,0.646645,0.668229,0.690592,0.716141,0.743273,0.774096,0.814542,0.834939,0.839035,0.839076,0.837652,0.835716,0.833816,0.832788,0.833215,0.837778,0.870664,0.920574,0.959098,0.997331,1.03694,1.0783,1.1216,1.16932,1.21922,1.24527,1.23124,1.21769,1.20458,1.19188,1.17958,1.16765,1.15608,1.14387,1.13201,1.12048,1.10926,1.09834,1.08771,1.07735,1.06725,1.0574,1.0478,0.640508,0.637411,0.634363,0.631361,0.628403,0.625489,0.622616,0.619785,0.616994,0.614242,0.611529,0.608858,0.606225,0.603631,0.601074,0.598552,0.596067,0.593614,0.591197,0.588812,0.58646,0.584142,0.581857,0.579604,0.577382,0.575189,0.573028,0.570895,0.568789,0.566712,0.564662,0.562642,0.560649,0.558683,0.556743,0.554829,0.55294,0.551075,0.549234,0.547418,0.545624,0.543854,0.542109,0.540386,0.538686,0.537009,0.535352,0.533717,0.5321,0.530503
